$ tỉ	$ miljard	$ billion
đentrắng	zwart en wit	"(term should be ""đen-trắng"") black-and-white (adj.)"
đeo	slijtage	wear
đh	đh	university
đhcn	đcn	university of industry
đhtm	dhtm	university of economics
đhông	oosten	dhong
đi	gaan	go
điên	gek	crazy
điêu	ding	sculpture
điôxít	dioxide	dioxide
điạ	dạ	dia
điếc	doof	heron
điếu	sigaret	funeral oration
điềm	teken	omen
điền	vullen	estate
điều	ding	control
điểm	punt	bearing point
điển	woordenboek	"(term should be ""từ điển"") a dictionary"
điểu	neuken	thing
điệp	de boodschap	spy
điệu	toon	memorial
đo	meten	measure
đoa	doa	doa
đoan	groep	extreme
đom	vuurvliegjes	firefly
đoài	mango	the west
đoàn	groep	an organization or group (n.)
đoái	uitwisseling	"(term should be ""hối đoái"") to exchange or trade (v.)"
đoạn	paragraaf	a stage or phase (n.)
đt	tel	training
đtđ	mobiele telefoon	diabetes
đua	ras	emulate
đui	blind	blind
đun	warmte	cook
đuôi	staart	tail
đuốc	fakkel	a torch
đuối	verdrinking	drowning
đuống	stam	(proper noun) Đuống, the name of a river
đuổi	jacht	pursue
đài	radio	statue
đàm	praat	negotiation
đàn	kudde	musical instrument
đàng	ja	side
đào	graven	train
đày	verbanning	exile
đá	rots	to kick
đái	plas	pee
đám	groep	dam
đán	dan	"(term should be ""tết nguyên Đán"") vietnamese new year's day"
đáng	waard	deserve
đáo	uniek	unique
đáp	antwoord	response
đát	land-	"(term should be ""bi đát"") lamentable (adj.)"
đâm	steken	pierce
đâu	waar	anywhere
đây	hier	below
đã	is al	already
đãi	traktatie	"(should be ""bạc đãi"") to ill-treat"
đãng	wellustig	dissolute
đè	overschrijven	to press on
đèn	lamp	light
đèo	slagen voor	a mountain pass (n.)
đê	dijk	a dike (n.)
đêm	nacht	night
đênh	buck	lênh đênh= float to unknown
đích	bestemming	goal
đính	gehecht	attached (adj.)
đò	veerboot	a ferry (n.)
đòi	beweren	require
đòn	blazen	welcome
đó	daar	that or there (adv.)
đóa	nee	"(term should be ""đoá hoa"") a flower bloom"
đói	hongerig	hungry
đón	oppakken	welcome
đôi	dubbele	sometimes
đôla	dollars	dollar
đôn	voetstuk	london
đông	bronzen	eastern
đôngbắc	noordoosten	north-east
đôngnam	zuid oost	south-east
đôngtây	oost west	"(term should be ""đông-tây"") east-west (adj.)"
đôrêmi	doraemon	(proper noun) Đôrêmi
đôrêmon	doraemon	doreamon
đùa	grap	joke
đùi	dijbeen	thigh
đúc	gieten	"(term should be ""đúc kết"") to sum up (v.)"
đúng	het is correct	right
đúp	dubbele	double
đút	zetten	"(term should be ""đút lót"") to bribe"
đăk	dak	dak
đĩ	slet	whore/bitch
đĩa	bord	disk
đơ	pauze	stiff or rigid (adj.)
đưa	slagen voor	girl
đường	straat	pathway
được	ok	is not
đạ	da	da
đại	super goed	eagle
đạm	eiwit	plain
đạn	kogel	bullet
đạo	religie	vagina
đạp	fiets	to step on
đạt	bereiken	reach
đả	gevechten	to hit
đảm	gegarandeerd	"(term should be ""đảm nhiệm"") to undertake (v.)"
đản	verjaardag	a group or flock (n.)
đảng	partij	party
đảo	eiland	an island (n.)
đấm	slaan	punch
đấng	god	the
đất	land-	country
đấtmặt	grond	datmat
đấy	daar	ignore
đầm	jurk	swamp
đần	stom	"(term should be ""đần độn"") stupid or ignorant (adj.)"
đầu	hoofd	start
đầy	vol	"(term should be ""đầy đủ"") adequate or enough"
đẩu	hoofd	"(entire term is ""khoa đẩu"") ancient phonetic script used in vietnam"
đẩy	duwen	to push
đẫm	doorweekt	wet
đậm	donker	dense
đậu	boon	to park (v.)
đậy	hoes	cover
đắc	krijgen	effectively
đắm	vergaan	sink
đắn	fatsoen	proper (dung dan)
đắng	bitter	bitter
đắp	omhoog	"(term should be ""bù đắp"") to compensate (v.)"
đắt	duur	expensive
đằng	over-	back
đẳng	klasse	equality
đặc	bijzonder	"(term should be ""đặc biệt"") special (adj.)"
đặn	regelmatig	regularly
đẹp	mooi	beautiful
đẽ	prima	beauty
đế	zolen	empire
đếm	tellen	to count (v.)
đến	komen	come
đề	draden	promote
đền	tempel	"(term should be ""đền thờ"") a religious shrine"
đều	zijn	all
để	naar	for
đệm	kussen	middle name
đỉnh	top	the summit or peak
địch	de vijand	enemy
định	gespecificeerd	appointed
đọ	ontpit	compete
đọan	paragraaf	period
đọc	lezen	read
đọng	stagneert	deposit
đỏ	rood	red (adj.)
đốc	gouverneur	admiral
đối	voor	face
đốm	plek	spot
đốn	omhakken	"(term should be ""suy đốn:) to be worse off"
đống	stapel	line
đốt	brandend	burn
đồ	ding	thing
đồi	heuvel	hill
đồn	gerucht	rumour
đồng	koper	agreeable
đổ	gieten	dump
đổi	verandering	to change (v.)
đổng	dong	"(term should be ""đồng bằng"") a delta"
đỗ	geparkeerd	pass
độ	mate	"term should actually be ""độ cao""; means ""height"""
độc	vergiftigen	alone
độn	opgevuld	chaos
động	dynamisch	action
đột	plotseling	"(term should be ""xung đột"") conflict (n.)"
đới	zen	tropical
đời	levenslang	generation
đỡ	ondersteuning	help
đợi	wacht	thigh
đợt	partij	fit
đục	ondoorzichtig	turbid
đụn	duinen	dune
đụng	aanraken	encounter
đủ	genoeg	enough
đứa	kinderen	child
đức	deugd	virtue (n.)
đứng	stand	to stand (v.)
đứt	gebroken	cut off
đừng	niet doen	not
đực	mannetje	male
đựng	bevatten	suffer
đựoc	oke	be
ĩ	oh	"(term should be ""ầm ĩ"") noisy"
ơ	oh	"(term should be ""thờ ơ"") to be indifferent (adj.)"
ơi	hallo	"vietnamese equivalent of english ""oh"""
ơn	bedankt	thank
ư	u	vowel sound found in the vietnamese alphabet (n.)
ưa	voorkeur	to like (v.)
ưng	oh ja	to accept (v.)
ưu	voors	"(term should be ""ưu việt"") preeminent (adj.)"
ươi	orang	orangutan
ươm	kinderkamer	nursery
ương	centraal	central
ướp	gemarineerd	mummy
ướt	nat	wet
ạ	meneer	a word added to the end of a response to show respect to someone in a position of authority, as in a child to a parent
ạt	stormloop	(with word o) to crowd
ải	ải	pass
ảnh	beeld	picture
ấm	warm	warm
ấn	druk op	press
ấnâu	afdrukken	"(term should be ""Ấn Âu"") a grouping of languages including european and indian languages that are thought to have originated from a single earlier language (adj.)"
ấp	gehucht	district
ấu	jong	childhood
ấy	dat	that
ẩm	warm	humidity
ẩn	zich verstoppen	hidden
ập	knal	rush
ắt	zeker	sure
ếch	een kikker	frog
ỏi	munt	little
ố	ooh	"(term should be ""hoen ố"") stained and smeared (adj.)"
ốc	slakken	building
ốm	ziek	sick
ống	buis	tube
ốp	raaklijn	omelette
ồn	lawaai	noisy (adj.)
ổ	rijden	hard drive
ổi	guava	guava (n.)
ổn	is goed	peace
ớn	groot	posts
ớt	chili	chili
ở	in	at
ủ	incubatie	"(term should be ""ủ dột"") gloomy (adj.)"
ủi	ijzer	"(term should be ""an ủi"") to comfort (v.)"
ủng	laarzen	boot
ủy	commissaris	commission
ứ	ja	to pool together (v.)
ức	borst	memories
ứng	toepassing	corresponding
−−	−−	__
≠	≠	different
