$	ps	a sign of doller
પ્રાંતમાં	en la provincia	in the province
પ્રાંતોમાં	en las provincias	in provinces
પ્રાઈઝ	premio	prize
પ્રાઈવેટ	privado	private
પ્રાકૃત	prácrito	prakrit
પ્રાકૃતિક	natural	natural
પ્રાચિન	antiguo	ancient
પ્રાચીન	antiguo	ancient
પ્રાચીનતમ	el más antiguo	ancient / ante diluvial
પ્રાણ	prana	breath
પ્રાણી	animal	animal
પ્રાણીઓ	animales	animals
પ્રાણીઓના	de animales	of animals
પ્રાણીઓની	de animales	animals of
પ્રાણીઓને	animales	to the animals
પ્રાણીઓનો	de animales	of the animals
પ્રાણીશાસ્ત્ર	zoología	zoology
પ્રાથમિક	primario	primary
પ્રાદેશિક	regional	region
પ્રાન્ત	provincia	province
પ્રાપ્ત	recibido	to get
પ્રાપ્તિ	obtención	receipt
પ્રાપ્ય	disponible	available
પ્રાયઃ	a menudo	usually
પ્રાયદ્વીપ	península	praydvip
પ્રાયોગિક	experimental	experimental
પ્રારંભ	empezar	starts
પ્રારંભમાં	inicialmente	in starting
પ્રારંભિક	temprano	start
પ્રાર્થના	oración	prayer
પ્રાસંગિક	pertinente	occasional
પ્રિન્ટ	impresión	print
પ્રિન્સિપિયા	principia	principia
પ્રિમિયર	primer ministro	premiere
પ્રિય	querido	dear
પ્રેક્ટિસ	práctica	practice
પ્રેમ	amor	love
પ્રેમના	de amor	of love
પ્રેમની	de amor	of love
પ્રેમને	amar	of love,
પ્રેમમાં	enamorado	in love
પ્રેમાનંદ	premananda	premanand
પ્રેમાળ	amoroso	loving
પ્રેમી	amante	lover
પ્રેરણા	inspiración	inspiration
પ્રેરિત	inspirado	inspired
પ્રેસ	prensa	press
પ્રેસમાં	en la prensa	in the press (media)
પ્રેસિડેન્સી	presidencia	presidency
પ્રેસીડંટ	presidente	president
પ્રૉજેક્ટ	proyecto	project
પ્રો	pro	pro
પ્રોગ્રામ	programa	programme
પ્રોગ્રામને	al programa	to the program
પ્રોગ્રામિંગ	programación	programming
પ્રોગ્રામીંગ	programación	programming
પ્રોગ્રામો	programas	programmes
પ્રોજેક્ટ	proyecto	project
પ્રોટોકોલ	protocolo	protocol
પ્રોડક્ટ	producto	product
પ્રોત્સાહન	promoción	encourage
પ્રોત્સાહિત	alentado	inspired
પ્રોફેસર	profesor	professor
પ્રોવાઈડર	proveedor	provider
પ્રોવાઈડર્સ	proveedores	providers
પ્લસ	más	plus
પ્લાન્ટ	planta	plant
પ્લુટો	plutón	pluto
પ્લેટ	plato	plate
પ્લેટફોર્મ	plataforma	platform
પ્લેટો	platos	plates
પ્લેબેક	reproducción	playback
પ્લેયર	jugador	player
ફંડ	fondo	fund
ફકત	solamente	only
ફક્ત	solamente	only
ફગાવી	rechazado	threw away
ફટકારી	puntuación	scored
ફટાકડા	fuegos artificiales	crackers
ફરક	la diferencia	difference
ફરજ	deber	duty
ફરજિયાત	obligatorio	compulsary
ફરતા	moviente	roaming
ફરતી	giratorio	circulating
ફરતે	alrededor	surrounding
ફરવા	vagar	roam
ફરવાનું	vagar	to return
ફરિયાદ	queja	complaint
ફરી	de nuevo	again
ફરીથી	de nuevo	again
ફરીને	de nuevo	again
ફરે	movimientos	move
ફર્યા	devuelto	returned / wander
ફર્યાં	devuelto	return
ફર્યો	devuelto	moved
ફર્સ્ટ	primero	first,
ફલક	panel	platform
ફળ	fruta	fruit, here reward of holy work
ફળદ્રુપ	fértil	furtile
ફળો	frutas	fruits
ફ઼ારસ	persia	persian
ફ઼ારસી	persa	farsi
ફ઼િલ્મ	película	film
ફ઼િલ્મોં	película (s	film, pictutre, move
ફાંસીની	ejecución	hang till death
ફાઇલ	expediente	file
ફાઈનલ	final	final
ફાઈલ	expediente	file
ફાઈલને	expediente	to file
ફાઈલો	archivos	files
ફાઈલોને	archivos	files
ફાઉન્ડેશન	fundación	foundation
ફાટ	grieta	broken
ફાટી	rasgado	to erupt
ફાટે	rasgado	tears
ફાયદાઓ	ventajas	benefits
ફાયદો	ventaja	benefit
ફારસ	persia	persia
ફારસી	persa	farsi
ફાળો	contribuir	contribution
ફાસ્ટ	rápido	fast
ફિનલેન્ડ	finlandia	finland
ફિનલેન્ડમાં	en finlandia	country name
ફિલસૂફોએ	filósofos	philosufy
ફિલિપાઇન્સ	filipinas	philippines
ફિલોસોફી	filosofía	philosophy
ફિલ્ડ	campo	field
ફિલ્ડિંગ	fielding	fielding
ફિલ્મ	película	movie
ફિલ્મની	de la película	of film
ફિલ્મને	a la pelicula	to the movie
ફિલ્મફેર	filmfare	filmfair
ફિલ્મમાં	en la película	in the film
ફિલ્મે	en la película	movies
ફિલ્મો	películas	films
ફિલ્મોનું	de peliculas	of the films
ફિલ્મોમાં	en películas	in films
ફી	tarifa	fee
ફીટ	pie	feet, unit of length,
ફીલ્મ	película	movie
ફુટ	pie	foot
ફુટની	pies	foot
ફુલ	completo	flowers
ફૂટ	en	foot
ફૂટબોલ	fútbol americano	football
ફૂડ	comida	food
ફૂલ	flor	folwer
ફૂલના	de flores	fool
ફૂલો	flores	flowers
ફૂલોના	de flores	flowers'
ફૂલોની	de flores	flowers
ફૂલોનું	floral	flowers
ફૂલોને	flores	flowers
ફૂલોનો	de flores	of the flowers
ફૂલોમાં	en flores	flowers
ફેંકી	arrojado	thrown,
ફેંકે	arroja	through
ફેક્ટરી	fábrica	factory
ફેડરલ	federal	federal
ફેડરેશન	federación	federation
ફેબ્રુઆરી	febrero	february
ફેબ્રુઆરીના	del mes de febrero	february
ફેબ્રુઆરીમાં	en febrero	february
ફેર	justa	differ
ફેરફાર	cambio	trend
ફેરફારના	de cambio	modification
ફેરફારની	de cambio	of change/ variation
ફેરફારને	cambio	to do it
ફેરફારો	cambios	changes
ફેલાઇ	propagar	spread
ફેલાઈ	propagar	spread
ફેલાય	propagar	spread
ફેલાયેલ	extendido	spread
ફેલાયેલી	extendido	spread
ફેલાયેલો	extendido	have spread
ફેલાવા	propagar	spread
ફેલાવાની	propagar	spreading
ફેલાવાને	extensión	spread
ફેલાવો	propagar	spread
ફેશન	moda	fashion
ફેસબુક	facebook	facebook
ફેસ્ટિવલ	festival	festival
ફોજ	ejército	army
ફોજદારી	delincuente	criminal
ફોટા	fotos	photographs
ફોટો	foto	photo
ફોટોગ્રાફ	fotografía	photograph
ફોટોન	fotón	photon
ફોન	teléfono	phone
ફોનના	del telefono	of phone
ફોનની	del telefono	phone's
ફોન્સ	los telefonos	phones
ફોર	por	for [english word]
ફોરમ	foro	forum
ફોર્ટ	fuerte	fort
ફોર્થ	cuarto	fourth
ફોર્મેટમાં	en formato	in the format
ફોર્મ્યુલા	fórmula	formula
ફોલ્ટ	culpa	fault
ફોસીલ	fósil	focil
ફૌજ	ejército	army / troops
ફ્યૂઅલ	combustible	fuel
ફ્રાંસ	francia	france
ફ્રાન્ક	franco	frank
ફ્રાન્કા	franca	frank
ફ્રાન્સ	francia	country name
ફ્રાન્સમાં	en francia	farnce
ફ્રાન્સિસ્કો	francisco	francisco
ફ્રાન્સે	francia	france's
ફ્રિસિયન	frisio	firsian / fyrsian
ફ્રેંચ	francés	french
ફ્રેન્ચ	francés	franch
ફ્રેન્ચમાં	en francés	in french
ફ્રેબ્રુઆરી	febrero	february
ફ્રોમ	de	from
ફ્લાઈટ	vuelo	flight
ફ્લાવર	flor	flower
ફ્લેગ	bandera	flag
ફ્લેશ	destello	flash
ફ્લોરિડા	florida	florida
બંગાળ	bengala	bangal
બંગાળના	de bengala	bangal's
બંગાળની	de bengala	bangal's
બંગાળનો	de bengala	bengal
બંગાળમાં	en bengala	in bengal
બંગાળી	bengalí	language name
બંદર	puerto	port
બંદી	cautivo	captive
બંધ	apagado	close
બંધન	esclavitud	bondage
બંધની	de la presa	dam
બંધાયેલ	unido	built
બંધાયેલા	unido	built
બંધાયેલી	unido	formed
બંધાયો	unido	built
બંધારણ	constitución	constitution
બંધારણનો	de la constitución	of the constitution
બંધારણમાં	en el formato	constitution
બંધારણીય	constitucional	constitutional
બંધાવી	unido	built
બંધાવ્યા	unido	built
બંધાવ્યું	construido	built
બંને	ambos	both
બંનેએ	ambos	both
બંનેના	de ambos	both
બંનેની	de ambos	of both
બંનેને	ambos	both
બંન્ને	ambos	both
બક્ષી	bakshi	bakshi
બગદાણા	bagdana	bagdana
બગદાદ	bagdad	baghdad
બગીચા	jardines	gardens,
બગીચામાં	en el jardín	in the garden
બગીચો	jardín	garden
બચવા	escapar	to save,
બચાવ	rescate	defense
બચાવવા	ahorrar	to save
બચાવી	salvado	saving
બચાવે	ahorra	save
બચી	sobrevivientes	saved
બચ્ચન	bachchan	bachchan
