$ tỉ	十亿美元	$ billion
ái	渴望	ai
ám	渲染	(with the word chi) to hint at
ánh	光泽	light
áo	外套	clothe
áohung	奥雄	"(term should be ""Áo-hung"") austria-hungary"
áp	压力	"(term should be ""huyết áp"") blood pressure (n.)"
áâu	葵	eurasian
â	â	a vietnamese vowel sound
âm	负面的	vagina
ân	宠爱	deed
én	燕子	swallow
ép	压	press
êgê	自我	aegean
êm	顺利	smooth
ích	有用的	benefit
ílam	伊兰	tamil language name for the island of sri lanka
ít	小	less
île	île	Île, as in Île de la cité, france
îledefrance	îledefrance	ile-de-france
ðiều	文章	article
ðài	ðài	taiwan
ðường	糖	a road
ðảng	派对	party
ðức	德国	"Đức, a common vietnamese first name; means ""virtue"""
ó	ó	(with the word la) to boo down
óc	脑子	brain
óng	虹彩的	"(term should be ""óng ả"") flexible"
ôi	哦	"vietnamese version of the exclamation ""oh"""
ôm	拥抱	hug
ôn	适度	peaceful (on hoa)
ông	先生	a man (n.)
ôtô	汽车	car
ôxi	氧气	oxygen
ôxy	氧气	the element oxygen (n.)
ôxít	氧化物	oxide
ôzôn	臭氧	ozone
ùn	卡纸	congest
úng	浸水的	flood
úp	面朝下	upside
úy	中尉	"(term should be ""thiếu úy"") second lieutenant (n.)"
ý	义大利	italian
ăn	吃	eat
ăng	蚂蚁	antenna
ăngten	天线	antenna
đa	多	majority
đai	皮带	"(term should be ""Đai khố"") name of a village"
đak	达克	(proper noun) Đak
đan	针织	scandal
đau	痛	painful
đay	黄麻	jute, a type of vegetation the vietnamese use to make soup (n.)
đb	分贝	dien ban
đcstq	dcstq	communist party of china
đcsvn	dcsvn	vietnam communist party
đe	铁砧	threaten
đem	带上	to bring (v.)
đen	黑色的	black
đentrắng	黑白色	"(term should be ""đen-trắng"") black-and-white (adj.)"
đeo	穿	wear
đh	đh	university
đhcn	đcn	university of industry
đhtm	dhtm	university of economics
đhông	东区	dhong
đi	去	go
điên	疯了	crazy
điêu	东西	sculpture
điôxít	二氧化碳	dioxide
điạ	ạ	dia
điếc	聋人	heron
điếu	卷烟	funeral oration
điềm	预兆	omen
điền	填写	estate
điều	东西	control
điểm	点	bearing point
điển	辞典	"(term should be ""từ điển"") a dictionary"
điểu	操	thing
điệp	讯息	spy
điệu	语气	memorial
đo	量度	measure
đoa	杜阿	doa
đoan	可表现的	extreme
đom	萤火虫	firefly
đoài	芒果	the west
đoàn	联合会	an organization or group (n.)
đoái	交换	"(term should be ""hối đoái"") to exchange or trade (v.)"
đoạn	段落	a stage or phase (n.)
đt	đt	training
đtđ	手机	diabetes
đua	种族	emulate
đui	盲目的	blind
đun	烧开	cook
đuôi	尾巴	tail
đuốc	火炬	a torch
đuối	淹死	drowning
đuống	干	(proper noun) Đuống, the name of a river
đuổi	追逐	pursue
đài	广播电台	statue
đàm	会谈	negotiation
đàn	牛群	musical instrument
đàng	是的	side
đào	桃子	train
đày	流放	exile
đá	石头	to kick
đái	小便	pee
đám	部落	dam
đán	丹	"(term should be ""tết nguyên Đán"") vietnamese new year's day"
đáng	值得	deserve
đáo	独特的	unique
đáp	回答	response
đát	土地	"(term should be ""bi đát"") lamentable (adj.)"
đâm	刺	pierce
đâu	在哪里	anywhere
đây	在这里	below
đã	是	already
đãi	对待	"(should be ""bạc đãi"") to ill-treat"
đãng	好色的	dissolute
đè	覆写	to press on
đèn	灯	light
đèo	通行证	a mountain pass (n.)
đê	堤	a dike (n.)
đêm	夜晚	night
đênh	降压	lênh đênh= float to unknown
đích	目的地	goal
đính	附上	attached (adj.)
đò	轮渡	a ferry (n.)
đòi	声称	require
đòn	吹	welcome
đó	那	that or there (adv.)
đóa	h	"(term should be ""đoá hoa"") a flower bloom"
đói	饿了	hungry
đón	皮卡	welcome
đôi	双倍	sometimes
đôla	美元	dollar
đôn	敦促	london
đông	东	eastern
đôngbắc	东	north-east
đôngnam	东南	south-east
đôngtây	东	"(term should be ""đông-tây"") east-west (adj.)"
đôrêmi	ra啦a梦	(proper noun) Đôrêmi
đôrêmon	ra啦a梦	doreamon
đùa	开玩笑	joke
đùi	大腿	thigh
đúc	铸件	"(term should be ""đúc kết"") to sum up (v.)"
đúng	对的	right
đúp	双倍	double
đút	放弃	"(term should be ""đút lót"") to bribe"
đăk	达克	dak
đĩ	荡妇	whore/bitch
đĩa	磁碟	disk
đơ	僵硬	stiff or rigid (adj.)
đưa	给予	girl
đường	糖	pathway
được	好吧	is not
đạ	贾	da
đại	太好了	eagle
đạm	蛋白质	plain
đạn	子弹头	bullet
đạo	宗教信仰	vagina
đạp	踢	to step on
đạt	达到	reach
đả	打架	to hit
đảm	保证的	"(term should be ""đảm nhiệm"") to undertake (v.)"
đản	生日	a group or flock (n.)
đảng	派对	party
đảo	岛	an island (n.)
đấm	打孔	punch
đấng	神	the
đất	土	country
đấtmặt	地面	datmat
đấy	在那里	ignore
đầm	着装	swamp
đần	哑巴	"(term should be ""đần độn"") stupid or ignorant (adj.)"
đầu	顶部	start
đầy	满满的	"(term should be ""đầy đủ"") adequate or enough"
đẩu	头	"(entire term is ""khoa đẩu"") ancient phonetic script used in vietnam"
đẩy	推	to push
đẫm	湿透了	wet
đậm	粗体	dense
đậu	豆类	to park (v.)
đậy	遮盖	cover
đắc	获得	effectively
đắm	破坏	sink
đắn	礼仪	proper (dung dan)
đắng	苦	bitter
đắp	上	"(term should be ""bù đắp"") to compensate (v.)"
đắt	贵的	expensive
đằng	超过	back
đẳng	等距	equality
đặc	特别的	"(term should be ""đặc biệt"") special (adj.)"
đặn	定期的	regularly
đẹp	美丽的	beautiful
đẽ	很好	beauty
đế	鞋底	empire
đếm	算	to count (v.)
đến	到了	come
đề	线程数	promote
đền	庙宇	"(term should be ""đền thờ"") a religious shrine"
đều	是	all
để	到	for
đệm	坐垫	middle name
đỉnh	顶峰	the summit or peak
địch	敌人	enemy
định	指定的	appointed
đọ	进站	compete
đọan	段落	period
đọc	已读	read
đọng	停滞不前	deposit
đỏ	红色的	red (adj.)
đốc	总督	admiral
đối	为	face
đốm	斑点	spot
đốn	减少	"(term should be ""suy đốn:) to be worse off"
đống	堆	line
đốt	燃烧的	burn
đồ	地图	thing
đồi	丘陵	hill
đồn	传闻	rumour
đồng	铜	agreeable
đổ	棚	dump
đổi	改变	to change (v.)
đổng	马头	"(term should be ""đồng bằng"") a delta"
đỗ	停放	pass
độ	学位	"term should actually be ""độ cao""; means ""height"""
độc	有毒的	alone
độn	填充	chaos
động	动态的	action
đột	突然间	"(term should be ""xung đột"") conflict (n.)"
đới	禅	tropical
đời	一生	generation
đỡ	支持	help
đợi	等一下	thigh
đợt	批处理	fit
đục	不透明的	turbid
đụn	沙丘	dune
đụng	触碰	encounter
đủ	足够	enough
đứa	孩子们	child
đức	德国	virtue (n.)
đứng	站立	to stand (v.)
đứt	坏了	cut off
đừng	不要	not
đực	男	male
đựng	包含	suffer
đựoc	好吧	be
ĩ	喔喔	"(term should be ""ầm ĩ"") noisy"
ơ	喔喔	"(term should be ""thờ ơ"") to be indifferent (adj.)"
ơi	y	"vietnamese equivalent of english ""oh"""
ơn	谢谢啦	thank
ư	ü	vowel sound found in the vietnamese alphabet (n.)
ưa	首选	to like (v.)
ưng	哦对了	to accept (v.)
ưu	优点	"(term should be ""ưu việt"") preeminent (adj.)"
ươi	红毛猩猩	orangutan
ươm	苗圃	nursery
ương	中环	central
ướp	腌制	mummy
ướt	湿的	wet
ạ	先生	a word added to the end of a response to show respect to someone in a position of authority, as in a child to a parent
ạt	赶	(with word o) to crowd
ải	ả	pass
ảnh	照片	picture
ấm	温暖的	warm
ấn	按	press
ấnâu	打印	"(term should be ""Ấn Âu"") a grouping of languages including european and indian languages that are thought to have originated from a single earlier language (adj.)"
ấp	小村庄	district
ấu	年轻的	childhood
ấy	那	that
ẩm	湿润的	humidity
ẩn	隐藏	hidden
ập	bang	rush
ắt	当然可以	sure
ếch	青蛙	frog
ỏi	薄荷的	little
ố	哦	"(term should be ""hoen ố"") stained and smeared (adj.)"
ốc	蜗牛	building
ốm	生病了	sick
ống	管子	tube
ốp	切线	omelette
ồn	杂音	noisy (adj.)
ổ	开车	hard drive
ổi	番石榴	guava (n.)
ổn	好吧	peace
ớn	大的	posts
ớt	辣椒	chili
ở	在	at
ủ	孵化	"(term should be ""ủ dột"") gloomy (adj.)"
ủi	铁	"(term should be ""an ủi"") to comfort (v.)"
ủng	靴子	boot
ủy	专员	commission
ứ	是的	to pool together (v.)
ức	乳房	memories
ứng	申请书	corresponding
−−	--	__
≠	≠	different
