$ tỉ	$ biliwn	$ billion
ymca	ymca	ymca
yo	yo	yo
yomiuri	yomiuri	yomiuri
yoochun	yoochun	yoochun
york	york	york
yorker	yorker	yorker
yorkshire	yorkshire	yorkshire
youtube	youtube	youtube
ypres	ypres	ypres
ytv	ytv	ytv
yu	yu	yu
yuan	yuan	(proper noun) yuan, as in yuan mu
yucatán	yucatan	yucatan, as in the yucatan peninsula
yudhoyono	yudhoyono	(proper noun) yudhoyono, as in indonesian president susilo bambang yudhoyono
yugi	yugi	yugi
yukito	yukito	yukito
yume	yume	(proper noun) yume
yunho	yunho	yunho
yuri	yuri	yuri, as in soviet pilot and cosmonaut yuri alekseyevich gagarin
yurt	iwrt	yurt
yên	yen	peace or stillness (n.)
yêu	cariad	love
yếm	coveralls	tender
yến	nyth aderyn	a type of swallow (n.)
yết	rhestru	yet
yếu	gwan	mainly
yểm	gorchudd	support
yển	yen	"is a name meaning, ""bird"""
yểu	hyfryd	"(term should be ""yểu điệu"") graceful (adj.)"
z	z	z
zac	zac	zac
zambia	zambia	(proper noun) zambia, as in the nation
zealand	zealand	(proper noun) zealand, as in new zealand
zedong	zedong	mao zedong
zero	sero	zero
zeus	zeus	zeus
zheng	zheng	zheng
zhukmse	zhukmse	zhuk-mse
zimbabwe	zimbabwe	zimbabwe
zinedine	zinedine	(proper noun) zinedine
zing	zing	zing, as in the website
zoe	zoe	zoe
zurich	zurich	(proper noun) zurich
zürich	zürich	(proper noun) zurich, as in zurich, switzerland
|nguyễn	| nguyen	a common vietnamese last name
|nổi	arnofio	"(term should be ""nổi"") to float (v.)"
|petya	| petya	(proper noun) petya
|tên	| enw	"(should be ""tên"") name (n.)"
|việt	| vietnamese	vietnam
 kg	kg	kg
 triệu	miliwn	million
 °c	° c	degrees celsius
°đến	° i	up to
°độ	° gradd	degree
×	×	x
ào	waw	rush
á	á	asia
ác	drwg	evil
ách	iau	yoke (n.)
ái	chwant	ai
ám	rendradau	(with the word chi) to hint at
ánh	llewyrch	light
áo	cot	clothe
áohung	aohung	"(term should be ""Áo-hung"") austria-hungary"
áp	pwysau	"(term should be ""huyết áp"") blood pressure (n.)"
áâu	aoi	eurasian
â	â	a vietnamese vowel sound
âm	negyddol	vagina
ân	ffafr	deed
én	gwenoliaid	swallow
ép	pwyso	press
êgê	ego	aegean
êm	llyfn	smooth
ích	yn ddefnyddiol	benefit
ílam	ílam	tamil language name for the island of sri lanka
ít	ychydig	less
île	île	Île, as in Île de la cité, france
îledefrance	îledefrance	ile-de-france
ðiều	erthygl	article
ðài	ðài	taiwan
ðường	siwgr	a road
ðảng	parti	party
ðức	yr almaen	"Đức, a common vietnamese first name; means ""virtue"""
ó	ó	(with the word la) to boo down
óc	ymennydd	brain
óng	iridescent	"(term should be ""óng ả"") flexible"
ôi	o	"vietnamese version of the exclamation ""oh"""
ôm	cwtsh	hug
ôn	cymedroli	peaceful (on hoa)
ông	mr.	a man (n.)
ôtô	ceir	car
ôxi	ocsigen	oxygen
ôxy	ocsigen	the element oxygen (n.)
ôxít	ocsid	oxide
ôzôn	osôn	ozone
ùn	jamiau	congest
úng	dwrlawn	flood
úp	wyneb i lawr	upside
úy	is-gapten	"(term should be ""thiếu úy"") second lieutenant (n.)"
ý	yr eidal	italian
ăn	bwyta	eat
ăng	morgrugyn	antenna
ăngten	antena	antenna
đa	aml	majority
đai	gwregys	"(term should be ""Đai khố"") name of a village"
đak	dak	(proper noun) Đak
đan	gwau	scandal
đau	poen	painful
đay	jiwt	jute, a type of vegetation the vietnamese use to make soup (n.)
đb	db	dien ban
đcstq	dcstq	communist party of china
đcsvn	dcsvn	vietnam communist party
đe	anvil	threaten
đem	dod	to bring (v.)
đen	du	black
đentrắng	blackwhite	"(term should be ""đen-trắng"") black-and-white (adj.)"
đeo	gwisgo	wear
đh	đh	university
đhcn	đcn	university of industry
đhtm	dhtm	university of economics
đhông	dwyrain	dhong
đi	ewch	go
điên	gwallgof	crazy
điêu	peth	sculpture
điôxít	deuocsid	dioxide
điạ	dạ	dia
điếc	byddar	heron
điếu	sigarét	funeral oration
điềm	omen	omen
điền	llenwi	estate
điều	peth	control
điểm	pwynt	bearing point
điển	geiriadur	"(term should be ""từ điển"") a dictionary"
điểu	fuck	thing
điệp	y neges	spy
điệu	tôn	memorial
đo	mesur	measure
đoa	doa	doa
đoan	presentable	extreme
đom	pryfed tân	firefly
đoài	mango	the west
đoàn	undeb	an organization or group (n.)
đoái	cyfnewid	"(term should be ""hối đoái"") to exchange or trade (v.)"
đoạn	paragraff	a stage or phase (n.)
đt	đt	training
đtđ	ffôn symudol	diabetes
đua	ras	emulate
đui	dall	blind
đun	berwi	cook
đuôi	cynffon	tail
đuốc	fflachlamp	a torch
đuối	boddi	drowning
đuống	coesyn	(proper noun) Đuống, the name of a river
đuổi	mynd ar ôl	pursue
đài	radio	statue
đàm	sgyrsiau	negotiation
đàn	gyr	musical instrument
đàng	ie	side
đào	eirin gwlanog	train
đày	alltud	exile
đá	carreg	to kick
đái	pee	pee
đám	horde	dam
đán	dan	"(term should be ""tết nguyên Đán"") vietnamese new year's day"
đáng	werth chweil	deserve
đáo	unigryw	unique
đáp	ateb	response
đát	tir	"(term should be ""bi đát"") lamentable (adj.)"
đâm	trywanu	pierce
đâu	lle	anywhere
đây	yma	below
đã	oedd	already
đãi	trin	"(should be ""bạc đãi"") to ill-treat"
đãng	lecherous	dissolute
đè	diystyru	to press on
đèn	goleuadau	light
đèo	pasio	a mountain pass (n.)
đê	clawdd	a dike (n.)
đêm	y nos	night
đênh	bwch	lênh đênh= float to unknown
đích	cyrchfan	goal
đính	ynghlwm	attached (adj.)
đò	fferi	a ferry (n.)
đòi	hawlio	require
đòn	chwythu	welcome
đó	hynny	that or there (adv.)
đóa	nah	"(term should be ""đoá hoa"") a flower bloom"
đói	eisiau bwyd	hungry
đón	codi	welcome
đôi	dwbl	sometimes
đôla	doleri	dollar
đôn	ysfa	london
đông	dwyrain	eastern
đôngbắc	dwyrain	north-east
đôngnam	dongnam	south-east
đôngtây	dwyrain	"(term should be ""đông-tây"") east-west (adj.)"
đôrêmi	doraemon	(proper noun) Đôrêmi
đôrêmon	doraemon	doreamon
đùa	jôc	joke
đùi	morddwyd	thigh
đúc	castio	"(term should be ""đúc kết"") to sum up (v.)"
đúng	iawn	right
đúp	dwbl	double
đút	rhoi&#39;r gorau iddi	"(term should be ""đút lót"") to bribe"
đăk	dak	dak
đĩ	slut	whore/bitch
đĩa	disg	disk
đơ	stiff	stiff or rigid (adj.)
đưa	rhoi	girl
đường	siwgr	pathway
được	iawn	is not
đạ	da	da
đại	gwych	eagle
đạm	protein	plain
đạn	bwled	bullet
đạo	crefydd	vagina
đạp	cic	to step on
đạt	cyrraedd	reach
đả	ymladd	to hit
đảm	gwarantedig	"(term should be ""đảm nhiệm"") to undertake (v.)"
đản	pen-blwydd	a group or flock (n.)
đảng	parti	party
đảo	ynys	an island (n.)
đấm	i ddyrnu	punch
đấng	duw	the
đất	pridd	country
đấtmặt	ddaear	datmat
đấy	yno	ignore
đầm	gwisg	swamp
đần	fud	"(term should be ""đần độn"") stupid or ignorant (adj.)"
đầu	y brig	start
đầy	llawn	"(term should be ""đầy đủ"") adequate or enough"
đẩu	pen	"(entire term is ""khoa đẩu"") ancient phonetic script used in vietnam"
đẩy	gwthio	to push
đẫm	drensio	wet
đậm	beiddgar	dense
đậu	ffa	to park (v.)
đậy	gorchudd	cover
đắc	ennill	effectively
đắm	dryllio	sink
đắn	priodoldeb	proper (dung dan)
đắng	chwerw	bitter
đắp	i fyny	"(term should be ""bù đắp"") to compensate (v.)"
đắt	drud	expensive
đằng	drosodd	back
đẳng	isometrig	equality
đặc	arbennig	"(term should be ""đặc biệt"") special (adj.)"
đặn	rheolaidd	regularly
đẹp	hardd	beautiful
đẽ	iawn	beauty
đế	gwadnau	empire
đếm	cyfrif	to count (v.)
đến	cyrraedd	come
đề	edafedd	promote
đền	deml	"(term should be ""đền thờ"") a religious shrine"
đều	yn	all
để	i	for
đệm	clustog	middle name
đỉnh	brig	the summit or peak
địch	y gelyn	enemy
định	penodedig	appointed
đọ	pitted	compete
đọan	paragraff	period
đọc	darllen	read
đọng	llonydd	deposit
đỏ	coch	red (adj.)
đốc	llywodraethwr	admiral
đối	canys	face
đốm	smotiau	spot
đốn	torri i lawr	"(term should be ""suy đốn:) to be worse off"
đống	pentwr	line
đốt	llosgi	burn
đồ	map	thing
đồi	bryn	hill
đồn	si	rumour
đồng	cyd	agreeable
đổ	sied	dump
đổi	newid	to change (v.)
đổng	dong	"(term should be ""đồng bằng"") a delta"
đỗ	wedi parcio	pass
độ	gradd	"term should actually be ""độ cao""; means ""height"""
độc	gwenwynig	alone
độn	padio	chaos
động	deinamig	action
đột	yn sydyn	"(term should be ""xung đột"") conflict (n.)"
đới	zen	tropical
đời	oes	generation
đỡ	cefnogaeth	help
đợi	aros	thigh
đợt	swp	fit
đục	afloyw	turbid
đụn	twyni	dune
đụng	cyffwrdd	encounter
đủ	digon	enough
đứa	plant	child
đức	yr almaen	virtue (n.)
đứng	sefyll	to stand (v.)
đứt	wedi torri	cut off
đừng	peidiwch â	not
đực	gwryw	male
đựng	cynnwys	suffer
đựoc	iawn	be
ĩ	o.	"(term should be ""ầm ĩ"") noisy"
ơ	o.	"(term should be ""thờ ơ"") to be indifferent (adj.)"
ơi	hei	"vietnamese equivalent of english ""oh"""
ơn	diolch	thank
ư	u	vowel sound found in the vietnamese alphabet (n.)
ưa	yn well	to like (v.)
ưng	o ie	to accept (v.)
ưu	manteision	"(term should be ""ưu việt"") preeminent (adj.)"
ươi	orang	orangutan
ươm	meithrinfa	nursery
ương	canolog	central
ướp	marinated	mummy
ướt	gwlyb	wet
ạ	syr	a word added to the end of a response to show respect to someone in a position of authority, as in a child to a parent
ạt	rhuthr	(with word o) to crowd
ải	ải	pass
ảnh	llun	picture
ấm	cynnes	warm
ấn	gwasgwch	press
ấnâu	print	"(term should be ""Ấn Âu"") a grouping of languages including european and indian languages that are thought to have originated from a single earlier language (adj.)"
ấp	pentrefan	district
ấu	ifanc	childhood
ấy	hynny	that
ẩm	llaith	humidity
ẩn	cuddio	hidden
ập	bang	rush
ắt	cadarn	sure
ếch	broga	frog
ỏi	mintys	little
ố	ooh	"(term should be ""hoen ố"") stained and smeared (adj.)"
ốc	malwod	building
ốm	yn sâl	sick
ống	pibell	tube
ốp	tangiad	omelette
ồn	sŵn	noisy (adj.)
ổ	gyrru	hard drive
ổi	guava	guava (n.)
ổn	iawn	peace
ớn	mawr	posts
ớt	chili	chili
ở	yn	at
ủ	deori	"(term should be ""ủ dột"") gloomy (adj.)"
ủi	haearn	"(term should be ""an ủi"") to comfort (v.)"
ủng	esgidiau uchel	boot
ủy	comisiynydd	commission
ứ	ydw	to pool together (v.)
ức	fron	memories
ứng	cais	corresponding
−−	−−	__
≠	≠	different
