$	usd	(dollar sign)
mécontentement	neapmierinātība	discontent
médaille	medaļa	medal
médecin	ārsts	doctor
médecine	medicīna	medicine
médecins	ārstiem	doctors
média	mediji	media
médias	mediji	medias
médiatique	mediji	media
médical	medicīniska	medical
médicale	medicīniska	medical
médicales	medicīniska	medical
médicament	narkotiku	medecine
médicaments	medikamenti	drugs
médicaux	medicīniska	medical
médicis	medicis	médicis
médiocre	nabadzīgs	poor
méditation	meditācija	meditation
méditerranée	vidusjūras	mediterranean
méditerranéen	vidusjūra	mediterranean
médiéval	viduslaiku	medieval
médiévale	viduslaiku	medieval
médiévales	viduslaiku	medieval
mélange	sajaukts	mix
mélodies	melodijas	melodies
mémoire	atmiņa	memory
mémoires	atmiņas	memories
mémorial	memoriāls	memorial
ménage	mājas darbi	household
ménages	mājsaimniecības	households
mépris	nicinājums	contempt
méridionale	dienvidu	meridionale
mérite	pelnījis	merit
métabolisme	vielmaiņa	metabolism
métal	metāls	metal
métallique	metālisks	metal
métalliques	metālisks	metal
métaphore	metafora	metaphor
métaphores	metaforas	metaphore
métaphysique	metafiziski	metaphysical
métatarse	metatarsus	metatarsus
métaux	metāli	metallic
méthane	metāns	methane
méthode	metode	method
méthodes	metodes	methods
métier	darbs	job
métiers	darījumi	trades
métrage	kadrus	film footage (court metrage=short film)
métrages	kadrus	films
métro	metro	subway
métropole	metropole	metropolis
métropoles	metropoles	metropolis
métropolitaine	lielpilsēta	metropolitan
méxico	meksika	mexico
même	pat	same
mêmes	tas pats	same
mœurs	manieres	morals
n	nē	n
na	n / a	doesn't
nadal	nadals	nadal
naissance	dzimšanas	birth
naissances	dzimšanas	births
naissent	ir dzimuši	born
nait	ir dzimis	was born
nam	nam	nam
nancy	nensija	nancy
nantais	nantes	from nantes
nantes	nantes	nantes
naples	neapole	naples
napoléon	napoleons	napoléon
napparaît	parādās	item appears
narrateur	stāstītājs	narrator
narration	stāstījums	narration
narrive	stāstījums	narrive
naruto	naruto	naruto
nasa	nasa	nasa
nash	nash	nash
natale	dzimtā	birth
natalie	natalie	natalie
natalité	dzimstība	birth rate
nation	tauta	nation
national	nacionālais	national
nationale	nacionālais	national
nationales	nacionālais	national
nationalisme	nacionālisms	nationalism
nationaliste	nacionālists	nationalist
nationalistes	nacionālisti	nationalist
nationalité	tautība	nationality
nationaux	nacionālais	national
nations	nācijas	nation
naturaliste	naturālists	naturalist
nature	daba	nature
naturel	dabiski	natural
naturelle	dabiski	natural
naturellement	dabiski	naturally
naturelles	dabiski	natural
naturels	dabiski	natural
naufrage	kuģa vraks	sinking
naurait	būtu	would not have
navaient	bija	navaient
navait	nebija	had
navale	jūras	marine
navarre	navarra	navarre
navigateur	navigators	navigator
navigateurs	pārlūkprogrammas	navigators
navigation	navigācija	navigation
navire	kuģis	ship
navires	kuģi	ship
navoir	nav	having
nayant	kam	not having
nazi	nacists	nazi
nazie	nacists	nazi
nazis	nacisti	nazis
nazisme	nacisms	nazism
naît	dzimis	was born
naître	piedzimt	born
nb	nb	note
nba	nba	nba
nbc	nbc	nbc
ne	dzimis	not
nef	nave	nave
neige	sniegs	snow
neil	neil	neil
nelson	neilons	nelson
nempêche	joprojām	doesn't prevent
nen	nen	nen
neptune	neptūns	neptune
nerveux	nervozs	nervous
nest	ligzda	nest
net	tīkls	internet
nette	skaidrs	visible
nettement	skaidri	clearly
network	tīkls	network
neuf	jauns	nine
neurones	neironi	neurons
neutralité	neitralitāte	neutrality
neutre	neitrāla	neutral
neuvième	devītais	ninth
never	nekad	never
neveu	brāļadēls	nephew
newton	ņūtons	newton
newyorkais	ņujorkietis	from new-york
nexiste	neksists	there
nez	deguns	nose
nhésite	vilcināties	not hesitate
ni	vai	neither
nice	jauki	nice
nicolas	nikolas	nicolas
nicole	nicole	nicole
nictation	nikcija	nictitation
nietzsche	nīče	nietzsche
niger	nigēra	niger
nigeria	nigērija	nigeria
night	nakts	night
nihilisme	nihilisms	nihilism
nimporte	jebkas	no other
ninja	ninja	ninja
nirvana	nirvāna	nirvana
niveau	līmenis	level
niveaux	līmeņi	levels
nixon	nixon	nixon
no	nē	no.
nobel	nobela	nobel
noble	cēls	noble
nobles	muižnieki	noble
noblesse	muižniecība	nobility
noces	kāzas	wedding
nocturne	nakts	nocturnal
noel	ziemassvētki	christmas
noir	melns	black
noire	melns	black
noires	melns	black
noirs	melns	black
nom	uzvārds	name
nombre	numuru	number
nombres	skaitļi	number
nombreuse	neskaitāmas	large
nombreuses	daudzi	many
nombreux	neskaitāmas	several
nominal	nominālais	nominal
nomination	nominācija	appointment
nominations	tikšanās	nominations
nomme	iecelts	names
nommer	iecelt	name
nommé	iecelts	nominated
nommée	nosaukts	named
nommés	iecelts	named
noms	vārdi	names
non	nē	not
nont	nevajag	nont
nonviolence	nevardarbība	non-violence
nord	ziemeļi	north
nordest	ziemeļaustrumiem	north east
nordique	ziemeļnieki	nordic
nordouest	ziemeļrietumi	northwest
nordsud	ziemeļi dienvidi	north-south
normal	normāli	normal
normale	normāli	normal
normalement	parasti	normally
norman	normens	(man's name)
normandie	normandija	normandie
norme	standarta	norm
normes	standartiem	norms
north	uz ziemeļiem	nord
norton	nortons	norton
norvège	norvēģija	norway
norvégien	norvēģi	norwegian
nos	mūsu	our
not	nē	not
notable	ievērojams	notable
notables	ievērojams	significants
notamment	īpaši	notably
notation	vērtēšana	rating
note	piezīme	note
noter	atzīmēt	note
notera	ņems vērā	note
notes	piezīmes	notes
notion	jēdziens	notion
notions	jēdzieni	notions
notons	piezīme	note
notoriété	slavenība	notoriety
notre	mūsu	our
notredame	dievmāte	notre-dame
noté	piezīme	noted
nouméa	noumea	noumea
nourrir	barot	feed
nourrit	barības	feeds
nourriture	ēdiens	food
nous	mēs	we
nouveau	jauns	new
nouveauté	jaunums	novelty
nouveaux	jauns	new
nouvel	jauns	new
nouvelle	jauns	new
nouvellecalédonie	jaunā kaledonija	new-caledonia
nouvellefrance	jaunā francija	new-france
nouvellement	tikko	newly
nouvelles	ziņas	new
nouvellezélande	jaunzēlande	new zealand
novak	novaks	novak
novembre	novembrī	november
now	tagad	now
noyau	kodols	heart
noyaux	kodoli	kernels
noël	ziemassvētki	christmas
nu	kails	naked
nuage	mākonis	cloud
nuages	mākoņi	clouds
nucléaire	kodolieroči	nuclear
nucléaires	kodolieroči	nuclear
nuit	nakts	night
nuits	naktis	nights
nul	nē	none
nulle	neko	zero
numidie	numīdijas	numidia
numérique	digitāls	digital
numériques	digitāls	numeric
numéro	numuru	number
numéros	skaitļi	numbers
n°	n °	n°
né	dzimis	born
néanmoins	tomēr	nevertheless
nécessaire	nepieciešams	necessary
nécessairement	obligāti	necessarily
nécessaires	nepieciešams	necessary
nécessitant	prasot	requiring
nécessite	vajag	needs
nécessitent	prasīt	need
nécessité	vajag	need
née	dzimis	born
néerlandais	holandiešu	dutch
néerlandaise	holandiešu	dutch
nées	dzimis	born
négatif	negatīvs	negative
négatifs	negatīvs	negative
négative	negatīvs	if not
négatives	negatīvs	negative
négligeable	niecīgs	negligible
négociations	sarunas	negociations
négocier	sarunāt	negociate
néolithique	neolīts	neolithic
nés	dzimis	born
nétaient	viņi nebija	weren't
nétait	bija	was only
nétant	būtne	not being
o	o	o
oaci	oaci	icao
oasis	oāze	oasis
obama	obama	obama
objectif	mērķis	objective
objectifs	mērķi	objectives
objet	objekts	object
objets	objekti	items
obligations	saistības	obligations
obligatoire	obligāts	mandatory
oblige	spēki	require
obligé	pienākums	obliged
observateurs	novērotāji	observers
observation	novērojums	observation
observations	novērojumi	observations
observe	novērotā	observed
observer	novērot	observe
observé	novērotā	observed
observée	novērotā	observed
observées	novērotā	observed
observés	novērotā	observed
obsèques	bēres	funeral
obtenir	gūt	obtaining
obtenu	dabūja	obtained
obtenue	iegūti	obtained
obtenus	iegūti	acquired
obtiennent	gūt	obtain
obtient	iegūst	obtains
obédiences	paklausības	persuasions
occasion	iespēju	occasion
occasionnellement	ik pa laikam	occasionally
occasions	reizes	opportunities
occident	rietumi	occident
occidental	rietumu	western
occidentale	rietumu	western
occidentales	rietumu	western
occidentaux	rietumnieki	western
occupe	aizņemts	occupies
occupent	okupēt	occupy
occuper	okupēt	occupy
occupé	aizņemts	occupies
occupée	aizņemts	occupied
occupés	aizņemts	occupied
octave	oktāva	octavius
octobre	oktobris	october
océanie	okeānija	oceania
océanique	okeāna	oceanic
océans	okeāni	oceans
offensive	aizskaroši	offensive
offert	bezmaksas	offered
officiel	ierēdnis	official
officielle	ierēdnis	official
officiellement	oficiāli	officially
officielles	ierēdnis	official
officiels	ierēdnis	official
officier	virsnieks	officer
officiers	virsnieki	officers
offrant	piedāvājot	giving
offre	piedāvājums	offer
offrent	piedāvājums	offers
offrir	piedāvāt	to present
ogm	ogm	ogm
oiseaux	putni	birds
oit	oit	oit
oliver	olivers	oliver
olivia	olīvija	olivia
olivier	olivjē	olivier or oliver
olympique	olimpiskais	olympic
olympiques	olimpiskās spēles	olympic
om	om	electromagnetic waves
on	mēs	on
oncle	tēvocis	uncle
ondes	viļņi	waves
ong	ong	ong
ono	ono	ono
ont	ir	have
onze	vienpadsmit	eleven
op	op	op
open	atvērts	open
opinion	viedoklis	opinion
opinions	viedokļi	point of view
opposant	pretstatot	opponent
opposants	pretinieki	opponents
oppose	pretī	set against
opposition	opozīcija	opposition
oppositions	opozīcijas	oppositions
opposé	pretī	resisted
opposée	pretī	opposed
opposés	pretstati	opposing
optique	optiskā	optical
optiques	optiskā	optical
opus	opuss	opus
opéra	opera	opera
opéras	operas	opera
opérateurs	operatori	operators
opération	operācija	operation
opérations	operācijas	operations
or	zelts	but
orale	mutiski	oral
orange	apelsīns	orange
orbite	orbītā	orbit
orchestre	orķestris	orchestra
ordinaire	parasts	ordinary
ordinateur	dators	computer
ordinateurs	datori	computers
ordonne	pasūtīts	orders
ordre	pasūtīt	order
ordres	rīkojumi	orders
organe	ērģeles	body
organes	orgāni	organs
organisation	organizācija	organization
organisations	organizācijas	organizations
organise	organizēts	organize
organisent	organizēt	organize
organiser	organizēt	organize
organisme	organizācija	body
organismes	organizācijas	agencies
organisé	organizēts	organized
organisée	organizēts	organized
organisées	organizēts	organized
organisés	organizēts	organised
orient	austrumos	east
oriental	austrumu	oriental
orientale	austrumu	oriental
orientales	austrumu	oriental
orientation	orientācija	guidance
originaire	dzimtā	originaire
originaires	izcelsme	originating
original	oriģināls	original
originale	oriģināls	original
originales	oriģināls	original
originaux	oriģināli	original
origine	izcelsme	origin
originel	oriģināls	original
originelle	oriģināls	original
origines	pirmsākumi	origin
orson	orsons	orson
orthodoxe	pareizticīgie	orthodox
orthodoxes	pareizticīgie	orthodox
orton	ortons	orton
os	kauls	bones
oscar	oskars	oscar
oscars	oskari	oscars
otto	otto	otto
ottoman	osmaņu	ottoman
ottomans	ottomani	ottomans
ou	vai	or
oublier	aizmirst	forget
ouest	kur ir	west
oui	jā	yes
outil	rīks	qutil
outils	darbarīki	tools
outre	sašutums	also
ouvert	atvērts	open
ouverte	atvērta	open
ouvertement	atklāti	openly
ouvertes	atvērts	open
ouverts	atvērts	open
ouverture	atvēršana	opening
ouvrage	darbs	work (as the work)
ouvrages	darbojas	works
ouvre	atvērts	open
ouvrier	strādnieks	laborer
ouvriers	strādnieki	workers
ouvrir	atvērt	debut/open
ouvrière	rūpnīcas meitene	workers'
oxford	oksfords	oxford
où	vai	where
p	lpp	p
pablo	pablo	pablo
pacifique	mierīgi	pacific
pacte	pakts	pact
page	lappuse	page
pages	lapas	pages
paiement	samaksa	payment
pain	maize	bread
paire	pāri	pair
pairs	vienaudžiem	lords
paix	miers	peace
pakistan	pakistāna	pakistan
palace	pils	palace
palais	pils	palaces
pales	asmeņi	blades
palestine	palestīna	palestine
palestiniens	palestīnieši	palestinians
palmarès	balvas	record of achievements
paludisme	malārija	malaria
paléolithique	paleolīts	paleolithic
pancréas	aizkuņģa dziedzeris	pancreas
pandémie	pandēmija	pandemic
panier	grozs	basket
panique	panika	panic
panne	saplīst	breakdown
panneaux	paneļi	panels
panorama	panorāma	panorama
panthéon	panteons	pantheon
pape	pāvests	pope
papier	papīrs	paper
paquebot	okeāna laineris	boat
par	autors	by
parade	parāde	parade
paradigme	paradigma	paradigm
paradis	paradīze	paradise
paradoxalement	paradoksāli	paradoxically
paragraphe	paragrāfs	paragraph
paraissent	parādās	are published
parallèle	paralēli	parallel
parallèlement	paralēli	at the same time
parallèles	paralēles	parallel
paramètres	iestatījumi	parameters
parasite	parazīts	parasite
parasites	parazīti	parasites
paraît	šķiet	seems
paraître	parādās	appears
parc	parks	park
parce	autors	because
parcours	protams	course
parcourt	ceļojumi	travel
parcs	parki	resorts
parent	vecāks	relative
parents	vecākiem	parents
parenté	radniecība	parenthood
parfait	ideāls	perfect
parfaite	ideāls	perfect
parfaitement	perfekti	perfectly
parfois	dažreiz	sometimes
parfum	smaržas	perfume
paris	parīze	paris
parisien	parīzietis	parisian
parisienne	parīzietis	paris
parisiens	parīzieši	paris
parité	paritāte	parity
parker	parkeris	parker
parlait	runāja	talking
parlant	runājot	speaking
parle	runā	speaks
parlement	parlaments	parliament
parlementaire	parlamenta	parliamentary
parlementaires	parlamentārieši	parliamentarian
parlent	saruna	mention
parler	saruna	to speak
parlé	runā	spoken
parlée	runāja	spoken
parlées	runāts	spoken
parmi	starp	among
parodie	parodija	parody
paroisse	draudzes	parish
parole	runa	speech
paroles	dziesmu vārdi	words
parrain	krusttēvs	godfather
part	iet	part
partage	dalīšanās	share
partagent	dalīties	share
partager	dalīties	share
partagé	dalīšanās	shared
partagée	dalīts	shared
partant	aiziešana	from
partenaire	partneris	partner
partenaires	partneri	partners
partenariat	partnerība	partnership
partent	aizbraukt	go - leave - leave
parti	pa kreisi	party
participant	dalībnieks	entry
participants	dalībnieki	participants
participation	dalība	participation
participe	piedalīties	participates
participent	piedalīties	participent
participer	piedalīties	participate
participé	piedalījās	took part in
particularité	īpatnība	feature
particularités	īpatnības	specific aspects
particules	daļiņas	particles
particulier	īpaši	particular
particuliers	indivīdi	individuals
particulière	īpaši	specific
particulièrement	īpaši	particularly
particulières	īpaši	special
partie	daļa	part
partielle	daļējs	partial
partiellement	daļēji	partly
