$	dollar təşkil edib	dollarsign
pennsylvania	pennsylvania	pennsylvania
people	xalq	mensen
pepijn	ağrılar	pepin
per	başına	a
percentage	faiz	percentage
perfect	mükəmməl	perfect
performance	performans	performance
period	dövrü	period
periode	müddət	period
perioden	dövrlər	periods
periodes	dövrlər	periods
periodiek	dövri	periodically
perkamentus	dumbledore	dumbledore
permanent	daimi	permanent
permanente	daimi	permanent
pers	mətbuat	press
persconferentie	press konfrans	press conference
personage	xarakteri	character
personages	simvol	characters
personeel	heyət	staff
personen	şəxslər	persons
persoon	şəxs	person
persoonlijk	şəxsən	personal
persoonlijke	şəxsi	personal
persoonlijkheid	şəxsiyyət	personality
persoonlijkheidsstoornis	şəxsiyyət pozğunluğu	personality disorder
perspectief	perspektiv	perspective
peru	peru	peru
peruaanse	peruviya	peruvian
perzisch	fars	persian
perzische	fars	persian
perzië	persia	persia
pest	qara ölüm	pest
pet	qapaq	pet
pete	pete	pete
peter	peter	peter
petrelli	benzin	petrelli (proper noun - surname)
petroglief	petroqlif	petroglyphs
petrus	peter	petrus
peyton	peyton	peyton
ph	ph	ph
philip	philip	philip
philipp	filipp	philipp
philippe	filipp	philippe
philips	philips	philips
phillips	phillips	philips
phoenix	feniks	phoenix
pi	pi	pi
pianist	pianist	pianist
piano	fortepiano	piano
picasso	pikasso	picasso
picchu	picchu	picchu
pico	piko	pico
piece	hissə	piece
pier	körpü	pier
piercing	pirsinq	piercing
piercings	pirsinq	piercings
pierre	pierre	pierre
piet	pəhriz	piet
pieten	pieten	peter
pieter	pieter	pieter
pietro	pietro	pietro
pijn	ağrı	pain
pijnlijk	ağrılı	painful
pijnlijke	ağrılı	painful
pilatus	pilatus	pilate
piloot	pilot	pilot
pim	pim	pim
pink	kiçik barmaq	pink
pinksteren	əllinci gün	ascension
pippi	pippi	pippi
piramide	piramida	pyramid
piramiden	piramidaları	pyramids
piramides	piramidaları	pyramids
pirate	pirat	pirate
pisang	pisang	banana
pitt	pitt	pitt
pius	pius	pius - proper noun
pk	at gücü	horsepower (hp)
plaat	boşqab	plate
plaats	yer	place
plaatse	ləkə	on the spot
plaatselijk	yerli	local
plaatselijke	yerli	local
plaatsen	yer	positions
plaatsgevonden	meydana gəldi	took place
plaatsje	qəsəbə	small town
plaatst	yerlər	posts
plaatste	yerləşdirilib	put
plaatsvinden	yer almaq	take place
plaatsvindt	baş verir	takes place
plaatsvond	meydana gəldi	took place
plafond	tavan	ceiling
plan	plan	plan
planeet	planet	planet
planeten	planetlər	planets
plannen	plan	plans
planning	cədvəli	planning
plant	bitki	plant
plantages	əkinlər	plantation
planten	bitkilər	plants
plantensoorten	bitki növləri	plant species
plassen	soymaq	puddles
plastic	plastik	plastic
plat	düz	patois
plateau	yaylası	plateau
platen	plitələr	records / layers
platenlabel	rekord etiket	record label
platenmaatschappij	rekord şirkət	record company
platentektoniek	plitə tektonikası	plate tectonics
platform	platforma	platform
platina	platin	platinum
platte	düz	flat
platteland	ölkə	countryside
play	oynamaq	on
player	pleyer	player
playstation	oyun stansiyası	playstation
plaza	plaza	plaza
pleegde	törədilmiş	commited
plegen	törətmək	commit
plein	kvadrat	plain
pleinen	meydanlar	plains
plek	yer	place
plekken	ləkələr	places
plezier	zovq	fun
plichten	vəzifələri	obligations
ploeg	şumlamaq	team
ploegen	şumlama	teams
plot	süjet	plot
plotarea	planareya	plot area
plotdata=	plotdata =	plotdata
plotseling	birdən	suddenly
plotselinge	qəfil	sudden
plus	üstəgəl	plus
po	po	po
podium	mərhələ	podium
poes	pişik	poes - proper noun - in 1st sentence, cat in 2nd sentence
poging	cəhd	attempt
pogingen	cəhdlər	attempts
point	nöqtə	point
points	xallar	points
poker	poker	poker
pokémon	pokémon	pokemon
polders	qovluqlar	polders
polen	polşa	poland
police	polis	police
politici	siyasətçilər	polititians
politicus	siyasətçi	politician
politie	hüquq-mühafizə	police
politiek	siyasət	politics
politieke	siyasi	political
polo	polo	polo
poly	poli	poly
pompeius	pafoslu	pompey
pompen	nasoslar	pump
pont	bərə	ferry
pony	pony	pony
pools	polyak	polish
poolse	cilalamaq	polish
poort	qapısı	gate
poorten	qapıları	gates
poot	ayaq	leg
pop	kukla	pop
popart	pop sənəti	popart
popmuziek	pop musiqi	pop music
populair	məşhur	popular
populairder	daha populyar	more popular
populaire	məşhur	popular
populairste	ən məşhur	most popular
populariteit	populyarlıq	popularity
populatie	əhali	population
populaties	əhali	populations
pornografie	pornoqrafiya	pornography
port	liman şərabı	port
portaal	portal	portal
porto	poçt	porto
portret	portret	portret
portretten	portretləri	portraits
portugal	portuqaliya	portugal
portugees	portuqalca	portuguese
portugese	portuqalca	portuguese
portugezen	portuqalca	portuguese
pos	pos	pos
positie	mövqe	position
positief	müsbət	positive
posities	vəzifələr	positions
positieve	müsbət	positive
post	post	post
postuum	ölümündən sonra	posthumous
poten	ayaqları	legs
potentieel	potensial	potential
potentiële	potensial	potential
potomac	potomac	potomac
potter	dulusçu	potter
power	güc	kracht - 3rd sentence, power - proper noun
poëzie	şeir	poetry
praag	praqa	prague
praagse	praqa	prague
prachtige	qəşəng	beautiful
praktijk	təcrübə	practice
praktijken	təcrübələri	practices
praktisch	praktik	practical
praktische	praktik	practical
praten	danışmaq	to talk
precies	tam olaraq	precisely
precieze	dəqiq	precise
prehistorie	tarixdən əvvəlki	prehistory
premier	baş nazir	prime minister
premiers	baş nazirlər	prime ministers
première	premyerası	premiere
presentatie	təqdimat	presentation
presentator	aparıcısı	presenter
presentatoren	aparıcılar	presenters
presenteerde	təqdim etdi	presented
president	prezident	president
presidenten	prezidentlər	presidents
presidentschap	prezidentlik	presidency
presidentsverkiezingen	prezident seçkiləri	presidential elections
presley	qabıq	presley
prestatie	performans	performance
prestaties	performans	achievements
prestigieuze	nüfuzlu	prestigious
preventie	qarşısının alınması	prevention
priem	avaz	prime
priemgetal	əsas sayı	prime number
priemgetallen	baş nömrələr	primes
priester	keşiş	priest
priesters	keşişlər	priests
prijs	qiymət	price
prijzen	qiymətlər	prices
prikkels	təşviqlər	incentives
primair	ibtidai	primair
primaire	ibtidai	primary
primaten	primatlar	primates
primera	primera	primera
primitieve	ibtidai	primitive
prince	şahzadə	prince
principe	prinsipi	principle
principes	prinsipləri	principles
prins	şahzadə	prince
prinses	şahzadə	princess
prison	həbsxana	prison
private	özəl	private
privileges	imtiyazlar	privileges
privéleven	şəxsi həyat	private life
prix	prix	prix
pro	pro	pro
probeerde	çalışdı	tried
probeerden	çalışdı	tried
probeert	çalışır	tries
proberen	cəhd etmək	to try
probleem	problem	problem
problematiek	problemlər	problematics
problemen	məsələlər	problems
procedure	proseduru	procedure
procedures	prosedurlar	procedures
procent	faiz	percent
proces	proses	process
processen	proseslər	processes
prodigy	xəsislik	prodigy (wonder)
produceerde	istehsal olunur	produced
produceert	istehsal edir	produced
producent	istehsalçı	producer
producenten	istehsalçıları	producers
producer	istehsalçı	producent
produceren	istehsal edir	produce
product	məhsul	product
producten	məhsullar	products
productie	istehsal	production
proeven	dadına baxın	tasting
prof	prof	prof
profeet	peyğəmbər	prophet
professioneel	peşəkar	professional
professionele	peşəkar	professional
professor	professor	professor
profeten	peyğəmbərlər	prophets
profiel	profil	profile
programma	proqramı	program
programmas	proqramlar	programs
progressieve	mütərəqqi	progressive
project	layihə	project
projecten	layihələr	projects
prominente	görkəmli	prominent
promoten	təşviq etmək	to promote
promotie	təşviqi	promotion
prooi	yırtıcı	capture
prooidieren	yırtıcı heyvanlar	prey
prooien	yırtıcı	prey
propaganda	təbliğat	propaganda
prostitutie	fahişəlik	prostitution
protest	etiraz	protest
protestanten	etirazçılar	protestants
protestantisme	protestantizm	protestantism
protestants	protestant	protestant
protestantse	etirazçı	protestant
protesten	etirazlar	protests
protocol	protokolu	protocol
provinciale	vilayət	provincial
provincie	vilayət	province
provincies	əyalətlər	provinces
provinciën	əyalətlər	municipalities
provocatus	təxribat	provocatus
proxyserver	proxy server	proxyserver
pruisen	prussiya	prussia
pruisische	prussiya	prussian
ps	ps	ps
psv	psv	psv
psychiatrische	psixiatrik	psychiatric
psychisch	psixoloji cəhətdən	psychological
psychische	psixi	psychic
psychoanalyse	psixoanaliz	psychoanalysis
psychologie	psixologiya	psychology
psychologische	psixoloji	psychological
psychose	psixoz	psychose
psychotische	psixotik	psychotic
ptolemaeus	ptolemiya	ptolomy
puberteit	cinsi yetkinlik	puberty
public	ictimai	public
publicatie	nəşr	publication
publicaties	nəşrlər	publications
publiceerde	nəşr olundu	published
publiceren	dərc etmək	to publice
publiciteit	aşkarlıq	publicity
publiek	tamaşaçı	public
publieke	ictimai	public
publiekelijk	ictimaiyyətə	publicly
puerto	puerto	puerto
punk	punk	punk
punt	nöqtə	point
punten	xallar	points
pure	təmiz	pure
puur	təmiz	just
pvda	pvda	pvda
pvv	pvv	pvv - abbreviation of a dutch political party
pyreneeën	pyrenees	pyrenees
pythagoras	pifaqoralar	pythagoras
pänchen	pänchen	pänchen
q	q	g
qua	qua	by
quarto	quarto	quarto
que	que	que
queen	kraliça	queen
queens	kraliçalar	queens
quod	quod	quod
québec	québec	québec
r	r	r
ra	ra	ra
raad	nəsihət	court
raakt	toxunur	becomes
raakte	vurdu	got
raakten	vurdu	got
race	irqi	race
races	yarışları	races
rachel	raxil	rachel
racisme	irqçilik	racism
raden	tahmin etmək	recommended
radicaal	radikal	radical
radicale	radikal	radical
radio	radio	radio
radioactieve	radioaktiv	radio-active
rafael	rafael	rafael
raid	basqın	raid
raken	toxunmaq	hitting
ramadan	ramazan	ramadan
ramen	windows	windows
ramp	fəlakət	disaster
rampen	fəlakətlər	disasters
ranch	ranch	ranch
rand	kənar	edge
randen	kənarları	edges
randstad	randstad	randstad
rang	rütbə	rang
rangen	sıralar	ranks
ranglijst	sıralaması	ranking
rap	rap	rap music
rapper	rapçi	rapper
rapport	hesabat	report
rare	qəribə	weird
ras	irqi	breed
rassen	növlər	races
rat	siçovul	council  (1st sentence- german word!), rat (2nd and 4th sentence)
ratten	siçovullar	rats
rattenstaarten	siçovul quyruqları	rattails
ray	şüa	ray
raymond	raymond	raymond
reactie	cavab	reaction
reacties	reaksiyalar	reactions
reagan	reagan	reagan
reageerde	cavab verdi	responded
reageerden	cavab verdi	reacted
reageert	cavab verir	reacts
reageren	şərh	react
real	real	real
realiseren	dərk etmək	realize
realisme	realizm	realism
realistisch	realist	realistic
realistische	realist	realistic
realiteit	reallıq	reality
rebellen	üsyançılar	rebels
recent	yaxınlarda	recent
recente	yaxınlarda	recent
recentelijk	bu yaxınlarda	recently
receptoren	reseptorları	receptors
recessie	tənəzzül	recession
recht	düz	justice
rechtbank	məhkəmə	court
rechte	düz	straight
rechten	hüquqları	rights
rechter	hakim	judge
rechterlijke	məhkəmə	judicial
rechters	hakimlər	judges
rechts	sağ	right
rechtse	sağ qanad	right
rechtspraak	yurisdiksiyası	jurisdiction
rechtstreeks	birbaşa	directly
rechtstreekse	birbaşa	direct
rechtszaak	dava	action
rechtszaken	davalar	lawsuits
rechtvaardigheid	ədalət	justice
reclame	reklam	advert
record	qeyd	record
records	qeydlər	records
recreatie	istirahət	recreation
red	ed	red (part of proper noun - brand name)
redactie	redaksiya	editorial office
redden	xilas etmək	save
redding	xilasetmə	salvation
reddingssloepen	həyat gəmiləri	lifeboat
rede	səbəb	reason
redelijk	məqbul	reasonably
reden	səbəb	reason
redenen	səbəbləri	reasons
reductie	azalma	reduction
reed	sürdü	traveled/ drove
reeds	onsuz da	already
reeks	seriyası	series
reeksen	seriyası	series
refereert	aiddir	refers
referendum	referendum	referendum
referenties	istinadlar	references
reformatie	islahat	reformation
regeerde	hökm sürür	reigned
regeerperiode	hökmranlıq etmək	reign
regel	qayda	rule
regelen	təşkil etmək	regulate
regelgeving	qaydalar	regulations
regeling	tənzimləmə	regulation
regelmaat	nizamlılıq	regularly
regelmatig	müntəzəm olaraq	regularly
regelmatige	müntəzəm	regularly
regels	qaydalar	rules
regen	yağış	rain
regent	yağış yağır	regent
regenten	regents	regents
regenval	yağış	rainfall
regenwoud	yağış meşəsi	rainforest
regeren	idarə etmək	to rule
regerende	hökm	ruling
regering	hökumət	government
regeringen	hökumətlər	governments
regeringsleider	hökumət başçısı	head of government
regie	i̇stiqamət	control
regime	rejim	regime
regiment	alay	regiment
regimes	rejimlər	regimes
regio	bölgə	region
regionaal	regional	regional
regionale	regional	regional
regios	bölgələr	regions
regisseur	direktor	director
registratie	qeydiyyatı	registration
reguliere	müntəzəm	regular
reis	səyahət	voyage
reisde	səyahət etdi	travelled
reist	səyahət edir	travels
reizen	səyahət etmək	travels
reizigers	səyahətçilər	travelers
rekenen	hesablamaq	reckon
rekening	hesabı	account
relatie	münasibətlər	relation
relatief	nisbətən	relative
relaties	münasibətlər	relationships
relatieve	nisbi	relative
relativiteitstheorie	nisbiilik nəzəriyyəsi	relativity theory
release	buraxmaq	release
relieken	qalıqları	relics
religie	din	religion
religies	dinlər	religions
religieus	dindar	religious
religieuze	dindar	religious
reliëf	relyef	relief
rellen	iğtişaşlar	riots
rembrandt	rembrandt	rembrandt
remix	remix	remix
remix||||||||||	remiks ||||||||||	remix
remmen	əyləc	tobrake
renaissance	i̇ntibah	renaissance
rendement	səmərəlilik	output
rente	maraq	interest
rené	rené	rené
reologie	reoloji	do not even know this word in dutch!
repertoire	repertuarı	repertoire
representatieve	nümayəndəsi	representative
reptielen	sürünənlər	reptiles
republiek	respublika	rebublic
republieken	respublikalar	republicans
republikeinen	respublikaçılar	republicans
republikeinse	respublika	republican
reputatie	nüfuz	reputation
research	tədqiqat	onderzoek
reserve	ehtiyat	reserve
reserves	ehtiyatlar	reserves
reservoir	su anbarı	reservoir
residentie	yaşayış yeri	residence
resistentie	müqavimət	resistention
resolutie	görüntü imkanı	resolution
resoluties	qətnamələr	resolutions
resp	resp	respectively
respect	hörmət	respect
respectievelijk	müvafiq olaraq	respectively
rest	istirahət	rest
restanten	qalıqları	remains
restaurant	restoran	restuarant
restaurants	restoranlar	restaurants
restauratie	bərpa	restauration
resten	qalır	remainings
resterende	qalan	remaining
resultaat	nəticə	result
resultaten	nəticələr	results
resulteerde	nəticələndi	resulted
resulteert	nəticələr	results
return	qayıtmaq	return (terugkeren)
reusachtige	böyük	giant
revolutie	inqilab	revolution
revolution	inqilab	revolution
revolutionaire	inqilabçı	revolutionary
reykjavik	reykjavik	reykjavic
reële	real	real
reïncarnatie	reenkarnasiya	reincarnation
rica	rika	rica
ricardo	rikardo	ricardo
richard	zəngin	richard
richards	zənginlər	richards
richmond	zəngin	richmond
richt	məqsədi	conducts
richten	hədəf almaq	aim
richting	istiqamət	direction
richtingen	istiqamətləri	directions
richtlijn	direktiv	direction
richtlijnen	qaydalar	guidelines
richtte	işarə etdi	directed
richtten	işarə etdi	focused
rico	riko	rico
ridder	cəngavər	knight
ridders	cəngavərlər	knights
riep	səsləndi	called
rifles	tüfənglər	rifles
riga	riqa	riga
right	sağ	right
rihanna	rihanna	rihanna
rij	növbə	in a row
rijden	sürmək	ride
rijdt	sürücülər	rides
rijen	satırlar	rows
rijk	zəngin	kingdom
rijkdom	sərvət	richess
rijkdommen	sərvət	resources
rijke	zəngin	rich
rijken	zəngin	riches
rijksdag	reyxstaq	parliament
rijksmonumenten	milli abidələr	state monuments
rijksmuseum	rijksmuseum	national museum
rijkste	ən varlı	richest
rijksuniversiteit	milli universitet	state university
rijn	reyn	rhine
rijnland	rineland	rijnland
rijst	düyü	rice
rik	rik	rik
ring	üzük	ring
ringen	üzüklər	ring
ringweg	dairəvi yol	ring
rinus	rinus	rinus
rio	rio	rio
risico	risk	risk
risicos	risklər	risks
rit	sürmək	tour
ritme	ritm	rhythm
rituele	ritual	ritual
rituelen	rituallar	rituals
