$ tỉ	милиард долара	$ billion
protein	протеинът	protein
prôtêin	протеин	protein (n.)
ps	к.с.	ps
psv	псв	psv
ptolemy	птолемей	ptolemy
ptq	ptq	ptq
puerto	пуерто	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	пулицър	(proper noun) pulitzer, as in the pulitzer prize
pulp	пулп	pulp
punjab	пенджаб	punjab
pusan	пусан	(proper noun) pusan
putin	путин	putin
pyrenees	пиринеите	pyrenees
pytago	pytago	(proper noun) pytago
pzl	pzl	pzl
péc	печ	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	перес	(proper noun) perez, as in javier perez de cuellar
păng	спазъм	fansipan
pơ	po	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	р	q ( a letter)
qatar	катар	qatar
qd	qd	quantum dots
qing	цин	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	от	transmit
quad	куадро	quad
quan	quan	"(term should be ""quan hệ"") relationship (n.)"
quang	оптичен	bladder
quanh	около	around
quay	оказа	turn
que	пръти	stick
queen	кралица	queen
queens	кралици	(proper noun) queens, as in the new york borough
queensland	куинсланд	queensland
quen	запознат	accustomed to
qui	куай	formal
quincy	куинси	(proper noun) quincy, as in quincy jones
quran	коран	quran
quy	правилник	"(term should be ""quy ước"") agreement"
quyên	фундаменти	"(term should be ""quyên góp"") to donate (v.)"
quyến	чар	"(term should be ""gia quyến"") family"
quyền	разрешение	right
quyện	поговори	mix
quyệt	коварен	"(should be ""xảo quyệt"") devious"
quá	също	over
quái	сган	strange or odd
quán	бар	hometown
quáng	сляп	blind
quát	извика	generalize
quân	quan	army (n.)
quãng	ок	optical
quét	да сканирам	to sweep (v.)
quê	село	countryside
quên	забравям	forget
quý	скъпоценен	love
quýt	мандарина	tangerine
quăng	хвърляне на чоп	to throw (v.)
quĩ	фонд	orbit
quạ	врани	crow (con qua)
quạt	фен	fan
quản	уреждащо	"(entire term is ""cai quản"") to manage"
quảng	промо	guangzhou
quấn	обвивка	wrap around
quất	кумкуат	whip
quấy	раздвижване	harass
quần	панталони	pants (n.)
quầng	ореол	halo
quầy	брояча	stall
quẩy	люлеещ	quay
quẫn	нещастен	necessitous
quận	област	county (n.)
quật	разкопки	excavation
quẳng	хвърляне на чоп	throw
quặc	странен	strange (adj.)
quặng	руда	an ore (n.)
quẻ	хексаграма	hexagram
quế	канела	cinnamon (n.)
quết	измет	knead
quệ	беден	exhausted
quỉ	дявола	demon
quỳ	коленичат	demon (n.)
quỳnh	куин	quynh
quỵ	удар	stroke
quỷ	дявола	provided
quỹ	фонд	fund
qúy	тримесечие	quy
r	r	r
rabindranath	рабиндранат	rabindranath
race	раса	race
rafael	рафаел	rafael
rafale	rafale	(proper noun) rafale, as in dassault rafale
rai	рай	slowly intake
raleigh	роли	raleigh
ralph	ралф	(proper noun) ralph, as in ralph waldo emerson
ram	овен	a name
rama	рама	rama, first name of several rulers of thailand (n.)
ramadan	рамазан	(proper noun) the fasting month of ramadan
ramayana	рамаяна	ramayana
rambus	rambus	rambus
ran	завтече	ran
ranch	ранчо	ranch
randy	шумен	randy
rang	звънна	roast
rangers	рейнджърс	rangers
ranh	граница	border (ranh gioi)
rao	реклама	to announce
rap	рап	rap
raptor	граблива птица	raptor
rate	скорост	rate
rau	зеленчук	vegetable
ray	лъч	rail (n.)
raya	рая	raya
raymond	реймънд	raymond
rađa	радар	radar
reagan	рейгън	reagan
real	реален	real
reanimation	реанимация	reanimation
reap	жъна	reap
reef	риф	reef
regia	царска вода	regia
reichelt	reichelt	reichelt
ren	дантела	lace (n.)
renaissance	ренесанс	renaissance
renault	renault	renault
rené	рене	rene
reo	пръстен	yell
reserve	резерват	reserve
resort	курорт	resort
reverse	обратен	reverse
revolution	революция	revolution
rey	rey	rey, as in copa del rey
rfid	rfid	rfid
rhodes	родос	rhodes
rica	рика	rica
ricardo	рикардо	ricardo
ricci	ricci	ricci
richard	ричард	richard
richardson	ричардсън	(proper noun) richardson, as in james o. richardson
richie	ричи	(proper noun) richie, as in singer lionel richie
rico	рико	rico, as in puerto rico
riemann	риман	riemann, as in bernhard riemann, a german mathematician
rimjob	rimjob	rimjob
rin	рин	rin
rising	нарастващ	rising
risk	риск	risk
ritchie	ричи	a name
rivaldo	ривалдо	rivaldo
rivière	rivière	a name
rizal	ризал	rizal
riêng	частен	own
riêu	rieu	crab
riết	riet	urgently
riềng	galangal	arrowroot
ro	ро	"entire term is ""rui ro""; means ""risk"""
robert	робърт	(proper noun) robert
roberto	роберто	(proper noun) roberto
roberts	робъртс	roberts
robespierre	робеспиер	robespierre
robin	червеношийка	a name
robinson	робинсън	robinson, as in michelle robinson
rockefeller	рокфелер	rockefeller, as in john d. rockefeller
roddick	родик	(proper noun) roddick
rodríguez	родригес	rodriguez (n.)
roi	прът	a stick or switch used for punishment (n.)
roland	роланд	roland
romania	румъния	romania
rome	рим	rome, as in rome, italy
romeo	ромео	(proper noun) romeo, as in romeo and juliet
rommel	ромел	rommel
ron	рон	ron
ronald	роналд	ronald, an english first name
ronaldinho	роналдиньо	ronaldinho
rong	водорасли	seaweed (n.)
rosen	росен	rosen, as in nathan rosen
roth	рот	roth
rotterdam	ротердам	(proper noun) rotterdam
rousseau	русо	rousseau
router	рутер	cong noi
rovers	роувърс	rovers
rowling	роулинг	rowling
roy	рой	(proper noun) roy, a name
rpd	рпу	rpd
rtp	rtp	rpt
rudolph	рудолф	rudolph
rue	рю	rue, as in rue des vases, a street name
rulin	rulin	(proper noun) rulin
rumani	румънски	romanian
rumiko	rumiko	rumiko, a japanese first name
rummel	rummel	rummel
run	тичам	tremble
rung	клатя	to shake or vibrate (v.)
russian	руски	(proper adjective) russian
russkaya	руская	(proper noun) russkaya avionika
ruth	състрадание	(proper noun) ruth
rutherford	ръдърфорд	rutherford
rutte	рюте	rutte
ruud	рууд	ruud
ruốc	скарида	pemmican
ruồi	мухи	fly
ruổi	ruoi	rong ruổi=wandering
ruộng	оризово поле	"(term should be ""ruộng đất"") farmland (n.)"
ruột	черво	internals
rzeczpospolita	rzeczpospolita	rzeczpospolia
rà	разгледайте	finding
ràng	ясно	clear
rành	гладък	exhaustive
rào	ограда	barrier
rác	боклук	gabbage-trash
rách	разкъсан	tear
rái	видра	colander
rán	дребна риба	fried (adj.)
ráp	монтаж	to assemble (v.)
râm	сенчест	shade
râu	брада	beard or mustache (n.)
rã	гниене	out
rãi	поправям	"(term should be ""rộng rãi"") generous"
rãnh	изкоп	groove
räikkönen	райконен	raikkonen
rèm	завеса	curtain
rèn	коване	train
ré	писък	re
république	république	republique
rét	студ	cold
rê	влача	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	хленчене	moan
rêu	мъх	moss
rì	шепнещ	lush (adj.)
rìa	ръб, край	edge
rình	шпионин	to watch for
rìu	брадва	ax
rít	съскане	to wail (v.)
rò	изтичане	leak
ròng	нето	net
rót	поливане	to pour (v.)
rô	кариран	diamond
rôbôt	робот	robot
rôma	рим	roman
rông	кух	rising (adj.)
rõ	ясно	clear
rùa	костенурка	turtle
rùng	зловещ	horror
rút	оттегли	withdraw
răn	заповед	commandment
răng	зъб	roasted
rōmaji	ромаджи	romaji
rũ	съблазнителен	charm
rơ	кола	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	падане	fall
rơm	слама	straw
rươi	те	sand-worm
rước	шествие	welcome
rưới	пръскам	to sprinkle (v.)
rưỡi	наполовина	half
rượt	гонитба	pursue
rượu	алкохол	wine
rạ	сламен покрив	straw
rạc	отделен	discrete
rạch	канал	canal
rạng	разсъмване	break
rạp	театри	theater
rải	разпръснат	spread
rảnh	безплатно	to be free (adj.)
rất	много	very
rầm	подпора	aggressive
rầu	тъжен	sorrow
rẫy	култивиране	full
rậm	гъст	jungle
rập	арабски	"(term should be ""Ả rập"") arab"
rắc	пръскам	trouble
rắn	змия	snake
rằm	пълнолуние	a full moon (n.)
rằng	че	roasted
rặng	скалата	a row
rẻ	евтин	cheap
rẽ	завъртете	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	стон	pealed
rể	зет	in-law
rễ	кореноплодни	root (n.)
rệp	буболечка	bug
rệt	произнесе	clearly
rệu	тъй вярно	decay
rỉ	ръжда	leak
rịavũng	рива	ria - bay
rỏ	ясно	clearly
rối	заплетени	disorder
rốm	мътен	rom
rồ	луд	"(term should be ""điên rồ"") foolish (adj.)"
rồi	вече	and
rồng	дракон	dragon
rổ	кошница	basket
rỗi	безплатно	savation
rỗng	кух	hollow
rộ	суматоха	profuse (adj.)
rộn	зает	busy
rộng	широк	wide
rớt	падане	drop
rời	наляво	leave
rỡ	блестящ	brilliant
rợ	варвари	a savage (n.)
rợn	зловещ	scary
rụng	навес	to drop
rủ	каня	ask
rủi	злополука	unlucky or unfortunate (n.)
rứa	rua	rua
rừng	гора	forest
rửa	мия	to wash (v.)
rữa	мия	to decompose or rot (v.)
sa	sa	to fall or drop (v.)
sabah	сабах	sabah
sachsen	sachsen	sachsen
saddam	саддам	(proper noun) saddam, as in saddam hussein
safari	сафари	safari
safin	сафин	safin
sahara	сахара	sahara
sai	погрешно	wrong
saigon	сайгон	saigon
saintdenis	сен дени	saint-denis
sakura	сакура	sakura
salem	салем	(proper noun) salem, as in the city
salvador	салвадор	salvador
salzburg	залцбург	salzburg
samhain	samhain	samhain
samo	samo	samo, the name of the first slavic ruler
samoa	самоа	(proper noun) samoa
samphan	samphan	samphan
samsung	samsung	samsung
samuel	самуел	samuel
samuelson	самюелсън	(proper noun) samuelson
samurai	самурай	samurai
samut	самут	(proper noun) samut, as in samut prakan in thailand
san	сан	level
sanchez	санчес	sanchez
sang	да се	to
sango	санго	sango, a language spoken in africa
sangraal	sangraal	sangraal
sanh	раждане	bear
sanktpeterburg	sanktpeterburg	sankt-peterburg
santos	сантос	santos, as in footballer cristiano ronaldo dos santos aveiro of portugal
sao	звезда	how
sap	сок	sap
sapa	сапа	sapa
sapiens	сапиенс	sapiens
sar	сар	sar
sarah	сара	sarah, as in sarah pierce
sarawak	саравак	(proper noun) sarawak, a malaysian state on the island of borneo
sarcoma	саркома	sarcoma
sardinia	сардиния	sardinia
sary	димо	(proper noun) sary, as in ieng sary
saturanga	saturanga	saturanga
saturday	събота	saturday
sau	след	after (adv.)
saudi	саудитска	(proper noun) saudi, as in saudi arabia
saunière	сониер	saunière
scandinavia	скандинавия	scandinavia
