$	ps	dollars
провеждането	conductible	conducting
провеждат	conducta	held
проверка	cheque	check
провинции	provincias	provinces
провинциите	las provincias	provinces
провинция	provincia	province
провинцията	la provincia	province
проводник	conductor	conductor
проводници	conductores	wires
провъзгласен	proclamado	proclaimed
провъзгласява	proclama	proclaims
програма	programa	program
програмата	el programa	program
програми	programas	programs
прогрес	progreso	progres
прогресивна	progresivo	progressive
продава	en venta	sale
продават	vender	sell
продадени	vendido	sold
продажби	ventas	sales
продукт	producto	product
продукти	productos	products
продуктите	productos	products
продукция	productos	production
продукцията	producción	production
продуцент	productor	producer
продължава	continúa	continues
продължават	seguir	continues
продължат	seguir	continue
продължение	continuado	continuation
продължи	seguir	continue
продължил	continuado	continued
продължило	continuado	continued
продължителна	prolongado	continuous
продължителни	prolongado	continuous
продължително	por mucho tiempo	continually; continual
продължителността	la duración	span
проект	proyecto	project
проекта	proyecto	project
проекти	proyectos	projects
проектиран	diseñado	designed
проектът	el proyecto	the project
прозвището	el sobrenombre	nickname
прозорец	ventana	window
прозорци	ventanas	windows
прозрачна	transparente	transparent
произведен	producido	produced
произведени	producido	produced
произведение	trabajo	work
произведението	la obra	creating
произведения	trabajos	works
произведенията	los trabajos	works
произвежда	produce	produces
произвеждат	produce	manufacture
производител	fabricante	producer
производители	fabricantes	producers
