$	ps	dollarsign
praktijk	práctica	practice
praktijken	practicas	practices
praktisch	práctico	practical
praktische	práctico	practical
praten	hablar	to talk
precies	exactamente	precisely
precieze	preciso	precise
prehistorie	prehistoria	prehistory
premier	primer ministro	prime minister
premiers	primeros ministros	prime ministers
première	estreno	premiere
presentatie	presentación	presentation
presentator	presentador	presenter
presentatoren	presentadores	presenters
presenteerde	presentado	presented
president	presidente	president
presidenten	presidentes	presidents
presidentschap	presidencia	presidency
presidentsverkiezingen	elecciones presidenciales	presidential elections
presley	presley	presley
prestatie	actuación	performance
prestaties	actuación	achievements
prestigieuze	prestigioso	prestigious
preventie	prevención	prevention
priem	punzón	prime
priemgetal	número primo	prime number
priemgetallen	números primos	primes
priester	sacerdote	priest
priesters	sacerdotes	priests
prijs	precio	price
prijzen	precios	prices
prikkels	incentivos	incentives
primair	primario	primair
primaire	primario	primary
primaten	primates	primates
primera	primera	primera
primitieve	primitivo	primitive
prince	príncipe	prince
principe	principio	principle
principes	principios	principles
prins	príncipe	prince
prinses	princesa	princess
prison	prisión	prison
private	privado	private
privileges	privilegios	privileges
privéleven	vida privada	private life
prix	premio	prix
pro	pro	pro
probeerde	intentó	tried
probeerden	intentó	tried
probeert	intentos	tries
proberen	intentar	to try
probleem	problema	problem
problematiek	problemas	problematics
problemen	cuestiones	problems
procedure	procedimiento	procedure
procedures	procedimientos	procedures
procent	por ciento	percent
proces	proceso	process
processen	procesos	processes
prodigy	prodigio	prodigy (wonder)
produceerde	producido	produced
produceert	produce	produced
producent	productor	producer
producenten	productores	producers
producer	productor	producent
produceren	produce	produce
product	producto	product
producten	productos	products
productie	producción	production
proeven	gusto	tasting
prof	profe	prof
profeet	profeta	prophet
professioneel	profesional	professional
professionele	profesional	professional
professor	profesor	professor
profeten	profetas	prophets
profiel	perfil	profile
programma	programa	program
programmas	programas	programs
progressieve	progresivo	progressive
project	proyecto	project
projecten	proyectos	projects
prominente	prominente	prominent
promoten	promover	to promote
promotie	promoción	promotion
prooi	presa	capture
prooidieren	animales de presa	prey
prooien	presa	prey
propaganda	propaganda	propaganda
prostitutie	prostitución	prostitution
protest	protesta	protest
protestanten	protestantes	protestants
protestantisme	protestantismo	protestantism
protestants	protestante	protestant
protestantse	protestante	protestant
protesten	protestas	protests
protocol	protocolo	protocol
provinciale	provincial	provincial
provincie	provincia	province
provincies	provincias	provinces
provinciën	provincias	municipalities
provocatus	provocatus	provocatus
proxyserver	servidor proxy	proxyserver
pruisen	prusia	prussia
pruisische	prusiano	prussian
ps	pd	ps
psv	psv	psv
psychiatrische	psiquiátrico	psychiatric
psychisch	psicologicamente	psychological
psychische	psíquico	psychic
psychoanalyse	psicoanálisis	psychoanalysis
psychologie	psicología	psychology
psychologische	psicológico	psychological
psychose	psicosis	psychose
psychotische	psicópata	psychotic
ptolemaeus	ptolomeo	ptolomy
puberteit	pubertad	puberty
public	público	public
publicatie	publicación	publication
publicaties	publicaciones	publications
publiceerde	publicado	published
publiceren	a publicar	to publice
publiciteit	publicidad	publicity
publiek	audiencia	public
publieke	público	public
publiekelijk	en público	publicly
puerto	puerto	puerto
punk	punk	punk
punt	punto	point
punten	puntos	points
pure	puro	pure
puur	puro	just
pvda	pvda	pvda
pvv	pvv	pvv - abbreviation of a dutch political party
pyreneeën	pirineos	pyrenees
pythagoras	pitágoras	pythagoras
pänchen	panchen	pänchen
q	q	g
qua	como	by
quarto	libro en cuarto	quarto
que	what	que
queen	reina	queen
queens	reinas	queens
quod	cárcel	quod
québec	quebec	québec
r	r	r
ra	real academia de bellas artes	ra
raad	consejo	court
raakt	toques	becomes
raakte	golpear	got
raakten	golpear	got
race	carrera	race
races	razas	races
rachel	rachel	rachel
racisme	racismo	racism
raden	adivinar	recommended
radicaal	radical	radical
radicale	radical	radical
radio	radio	radio
radioactieve	radioactivo	radio-active
rafael	rafael	rafael
raid	redada	raid
raken	toque	hitting
ramadan	ramadán	ramadan
ramen	ventanas	windows
ramp	desastre	disaster
rampen	desastres	disasters
ranch	rancho	ranch
rand	borde	edge
randen	bordes	edges
randstad	randstad	randstad
rang	rango	rang
rangen	rangos	ranks
ranglijst	clasificaciones	ranking
rap	rap	rap music
rapper	rapero	rapper
rapport	reporte	report
rare	extraño	weird
ras	carrera	breed
rassen	variedades	races
rat	rata	council  (1st sentence- german word!), rat (2nd and 4th sentence)
ratten	ratas	rats
rattenstaarten	colas de rata	rattails
ray	rayo	ray
raymond	raymond	raymond
reactie	respuesta	reaction
reacties	reacciones	reactions
reagan	reagan	reagan
reageerde	respondió	responded
reageerden	respondió	reacted
reageert	responde	reacts
reageren	comentario	react
real	real	real
realiseren	darse cuenta de	realize
realisme	realismo	realism
realistisch	realista	realistic
realistische	realista	realistic
realiteit	realidad	reality
rebellen	rebeldes	rebels
recent	reciente	recent
recente	reciente	recent
recentelijk	recientemente	recently
receptoren	receptores	receptors
recessie	recesión	recession
recht	derecho	justice
rechtbank	corte	court
rechte	derecho	straight
rechten	derechos	rights
rechter	juez	judge
rechterlijke	judicial	judicial
rechters	jueces	judges
rechts	derecha	right
rechtse	ala derecha	right
rechtspraak	jurisdicción	jurisdiction
rechtstreeks	directamente	directly
rechtstreekse	directo	direct
rechtszaak	demanda judicial	action
rechtszaken	pleitos	lawsuits
rechtvaardigheid	justicia	justice
reclame	anuncio	advert
record	grabar	record
records	registros	records
recreatie	recreación	recreation
red	ed	red (part of proper noun - brand name)
redactie	editorial	editorial office
redden	para rescatar	save
redding	rescate	salvation
reddingssloepen	botes salvavidas	lifeboat
rede	razón	reason
redelijk	razonable	reasonably
reden	razón	reason
redenen	razones	reasons
reductie	reducción	reduction
reed	condujo	traveled/ drove
reeds	ya	already
reeks	serie	series
reeksen	serie	series
refereert	se refiere	refers
referendum	referéndum	referendum
referenties	referencias	references
reformatie	reforma	reformation
regeerde	gobernado	reigned
regeerperiode	reinado	reign
regel	regla	rule
regelen	arreglos para	regulate
regelgeving	regulaciones	regulations
regeling	regulación	regulation
regelmaat	regularidad	regularly
regelmatig	regularmente	regularly
regelmatige	regular	regularly
regels	reglas	rules
regen	lluvia	rain
regent	está lloviendo	regent
regenten	regentes	regents
regenval	lluvia	rainfall
regenwoud	selva	rainforest
regeren	gobernar	to rule
regerende	decisión	ruling
regering	gobierno	government
regeringen	gobiernos	governments
regeringsleider	jefe de gobierno	head of government
regie	dirección	control
regime	régimen	regime
regiment	regimiento	regiment
regimes	regímenes	regimes
regio	región	region
regionaal	regional	regional
regionale	regional	regional
regios	regiones	regions
regisseur	director	director
registratie	registro	registration
reguliere	regular	regular
reis	viaje	voyage
reisde	viajado	travelled
reist	viajes	travels
reizen	viajar	travels
reizigers	viajeros	travelers
rekenen	calcular	reckon
rekening	cuenta	account
relatie	relación	relation
relatief	relativamente	relative
relaties	relaciones	relationships
relatieve	relativo	relative
relativiteitstheorie	teoría de la relatividad	relativity theory
release	lanzamiento	release
relieken	reliquias	relics
religie	religión	religion
religies	religiones	religions
religieus	religioso	religious
religieuze	religioso	religious
reliëf	alivio	relief
rellen	disturbios	riots
rembrandt	rembrandt	rembrandt
remix	remezcla	remix
remix||||||||||	remezcla ||||||||||	remix
remmen	frenado	tobrake
renaissance	renacimiento	renaissance
rendement	eficiencia	output
rente	interesar	interest
rené	rené	rené
reologie	reología	do not even know this word in dutch!
repertoire	repertorio	repertoire
representatieve	representante	representative
reptielen	reptiles	reptiles
republiek	república	rebublic
republieken	repúblicas	republicans
republikeinen	republicanos	republicans
republikeinse	republicano	republican
reputatie	reputación	reputation
research	investigación	onderzoek
reserve	reserva	reserve
reserves	reservas	reserves
reservoir	reservorio	reservoir
residentie	residencia	residence
resistentie	resistencia	resistention
resolutie	resolución	resolution
resoluties	resoluciones	resolutions
resp	resp	respectively
respect	el respeto	respect
respectievelijk	respectivamente	respectively
rest	descanso	rest
restanten	restos	remains
restaurant	restaurante	restuarant
restaurants	restaurantes	restaurants
restauratie	restauracion	restauration
resten	permanece	remainings
resterende	restante	remaining
resultaat	resultado	result
resultaten	resultados	results
resulteerde	resultado	resulted
resulteert	resultados	results
return	regreso	return (terugkeren)
reusachtige	enorme	giant
revolutie	revolución	revolution
revolution	revolución	revolution
revolutionaire	revolucionario	revolutionary
reykjavik	reikiavik	reykjavic
reële	real	real
reïncarnatie	reencarnación	reincarnation
rica	rica	rica
ricardo	ricardo	ricardo
richard	ricardo	richard
richards	richards	richards
richmond	richmond	richmond
richt	objetivo	conducts
richten	apuntar	aim
richting	dirección	direction
richtingen	direcciones	directions
richtlijn	directiva	direction
richtlijnen	pautas	guidelines
richtte	puntiagudo	directed
richtten	puntiagudo	focused
rico	rico	rico
ridder	caballero	knight
ridders	caballeros	knights
riep	gritó	called
rifles	rifles	rifles
riga	riga	riga
right	derecha	right
rihanna	rihanna	rihanna
rij	cola	in a row
rijden	conducir	ride
rijdt	unidades	rides
rijen	filas	rows
rijk	rico	kingdom
rijkdom	riqueza	richess
rijkdommen	riqueza	resources
rijke	rico	rich
rijken	rico	riches
rijksdag	reichstag	parliament
rijksmonumenten	monumentos nacionales	state monuments
rijksmuseum	rijksmuseum	national museum
rijkste	más rico	richest
rijksuniversiteit	universidad nacional	state university
rijn	rin	rhine
rijnland	renania	rijnland
rijst	arroz	rice
rik	rik	rik
ring	anillo	ring
ringen	anillos	ring
ringweg	periférico	ring
rinus	rinus	rinus
rio	rio	rio
risico	riesgo	risk
risicos	riesgos	risks
rit	paseo	tour
ritme	ritmo	rhythm
rituele	ritual	ritual
rituelen	rituales	rituals
ritus	rito	ritus
rivaal	rival	rival
rivaliteit	rivalidad	rivality
river	río	<english word> river
rivier	río	river
rivieren	ríos	rivers
rivm	rivm	rivm
rna	rna	rna
road	la carretera	road - part of proper noun
rob	robar	rob
robbie	robbie	robbie
robert	robert	robert
roberto	roberto	roberto
robin	robin	robin
roc	roc	roc - proper noun, roc - dutch abbreviation
rock	rock	rock
rockband	banda de rock	rock band
rockefeller	rockefeller	rockefeller
rocky	rocoso	rocky
rode	rojo	red
rodgers	rodgers	rodgers
roedel	paquete	a pack (of wolves)
roem	fama	fame
roemeense	rumano	romanian
roemenië	rumania	roemenia
roepen	llamada	call
roept	gritos	calls
roger	roger	roger
roken	fumar	smoking
rol	papel	role
roland	roland	roland
roll	rodar	roll
rollen	rodar	rolls
rolling	laminación	rolling
roltong	roltongue	rolling tongue
roma	roma	roma
romaanse	románico	roman
roman	novela	novel
romance	romance	romance
romans	novelas	romeins
romantiek	romance	romanticism
romantische	romántico	romantic
rome	roma	rome - proper noun
romeinen	romanos	romans
romeins	romano	roman
romeinse	romano	roman
romeo	romeo	romeo
romp	maletero	body
ron	ron	ron
ronald	ronald	ronald
ronaldinho	ronaldinho	ronaldinho
ronaldo	ronaldo	ronaldo
rond	redondo	around
ronde	redondo	round
ronden	rondas	rounding
rondom	todo al rededor	around
rood	rojo	red
roofdieren	depredadores	predators
rook	fumar	smoke
roomse	romano	roman
roomskatholiek	católico romano	roman catholic
roomskatholieke	católico romano	roman catholic
roos	rosa	roos - proper noun - 1st sentence, rose - 3rd sentence.
roosendaal	roosendaal	roosendaal
roosevelt	roosevelt	roosevelt
rosa	rosa	rosa
rose	rosa	rose (roos)
rotatie	rotación	rotation
rotsen	rocas	rocks
rotterdam	rotterdam	rotterdam
rotterdamse	rotterdam	rotterdam
route	ruta	route
roy	roy	roy
royaal	generoso	royale
royal	real	royal
roze	rosado	pink
rtl	rtl	rtl
rubber	caucho	rubber
rubens	rubens	rubens
ruby	rubí	ruby
rudolf	rudolf	rudolf
rug	espalda	back
rugby	rugby	rugby
rugnummer	número de babero	competitor's number
ruil	intercambiar	trade
ruilen	intercambiar	exchange
ruim	espacioso	over
ruime	espacioso	great
ruimte	espacio	space
ruimtelijke	espacial	spatial
ruimtes	espacios	places (2nd and 4th sentence), rooms (7th sentence)
rum	ron	rum
run	correr	run
rups	oruga	gms
rupsen	orugas	centipedes
rusland	rusia	russia
russell	russell	russell
russen	rusos	russians
russisch	ruso	russian
russische	ruso	russian
rust	paz	resides
rusten	descanso	to rest
rustig	tranquilo	quiet
rustige	tranquilo	calm
ruud	ruud	ruud
ruwe	crudo	crude
ruwweg	aproximadamente	rougly
ruzie	lucha	fight
ruïnes	restos	ruins
rwanda	ruanda	rwanda
röhm	röhm	rohm
s	s	s
sa	sa	sa
saba	saba	saba
sacramenten	sacramentos	sacraments
saga	saga	saga
sagrada	sagrada	sagrada
sahara	sáhara	sahara
saint	santo	saint
saksen	sajonia	saxony
salaris	salario	salary
saldo	equilibrar	saldo
salvador	el salvador	salvador
salzburg	salsburgo	salzburg
sam	sam	sam
samen	juntos	together
samengesteld	compuesto	composed
