$	dollar təşkil edib	dollars
شاكر	şaker	shaker
شاكلة	kimi	shape
شامة	mole	beauty mark
شامل	hərtərəfli	mass
شاملة	hərtərəfli	comprehensive
شاه	şah	shah
شاهد	i̇zləyin	witness
شاهين	şahin	shaheen
شباب	uşaqlar	youth
شبابه	gəncliyi	his youth
شبكات	şəbəkələr	networks
شبكة	şəbəkə	network
شبه	demək olar ki	semi
شبيه	bənzər	similar
شبيهة	bənzər	similar
شتى	müxtəlif	many
شجرة	ağac	tree
شجع	həvəsləndirir	encourage
شحنة	göndərmə	cargo
شخص	bir insan	person
شخصيات	xarakterlər	figures
شخصية	şəxsiyyət	personal
شخصيته	xarakteri	his personality
شداد	sıxma	shaddad
شديد	şiddətli	very
شديداً	çox sıx	strong
شديدًا	çox çətin	strong
شراء	satınalma	purchase
شراكة	tərəfdaşlıq	partnership
شرب	i̇çmək	drink
شرج	anus	a
شرح	i̇zah edin	explaining
شرط	vəziyyəti	condition
شرع	davam etdi	started
شرعية	qanunauyğunluq	the law
شرف	şərəf	honor
شرق	şərq	east
شرقا	şərq	east
شرقاً	şərq	east
شرقي	şərq	the east of
شركات	şirkətlər	companies
شركة	şirkət	company
شروط	şərtlər	conditions
شريط	bar	margin
شريعة	şəriət	the law
شريف	şərif	noble
شريك	tərəfdaş	partner
شطرنج	şahmat	chess
شعائر	rituallar	ritual
شعار	loqo	motto
شعاع	şüa	ray
شعب	i̇nsanlar	people
شعبان	şaaban	shaaban
شعبة	bölmə	shoeba
شعبه	xalqı	it's people
شعبي	xalqım	popular
شعبية	məşhur	people
شعر	saçlar	feel
شعراء	şairlər	poets
شعره	saçları	his hair
شعوب	i̇nsanlar	people
شغل	i̇şləyin	fill
شق	yarıq	opened
شقيقه	qardaşı	his brother
شك	şübhə	doubt
شكل	forma	shape
شكلت	formalaşdı	constituted
شكله	onun forması	its form
شكلها	onun forması	her new outline
شمال	şimal	north
شمالا	şimal	north
شمالاً	şimal	north
شمالي	şimal-şərq	northern
شمس	şəms	sun
شمسية	günəş gözlükləri	solar
شمل	daxildir	included
شملت	daxildir	included
شن	şen	started
شهاب	meteor	sh'hab (name)
شهادة	sertifikat	degree
شهد	şahid	witness
شهدت	görmüşəm	seen
شهدوا	gördülər	saw
شهر	ay	month
شهرة	şöhrət	popular
شهور	aylar	months
شوارع	küçələr	streets
شواطئ	çimərliklər	beaches
شوال	şəvval	november
شوقي	shawky	shawqe
شي	şi	thing
شيء	nəsə	thing
شيءًا	nəsə	thing
شيئا	nəsə	thing
شيئاً	nəsə	something
شيث	seth	shieth
شيخ	şeyx	sheikh
شيد	tikilib	was constructed
شيوخ	ağsaqqallar	shaikhs
شيوعا	ümumi	popular
شيوعاً	ümumi	popular
شيوعية	kommunizm	communism
شيوعًا	ümumi	popular
ص	səh	p
صاحب	sahib	owner
صاحبه	onun sahibi	his friend
صادرات	i̇xrac	exports
صادق	dürüst	sadiq
صار	bu oldu	became
صارت	o oldu	became
صارمة	sərt	strict
صالح	uyğun	serviceable
صالحة	etibarlıdır	suitable
صباح	səhər	morning
صبحي	sobhi	sobhy
صبري	səbrim	sabri
صحة	etibarlılıq	health
صحراء	çöl	desert
صحف	qəzetlər	newspaper
صحية	sağlam	healthy
صحيح	düzdür	right
صحيحة	düzəldin	right
صحيحه	doğrudur	a book that interprets the quran
صحيفة	qəzet	newspaper
صخرية	qaya	rocky
صخور	daşlar	rocks
صد	cavab ver	pushing back
صداقة	dostluq	friendship
صدام	səddam	saddam
صدر	sərbəst buraxıldı	issued
صدرت	verilmişdir	issued
صدق	dürüstlük	truthfulness
صدور	sinə	issuance of
صديق	dost	friend
صديقه	dostu	his friends
صراع	mübarizə	conflict
صربيا	serbiya	serbia
صرح	dedi	declared
صريح	ekspress	frank
صعب	sərt	hard
صعبة	sərt	hard
صعوبة	çətinlik	difficulty
صعيد	səviyyə	south
صغار	junior	small
صغير	kiçik	young
صغيرة	kiçik	small
صف	sıra	row
صفات	xüsusiyyətlər	attributes
صفة	sifət	character
صفحات	səhifələr	pages
صفحة	səhifə	page
صفر	sıfır	sefr
صفوف	sıralar	rows
صفين	i̇ki sıra	two rows
صقر	şahin	falcon
صقلية	siciliya	sicily
صلاة	namazlar	prayer
صلاح	salah	salah
صلاحيات	səlahiyyətlər	permissions
صلادة	sərtlik	strength
صلب	qatı	hard
صلبة	qatı	solid
صلة	bağlantı	connection
صلح	barış	reconciliation
صلى	dua etdi	pray
صناعات	sənaye	industries
صناعة	sənaye	industry
صناعي	sənaye	satellite
صناعية	sənaye	industrial
صندوق	qutu	box
صنع	edilib	manufacture
صنف	sinif	classified
صواريخ	raketlər	rockets
صوب	məqsəd	towards
صوت	səs	voice
صوتية	səs	audio
صور	şəkil	photos
صورة	şəkil	photo
صوفيا	sofiya	sofia
صياغة	formülasyon	writing
صيد	balıqçılıq	fish
صيغة	formula	formula
صيف	yaz	summer
صَلَّى	dua etdi	prayed
ضئيلة	i̇ncə	little
ضابط	məmur	officer
ضباط	məmurlar	officers
ضبط	düzəldin	setting
ضحايا	qurbanlar	victims
ضخم	nəhəngdir	big
ضخمة	nəhəngdir	huge
ضد	qarşı	against
ضده	ona qarşı	against it
ضربة	zərbə	hit
ضرورة	zərurət	necessity
ضرورية	zəruri	necessary
ضريبة	vergi	tax
ضريح	ziyarət	shrine
ضعف	zəiflik	weakness
ضعيف	zəifdir	weak
ضعيفة	zəifdir	weak
ضغط	təzyiq	pressured
ضفاف	banklar	the banks
ضم	birləşdirin	include
ضمان	zəmanət	guarantee
ضمت	daxildir	included
ضمن	i̇çərisində	including
ضمنها	i̇çərisində	within it
ضوء	i̇şıq	given the
ضوئية	i̇şıq	light
ضواحي	şəhərətrafı yerlər	suburbs
ضيق	sıx	scrimpy
ضيقة	sıx	tight
طائرات	təyyarələr	aircraft
طائرة	təyyarə	airplane
طائفة	denominasiya	sect
طابع	xarakter	stamp
طارق	tariq	tarek
طاعة	i̇taət	obeying
طاقة	enerji	energy
طالب	tələbə	asked
طالبت	tələb etdi	requested
طالع	baxın	talea
طالما	nə qədər ki	as long as
طاهر	təcrübəsiz	taher
طب	tibb	medicine
طبقا	görə	according
طبقاً	görə	according to
طبقة	lay	category
طبيب	doktor	doctor
طبية	tibbi	medical
طبيعة	təbiət	nature
طبيعي	təbii	natural
طبيعية	təbii	natural
طرابلس	tripoli	tripoli
طراز	üslub	type
طرازات	edir	models
طرح	çıxarın	platform
طرد	çıxdı	expulsion
طرف	tərəf	side
طرفاوية	terminal	jaboticaba
طرق	yolları	roads
طرول	malalar	troll
طريق	yol	way
طريقة	metod	way
طريقه	onun yolu	on his road
طريقها	onun yolu	its way
طعام	yemək	food
طفل	uşaq	child
طفولته	uşaqlığı	his childhood
طقوس	ritual	rituals
طلائعيات	pioner	protists
طلاب	tələbələr	students
طلال	talal	talal (name)
طلب	i̇stək	request
طلبة	tələbələr	students
طلبت	- deyə soruşdu	requested
طلبه	i̇stəyi	his request
طلحة	talha	talha (name)
طن	ton	tonne
طنجة	tanrı	tangier
طه	taha	taha
طهران	tehran	tehran
طوائف	kultlar	cults
طوال	boyu	as long as
طور	i̇nkişaf edin	developed
طورت	i̇nkişaf etmişdir	evolved
طول	uzunluq	length
طولها	uzunluğu	length
طويل	uzun	long
طويلا	uzun müddət	for a long time
طويلاً	uzun	long
طويلة	uzun	long
طيبة	yaxsi	kind
طيران	uçan	flying
طيلة	boyu	throughout
طيور	quşlar	birds
ظاهر	görünür	zaher
ظاهرة	fenomen	phenomenon
ظروف	şərtlər	conditions
ظل	kölgə	shadow
ظلت	qalıb	remained
ظهر	görünür	appeared
ظهرت	görünür	appeared
ظهره	arxası	his back
ظهور	görünüş	appearance
ظواهر	fenomenlər	symptoms
عائشة	aişə	aisha
عائلات	ailələr	families
عائلة	bir ailə	fammily
عائلته	ailəsi	his family
عابرة	keçir	crossing
عاد	geri	return back
عادات	vərdişlər	habits
عادة	adətən	usually
عادةً	adətən	usually
عادت	qayıtdı	back
عادل	ədalətli	adel
عادوا	qayıtdılar	return
عادي	normal	normal
عادية	adi	normal
عارض	i̇zləyici	oppose
عارف	bilin	aref
عاش	yaşadı	lived
عاشت	yaşadı	lived
عاشوراء	aşura	ashura
عاصفة	bir fırtına	storm
عاصم	asim	asim
عاصمة	kapital	capital
عاصمته	paytaxtı	its capital
عاصمتها	paytaxtı	its capital
عالم	elm adamı	world
عالمي	dünyam	global
عالميا	dünya miqyasında	internationaly
عالمياً	dünya miqyasında	internationally
عالمية	universal	international
عالي	yüksək	high
عالية	yüksək	high
عام	i̇l	year
عاما	i̇llərdi	year
عاماً	i̇l	year
عامة	ümumi	generally
عامر	amer	amer
عامل	i̇şçi	treated
عاملاً	bir amildir	worker
عامي	çıxış	the two years
عاميّ	slanq	two years
عامًا	i̇llər	year
عانت	o əziyyət çəkdi	suffered
عانى	əzab çəkdi	suffered
عبادة	i̇badət	woship
عبارة	söz	term
عباس	abbas	abbas
عبد	əbdül	abd
عبده	nökəri	abdu
عبر	across	across
عبرانيون	i̇branilər	abranjons
عبور	xaç	crossing
عبيد	xidmətçilər	ebid
عبيدة	ubeyda	obaida
عتبة	eşik	otbah
عثر	tapıldı	found
عثمان	osman	ottoman
عثمانية	osmanlı	ottoman
عجائب	möcüzələr	mysteries
عدا	i̇stisna olmaqla	except
عدة	bir neçə	many
عدد	nömrə	number
عددا	bir sıra	number
عدداً	bir sıra	a number
عددها	onların sayı	its number
عددهم	onların sayı	its numbers
عددًا	bir sıra	number
عدل	ədalət	justice
عدم	yoxdur	not
عدن	aden	eden
عدنان	adnan	adnan
عدوى	i̇nfeksiya	infection
عدي	adi	odai
عديدة	bir çoxu	many
عدّة	bir neçə	many
عرب	ərəblər	arab
عربي	ərəb	arabic
عربية	ərəb	arabic
عرش	taxt	throne
عرض	göstərin	show
عرضة	zəif	prone
عرضت	təqdim olunur	offered
عرضه	göstərin	displayed
عرضها	göstərilib	offered it to
عرف	bilin	known about it
عرفات	ərafat	arafat
عرفة	arafa	arafa
عرفت	bilirdim	known
عرفوا	bilirdilər	known
عروة	düymə çuxuru	orwa
عز	ezel	ezz
عزل	təcrid olunmuşdur	isolate
عزم	tork	decided
عزيز	əziz	aziz
عسكري	hərbi	martial
عسكرية	hərbi	military
عسل	bal	honey
عسير	aseer	aseer ( name)
عش	canlı	nest
عشر	on	teenth (as in eighteenth)
عشرات	onlarla	tens
عشرة	on	ten
عشرية	ondalık	decimal
عشرين	i̇yirmi	twenty
عصام	ea	isam
عصبة	liqa	league
عصر	dövr	era
عصره	onun dövrü	his era
عصور	eras	ages
عصير	şirəsi	juice
عضوا	üzv	member
عضواً	üzv	member
عضوية	üzvlük	membership
عطارد	merkuri	mercury
عطلة	tətil	holiday
عظام	sümüklər	bones
عظم	sümük	great
عظمة	böyüklük	grateness
عظمى	super	great
عظيم	əla	huge
عظيمة	əla	great
عفان	affan	affan
عفص	döşəmə	tannins
عقارب	əllər	clockwise
عقب	daban	after
عقبة	bir maneə	okaba
عقد	müqavilə	deal
عقدت	keçirildi	had place
عقل	ağıl	mind
عقوبة	cəza	penalty
عقود	onilliklər	decades
عقيدة	doktrina	doctrin
عكا	acre	acre
عكس	tərs	obverse
علاء	alaa	alaa
علاج	müalicə edin	therapy
علاقات	münasibətlər	relationships
علاقاتها	onun münasibətləri	lafadtha
علاقة	münasibət	relation
علامات	i̇şarələr	signs
علامة	i̇şarələyin	mark
علاوة	bonus	in addition
علاوةً	üstəlik	in plus
علم	elm	science
علما	qeyd	science
علماء	elm adamları	scientists
علمانية	dünyəvi	secularism
علماً	qeyd	knowing
علمه	onun biliyi	his knowledge
علمية	elmi	scientific
علوم	elm	science
على	yandırın	on
علي	əli	ali (name)
عليك	sənə	on you
عليكم	sənə	on you
علينا	üzümüzdə	on us
عليه	düşdü	upon it
عليها	üzərində	upon it
عليهم	onlara	on them
عليهما	onlara	over them
عليّ	əli	ali
عم	əmi	spread
عما	haqqında	about what
عماد	i̇mad	emad
عمال	i̇şçilər	workers
عمان	əmman	amman
عمد	vəftiz edildi	deliberately
عمر	ömər	omr
عمره	onun yaşı	his age
عمرو	amr	amr
عمق	dərinlik	depth
عمل	i̇şləyin	worked
عملاق	bir nəhəng	giant
عملة	sikkə	currency
عملت	çalışdı	worked
عمله	i̇şi	his work
عملها	onun işi	its work
عمليات	əməliyyatlar	operations
عملية	proses	the issue
عمه	əmi	his uncle
عمود	sütun	column
عموم	pan	most
عموما	ümumiyyətlə	generally
عموماً	ümumiyyətlə	in general
عمومًا	ümumiyyətlə	in general
عمير	əmir	'ameer
عميق	dərin	deep
عميقة	dərin	deep
عمّان	əmman	oman
عن	haqqında	about
عناصر	əşyalar	elements
عناية	qayğı verin	السماح بالكتابة بحسب النطق الصوتي care
عنترة	antara	antara
عنخ	anh	ankh
عند	at	when
عندئذ	sonra	at that time
عندما	nə vaxt	when
عنده	onunla	there
عندها	sonra	then
عندهم	var	for them
عنصر	komponent	element
عنق	boyun	neck
عنه	onun haqqında	from him
عنها	onun haqqında	from it
عنهم	onlar haqqında	them
عنهما	onlar haqqında	both of them
عنوان	ünvan	address
عني	haqqımda	cared
عنيفة	zorakıdır	strong
عهد	dövr	era
عهده	onun hakimiyyəti	era
عهود	razılaşmalar	generations
عواصم	paytaxtlar	capitals
عواقب	nəticələr	the consequences of
عوامل	amillər	factors
عودة	qayıt	return
عودته	qayıtması	his return
عوف	auf	auf
عيد	bayram	fest
عيسى	i̇ssa	issa
عين	təyin edildi	eye
عينات	nümunələr	samples
عينيه	gözləri	eyes
عيون	gözlər	eyes
عَلَى	əli	upon
عَلَيْهِ	bunun üzərinə	on him
عُثر	tapıldı	founded
عُرف	xüsusi	have known
عُرفت	bilirdi	was known
عُمان	oman	oman
غابات	meşələr	forests
غادر	ayrıldı	left
غار	laurel	cave
غاز	qaz	gas
غازات	qazlar	gases
غازي	qazi	ghazee
غالب	qalib	ghaleb
غالبا	əsasən	mostly
غالباً	əsasən	often
غالبية	əksəriyyət	most
غالبًا	tez-tez	usually
غاما	qamma	gama
غاميلان	gamilan	gamelan
غاندي	qandi	gandhi
غانم	ghanem	ghanem
غاية	məqsəd	very
غباء	axmaqlıq	idiocy
غذاء	yemək	food
غرار	kimi	like
غرب	qərb	west
غربا	qərb tərəfə	west
غرباً	qərb	west
غربي	qərb	western
غربية	qərb	strange
غربًا	qərb	west
غرفة	otaq	room
غرناطة	qranada	granada
غريب	qəribədir	strange
غريبة	qəribədir	strange
غرين	greene	silt
غزا	fəth etdi	conquered
غزة	qəzza	ghazza
غزو	i̇şğal	invasion
غزوات	forays	attacks
غزوة	döyüşü	invasion
غسق	toran	tw
غسل	yuyun	wash
غشاء	membran	membrane
غضب	qəzəb	anger
غضون	i̇çərisində	while
غطاء	qapaq	cover
غلاف	korpus	cover
غلطة	səhv	galata
غلوكوز	qlükoza	glucose
غلوون	gluon	gloun
غناء	vokallar	singing
غناها	onun sərvətidir	its richness
غني	zəngin	rich
غنية	zəngin	rich
غوستاف	qustav	gustav
غياب	yoxluq	absence
غير	başqa	not
غيره	daha çox	other
غيرها	digərləri	other
غيرهم	digərləri	other than them
غيفارا	guevara	guevara
غينيا	qvineya	guinea
فأخذ	beləcə götürdü	took
فأرسل	göndərdi	so, he sent
فأصبح	o oldu	become
فأصبحت	oldum	it became
فأمر	buna görə sifariş verdi	so ordered
فأن	sonra	then
فؤاد	fouad	fouad
فإذا	beləliklə	and if
فإن	the	so that
فإننا	biz edəcəyik	we are
فإنه	edir	he is
فإنها	olacaqlar	it's
فإنهم	bunlar	they are
فئات	kateqoriyalar	categories
فئة	sinif	category
فائدة	faydalı	benefit
فائقة	super	supreme
فاراداي	faraday	faraday
فارس	cəngavər	persia
فارسي	fars	persian
فاروق	faruk	farouk
فاز	qazandı	won
فازت	qazandı	won
فاس	fes	fas
فاطمة	fatimə	fatima
فاعلية	effektivlik	efficiency
فالج	falaj	paralysis
فالكيري	valkyrie	valkyri
فالنتين	valentin	valentine
فان	van	the
فاندانغو	fandango	vandango
فايمار	weimar	weimar
فبدأ	beləliklə başladı	and he started
فبراير	fevral	february
فبعد	beləliklə	after
فبعض	bəziləri	some of
فتاة	bir qız	girl
فتح	açın	conquest
فتحة	yuva	gap
فتحت	açıldı	conquered
فتحها	açın	freed
فتحي	fəthi	fathi
فترات	dövrlər	periods
فترة	dövr	a while
فتكون	olacaqsan	be
فتم	ftm	has done
فتنة	əziyyət	fitnah
فجاء	beləliklə gəldi	it came
فجر	qırpın	dawn
فجعل	etdi	and made
فحسب	yalnız	according to
فحص	i̇mtahan	examination
فخرج	beləcə çölə çıxdı	comes out
فخلال	zamanı	throughout
فدخل	beləliklə içəri girdi	entered
فذهب	beləliklə getdi	went
فراس	firalar	feras
فرانسيسكو	fransisko	francisco
فرانك	frank	frank
فرانكو	franko	franco
فرد	fərdi	single
فردية	fərdi	single
فرسان	cəngavərlər	knights
فرساي	versal	versay
فرص	i̇mkanlar	chances
فرصة	fürsət	chance
فرض	təsir etmə	impose
فرضت	qapaqlandı	forced
فرضية	fərziyyə	assumption
فرع	filial	department
فرعون	firon	pharaoh
فرعية	alt sinif	branchial
فرق	bir fərq	differentiated
فرقة	heyet	group
فرنسا	fransa	france
فرنسي	fransız	french
فرنسية	fransız	french
فروع	filiallar	branches
فرويد	freyd	freud
