$ tỉ	мільярд доларів	$ billion
pleistocen	плейстоцен	pleistocen
plus	плюс	plus
pluto	плуто	pluto
pm	вечора	pm
pmu	пму	pmu
po	по	po
pokémon	покемон	pokemon
pol	поль	pol
poland	польща	poland
pollack	минтай	a name
pollux	поллукс	a name
polo	поло	(proper noun) polo, as in marco polo
polynésie	полінезія	polynesian
pont	понт	(proper noun) pont, as in pont de normandie
pop	поп	pop
portland	портленд	portland
porto	порто	porto
pot	горщик	pot
potsdam	потсдам	(proper noun) potsdam
potter	гончар	(proper noun) potter, as in harry potter
pour	налити	not vietnamese
powell	powell	(proper noun) powell, as in general colin powell
pradesh	прадеш	pradesh
praha	праха	praha
pratzen	пратцен	pratzen
preah	преах	(proper noun) preah
premier	прем’єр	premier
preminger	премінгер	(proper noun) preminger
preston	престон	(proper noun) preston, as in john preston
prince	князя	prince
princeton	прінстон	princeton
printemps	принтемпи	printemps
printf	printf	printf
prinz	принц	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	прі	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	проект	projekt
prometheus	прометеус	(proper noun) prometheus
protein	білка	protein
prôtêin	білка	protein (n.)
ps	пс	ps
psv	psv	psv
ptolemy	птолемей	ptolemy
ptq	ptq	ptq
puerto	пуерто	puerto
pulau	пулау	(proper noun) pulau, as in pulau tekong, an island
pulitzer	пуліцер	(proper noun) pulitzer, as in the pulitzer prize
pulp	м’якоть	pulp
punjab	пенджаб	punjab
pusan	пузан	(proper noun) pusan
putin	путін	putin
pyrenees	піренеї	pyrenees
pytago	пітаго	(proper noun) pytago
pzl	pzl	pzl
péc	печ	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	pérez	(proper noun) perez, as in javier perez de cuellar
păng	панг	fansipan
pơ	пơ	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	q	q ( a letter)
qatar	катар	qatar
qd	qd	quantum dots
qing	цин	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	від	transmit
quad	квадроцикл	quad
quan	quan	"(term should be ""quan hệ"") relationship (n.)"
quang	оптичний	bladder
quanh	навколо	around
quay	обернувся	turn
que	прути	stick
queen	королева	queen
queens	королеви	(proper noun) queens, as in the new york borough
queensland	queensland	queensland
quen	знайомий	accustomed to
qui	qui	formal
quincy	квінті	(proper noun) quincy, as in quincy jones
quran	коран	quran
quy	правила	"(term should be ""quy ước"") agreement"
quyên	основи	"(term should be ""quyên góp"") to donate (v.)"
quyến	чарівність	"(term should be ""gia quyến"") family"
quyền	дозвіл	right
quyện	змішуватися	mix
quyệt	підступний	"(should be ""xảo quyệt"") devious"
quá	теж	over
quái	хек	strange or odd
quán	бар	hometown
quáng	сліпий	blind
quát	- кричав	generalize
quân	quan	army (n.)
quãng	бл	optical
quét	сканувати	to sweep (v.)
quê	село	countryside
quên	забути	forget
quý	дорогоцінний	love
quýt	мандарин	tangerine
quăng	кидати	to throw (v.)
quĩ	фонд	orbit
quạ	ворони	crow (con qua)
quạt	вентилятор	fan
quản	управління	"(entire term is ""cai quản"") to manage"
quảng	промо	guangzhou
quấn	обернути	wrap around
quất	кумкват	whip
quấy	розмішати	harass
quần	брюки	pants (n.)
quầng	ореол	halo
quầy	лічильник	stall
quẩy	гойдалки	quay
quẫn	жалюгідний	necessitous
quận	район	county (n.)
quật	розкопки	excavation
quẳng	кидати	throw
quặc	дивно	strange (adj.)
quặng	руда	an ore (n.)
quẻ	гексаграма	hexagram
quế	кориця	cinnamon (n.)
quết	негідність	knead
quệ	бідний	exhausted
quỉ	диявол	demon
quỳ	на коліна	demon (n.)
quỳnh	quỳnh	quynh
quỵ	інсульт	stroke
quỷ	диявол	provided
quỹ	фонд	fund
qúy	чверть	quy
r	r	r
rabindranath	рабіндранат	rabindranath
race	гонка	race
rafael	рафаель	rafael
rafale	rafale	(proper noun) rafale, as in dassault rafale
rai	рай	slowly intake
raleigh	релі	raleigh
ralph	ralph	(proper noun) ralph, as in ralph waldo emerson
ram	озп	a name
rama	рама	rama, first name of several rulers of thailand (n.)
ramadan	рамадан	(proper noun) the fasting month of ramadan
ramayana	рамаяна	ramayana
rambus	рамбус	rambus
ran	побіг	ran
ranch	ранчо	ranch
randy	ренді	randy
rang	задзвонив	roast
rangers	рейнджери	rangers
ranh	межа	border (ranh gioi)
rao	оголошення	to announce
rap	реп	rap
raptor	грабіжник	raptor
rate	ставка	rate
rau	овочевий	vegetable
ray	промінь	rail (n.)
raya	рая	raya
raymond	раймонд	raymond
rađa	рлс	radar
reagan	реаган	reagan
real	справжній	real
reanimation	реанімація	reanimation
reap	пожинати	reap
reef	риф	reef
regia	регія	regia
reichelt	рейхельт	reichelt
ren	мереживо	lace (n.)
renaissance	відродження	renaissance
renault	renault	renault
rené	rené	rene
reo	каблучка	yell
reserve	резерв	reserve
resort	курорт	resort
reverse	зворотний	reverse
revolution	революція	revolution
rey	рей	rey, as in copa del rey
rfid	rfid	rfid
rhodes	родос	rhodes
rica	ріка	rica
ricardo	рікардо	ricardo
ricci	ричі	ricci
richard	річард	richard
richardson	річардсон	(proper noun) richardson, as in james o. richardson
richie	richie	(proper noun) richie, as in singer lionel richie
rico	ріко	rico, as in puerto rico
riemann	ріман	riemann, as in bernhard riemann, a german mathematician
rimjob	римбоф	rimjob
rin	рин	rin
rising	піднімається	rising
risk	ризик	risk
ritchie	ритчі	a name
rivaldo	rivaldo	rivaldo
rivière	rivière	a name
rizal	ризал	rizal
riêng	приватний	own
riêu	riêu	crab
riết	ріет	urgently
riềng	галангал	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	роберт	(proper noun) robert
roberto	роберто	(proper noun) roberto
roberts	робертс	roberts
robespierre	robespierre	robespierre
robin	робін	a name
robinson	робінзон	robinson, as in michelle robinson
rockefeller	рокфеллер	rockefeller, as in john d. rockefeller
roddick	родік	(proper noun) roddick
rodríguez	rodríguez	rodriguez (n.)
roi	стрижень	a stick or switch used for punishment (n.)
roland	роланд	roland
romania	румунія	romania
rome	рим	rome, as in rome, italy
romeo	ромео	(proper noun) romeo, as in romeo and juliet
rommel	ромел	rommel
ron	ron	ron
ronald	рональд	ronald, an english first name
ronaldinho	роналдіньо	ronaldinho
rong	водорості	seaweed (n.)
rosen	троянди	rosen, as in nathan rosen
roth	рота	roth
rotterdam	роттердам	(proper noun) rotterdam
rousseau	розо	rousseau
router	маршрутизатор	cong noi
rovers	роверів	rovers
rowling	сварки	rowling
roy	рой	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	рудольф	rudolph
rue	рута	rue, as in rue des vases, a street name
rulin	рулін	(proper noun) rulin
rumani	румунська	romanian
rumiko	руміко	rumiko, a japanese first name
rummel	рум’яна	rummel
run	бігати	tremble
rung	вібрувати	to shake or vibrate (v.)
russian	російський	(proper adjective) russian
russkaya	руська	(proper noun) russkaya avionika
ruth	рут	(proper noun) ruth
rutherford	резерфорд	rutherford
rutte	rutte	rutte
ruud	ruud	ruud
ruốc	креветки	pemmican
ruồi	мухи	fly
ruổi	руї	rong ruổi=wandering
ruộng	рисове поле	"(term should be ""ruộng đất"") farmland (n.)"
ruột	кишечник	internals
rzeczpospolita	rzeczpospolita	rzeczpospolia
rà	перевіряти	finding
ràng	ясний	clear
rành	вільно володіє	exhaustive
rào	паркан	barrier
rác	сміття	gabbage-trash
rách	рваний	tear
rái	видра	colander
rán	смажити	fried (adj.)
ráp	складання	to assemble (v.)
râm	тінистий	shade
râu	борода	beard or mustache (n.)
rã	розпад	out
rãi	бруківка	"(term should be ""rộng rãi"") generous"
rãnh	траншея	groove
räikkönen	räikkönen	raikkonen
rèm	завіса	curtain
rèn	кування	train
ré	скрип	re
république	république	republique
rét	холод	cold
rê	перетягнути	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	примхнути	moan
rêu	мох	moss
rì	шепіт	lush (adj.)
rìa	край	edge
rình	шпигун	to watch for
rìu	сокира	ax
rít	шипіння	to wail (v.)
rò	протікання	leak
ròng	сітка	net
rót	обливання	to pour (v.)
rô	картатий	diamond
rôbôt	робот	robot
rôma	рим	roman
rông	порожнистий	rising (adj.)
rõ	ясний	clear
rùa	черепаха	turtle
rùng	моторошно	horror
rút	вивести	withdraw
răn	заповідь	commandment
răng	зуб	roasted
rōmaji	rōmaji	romaji
rũ	спокусливий	charm
rơ	автомобіль	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	падіння	fall
rơm	соломи	straw
rươi	тобі	sand-worm
rước	процесія	welcome
rưới	посипати	to sprinkle (v.)
rưỡi	половина	half
rượt	погони	pursue
rượu	алкоголь	wine
rạ	солодка	straw
rạc	дискретний	discrete
rạch	канал	canal
rạng	світанок	break
rạp	театри	theater
rải	розкидані	spread
rảnh	безкоштовно	to be free (adj.)
rất	дуже	very
rầm	косяк	aggressive
rầu	сумно	sorrow
rẫy	вирощування	full
rậm	кущистий	jungle
rập	арабські	"(term should be ""Ả rập"") arab"
rắc	посипати	trouble
rắn	змія	snake
rằm	повний місяць	a full moon (n.)
rằng	що	roasted
rặng	скеля	a row
rẻ	дешево	cheap
rẽ	черга	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	стогін	pealed
rể	зять	in-law
rễ	коріння	root (n.)
rệp	помилка	bug
rệt	яскраво виражений	clearly
rệu	ага	decay
rỉ	іржа	leak
rịavũng	rìvà	ria - bay
rỏ	ясний	clearly
rối	заплутаний	disorder
rốm	хмарно	rom
rồ	божевільний	"(term should be ""điên rồ"") foolish (adj.)"
rồi	вже	and
rồng	дракона	dragon
rổ	кошик	basket
rỗi	безкоштовно	savation
rỗng	порожнистий	hollow
rộ	метушня	profuse (adj.)
rộn	зайнято	busy
rộng	широкий	wide
rớt	падіння	drop
rời	зліва	leave
rỡ	блискучий	brilliant
rợ	варвари	a savage (n.)
rợn	моторошно	scary
rụng	сарай	to drop
rủ	запросити	ask
rủi	неузгодженість	unlucky or unfortunate (n.)
