$	usd	a sign of doller
મહાનગરો	metros	mega-cities
મહાનાયક	supervaronis	great leader
મહાનુભાવો	ekselences	dignitary
મહાપ્રભુ	mahaprabhu	mahaprabhu
મહાપ્રાણ	aspirācija	great voice
મહાબળેશ્વર	mahabaleshwar	mahabaleshwar
મહાભારત	mahabharata	mahabharat
મહાભારતના	no mahabharatas	mahabharat's
મહાભારતનાં	no mahabharatas	in mahabharat
મહાભારતની	no mahabharatas	of mahabharat
મહાભારતનો	no mahabharatas	of mahabharata,
મહાભારતમાં	mahābhāratā	in mahabharat
મહારાજ	mahārādža	king, leader, an priest,
મહારાજની	maharadžs	emperor,
મહારાજા	mahārādža	king
મહારાજાએ	mahārādža	king
મહારાજે	mahārādža	by the king
મહારાષ્ટ્ર	maharaštra	maharashtra
મહારાષ્ટ્રના	no maharaštras	maharashtra's
મહારાષ્ટ્રની	no maharaštras	maharashtra's
મહારાષ્ટ્રમાં	maharaštras štatā	in maharashtra
મહાલ	pils	castle/hall
મહાવીર	mahavira	mahavir
મહાવીરના	mahavira	mahavir's
મહાવીરે	mahavira	mahavir
મહાસત્તા	lielvalsts	superpower
મહાસાગર	okeāns	ocean
મહાસાગરના	no okeāna	ocean's
મહાસાગરમાં	okeānā	in the ocean
મહિના	mēneši	months
મહિનાઓ	mēneši	months
મહિનાઓમાં	mēnešos	in months of
મહિનાના	mēneša laikā	of the month
મહિનાની	mēneša laikā	of month
મહિનામાં	mēnešos	in the month
મહિને	mēnesī	in month
મહિનો	mēnesis	month
મહિમા	gods	faith
મહિલા	sievietes	lady / woman / female
મહિલાઓ	sievietes	ladies
મહિલાઓની	no sievietēm	of ladies
મહિલાઓને	sievietes	to ladies
મહીના	mēneši	months
મહીનાઓ	mēneši	months
મહીનામાં	mēnesī	in the month
મહુવા	mahuva	mahuva
મહેતા	mehta	mehta
મહેતાના	mehta	mehta's
મહેતાની	mehta	of mehta
મહેનત	smags darbs	efforts
મહેલ	pils	palace
મહેસાણા	mehsana	mehsana
મા	ma	th
માં	iekšā	mother
માંગ	pieprasījums	demand
માંગણી	pieprasījums	request
માંગતા	vēlas	intend to do
માંગી	nopirka	asked for
માંગે	vēlas	asking for
માંડ	tik tikko	barely
માંડવી	mandvi	mathvi(wife of bharath) / temples
માંડી	mandi	beginning to
માંડીને	no plkst	from
માંડે	sākas	begins
માંડ્યા	sākās	started
માંડ્યુ	mandju	was taking over
માંડ્યું	sākās	began
માંડ્યો	sākās	started
માંથી	no plkst	out of, from
માંદા	slims	sick
માંસ	gaļa	meat
માંસાહારી	gaļēdāji	non-vegetarian
માઇકલ	maikls	michael
માઇલ	jūdzes	mile
માઈક્રોસોફ્ટ	microsoft	microsoft
માઈલ	jūdzes	mile
માઉન્ટ	kalns	mount
માઉન્ટબેટન	mountbatten	mount betan
માઉસ	pele	mouse
માગ	pieprasījums	demand
માગણી	pieprasījums	demand
માગતા	gribējās	demanding, asking for
માગે	gribējās	asking for
માછલી	zivis	fish
માઝા	mana	my
માટી	māls	earth
માટીના	no māla	clayey
માટૅ	mato	for
માટે	priekš	for
માટેના	priekš	for the
માટેનાં	priekš	to
માટેની	priekš	for that
માટેનું	priekš	for
માટેનો	priekš	of
માટેલ	mattel	matel
માણવા	izbaudīt	enjoy
માણસ	persona	human
માણસની	cilvēka	of human
માણસને	cilvēkam	to man
માણસો	vīrieši	persons
માણસોને	vīrieši	persons
માણાવદર	manavadara	manavdar
માણી	patika	enjoy
માણે	izbaudi	enjoys
માતરમ્	tikai	to mother
માતા	māte	mother
માતાએ	māte	by mother
માતાજી	mataji	goddess
માતાજીનાં	mataji&#39;s	of the mother [goddess]
માતાજીની	matajini	god
માતાજીનું	mataji&#39;s	of the goddess
માતાજીને	mataji	to the mother
માતાના	mātes	mother's
માતાની	mātes	of mother
માતાનું	mātes	of mother
માતાને	māte	to mother
માતાપિતા	māte tēvs	mother father
માતાપિતાએ	vecāki	parents
માતાપિતાની	vecāki	parents
માતૃભાષા	dzimtā valoda	native language
માત્ર	tikai	only
માત્રા	devas	proportion
માત્રામાં	daudzumos	in proportion
માથા	galva	head
માથાદીઠ	uz vienu iedzīvotāju	per head
માથી	no augšas	from
માથું	galva	head
માથે	pa virsu	honour
માદા	sievietes	female
માદ્રી	madhuri	madri
માધવપુર	madhavpur	madhavpur
માધવપુરનો	madhavpur	of madhavpur
માધ્યમ	vidēja	medium
માધ્યમથી	caur	by medium
માધ્યમની	no vidēja	instrument / line
માધ્યમમાં	vidējā	in medium
માધ્યમિક	sekundārā	intermediate / secondary
માધ્યમો	plašsaziņas līdzekļi	instrument
માધ્યમોમાં	plašsaziņas līdzekļos	instrument / line /channel
માન	cieņa	respect
માનચિત્ર	karte	map
માનતા	ticot	believed
માનદ્	godā	honorable
માનમાં	par godu	in honor of
માનવ	cilvēka	man/ human
માનવજાત	cilvēce	mankind
માનવતા	cilvēcība	humanity,
માનવસર્જિત	cilvēka radīts	man made
માનવા	ticēt	to believe
માનવામા	apsver	is believed that
માનવામાં	domājams	acceptable
માનવી	cilvēka	human being
માનવીના	cilvēku	of human
માનવીની	cilvēku	of man
માનવીય	cilvēka	humanistic
માનવુ	ticēt	to believe
માનવું	ticēt	to believe
માનસ	manas	mind
માનસિક	garīgais	mentoly
માના	mana	among
માની	mani	believe
માનીને	pieņemot	considering
માને	tici	believe
માનો	tici	believe, suppose
માન્ચેસ્ટર	mančestra	name of city 'manchester'
માન્ય	derīgs	recognize
માન્યતા	atzīšana	affiliated
માન્યતાઓ	ticējumi	beliefs
માપ	izmērs	scale
માપદંડ	kritēriji	yard stick
માપવામાં	izmērīts	measuring
માફક	patīk	suitable
મામડિયા	mamdia	mamadia
મામલે	gadījumā, ja	matter
મામા	mamma	maternal uncle
માય	mana	my
માયા	maija	allure
માર	nogalināt	beating
મારગ	ceļš	way / path
મારફત	caur	through
મારફતે	caur	through
મારવા	nogalināt	to kill
મારવાની	šaut	beat
મારા	mana	my
મારાં	mana	my
મારી	mana	my
મારું	raktuves	my
મારે	man	to me
મારો	mana	my
માર્ક	marks	mark
માર્કેટ	tirgus	market
માર્કેટિંગ	mārketings	marketing
માર્કેટિંગના	no mārketinga	marketing
માર્ગ	veids	road
માર્ગદર્શક	mentors	guidance
માર્ગદર્શન	norādījumi	guidance
માર્ગદર્શિકા	vadīt	guidance
માર્ગમાં	ceļā	in way
માર્ગે	starp citu	on thew way
માર્ગો	maršruti	ways
માર્ચ	martā	march month
માર્ચના	martā	of march
માર્ચનો	martā	march's
માર્ચમાં	martā	in march
માર્ચે	martā	march month
માર્ટિન	martins	martin
માર્ટીન	martins	martin
માર્મિક	ironiski	poignant
માર્યા	nogalināts	death
માર્યો	sist	killed
માર્શલ	maršals	marshall
માલ	preces	goods
માલદીવ	maldivu salas	maldives
માલની	no precēm	of goods
માલફોય	malfojs	malfoy
માલિક	īpašnieks	owner
માલિકી	īpašumtiesības	owned
માળ	stāvs	storey
માળખા	konstrukcijas	structures
માળખાના	no struktūras	of the structure
માળખુ	uzbūve	structure
માળખું	uzbūve	structure
માળવાના	malwana	marwar
માળા	pērles	beads
માસ	mise	month
માસની	mēneša laikā	of the month
માસમાં	mēnesī	in the month
માસિક	mēnesī	monthly
માસ્ટ	masta	mast
માસ્ટર	meistars	master
માહિતિ	informācija	information
માહિતી	informācija	information
માહિતીઓ	informācija	informations
માહિતીના	informācijas	informations
માહિતીની	informācija	information
માહિતીને	informācija	information
માહિતીરુપી	informatīvs	informative
માહીતી	informācija	information
મિંગ	ming	ming
મિઝોરમ	mizorams	state name
મિડડે	pusdienlaiks	mid day
મિડીયા	plašsaziņas līdzekļi	media
મિત્ર	draugs	friend
મિત્રતા	draudzība	friendship
મિત્રો	draugi	friends
મિથુન	dvīņi	gemini
મિથેન	metāns	methane
મિનાર	tornis	tower/mineret
મિનારા	minarets	towers
મિનારાની	minarets	tower / column
મિનારો	minarets	towers
મિનિટ	minūtes	minute
મિમી	mm	m.m.
મિરાબિલિસ	mirabilis	mirabilis
મિલિયન	miljons	million
મિલીયન	miljons	million
મિશન	misija	mission
મિશનરિઝ	misionāri	missionaries
મિશનરી	misionārs	machinery
મિશ્ર	sajaukts	mix
મિશ્રણ	sajauc	mixture
મિશ્રિત	sajaukts	mixed
મિસ	garām	miss
મી	m	of
મીટર	m	meter
મીઠા	salds	sweet
મીઠી	salds	mithi
મીડિયા	plašsaziņas līdzekļi	media
મીન	zivis	pisces
મીરા	meera	meera
મીરાં	meera	meera
મું	iekšā	th [suffix]
મુંબઇ	mumbaja	mumbai
મુંબઇમાં	mumbajā	in mumbai
મુંબઈ	mumbaja	mumbai
મુંબઈથી	no mumbajas	from mumbai
મુંબઈના	mumbajā	of mumbai
મુંબઈની	mumbaja	of mumbai
મુંબઈમાં	mumbajā	in mumbai city
મુંબઈમાંથી	no mumbajas	from mumbai
મુકત	bezmaksas	leave
મુકદમો	tiesas prāva	case
મુકવા	ielikt	put
મુકવામાં	ievietots	placed
મુકાયો	put	put
મુકિત	atbrīvošanās	freedom
મુકી	put	put
મુકીને	liekot	put
મુકે	liek	put
મુકેશ	mukesh	mukesh
મુક્ત	bezmaksas	free
મુક્તાનંદ	muktananda	muktanand
મુક્તિ	atbrīvošanās	liberalisation
મુક્યા	put	put
મુક્યો	put	put
મુખ	mute	mouth / face
મુખર્જી	mukherjee	mukhargi surname
મુખી	mukhi	mouth
મુખ્ય	galvenais	main / chief
મુખ્યતઃ	galvenokārt	mainly
મુખ્યત્વે	galvenokārt	main
મુખ્યમંત્રી	cm	chief minister
મુખ્યમથક	galvenā mītne	headquarter
મુગલ	mughal	mughal
મુઘલ	mughal	mughal
મુજબ	saskaņā ar	according to
મુદત	jēdziens	duration
મુદ્દા	jautājumi	topic
મુદ્દાઓ	jautājumi	points / topics
મુદ્દાને	līdz punktam	to the point
મુદ્દે	izdevums	topic
મુદ્દો	izdevums	issue
મુદ્રા	poza	gestures
મુદ્રિત	iespiests	print out / literature
મુનશી	munshi	munshi
મુનશીની	munshini	munshi's
મુનિ	gudrais	sage
મુનિએ	gudrais	by monk
મુનિના	munina	muni's
મુમતાજ	mumtaz	mumtaz
મુમતાજની	mumtaz	name
મુર્તિ	elks	sculpture, idol,
મુલાકાત	apmeklējums	visit
મુલાકાતમાં	intervijā	interview
મુલાકાતો	intervijas	visits,
મુળ	vietējie	origin
મુળભુત	pamata	fundamental
મુળી	redīsi	muli
મુવાડા	muwada	muvada
મુશ્કેલ	grūti	trouble
