$ tỉ	miljardu dolāru	$ billion
xíu	sīks	small
xòe	izplatās	spread
xóa	izdzēst	clear
xói	erozija	erode
xóm	kaimiņi	village
xót	žēlsirdība	mercy
xô	bāzt	soviet
xôi	lipīgi rīsi	pierce
xôn	maisa	tumultuous
xông	steidzās	rush
xôphần	kausa sekcija	soviet-poland
xôviết	padomju savienība	soviet
xù	sačukstējās	gigantic
xú	rupjš	xu
xúc	kontakts	touch
xúi	pamudināt	induce
xăm	tetovējums	"(term should be ""xa xăm"") far away (adj.)"
xăng	benzīns	gasoline
xơ	šķiedra	xo
xưa	vecs	old
xưng	atzīstas	"(should be ""tự xưng"") self-proclaimed"
xương	kauls	bone (n.)
xước	saskrāpēts	scratch
xướng	koris	provoke
xưởng	darbnīca	workshop
xạ	starojums	"(term should be ""phản xạ"") to reflect"
xả	izlāde	release
xảo	veikls	detailed
xảy	rodas	happen
xấp	apm	approximate
xấu	slikti	bad
xẩm	pinkains	a type of traditional vietnamese singing
xẩy	rodas	occur
xắt	kauliņš	cut
xẻo	nelaimīgs	cut off
xếp	salocīts	rank
xỉ	izdedži	approximately
xỉa	diegs	to pick (v.)
xỉu	ģībonis	to faint
xốc	šoks	to lift up (v.)
xốp	putuplasta	porous
xổ	izloze	rush into
xộn	netīrs	messy
xứ	zeme	native
xứng	cienīgs	appropriate
xử	ārstēt	judge
y	y	medical
y=fracsin	y = fracsin	a function
ya	jā	(proper noun) ya, as in ya trang
yakovlev	jakovļevs	yakovlev
yakushima	jakušima	yakushima
yalta	jaltā	(proper noun) yalta
yankee	jankieši	(proper noun) yankee
yard	pagalms	yard
yasha	jaša	a name
yeeun	yeeun	(proper noun) yeeun
yeltsin	jeļcins	yeltsin, as in boris yeltsin
yemen	jemeni	yemen
yersin	jersins	(proper noun) yersin, asin alexandre yersin
yi	yi	(proper noun) yi
ying	ying	(proper noun) ying, as in ying yang
ymca	ymca	ymca
yo	yo	yo
yomiuri	jomiuri	yomiuri
yoochun	yoochun	yoochun
york	york	york
yorker	jorks	yorker
yorkshire	jorkšīra	yorkshire
youtube	youtube	youtube
ypres	ypres	ypres
ytv	ytv	ytv
yu	ju	yu
yuan	juaņa	(proper noun) yuan, as in yuan mu
yucatán	jukatana	yucatan, as in the yucatan peninsula
yudhoyono	yudhoyono	(proper noun) yudhoyono, as in indonesian president susilo bambang yudhoyono
yugi	yugi	yugi
yukito	jukito	yukito
yume	yume	(proper noun) yume
yunho	yunho	yunho
yuri	jurijs	yuri, as in soviet pilot and cosmonaut yuri alekseyevich gagarin
yurt	jurta	yurt
yên	jena	peace or stillness (n.)
yêu	mīlēt	love
yếm	virsvalki	tender
yến	putna ligzda	a type of swallow (n.)
yết	iekļaušana sarakstā	yet
yếu	vājš	mainly
yểm	piesegt	support
yển	jena	"is a name meaning, ""bird"""
yểu	jauki	"(term should be ""yểu điệu"") graceful (adj.)"
z	z	z
zac	zac	zac
zambia	zambija	(proper noun) zambia, as in the nation
zealand	zēlande	(proper noun) zealand, as in new zealand
zedong	dzedongs	mao zedong
zero	nulle	zero
zeus	zevs	zeus
zheng	zheng	zheng
zhukmse	zhukmse	zhuk-mse
zimbabwe	zimbabve	zimbabwe
zinedine	zinedīns	(proper noun) zinedine
zing	zing	zing, as in the website
zoe	zoe	zoe
zurich	cīrihe	(proper noun) zurich
zürich	cīrihe	(proper noun) zurich, as in zurich, switzerland
|nguyễn	| nguyen	a common vietnamese last name
|nổi	| pludiņi	"(term should be ""nổi"") to float (v.)"
|petya	| petja	(proper noun) petya
|tên	| vārds	"(should be ""tên"") name (n.)"
|việt	| vjetnamiešu	vietnam
 kg	kilograms	kg
 triệu	miljons	million
 °c	° c	degrees celsius
°đến	° līdz	up to
°độ	° grādi	degree
×	×	x
ào	wow	rush
á	āzijas	asia
ác	ļaunums	evil
ách	jūgs	yoke (n.)
ái	alkas	ai
ám	padara	(with the word chi) to hint at
ánh	spīdums	light
áo	krekls	clothe
áohung	aohung	"(term should be ""Áo-hung"") austria-hungary"
áp	spiediens	"(term should be ""huyết áp"") blood pressure (n.)"
áâu	aoi	eurasian
â	â	a vietnamese vowel sound
âm	mīnus	vagina
ân	labvēlība	deed
én	bezdelīgas	swallow
ép	saspiest	press
êgê	ego	aegean
êm	gluda	smooth
ích	noderīga	benefit
ílam	ílam	tamil language name for the island of sri lanka
ít	maz	less
île	île	Île, as in Île de la cité, france
îledefrance	îledefrance	ile-de-france
ðiều	raksts	article
ðài	ðài	taiwan
ðường	cukurs	a road
ðảng	ballīte	party
ðức	vācija	"Đức, a common vietnamese first name; means ""virtue"""
ó	ó	(with the word la) to boo down
óc	smadzenes	brain
óng	zaigojošs	"(term should be ""óng ả"") flexible"
ôi	ak	"vietnamese version of the exclamation ""oh"""
ôm	apskaut	hug
ôn	mērenība	peaceful (on hoa)
ông	viņš	a man (n.)
ôtô	auto	car
ôxi	skābeklis	oxygen
ôxy	skābeklis	the element oxygen (n.)
ôxít	oksīds	oxide
ôzôn	ozons	ozone
ùn	ievārījumi	congest
úng	aizsērējis	flood
úp	seju uz leju	upside
úy	leitnants	"(term should be ""thiếu úy"") second lieutenant (n.)"
ý	itālijā	italian
ăn	ēst	eat
ăng	skudra	antenna
ăngten	antena	antenna
đa	multi	majority
đai	josla	"(term should be ""Đai khố"") name of a village"
đak	dak	(proper noun) Đak
đan	adīt	scandal
đau	sāpes	painful
đay	džutas	jute, a type of vegetation the vietnamese use to make soup (n.)
đb	db	dien ban
đcstq	dcstq	communist party of china
đcsvn	dcsvn	vietnam communist party
đe	lakta	threaten
đem	atnest	to bring (v.)
đen	melns	black
đentrắng	melns un balts	"(term should be ""đen-trắng"") black-and-white (adj.)"
đeo	valkāt	wear
đh	đh	university
đhcn	đcn	university of industry
đhtm	dhtm	university of economics
đhông	austrumos	dhong
đi	iet	go
điên	traks	crazy
điêu	lieta	sculpture
điôxít	dioksīds	dioxide
điạ	dạ	dia
điếc	kurls	heron
điếu	cigarete	funeral oration
điềm	parakstīt	omen
điền	aizpildīt	estate
điều	lieta	control
điểm	punkts	bearing point
điển	vārdnīca	"(term should be ""từ điển"") a dictionary"
điểu	izdrāzt	thing
điệp	ziņa	spy
điệu	tonis	memorial
đo	mērs	measure
đoa	doa	doa
đoan	grupa	extreme
đom	ugunspuķes	firefly
đoài	mango	the west
đoàn	grupa	an organization or group (n.)
đoái	apmaiņa	"(term should be ""hối đoái"") to exchange or trade (v.)"
đoạn	paragrāfs	a stage or phase (n.)
đt	tālr	training
đtđ	mobilais telefons	diabetes
đua	sacensības	emulate
đui	akls	blind
đun	karstums	cook
đuôi	aste	tail
đuốc	lāpa	a torch
đuối	noslīkst	drowning
đuống	kāts	(proper noun) Đuống, the name of a river
đuổi	tramdīt	pursue
đài	radio	statue
đàm	sarunas	negotiation
đàn	ganāmpulks	musical instrument
đàng	jā	side
đào	rakt	train
đày	trimdā	exile
đá	akmens	to kick
đái	urinēt	pee
đám	grupa	dam
đán	dan	"(term should be ""tết nguyên Đán"") vietnamese new year's day"
đáng	vērts	deserve
đáo	unikāls	unique
đáp	atbildi	response
đát	zeme	"(term should be ""bi đát"") lamentable (adj.)"
đâm	stab	pierce
đâu	kur	anywhere
đây	šeit	below
đã	jau ir	already
đãi	ārstēt	"(should be ""bạc đãi"") to ill-treat"
đãng	lecherous	dissolute
đè	ignorēt	to press on
đèn	lampu	light
đèo	caurlaide	a mountain pass (n.)
đê	dambis	a dike (n.)
đêm	nakts	night
đênh	buks	lênh đênh= float to unknown
đích	galapunkts	goal
đính	pievienots	attached (adj.)
đò	prāmis	a ferry (n.)
đòi	prasība	require
đòn	sitiens	welcome
đó	tur	that or there (adv.)
đóa	nē	"(term should be ""đoá hoa"") a flower bloom"
đói	izsalcis	hungry
đón	pacelt	welcome
đôi	dubultā	sometimes
đôla	dolāru	dollar
đôn	pjedestāla	london
đông	bronzas	eastern
đôngbắc	ziemeļaustrumiem	north-east
đôngnam	dienvidaustrumi	south-east
đôngtây	austrumi rietumi	"(term should be ""đông-tây"") east-west (adj.)"
đôrêmi	doraemon	(proper noun) Đôrêmi
đôrêmon	doraemons	doreamon
đùa	joks	joke
đùi	augšstilba kauls	thigh
đúc	liešana	"(term should be ""đúc kết"") to sum up (v.)"
đúng	tas ir pareizi	right
đúp	dubultā	double
đút	likt	"(term should be ""đút lót"") to bribe"
đăk	dak	dak
đĩ	slampa	whore/bitch
đĩa	šķīvis	disk
đơ	pauze	stiff or rigid (adj.)
đưa	caurlaide	girl
đường	iela	pathway
được	labi	is not
đạ	da	da
đại	lieliski	eagle
đạm	olbaltumvielas	plain
đạn	lode	bullet
đạo	reliģija	vagina
đạp	velosipēds	to step on
đạt	sasniegt	reach
đả	cīnās	to hit
đảm	garantēta	"(term should be ""đảm nhiệm"") to undertake (v.)"
đản	dzimšanas diena	a group or flock (n.)
đảng	ballīte	party
đảo	sala	an island (n.)
đấm	iesist	punch
đấng	dievs	the
đất	zeme	country
đấtmặt	zemes	datmat
đấy	tur	ignore
đầm	kleita	swamp
đần	mēms	"(term should be ""đần độn"") stupid or ignorant (adj.)"
đầu	galva	start
đầy	pilns	"(term should be ""đầy đủ"") adequate or enough"
đẩu	galva	"(entire term is ""khoa đẩu"") ancient phonetic script used in vietnam"
đẩy	virzīt	to push
đẫm	iemērcis	wet
đậm	tumšs	dense
đậu	pupa	to park (v.)
đậy	piesegt	cover
đắc	iegūt	effectively
đắm	sagrauts	sink
đắn	pieklājība	proper (dung dan)
đắng	rūgta	bitter
đắp	augšā	"(term should be ""bù đắp"") to compensate (v.)"
đắt	dārgi	expensive
đằng	pāri	back
đẳng	klase	equality
đặc	īpašs	"(term should be ""đặc biệt"") special (adj.)"
đặn	regulāri	regularly
đẹp	glīti	beautiful
đẽ	labi	beauty
đế	zoles	empire
đếm	skaita	to count (v.)
đến	nāc	come
đề	pavedieni	promote
đền	templis	"(term should be ""đền thờ"") a religious shrine"
đều	ir	all
để	uz	for
đệm	spilvens	middle name
đỉnh	tops	the summit or peak
địch	ienaidnieks	enemy
định	precizēts	appointed
đọ	bez kauliņiem	compete
đọan	paragrāfs	period
đọc	lasīt	read
đọng	sastingusi	deposit
đỏ	sarkans	red (adj.)
đốc	gubernators	admiral
đối	priekš	face
đốm	vietas	spot
đốn	nocirst	"(term should be ""suy đốn:) to be worse off"
đống	kaudzes	line
đốt	dedzināšana	burn
đồ	lieta	thing
đồi	kalns	hill
đồn	baumas	rumour
đồng	vara	agreeable
đổ	ieliet	dump
đổi	mainīt	to change (v.)
đổng	donga	"(term should be ""đồng bằng"") a delta"
đỗ	noparkots	pass
độ	grāds	"term should actually be ""độ cao""; means ""height"""
độc	inde	alone
độn	polsterēts	chaos
động	dinamisks	action
đột	pēkšņi	"(term should be ""xung đột"") conflict (n.)"
đới	zen	tropical
đời	mūžs	generation
đỡ	atbalstu	help
đợi	pagaidiet	thigh
đợt	partija	fit
đục	necaurspīdīgs	turbid
đụn	kāpas	dune
đụng	pieskarties	encounter
đủ	pietiekami	enough
đứa	bērni	child
đức	tikums	virtue (n.)
đứng	stāvēt	to stand (v.)
đứt	salauzts	cut off
đừng	nevajag	not
đực	vīrietis	male
đựng	saturēt	suffer
đựoc	labi	be
ĩ	ak	"(term should be ""ầm ĩ"") noisy"
ơ	ak,	"(term should be ""thờ ơ"") to be indifferent (adj.)"
ơi	hei	"vietnamese equivalent of english ""oh"""
ơn	paldies	thank
ư	u	vowel sound found in the vietnamese alphabet (n.)
ưa	dod priekšroku	to like (v.)
ưng	o jā	to accept (v.)
ưu	plusi	"(term should be ""ưu việt"") preeminent (adj.)"
ươi	orang	orangutan
ươm	bērnistaba	nursery
ương	centrālā	central
ướp	marinēts	mummy
ướt	slapjš	wet
ạ	kungs	a word added to the end of a response to show respect to someone in a position of authority, as in a child to a parent
ạt	steigties	(with word o) to crowd
ải	ải	pass
ảnh	attēls	picture
ấm	silts	warm
ấn	nospiediet	press
ấnâu	drukāt	"(term should be ""Ấn Âu"") a grouping of languages including european and indian languages that are thought to have originated from a single earlier language (adj.)"
ấp	hamlets	district
ấu	jauns	childhood
ấy	ka	that
ẩm	silts	humidity
ẩn	paslēpties	hidden
ập	sprādziens	rush
ắt	protams	sure
ếch	varde	frog
ỏi	piparmētra	little
ố	oi	"(term should be ""hoen ố"") stained and smeared (adj.)"
ốc	gliemeži	building
ốm	slims	sick
ống	caurule	tube
ốp	pieskare	omelette
ồn	troksnis	noisy (adj.)
ổ	brauc	hard drive
ổi	gvajave	guava (n.)
ổn	ir labi	peace
ớn	liels	posts
ớt	čili	chili
ở	iekšā	at
ủ	inkubācija	"(term should be ""ủ dột"") gloomy (adj.)"
ủi	dzelzs	"(term should be ""an ủi"") to comfort (v.)"
ủng	zābaki	boot
ủy	komisārs	commission
ứ	jā	to pool together (v.)
ức	krūts	memories
ứng	pieteikums	corresponding
−−	−−	__
≠	≠	different
