$	dollarni tashkil etadi	dollars
подчинява	bo&#39;ysunadi	subjected
подълго	uzoq muddatga	longer
поезия	she&#39;riyat	poetry
поезията	she&#39;riyat	poetry
поема	she&#39;r	poem
поемат	qabul qilmoq; yutib olmoq	take
поемата	she&#39;r	poem
поеме	egallab oladi	take
поеми	she&#39;rlar	poems
поет	kuylaydi	poet
поета	shoir	poet
поети	shoirlar	poets
поетите	shoirlar	poets
поетът	shoir	poet
пожар	olov	fire
позволи	ruxsat berish	afford
позволява	imkon beradi	allows
позволяват	ruxsat berish	allow
позиции	pozitsiyalari	positions
позициите	pozitsiyalari	positions
позиция	holati	position
позицията	holati	position
познава	biladi	know
познание	bilim	knowlege
познанието	bilim	knowledge
познания	bilim	knowlege
познат	tanish	known
позната	ma&#39;lum	known
познати	tanish	known
познато	tanish	known
поизвестен	yanada mashhur	better known
покаже	ko&#39;rsatadi	show
показател	ko&#39;rsatkich	indicator
показатели	ko&#39;rsatkichlari	indicators
показва	namoyishlari	shows
показват	shou	show
поканен	taklif qilingan	invited
покачване	ko&#39;tarilish	increase
поклонение	sig&#39;inish	pilgimage
поколение	avlod	generation
поколения	avlodlar	generations
покрай	bo&#39;ylab	along
покрайнини	chetda	the outskirts
покрива	panellari	cover
покриват	qopqoq	cover
покривка	dasturxon	cover
покрит	qoplangan	covered
покрита	qoplangan	covered
покрити	qopqoq	covered
покритие	qamrab olish	cover
покровител	homiy	patron
покръстването	suvga cho&#39;mish	conversion
покъсен	kech	later
покъсни	kech	later
покъсните	kech bo&#39;lganlar	later
покъсно	keyinroq	later
пол	jinsi	gender
пола	jinsi	skirt
полага	qo&#39;yadi	makes
полагат	qo&#39;yish	make
поле	maydon	field
полезна	foydali	useful
полезни	foydali	useful
полесно	foydali	easier
полет	parvoz	flight
полета	maydonlar	fields
полети	parvozlar	flights
полето	maydon	field
полза	ustunlik	favor
ползва	foydalanadi	used
ползват	zavqlaning	use
полизахарид	polisaxarid	polihazard
политик	siyosatchi	politician
политика	siyosat	policy
политиката	siyosat	policy
политици	siyosatchilar	politicians
политическа	siyosiy	political
политическата	siyosiy	politics
политически	siyosiy jihatdan	political
политическите	siyosiy	political
политическия	siyosiy	political
политическо	siyosiy	political
политическото	siyosiy	political
полицейски	politsiya	police
полиция	politsiya	police
полицията	politsiya	the police
полк	polk	regiment
полковник	polkovnik	colonel
полов	jinsi	sexual
полова	jinsi	sexual
половата	jinsiy	gender
полови	jinsiy	genitals
половин	yarmi	half
половина	yarmi	half
половината	yarmi	the half
половите	jinslar	genitals
половия	jinsiy	sexual
полово	jinsiy	sexual
положение	holati	position
положението	vaziyat	situation
положителен	ijobiy	positive
положителни	ijobiy	positive
положително	ijobiy	positively
полска	polyakcha	polish
полски	polyakcha	polish
полукълбо	yarim sharda	hemisphere
полумрак	alacakaranlık	dawn
полуостров	yarim orol	peninsula
полуострова	yarim orol	peninsula
полуразпад	yarim hayot	half-life
получава	oladi	receives
получаване	qabul qilinmoqda	obtaining
получават	olish	make
получат	oladi	receive
получен	qabul qildi	obtained
получени	qabul qildi	obtained
получи	olish	received
получил	qabul qildi	received
получила	qabul qildi	received
получили	oldingizmi	received
полша	polsha	poland
полюс	qutb	pole
полюсите	qutblar	poles
поляна	o&#39;tloq	meadow
полярните	qutbli	polar
поляци	qutblar	polish men/ poles
помага	yordam beradi	helps
помагат	yordam	help
помалка	kamroq	lesser
помалки	oz-ozdan	little
помалко	kamroq	less
помалък	kichikroq	lower
помаци	pomaklar	pomaks
помаците	pomaklar	muslims
помежду	orasida	between
помело	pomelo	pomelo fruit
помещава	uylar	housed
помещение	xona	room
помещения	binolar	premises
помогне	yordam	help
поморие	pomorie	pomorie
помощ	yordam	help
помощник	yordamchi	assistant
помощта	yordam	help
помпей	pompey	pompeii
понастоящем	ayni vaqtda	currently
понататък	keyingi	further
поне	kamida	at least
понеделник	dushanba	monday
понеже	chunki	because
пониска	pastki	lower
пониски	pastki	lower
пониските	pastlari	shorter
пониско	pastki	lower
понякога	ba&#39;zan	sometimes
понятие	tushunchasi	concept
понятието	tushunchasi	concept
понятия	tushunchalar	concepts
поп	pop	priest
попада	tushadi	fell
попадат	tushish	fall into
попаднал	urdi	failed
попов	popov	popov
популации	aholisi	populations
популация	aholisi	population
популацията	aholi	population
популярен	mashhur	popular
популярна	mashhur	popular
популярни	mashhur	popular
популярните	mashhur	popular
популярно	mashhur	popular
популярност	mashhurlik	popularity
популярността	mashhurlik	popularity
попфолк	pop-folk	pop-folk
поради	lozim	because
поражда	hosil qiladi	breed
пораждат	dunyoga keltirmoq	rise
поражение	mag&#39;lubiyat	defeat
поражението	mag&#39;lubiyat	the defeat
поражения	shikastlanishlar	damage
порано	erta	earlier
пореден	ketma-ket	serial
поредица	qator	series
поредицата	qator	series
поредни	ketma-ket	consecutive
поредния	keyingisi	consecutive
поречието	vodiy	along
порода	zoti	breed
породата	zoti	breed
породени	ishlab chiqarilgan	started
породи	zoti	breeds
порт	port	port
порта	port	gate
портал	portal	portal
портата	darvoza	gate
портите	darvozalar	gates
портрет	portret	portrait
португалия	portugaliya	portugal
португалски	portugaliya	portuguese
португалския	portugalcha	portuguese
португалците	portugaliyalik	portuguese
порядко	tartibda	less
порядъка	buyurtma	range
посветена	bag&#39;ishlangan	dedicated
посветени	bag&#39;ishlangan	dedicated
посейдон	poseidon	poseidon
посетители	tashrif buyuruvchilar	visitors
посетителите	tashrif buyuruvchilar	visitors
посещава	tashriflar	visited
посещават	tashrif	visit
посещение	tashrif	visit
посещението	tashrif	visit
посещения	tashriflar	visits
посилно	kuchliroq	stronger
поскоро	o&#39;rniga	rather; more
послабо	kuchsizroq	weaker
послание	xabari	message
посланик	elchi	ambassador
посланици	elchilar	ambassadors
после	keyin	then
последва	ergashdi	follow
последвалата	ergashdi	following
последвалите	quyidagi	subsequent
последван	ergashdi	followed
последен	oxirgi	last
последици	oqibatlari	consequences
последиците	oqibatlari	consequences
последна	oxirgi	last
последната	oxirgisi	last
последни	oxirgi	last
последните	keyingisi	last
последния	oxirgisi	last
последният	oxirgisi	the last
последно	oxirgi	recently
последното	keyingisi	last
последователи	izdoshlari	following
последователите	izdoshlari	followers
последователни	izchil	consecutive
последователно	izchil	successively
последователност	ketma-ketlik	sequence
последствие	natija	consequence
последствия	oqibatlari	consequences
последствията	oqibatlari	consequences
посока	yo&#39;nalishi	direction
посоката	yo&#39;nalishi	direction
посоки	ko&#39;rsatmalar	directions
посочва	ishora qiladi	states
посочват	belgilang	indicate
поспециално	ayniqsa	in particular
