$ tỉ	বিলিয়ন ডলার	$ billion
prometheus	প্রমিথিউস	(proper noun) prometheus
protein	প্রোটিন	protein
prôtêin	প্রোটিন	protein (n.)
ps	পুনশ্চ	ps
psv	পিএসভি	psv
ptolemy	টলেমি	ptolemy
ptq	ptq	ptq
puerto	puerto	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	পুলিৎজার	(proper noun) pulitzer, as in the pulitzer prize
pulp	সজ্জা	pulp
punjab	পাঞ্জাব	punjab
pusan	pusan	(proper noun) pusan
putin	পুতিন	putin
pyrenees	পিরেনে	pyrenees
pytago	pytago	(proper noun) pytago
pzl	pzl	pzl
péc	pec	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	পেরেজ	(proper noun) perez, as in javier perez de cuellar
păng	আকস্মিক তীব্র বেদনা	fansipan
pơ	po	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	কুই	q ( a letter)
qatar	কাতার	qatar
qd	qd	quantum dots
qing	চিং	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	দ্বারা	transmit
quad	চতুর্ভুজ	quad
quan	, quan	"(term should be ""quan hệ"") relationship (n.)"
quang	অপটিক্যাল	bladder
quanh	কাছাকাছি	around
quay	পরিণত	turn
que	রড	stick
queen	রাণী	queen
queens	কুইন্স	(proper noun) queens, as in the new york borough
queensland	কুইন্সল্যান্ড	queensland
quen	পরিচিত	accustomed to
qui	qui	formal
quincy	quincy	(proper noun) quincy, as in quincy jones
quran	কুরআন	quran
quy	নিয়ম	"(term should be ""quy ước"") agreement"
quyên	মৌলিক	"(term should be ""quyên góp"") to donate (v.)"
quyến	কবজ	"(term should be ""gia quyến"") family"
quyền	অনুমতি	right
quyện	মিশতে	mix
quyệt	প্রতারণাপূর্ণ	"(should be ""xảo quyệt"") devious"
quá	অত্যধিক	over
quái	নরক	strange or odd
quán	বার	hometown
quáng	অন্ধ	blind
quát	চিৎকার	generalize
quân	, quan	army (n.)
quãng	প্রায়	optical
quét	স্ক্যান	to sweep (v.)
quê	গ্রাম	countryside
quên	ভুলবেন	forget
quý	মূল্যবান	love
quýt	মানডারিন	tangerine
quăng	শিরসঁচালন	to throw (v.)
quĩ	তহবিল	orbit
quạ	কাক	crow (con qua)
quạt	পাখা	fan
quản	শাসক	"(entire term is ""cai quản"") to manage"
quảng	প্রচার	guangzhou
quấn	মোড়ানো	wrap around
quất	kumquat	whip
quấy	আলোড়ন	harass
quần	ট্রাউজার্স	pants (n.)
quầng	বর্ণবলয়	halo
quầy	কাউন্টার	stall
quẩy	দোলনা	quay
quẫn	হতভাগ্য	necessitous
quận	জেলা	county (n.)
quật	খনন	excavation
quẳng	শিরসঁচালন	throw
quặc	অদ্ভুত	strange (adj.)
quặng	আকরিক	an ore (n.)
quẻ	hexagram	hexagram
quế	দারুচিনি	cinnamon (n.)
quết	গাদ	knead
quệ	দরিদ্র	exhausted
quỉ	শয়তান	demon
quỳ	হাঁটু গাড়িয়া বসা	demon (n.)
quỳnh	quỳnh	quynh
quỵ	ঘাই	stroke
quỷ	শয়তান	provided
quỹ	তহবিল	fund
qúy	সিকি	quy
r	r	r
rabindranath	রবীন্দ্রনাথ	rabindranath
race	জাতি	race
rafael	রাফায়েল	rafael
rafale	rafale	(proper noun) rafale, as in dassault rafale
rai	রাই	slowly intake
raleigh	রালেগ	raleigh
ralph	রালফ	(proper noun) ralph, as in ralph waldo emerson
ram	র্যাম	a name
rama	রমা	rama, first name of several rulers of thailand (n.)
ramadan	রমজান	(proper noun) the fasting month of ramadan
ramayana	রামায়ন	ramayana
rambus	rambus	rambus
ran	দৌড়ে	ran
ranch	পশু খামার	ranch
randy	কামুক	randy
rang	রাং	roast
rangers	অশ্বারোহী সৈন্যদল	rangers
ranh	সীমানা	border (ranh gioi)
rao	বিজ্ঞাপন	to announce
rap	খট্ খট্ শব্দ	rap
raptor	raptor	raptor
rate	হার	rate
rau	শাকসবজি	vegetable
ray	রশ্মি	rail (n.)
raya	রায়া	raya
raymond	রেমন্ড	raymond
rađa	রাডার	radar
reagan	রিগ্যান	reagan
real	বাস্তব	real
reanimation	সঁজীবন	reanimation
reap	কাটা	reap
reef	প্রবালপ্রাচীর	reef
regia	রেজিয়া	regia
reichelt	reichelt	reichelt
ren	ফিতা	lace (n.)
renaissance	রেনেসাঁ	renaissance
renault	রেনল্ট	renault
rené	রেনে	rene
reo	রিং	yell
reserve	সংচিতি	reserve
resort	অবলম্বন	resort
reverse	বিপরীত	reverse
revolution	বিপ্লব	revolution
rey	রে	rey, as in copa del rey
rfid	rfid	rfid
rhodes	rhodes	rhodes
rica	rica	rica
ricardo	রিকার্ডো	ricardo
ricci	রিচি	ricci
richard	রিচার্ড	richard
richardson	রিচার্ডসন	(proper noun) richardson, as in james o. richardson
richie	রিচি	(proper noun) richie, as in singer lionel richie
rico	রিকো	rico, as in puerto rico
riemann	রিম্যান	riemann, as in bernhard riemann, a german mathematician
rimjob	চাটা	rimjob
rin	rin	rin
rising	উঠন্ত	rising
risk	ঝুঁকি	risk
ritchie	ritchie	a name
rivaldo	rivaldo	rivaldo
rivière	rivière	a name
rizal	rizal	rizal
riêng	ব্যক্তিগত	own
riêu	riêu	crab
riết	riet	urgently
riềng	galangal	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	রবার্ট	(proper noun) robert
roberto	রবার্তো	(proper noun) roberto
roberts	রবার্টস	roberts
robespierre	robespierre	robespierre
robin	পক্ষীবিশেষ	a name
robinson	রবিনসন	robinson, as in michelle robinson
rockefeller	রকফেলার	rockefeller, as in john d. rockefeller
roddick	রডিক	(proper noun) roddick
rodríguez	রদ্রিগেজ	rodriguez (n.)
roi	যষ্টি	a stick or switch used for punishment (n.)
roland	রোল্যান্ড	roland
romania	রুমানিয়া	romania
rome	রোম	rome, as in rome, italy
romeo	রোমিও	(proper noun) romeo, as in romeo and juliet
rommel	rommel	rommel
ron	ron	ron
ronald	রোনাল্ড	ronald, an english first name
ronaldinho	রোনালদিনহোর	ronaldinho
rong	শেত্তলাগুলি	seaweed (n.)
rosen	rosen	rosen, as in nathan rosen
roth	roth	roth
rotterdam	rotterdam	(proper noun) rotterdam
rousseau	রুশো	rousseau
router	রাউটার	cong noi
rovers	রোভার্স	rovers
rowling	রাউলিং	rowling
roy	রায়	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	রুডলফ	rudolph
rue	অনুতাপ	rue, as in rue des vases, a street name
rulin	rulin	(proper noun) rulin
rumani	romanian	romanian
rumiko	rumiko	rumiko, a japanese first name
rummel	rummel	rummel
run	চালান	tremble
rung	কাম্পান	to shake or vibrate (v.)
russian	রাশিয়ান	(proper adjective) russian
russkaya	russkaya	(proper noun) russkaya avionika
ruth	করুণা	(proper noun) ruth
rutherford	রাদারফোর্ড	rutherford
rutte	rutte	rutte
ruud	রুড	ruud
ruốc	চিংড়ি	pemmican
ruồi	মাছি	fly
ruổi	ruoi	rong ruổi=wandering
ruộng	ধান ক্ষেত	"(term should be ""ruộng đất"") farmland (n.)"
ruột	অন্ত্র	internals
rzeczpospolita	rzeczpospolita	rzeczpospolia
rà	চেক আউট	finding
ràng	স্পষ্ট	clear
rành	অনর্গল	exhaustive
rào	বেড়া	barrier
rác	আবর্জনা	gabbage-trash
rách	টুটা	tear
rái	ভোঁদড়	colander
rán	ভাজা	fried (adj.)
ráp	সমাবেশ	to assemble (v.)
râm	ছায়াময়	shade
râu	দাড়ি	beard or mustache (n.)
rã	ক্ষয়	out
rãi	খোয়া	"(term should be ""rộng rãi"") generous"
rãnh	পরিখা	groove
räikkönen	raikkonen	raikkonen
rèm	পরদা	curtain
rèn	জোড়দার করা	train
ré	নালিশ করা	re
république	république	republique
rét	ঠান্ডা	cold
rê	টানা	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	ঘ্যানঘ্যান	moan
rêu	শৈবাল	moss
rì	কূজন	lush (adj.)
rìa	প্রান্ত	edge
rình	গুপ্তচর	to watch for
rìu	কুঠার	ax
rít	হিস্হিস	to wail (v.)
rò	ফুটা হত্তয়া	leak
ròng	নেট	net
rót	ঢালাও	to pour (v.)
rô	ছককাটা	diamond
rôbôt	রোবট	robot
rôma	রোম	roman
rông	ফাঁপা	rising (adj.)
rõ	স্পষ্ট	clear
rùa	কচ্ছপ	turtle
rùng	ছম্ছমে	horror
rút	প্রত্যাহার	withdraw
răn	আদেশ	commandment
răng	দাঁত	roasted
rōmaji	রোমাজি	romaji
rũ	প্রলোভনসঙ্কুল	charm
rơ	গাড়ী	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	পড়া	fall
rơm	খড়	straw
rươi	তোমাকে	sand-worm
rước	মিছিল	welcome
rưới	ছিটিয়ে দেয়া	to sprinkle (v.)
rưỡi	অর্ধেক	half
rượt	পশ্চাদ্ধাবন	pursue
rượu	এলকোহল	wine
rạ	তালপাতা	straw
rạc	বিযুক্ত	discrete
rạch	খাল	canal
rạng	ভোর	break
rạp	থিয়েটার	theater
rải	বিক্ষিপ্ত	spread
rảnh	বিনামূল্যে	to be free (adj.)
rất	খুব	very
rầm	চৌকাঠের বাজু	aggressive
rầu	দু: খিত	sorrow
rẫy	চাষ	full
rậm	জঙ্গলময়	jungle
rập	আরব	"(term should be ""Ả rập"") arab"
rắc	ছিটিয়ে দেয়া	trouble
rắn	সাপ	snake
rằm	পূর্ণিমা	a full moon (n.)
rằng	যে	roasted
rặng	পাথর	a row
rẻ	সস্তা	cheap
rẽ	চালু	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	ক্রন্দন	pealed
rể	জামাতা	in-law
rễ	শিকড়	root (n.)
rệp	বাগ	bug
rệt	উচ্চারিত	clearly
rệu	চিরকাল	decay
rỉ	মরিচা	leak
rịavũng	riva	ria - bay
rỏ	স্পষ্ট	clearly
rối	জট	disorder
rốm	মেঘলা	rom
rồ	পাগল	"(term should be ""điên rồ"") foolish (adj.)"
rồi	ইতিমধ্যে	and
rồng	ঘুড়ি বিশেষ	dragon
rổ	ঝুড়ি	basket
rỗi	বিনামূল্যে	savation
rỗng	ফাঁপা	hollow
rộ	ছুটাছুটি	profuse (adj.)
rộn	ব্যস্ত	busy
rộng	প্রশস্ত	wide
rớt	পড়া	drop
rời	বাম	leave
rỡ	উজ্জ্বল	brilliant
rợ	বর্বরদের	a savage (n.)
rợn	ছম্ছমে	scary
rụng	চালা	to drop
rủ	আমন্ত্রণ করা	ask
rủi	দুর্ঘটনা	unlucky or unfortunate (n.)
rứa	rua	rua
rừng	বন। জংগল	forest
rửa	ধোয়া	to wash (v.)
rữa	ধোয়া	to decompose or rot (v.)
sa	sa	to fall or drop (v.)
sabah	সাবাহ	sabah
sachsen	sachsen	sachsen
saddam	সাদ্দাম	(proper noun) saddam, as in saddam hussein
safari	আফ্রিকায় শিকার অভিযান	safari
safin	safin	safin
sahara	সাহারা	sahara
sai	ভুল	wrong
saigon	সাইগন	saigon
saintdenis	saintdenis	saint-denis
sakura	sakura	sakura
salem	সালেম	(proper noun) salem, as in the city
salvador	সালভাদর	salvador
salzburg	salzburg	salzburg
samhain	সামহেন	samhain
samo	samo	samo, the name of the first slavic ruler
samoa	সামোয়া	(proper noun) samoa
samphan	সাম্পান	samphan
samsung	স্যামসাং	samsung
samuel	স্যামুয়েল	samuel
samuelson	samuelson	(proper noun) samuelson
samurai	আধুনিক জাপানের যে-কোন সেনাধ্যক্ষ	samurai
samut	samut	(proper noun) samut, as in samut prakan in thailand
san	san	level
sanchez	সানচেজ	sanchez
sang	প্রতি	to
sango	সাঙ্গো	sango, a language spoken in africa
sangraal	sangraal	sangraal
sanh	জন্ম	bear
sanktpeterburg	sanktpeterburg	sankt-peterburg
santos	সান্তোসের	santos, as in footballer cristiano ronaldo dos santos aveiro of portugal
sao	তারকা	how
sap	প্রাণরস	sap
sapa	sapa	sapa
sapiens	স্যাপিয়েন্সের	sapiens
sar	sar	sar
sarah	সারাহ	sarah, as in sarah pierce
sarawak	সারাওয়াক	(proper noun) sarawak, a malaysian state on the island of borneo
sarcoma	সংযোজক কোযের মারাত্মক টিউমার	sarcoma
sardinia	সারডিনিয়া	sardinia
sary	sary	(proper noun) sary, as in ieng sary
saturanga	saturanga	saturanga
saturday	শনিবার	saturday
sau	পরে	after (adv.)
saudi	সৌদি	(proper noun) saudi, as in saudi arabia
saunière	saunière	saunière
scandinavia	স্ক্যান্ডিনেভিয়ার	scandinavia
schafer	শেফার	schafer, as in john c. schafer
schengen	schengen	schengen
schiller	schiller	schiller
schlesinger	schlesinger	schlesinger
schneider	স্নাইডার	schneider, a last name
schumacher	শুমেকার	schumacher, as in michael schumacher
