$	usd	dollarsign
nationaalsocialistische	nacionālsociālists	national socialistic
national	nacionālais	national
nationale	nacionālais	national
nationalisme	nacionālisms	nationalism
nationalisten	nacionālisti	nationalists
nationalistisch	nacionālistu	nationalist
nationalistische	nacionālists	nationalist
nationaliteit	tautība	nationality
nations	nācijas	nations
natrium	nātrijs	sodium
natte	slapjš	wet
natural	dabiski	natural
nature	daba	nature
natuur	daba	nature
natuurgebieden	dabas liegumi	nature reserves
natuurkunde	fizika	physics
natuurkundige	fiziķis	physicist
natuurlijk	protams	natural
natuurlijke	dabiski	natural
natuurreservaat	dabas rezervāts	nature reserve
natuurwetenschappen	dabas zinātnes	natural sciences
nauw	šaurs	narrow / close to
nauwe	tuvu	close
nauwelijks	tik tikko	barely
nauwkeurig	precīzi	precise
navo	nato	navo - dutch abbreviation of north atlantic treaty organization
navolging	imitācija	imitation
naziduitsland	nacistiskā-vācija	nazi germany
nb	nb	nb
nba	nba	nba
ncis	ncis	ncis
ne	ne	ne
nec	citur neklasificēts	nec
necrofilie	nekrofilija	necrophilia
nederlaag	sakāve	defeat
nederland	nīderlande	the netherlands
nederlanden	nīderlande	netherlands
nederlander	holandietis	dutchman
nederlanders	holandiešu	dutch
nederlands	holandiešu	dutch
nederlandsche	holandiešu	dutch
nederlandse	holandiešu	dutch
nederlandsindië	holandiešu indija	dutch east indies
nederlandstalig	holandiešu valodā	dutch
nederlandstalige	holandiešu	dutch-speaking
nederrijn	reina	lower rhine
nederzetting	norēķins	settlement
nederzettingen	apmetnes	settlements
need	vajag	need
neef	brālēns	cousin
neemt	ņem	accounts for - 2nd sentence, decreases - 4th sentence
neer	uz leju	down
neergezet	nolikt	put down
neerslag	nokrišņi	precipitation
negatief	negatīvs	negative
negatieve	negatīvs	negative
negen	deviņi	nine
negende	devītais	ninth
negentiende	deviņpadsmitā	nineteenth
negentig	deviņdesmit	ninety
neiging	slīpums	urge
neil	neil	neil
nek	kakla	neck
nelson	nelsons	nelson
nemen	ņemt	take
nepal	nepāla	nepal
nergens	nekur	nowhere
nero	nero	nero
nest	ligzda	nest
net	vienkārši	just
netnummer	reģionālais kods	netnumber
netvleugeligen	tīkli	lacewinged
netvlies	tīklene	retina
netwerk	tīkls	network
netwerken	tīklošana	networks
network	tīkls	network
neurologische	neiroloģiski	neurological
neuronen	neironi	neurons
neus	deguns	nose
neutraal	neitrāla	neutral
neutrale	neitrāla	neutral
neutraliteit	neitralitāte	neutrality
nevada	nevada	nevada
never	nekad	never
new	jauns	new
news	ziņas	news
newton	ņūtons	newton
nicaragua	nikaragva	nicaragua (land)
nicht	brāļameita	niece
nick	niks	nick
nicolas	nikolas	nicolas
nicole	nicole	nicole
niemand	neviens	nobody
nier	nieres	kidney
nieren	nieres	kidneys
niet	nē	not
nietonafhankelijke	nav patstāvīgs	independant
niets	neko	nothing
niettemin	tomēr	nevertheless
nietzsche	nīče	nietzsche
nietzsches	nīčes	nietzsche
nieuw	jauns	new
nieuwe	jauni	new
nieuwere	jaunāka	newer
nieuwguinea	jaunā gvineja	new guinea
nieuws	ziņas	news
nieuwste	jaunākais	new
nieuwzeeland	jaunzēlande	new zealand
niger	nigēra	niger
nigeria	nigērija	nigeria
night	nakts	night
nightmare	murgs	nightmare
nijl	nīls	nile
nijmegen	neimegena	nijmegen
niko	niko	niko
nikola	nikola	nikola
niks	neko	nothing
nina	nina	nina
nintendo	nintendo	nintendo
nirvana	nirvāna	nirvana
niveau	līmenis	level
niveaus	līmeņi	levels
nixon	nixon	nixon
nl	nl	com
nl 	nl	en
nm	nm	nanometre
nnationaal	nacionālais	nnationaal
no	nē	number
nobelprijs	nobela prēmija	nobel price
noch	ne	nor
nodig	nepieciešams	necessary
nodige	nepieciešams	some
noemde	sauca	mentioned
noemden	sauca	called
noemen	pieminēt	call
noemenswaardige	vērts pieminēt	significant
noemer	saucējs	aliquot
noemt	zvani	call
nog	tomēr	even
nogal	diezgan	rather
nogmaals	vēlreiz	again
nominaties	nominācijas	nominations
non	nav	nun
nood	ārkārtas	emergency
noodgedwongen	no nepieciešamības	forced
noodsituatie	ārkārtas	emergency situation
noodzaak	vajag	necesitty
noodzakelijk	nepieciešams	necessary
noodzakelijke	nepieciešams	necessary
nooit	nekad	never
noord	uz ziemeļiem	north
noordafrika	ziemeļāfrika	north africa
noordamerika	ziemeļamerika	north america
noordamerikaanse	ziemeļamerikānis	north american
noordbrabant	ziemeļbrabante	north brabant
noordcyprus	ziemeļu kipra	north(ern)-cyprus
noordelijk	ziemeļu	northern
noordelijke	ziemeļu	northern
noorden	uz ziemeļiem	north
noordeuropa	ziemeļeiropa	north europe
noordholland	ziemeļholande	north holland
noordierland	ziemeļīrija	northern ireland
noorditalië	ziemeļitālija	northern italy
noordkorea	ziemeļkoreja	north korea
noordoostelijke	ziemeļaustrumu	northeastern
noordoosten	ziemeļaustrumiem	nort-east
noordpool	arktika	northpole
noordse	ziemeļnieku	nordic
noordwesten	ziemeļrietumi	northwestern
noordzee	ziemeļu jūra	north sea
noors	norvēģi	norwegian
noorse	norvēģi	norwegian
noorwegen	norvēģija	norwegia
norm	norma	value
normaal	normāli	normal
normale	normāli	normal
norman	normans	norman
normen	standartiem	standards
north	uz ziemeļiem	north
northern	ziemeļu	northern (noord)
nos	nos	nos
nostradamus	nostradamus	nostradamus
not	nē	not
noten	rieksti	nuts
nothing	neko	nothing
nou	nu labi	nou
nouveau	jūgendstils	nouveau
nova	nova	nova
november	novembrī	november
now	tagad	now
nr	nē	nr
nrc	nrc	nrc
nsb	nsb	nsb
nsdap	nsdap	nsdap
nu	tagad	at present
nucleaire	kodolieroči	nuclear
nul	nulle	zero
nummer	numuru	song
nummers	skaitļi	songs
nut	lietderība	use
nv	nv	public limited company (plc)
nva	nva	nva
nvt	n / a	not applicable
o	o	o
oa	ao	among others
obama	obama	obama
obediënties	paklausības	obediences
obelix	obelix	obelix
object	objekts	object
objecten	objekti	objects
objectief	objektīvi	objective
objectieve	objektīvs	objective
oceaan	okeāns	ocean
oceanen	okeāni	oceans
oceanië	okeānija	oceania
ochtend	rīts	morning
ochtends	no rīta	morning
octavianus	oktavianu	octavian
octavo	octavo	octavo
oefenen	praktizēt	exercise
oekraïens	ukraiņu	ukrainian
oekraïne	ukraina	ukraine
oeral	urāli	ural
oerknal	lielais sprādziens	big bang
oeuvre	mūžs	oeuvre
oevers	bankas	banks
of	vai	of
off	izslēgts	off
offensief	aizskaroši	assault
office	birojs	kantoor
officer	virsnieks	officer
officieel	oficiāli	official
officier	virsnieks	officer
officieren	virsnieki	officers
officiële	ierēdnis	official
oftewel	citiem vārdiem sakot	that is
ofwel	arī	or
ogen	acis	eyes
ogenblik	brīdis	moment
oh	ak	oh
oktober	oktobris	october
oldenbarnevelt	oldenbarnevelt	oldenbarnevelt
olie	eļļa	oil
olieverf	eļļas krāsa	oil paint
olifant	zilonis	elephant
olifanten	ziloņi	elephants
oliver	olivers	oliver
olivier	olivier	olivier
olympia	olimpiāde	olympia
olympic	olimpiskais	olympic
olympisch	olimpiskais	olympic
olympische	olimpiskais	olympic
om	uz	because
omar	omārs	omar
omdat	jo	because
omgaan	lai žautu	handle
omgang	dzimumakts	handling
omgebouwd	pārveidots	converted
omgedoopt	pārdēvēts	renamed
omgekeerd	otrādi	vice versa
omgekeerde	atpakaļgaitā	possible returned
omgekomen	nomira	killed
omgeven	ieskauj	surrounded
omgeving	vide	environment
omgevingsfactoren	vides faktori	environmental factors
omgevormd	pārveidots	formed
omgezet	pārveidots	converted
omhoog	augšā	up
omliggende	apkārtējie	surrounding
omringd	ieskauj	surrounded
omringende	apkārtējie	surrounding
omroep	raidorganizācija	broadcast
omschreven	aprakstīts	described
omschrijving	apraksts	definition
omstandigheden	apstākļi	conditions
omstreden	strīdīgs	controversial
omstreeks	par	about
omtrek	perimetrs	perimeter
omtrent	par	about
omvang	izmērs	size - 1st and 6th sentence, scale - 3th sentence
omvangrijk	lielgabarīta	extensive
omvangrijke	lielgabarīta	extensive
omvat	ietilpst	include
omvatte	iekļauts	encompassed - 1st sentence, included - 3th and 7th sentence.
omvatten	iekļaut	include
omwille	labā	because
omzet	ieņēmumi	sales
omzetbelasting	tirdzniecības nodoklis	turnover taxes
on	ieslēgts	on
onafhankelijk	neatkarīgs	independent
onafhankelijke	neatkarīgs	independent
onafhankelijkheid	neatkarība	independence
onafhankelijkheidsverklaring	neatkarības deklarācija	declaration of independence
onbekend	nezināms	unknown
onbekende	nezināms	unknown
onbruik	nelietot	disuse
ondanks	neskatoties	notwithstanding
onder	zemāk	among
onderaan	apakšā	at the bottom
onderbroken	pārtrauca	disturbed
onderdak	patversme	shelter
onderdanen	priekšmeti	stumps
onderdeel	daļa	part
onderdelen	sastāvdaļas	parts
onderdrukken	apspiest	suppress
onderdrukking	apspiešana	suppression
onderdrukt	nomākts	suppresses
ondergaan	iziet	undergone
ondergang	nāve	decline
ondergebracht	izmitināti	housed
ondergeschikt	pakļauts	subordinate
onderging	izgāja	underwent
ondergrond	virsma	soil
ondergronds	pazemē	subterranean
ondergrondse	pazemē	underground
onderhandelingen	sarunas	negotiations
onderhevig	priekšmets	subject to
onderhoud	uzturēšana	ovderhoud
onderhouden	saglabāt	maintain
onderhoudt	uztur	maintains
onderkaak	apakšžoklis	mandible
onderliggende	pamatā	underlying
onderling	savā starpā	amongst each other
onderlinge	savstarpēja	mutual
ondernam	apņēmās	undertook
ondernemen	apņemties	undertake
ondernemer	uzņēmējs	entrepreneur
onderneming	uzņēmums	company
ondernemingen	kompānijas	entreprises
ondernomen	uzņēmusies	taken
onderpand	nodrošinājums	backed
onderscheid	atšķirība	distinction
onderscheiden	atšķirt	differentiated
onderscheiding	balvu	distinction
onderscheidingen	balvas	awards
onderscheidt	atšķir	distinguish
ondersoort	pasugas	subspecie
ondersoorten	pasugas	subspecies
onderstaande	zemāk	below
onderste	zemāks	lower
ondersteund	atbalstīts	supported
ondersteunen	atbalstu	support
ondersteuning	atbalstu	support
ondersteunt	balsti	supports
ondertussen	tikmēr	meanwhile
onderverdeeld	sadalīts	divided
onderverdeling	apakšnodalījums	subdivision
ondervinden	pieredze	to go through
ondervindt	pārdzīvojumi	sustains
onderweg	ceļā	on the way
onderwerp	temats	subject
onderwerpen	priekšmeti	topics
onderwezen	mācīja	taught
onderwijs	izglītība	education
onderworpen	subjekts	subject
onderzijde	apakšā	underside
onderzocht	izmeklēja	investigated
onderzoek	izpēte	investigation
onderzoeken	pētīt	investigate
onderzoekers	pētnieki	researchers
onderzoekt	izmeklē	researches
onduidelijk	neskaidrs	unclear
one	viens	one
oneindig	bezgalīgs	never ending
onenigheid	domstarpības	discussion
ongeacht	neskatoties uz	regardless of
ongeboren	nedzimis	unborn
ongebruikelijk	neparasts	unusual
ongekende	bezprecedenta	unknown
ongeluk	avārija	accident
ongelukken	nelaimes gadījumi	accidents
ongenoegen	nepatika	displeasure
ongetwijfeld	bez šaubām	undoubtedly
ongeval	avārija	accident
ongeveer	par	approximatily
ongewenste	nevēlama	unwanted
onjuist	nepareiza	incorrect
onlangs	nesen	recently
online	tiešsaistē	online
only	tikai	only
onmiddellijk	tūlīt	immediately
onmogelijk	neiespējami	impossible
ono	ono	ono
onrechte	nepareizi	unjustly
onregelmatig	neregulārs	irregular
onregelmatige	neregulārs	irregular
onrust	nemieri	unrest
ons	asv	our
ontbinden	izšķīst	dissolve
ontbrak	pietrūka	lacked
ontbreekt	ir pazudis	misses
ontbreken	trūkums	absence
ontdekken	atklāt	discover
ontdekking	atklājums	discovery
ontdekkingen	atklājumi	discoveries
ontdekkingsreiziger	pētnieks	explorer
ontdekt	atklāts	discovered
ontdekte	atklāts	discovered
onterecht	negodīgi	unjust
ontevredenheid	neapmierinātība	unhappiness
ontgonnen	mīnēts	cultivated
onthaald	saņemts	received
onthouden	atcerēties	remembered
ontkend	noliegts	deny
ontkende	noliegts	denied
ontkennen	noliegt	to deny
ontkomen	aizbēgt	to escape
ontlasting	defekācija	shit
ontleend	aizņēmies	extracted
ontmoet	met	meets
ontmoeten	iepazīstieties	met
ontmoeting	sapulce	meeting
ontmoette	met	met
ontmoetten	met	meet
ontslag	atlaišana	dismissal
ontslagen	atlaisti	fired
ontsluiting	gremošana	digestion
ontsnappen	aizbēgt	escape
ontsnapt	aizbēga	escaped
ontsnapte	aizbēga	escaped
ontspringen	brāzmains	arise
ontstaan	izcelsme	takes form
ontstaat	rodas	arises
ontstane	radās	originated
ontsteking	iekaisums	swelling
ontstekingen	iekaisums	inflammations
ontstoken	iekaisusi	infected
ontstond	radās	was
onttrekken	krāns	withdraw from
onttrokken	ekstrahēts	dissolved
ontvangen	saņemts	recieve
ontvanger	uztvērējs	receiver
ontvangt	saņemt	receive
ontving	saņemts	recieved
ontvingen	saņemts	received
ontvoerd	nolaupīti	kidnapped
ontwerp	dizains	design
ontwerpen	dizainēt	designs
ontwerper	dizainere	designer
ontwierp	paredzēts	designed
ontwikkeld	attīstīta	developed
ontwikkelde	attīstīta	developed
ontwikkelden	attīstīta	developed
ontwikkelen	attīstīties	develop
ontwikkeling	attīstību	development
ontwikkelingen	norises	developments
ontwikkelingsstoornis	attīstības traucējumi	developmental
ontwikkelt	attīstās	develops
ontworpen	paredzēts	designed
onvermogen	nespēja	inability
onverwacht	negaidīts	unexpected
onverwachte	negaidīts	unexpected
onvoldoende	nepietiekams	insufficient
onvrede	neapmierinātība	dissatisfaction
onwaarschijnlijk	maz ticams	unprobable
onze	mūsu	our
onzeker	nenoteikts	insecure
onzekerheid	nenoteiktība	insecurity
onzichtbaar	neredzams	invisible
oog	acs	eye
oogpunt	viedoklis	point of view
oogst	raža	harvest
ooit	kādreiz	ever
ook	arī	also
oom	tēvocis	uncle
oor	auss	ear
oordeel	spriedums	judgement
oorlog	karš	war
oorlogen	kari	wars
oorsprong	izcelsme	origin
oorspronkelijk	sākotnēji	originally
oorspronkelijke	oriģināls	original
oorzaak	cēlonis	cause
oorzaken	cēloņi	causes
oost	uz austrumiem	east
oostazië	austrumāzija	eastern asia
oostberlijn	austrumu berlīne	east berlin
oostblok	austrumu bloks	eastern bloc
oostduitsland	austrumvācija	east germany
oostelijk	austrumu	eastern
oostelijke	austrumu	eastern
oosten	austrumos	east
oostende	ostend	oostende
oostenrijk	austrijā	austria
oostenrijkers	austrieši	east rijkers
oostenrijkhongarije	austrijas ungārija	austria-hungary
oostenrijkse	austrietis	austrian
oosterse	austrumu	eastern
oosteuropa	austrumeiropa	eastern europe
oostkust	austrumu krasts	east coast
oostromeinse	austrumu romiešu	east romanian
oostzee	baltijas jūra	east sea
op	ieslēgts	on
opbouw	uzbūve	building
opbrengst	raža	proceeds
opbrengsten	ražas	takings
opdat	ka	in order that
opdracht	pasūtīt	assignment
opdrachten	vingrinājumi	assignments
opeens	pēkšņi	suddenly
opeenvolgende	pēc kārtas	consecutive
open	atvērt	open
openbaar	publiski	public
openbare	publiski	public
openbaring	atklāsme	revelation
opende	atvērta	opened
openen	atvērt	to open
opening	atvēršana	opening
openingen	atveres	openings
openlijk	atklāti	openly
opent	tiek atvērts	opens
opera	opera	opera
operatie	operācija	operation
operaties	operācijas	operations
opereren	operēt	operate
opgeblazen	uzspridzināts	bloated
opgebouwd	uzbūvēts	build
opgedeeld	sadalīts	divided
opgedragen	pasūtīts	performed / dedicated
opgehangen	piekara	hanged
opgeheven	pacelts	lifted
opgelegd	uzspiests	imposed
opgeleid	apmācīti	educated
opgeleverd	piegādāts	produced
opgelopen	noturīgs	taken
opgelost	atrisināts	solved
opgemerkt	pamanīju	noticed
opgenomen	iekļauts	included
opgepakt	arestēts	picked up
opgericht	nodibināta	founded
opgerichte	dibināta	founded
opgeroepen	izsaukts	call on
opgeslagen	saglabāts	stored
opgesloten	ieslēgts	locked up
opgesplitst	sadalīt	divided
opgesteld	ierindots	edited
opgetreden	notika	acted
opgetrokken	uzcelts	increased
opgevangen	sagūstīts	catch
opgevat	iecerēts	taken up (2nd sentence), seen as (4th and 5th sentence)
opgeven	padoties	give up
opgevoed	izvirzīts	raised
opgevoerd	pastiprinājās	intensified
opgevolgd	sekoja	followed
opgewekt	satraukti	cheerful
opgezet	uzstādīt	set up
opgezette	pildīti	put up
opheffing	atcelšana	abolishment
opinie	viedoklis	opinion
opkomende	parādās	emerging
opkomst	apmeklējums	rise
oplage	izdevums	edition
opleiding	izglītība	education
opleidingen	izglītība	courses
opleveren	piegādāt	delivered
opleving	atdzīvināšana	revival
oplopen	palielināt	increase
oplossen	atrisināt	solve
oplossing	risinājums	resolvation
oplossingen	risinājumi	solutions
opmars	iepriekš	advance
opmerkelijk	ievērojams	remarkable
opmerkelijke	ievērojams	remarkable
opmerking	komentēt	remakr
opmerkingen	komentāri	comments
