$	dollar təşkil edib	dollars
оставя	yarpaqlar	leaves
оставяйки	tərk edir	leaving
оставят	buraxmaq	leave
останал	qaldı	left
останала	qaldı	left
останалата	istirahət	the rest
останали	istirahət	other
останалите	istirahət	rest
останалото	istirahət	rest
останат	qalmaq	remain
остане	qalmaq	remain
останки	qalır	remains
останките	qalıqları	remains
остатъци	qalıqları	remains
остатъците	qalıqları	remains
остра	kəskin	acute
остри	kəskin	sharp
остро	kəskin	heavy
остров	ada	island
острова	adalar	island
острови	adalar	islands
островите	adalar	the islands
островът	ada	island
остър	kəskin	acute
осъден	məhkum	convicted
осъзнава	həyata keçirir	realize
осъм	səkkiz	osam
осъществена	həyata keçirilən	implemented
осъществи	həyata keçirilən	place
осъществява	həyata keçirir	place
осъществяване	həyata keçirilməsi	implementation
осъществяването	həyata keçirilməsi	implementation
осъществяват	həyata keçirmək	consisting
от	dən	of
отбележи	qeyd etdi	noted
отбелязан	qeyd	marked
отбелязани	qeyd	registered
отбелязва	qeydlər	notes
отбелязване	işarələmə	marking
отбелязват	qeyd	note
отбор	komanda	team
отбора	komanda	team
отбори	komandalar	team
отборите	komandalar	teams
отборът	komanda	team
отбрана	müdafiə	defense
отбраната	müdafiə	defense
отбранителна	müdafiə	defense
отбранителни	müdafiə	defense
отваря	açılır	open
отварят	açıq	open
отвор	dəlik	hole
отворен	açıq	open
отворена	açıq	open
отворени	açıq	open
отворено	açıq	open
отвори	açıq	open
отвъд	kənarda	beyond
отвън	kənarda	outside
отвътре	içəri	inside
отглежда	becərir	grown
отглеждане	yetişdirmə	growing
отглеждането	becərmə	growing
отглеждани	böyüdü	grown
отглеждат	becərmək	looking
отговаря	görüşür	meet
отговарят	cavab verin	answer
отговор	cavab	response
отговорен	cavabdehdir	responsible
отговори	cavablar	reply
отговорни	cavabdehdir	responsible
отговорност	məsuliyyət	responsibility
отгоре	ən yuxarda	on top
отдава	verir	given
отдавна	çoxdan	long ago
отдалечени	uzaq	remote
отдел	şöbə	department
отделен	ayrı	separate
отделена	ayrılıb	separated
отделени	ayrılıb	separated
отдели	şöbələr	departments
отделна	ayrı	separate
отделни	ayrı	separate
отделните	fərd	individual
отделно	ayrı-ayrılıqda	separately
отделя	ayırır	separated
отделяне	ayrılıq	separation
отделянето	ayrılıq	separation
отделят	ayrı	department
отдих	istirahət	rest
отдолу	aşağıda	underneath
отец	ata	father
отзиви	rəylər	reviewers
отива	gedir	goes
отиват	onlar gedir	go
отиде	getdi	leave
откаже	imtina	refuse
отказва	imtina edir	quits
отказват	imtina	refuse
отклонение	sapma	deviation
отклонения	sapmalar	deviation
отклонява	sapma	deviates
отколкото	daha çox	than
открива	aşkar edir	found
откриване	aşkarlanması	detection
откриването	açılışı	opening
откриват	kəşf etmək	found
открили	aşkar etdi	found
открит	açıq	found
открита	açıq	discovered
открити	aşkar etdi	found
откритие	kəşf	discovery
откритието	kəşf	the discovery
откритите	aşkar etdi	open
открития	kəşflər	discovers
откритията	kəşflər	discoveries
открито	açıq şəkildə	discovered
открият	kəşf etmək	found
открояват	durmaq	stand out
откъдето	haradan	whence
откъм	dən	from
отлага	təxirə salma	postponed
отличава	fərqləndirir	distinguish
отличават	fərqləndirmək	distinguished
отличен	əla	excellent
отличия	fərqlər	insignia
отлични	əla	excellent
отлично	əla	perfect
отмъщение	intiqam	revenge
отнася	aiddir	relates
отнасят	istinad edin	reffers
отначало	əvvəlcə	beginning
отнема	alır	takes away
отново	yenidən	again
относителна	nisbi	relative
относителната	qohum	relative
относително	nisbi	relatively
относителността	nisbilik	relativity
относно	ilə bağlı	about
отношение	münasibət	respect
отношението	münasibət	attitude
отношения	münasibətlər	relationships
отношенията	əlaqə	relations
ото	oto	otto
отпада	düşür	lapse
отпадъци	israf	waste
отпор	müqavimət	resistence
отправя	göndərir	make
отпреди	əvvəldən	back
отравяне	zəhərlənmə	poisoning
отражение	əks olunması	reflection
отразява	əks etdirir	presents
отразяват	əks etdirir	reflects
отрасли	sənaye sahələri	sectors
отрасъл	sənaye	sector
отрицателни	mənfi	negative
отрицателно	mənfi	negatively
отрича	inkar edir	denies
отрова	zəhər	poison
отровата	zəhər	poison
отровни	zəhərli	poisonous
отряд	dəstə	detachment
отряди	dəstələr	squads
отслабва	zəifləyir	weakens
отстранен	qaldırıldı	removed
отстрани	yan tərəflər	remove
отстранява	çıxarır	expelled
отстраняване	çıxarılması	removal
отстраняването	çıxarılması	remuval
отстъпва	yol verir	retreats
отстъпват	yol vermək	retreat
отстъпят	yol vermək	yield
отсъствие	yoxluğu	absence
отсъствието	yoxluğu	absence
оттам	oradan	from there
оттегля	geri çəkilir	withdraws
оттеглянето	çəkilmə	withdrawal
оттеглят	çəkilmək	withdraw
оттенък	hue	touch
оттогава	o vaxtdan bəri	since then
отток	axın	flow
оттук	buradan	hence
отхвърля	rədd edir	rejected
отхвърлят	rədd et	reject
отчасти	hissəsində	partly
отчита	hesabat verir	report
отчитане	hesabat vermək	reading
оу	ou	primary school
оуен	owen	owen
офанзива	təhqiramiz	offensive
