$	dollar təşkil edib	(dollar sign)
officier	məmur	officer
officiers	zabitlər	officers
offrant	təklif edir	giving
offre	təklif	offer
offrent	təklif	offers
offrir	təklif	to present
ogm	ogm	ogm
oiseaux	quşlar	birds
oit	oit	oit
oliver	oliver	oliver
olivia	oliviya	olivia
olivier	zeytun ağacı	olivier or oliver
olympique	olimpiya	olympic
olympiques	olimpiya	olympic
om	om	electromagnetic waves
on	biz	on
oncle	əmi	uncle
ondes	dalğalar	waves
ong	ong	ong
ono	ono	ono
ont	var	have
onze	on bir	eleven
op	op	op
open	açıq	open
opinion	rəy	opinion
opinions	rəylər	point of view
opposant	əks	opponent
opposants	əleyhdarları	opponents
oppose	qarşı çıxır	set against
opposition	müxalifət	opposition
oppositions	müxalifət	oppositions
opposé	əksinə	resisted
opposée	əksinə	opposed
opposés	ziddiyyətlər	opposing
optique	optik	optical
optiques	optik	optical
opus	opus	opus
opéra	opera	opera
opéras	operaları	opera
opérateurs	operatorlar	operators
opération	əməliyyat	operation
opérations	əməliyyatları	operations
or	qızıl	but
orale	şifahi	oral
orange	narıncı	orange
orbite	orbit	orbit
orchestre	orkestri	orchestra
ordinaire	adi	ordinary
ordinateur	kompüter	computer
ordinateurs	kompüterlər	computers
ordonne	sifariş	orders
ordre	sifariş	order
ordres	sifarişlər	orders
organe	orqan	body
organes	orqanlar	organs
organisation	təşkilatı	organization
organisations	təşkilatlar	organizations
organise	təşkil etmək	organize
organisent	təşkil etmək	organize
organiser	təşkil etmək	organize
organisme	orqanizm	body
organismes	təşkilatlar	agencies
organisé	mütəşəkkil	organized
organisée	mütəşəkkil	organized
organisées	mütəşəkkil	organized
organisés	mütəşəkkil	organised
orient	oriyentasiya	east
oriental	şərq	oriental
orientale	şərq	oriental
orientales	şərq	oriental
orientation	oriyentasiya	guidance
originaire	doğma	originaire
originaires	mənşəli	originating
original	orijinal	original
originale	orijinal	original
originales	orijinal	original
originaux	orijinal	original
origine	mənşəli	origin
originel	orijinal	original
originelle	orijinal	original
origines	mənşəyi	origin
orson	orson	orson
orthodoxe	ortodoks	orthodox
orthodoxes	ortodoks	orthodox
orton	orton	orton
os	sümük	bones
oscar	oskar	oscar
oscars	oskarlar	oscars
otto	otto	otto
ottoman	osmanlı	ottoman
ottomans	osmanlılar	ottomans
ou	harada	or
oublier	unutmaq	forget
ouest	qərb	west
oui	bəli	yes
outil	vasitə	qutil
outils	alətlər	tools
outre	başqa	also
ouvert	açıq	open
ouverte	açıq	open
ouvertement	açıq şəkildə	openly
ouvertes	açıq	open
ouverts	açıq	open
ouverture	açılış	opening
ouvrage	işləmək	work (as the work)
ouvrages	işləyir	works
ouvre	açıq	open
ouvrier	işçi	laborer
ouvriers	işçilər	workers
ouvrir	açmaq	debut/open
ouvrière	işçi	workers'
oxford	oxford	oxford
où	harada	where
p	səh	p
pablo	pablo	pablo
pacifique	dinc	pacific
pacte	pakt	pact
page	səhifə	page
pages	səhifələr	pages
paiement	ödəmə	payment
pain	çörək	bread
paire	cütlük	pair
pairs	həmyaşıdları	lords
paix	barış	peace
pakistan	pakistan	pakistan
palace	saray	palace
palais	saray	palaces
pales	bıçaqlar	blades
palestine	fələstin	palestine
palestiniens	fələstinlilər	palestinians
palmarès	mükafatlar	record of achievements
paludisme	malyariya	malaria
paléolithique	paleolit	paleolithic
pancréas	mədəaltı vəzi	pancreas
pandémie	pandemiya	pandemic
panier	səbət	basket
panique	çaxnaşma	panic
panne	qəza	breakdown
panneaux	panellər	panels
panorama	panorama	panorama
panthéon	panteon	pantheon
pape	papa	pope
papier	kağız	paper
paquebot	okean layneri	boat
par	tərəfindən	by
parade	parad	parade
paradigme	paradiqma	paradigm
paradis	cənnət	paradise
paradoxalement	paradoksal şəkildə	paradoxically
paragraphe	abzas	paragraph
paraissent	görünür	are published
parallèle	paralel	parallel
parallèlement	eyni zamanda	at the same time
parallèles	paralellər	parallel
paramètres	parametrləri	parameters
parasite	parazit	parasite
parasites	parazitlər	parasites
paraît	görünür	seems
paraître	görünür	appears
parc	park	park
parce	çünki	because
parcours	kurs	course
parcourt	səyahət edir	travel
parcs	parklar	resorts
parent	valideyn	relative
parents	valideynlər	parents
parenté	qohumluq	parenthood
parfait	mükəmməl	perfect
parfaite	mükəmməl	perfect
parfaitement	mükəmməl	perfectly
parfois	bəzən	sometimes
parfum	ətir	perfume
paris	paris	paris
parisien	parisyan	parisian
parisienne	parisyan	paris
parisiens	parisi	paris
parité	paritet	parity
parker	parker	parker
parlait	danışdı	talking
parlant	danışan	speaking
parle	danışmaq	speaks
parlement	məclis	parliament
parlementaire	parlamentli	parliamentary
parlementaires	məclis üzvləri	parliamentarian
parlent	danışmaq	mention
parler	danışmaq	to speak
parlé	danışdı	spoken
parlée	danışdı	spoken
parlées	danışdı	spoken
parmi	arasında	among
parodie	parodiya	parody
paroisse	kilise	parish
parole	nitq	speech
paroles	sözləri	words
parrain	baba babası	godfather
part	paylaşmaq	part
partage	bölüşmək	share
partagent	paylaşmaq	share
partager	paylaşmaq	share
partagé	paylaşdı	shared
partagée	paylaşdı	shared
partant	tərk edir	from
partenaire	tərəfdaş	partner
partenaires	tərəfdaşlar	partners
partenariat	ortaqlıq	partnership
partent	buraxmaq	go - leave - leave
parti	getdi	party
participant	iştirakçı	entry
participants	iştirakçıları	participants
participation	iştirak	participation
participe	iştirak edir	participates
participent	iştirak etmək	participent
participer	iştirak etmək	participate
participé	iştirak etdi	took part in
particularité	özəllik	feature
particularités	özəlliklər	specific aspects
particules	hissəciklər	particles
particulier	xüsusi	particular
particuliers	şəxslər	individuals
particulière	xüsusi	specific
particulièrement	xüsusilə	particularly
particulières	xüsusi	special
partie	tərəf	part
partielle	qismən	partial
partiellement	qismən	partly
parties	tərəflər	parts
partir	tərk etmək	leave
partis	getdi	parties
partisan	tərəfdarı	supporter
partisans	tərəfdarları	partisans
partition	hesab	partition
partout	hər yerdə	everywhere
parts	səhmlər	sunday
paru	ortaya çıxdı	published
parue	sərbəst buraxıldı	published
parution	buraxmaq	release
parvenir	nail olmaq	reach
parvenu	yuxarıda	arrived at
parviennent	idarə etmək	reach
parvient	idarə edir	succeed
pas	deyil	not
pascal	paskal	pascal
passa	keçdi	spent
passage	keçid	passage
passagers	sərnişinlər	passengers
passages	keçidlər	"at first it is ""trips"" - later it is ""passages"""
passait	davam edirdi	spent
passant	keçən	from
passe	keçmək	password
passent	keçmək	spend
passer	keçmək	pass
passerelle	qapısı	footbridge
passes	keçir	passes
passif	passiv	passive
passion	ehtiras	emotion
passionné	ehtiraslı	passionate
passions	ehtiraslar	passions
passé	keçmiş	past
passée	keçmiş	went
passées	keçmiş	firmly placed
passés	keçmiş	past
pasteur	pastor	pastor
paternité	atalıq	paternity
pathogènes	patogenlər	pathogens
pathologie	patoloji	pathology
pathologies	patologiyalar	pathology
patient	xəstə	patient
patients	xəstələr	patients
patricia	patrisiya	patricia
patrick	patrik	patrick
patrie	vətən	homeland
patrimoine	irsi	patrimony
patron	patron	boss
paul	paul	paul
paume	xurma	palm
pause	qırmaq	break
pauvre	kasıb	poor
pauvres	kasıb	poor
pauvreté	yoxsulluq	poverty
pavillon	pavilyon	flag
payer	ödəmək	pay
payot	payot	payot
pays	ölkə	country
paysage	mənzərə	background
paysages	mənzərələr	landscapes
paysans	kəndlilər	peasant
paysbas	neterlands	netherlands
payé	pullu	paid
peau	dəri	skin
pedro	pedro	pedro
peindre	boya	paint
peine	ağrı	sentence
peines	cərimələr	pains
peint	boyalı	painted
peintre	rəssam	painter
peintres	rəssamlar	painters
peinture	rəsm	painting
peintures	rəsmlər	paintings
pendant	zamanı	during
penny	qəpik	penny
pensait	düşündü	thought
pensant	düşüncə	thinking
pense	düşün	thinks
pensent	düşün	think
penser	düşünmək	think
penseurs	mütəfəkkirlər	thinkers
pension	pensiya	pension
pensé	düşündü	thought
pensée	düşündü	thought
pensées	düşüncələr	thoughts
pentagone	beşbucaq	pentagone
pentamètre	pentametr	pentameter
pente	yamac	slope
pentecôte	əllinci gün	pentcost
people	insanlar	people
peoples	xalqlar	people's
peppers	bibər	peppers
perception	qavrayış	perception
percée	irəliləyiş	breach
perd	itirmək	loses
perdant	itirən	losing
perdent	itirmək	lose
perdre	itirmək	lose
perdu	itirdi	lost
perdue	itirdi	wasted
perdues	itirdi	lost
perdus	itirdi	lost
performance	performans	performance
performances	tamaşalar	performance
permanence	qalıcılıq	permanence
permanent	daimi	permanent
permanente	daimi	permanent
permanents	daimi	permanent
permet	imkan verir	allows
permettait	icazə verilir	allowed
permettant	imkan verir	permitting
permettent	icazə verin	enable
permettra	imkan verəcəkdir	will
permettrait	imkan verirdi	would enable
permettre	icazə verin	enable
permis	icazə	enabled
permit	icazə	allows
perrault	zərbə	perrault
perrin	perrin	perrin
perry	perry	perry
persan	fars	persian
perse	fars	persian
perses	fars	persians
personnage	xarakteri	character
personnages	simvol	character
personnalité	şəxsiyyət	personality
personnalités	şəxsiyyətlər	personalities
personne	heç kim	person
personnel	heyət	personal
personnelle	şəxsi	personal
personnellement	şəxsən	personally
personnelles	şəxsi	personal
personnels	şəxsi	personal
personnes	insanlar	people
perspective	perspektiv	perspective
perspectives	perspektivlər	prospects
perte	itkisi	loss
pertes	itkiləri	losses
perçoit	qavrayır	perceives
perçu	hiss olunur	perceived
perçue	hiss olunur	perceived
peste	vəba	plague
pesticides	pestisidlər	pesticides
pete	osurmak	pete
peter	peter	peter
petit	kiçik	small
petite	kiçik	small
petites	kiçik	small
petitfils	nəvəsi	grand-son
petits	kiçik	small
peu	az	little
peuple	insanlar	people
peuplement	durmaq	settlement
peuples	xalqlar	peoples
peuplé	məskunlaşmışdır	populated
peuplée	məskunlaşmışdır	populated
peuplées	məskunlaşmışdır	populated
peur	qorxu	fear
peut	edə bilər	can
peutêtre	bəlkə	maybe
peuvent	edə bilər	can
phare	mayak	lighthouse
phase	faza	phase
phases	fazaları	phases
phil	fil	phil
philadelphie	filadelfiya	philadelphia
philip	philip	philip
philippe	filipp	philippe
philippines	filippinlilər	philippines
philosophe	filosof	philosoph
philosophes	filosoflar	philosophers
philosophie	fəlsəfə	philosophy
philosophique	fəlsəfi	philosophical
philosophiques	fəlsəfi	philosophical
phoebe	foye	phoebe
phoenix	feniks	phoenix
photo	foto	photo
photographe	fotoqraf	photographer
photographie	fotoqrafiya	photography
photographies	fotoşəkillər	photographs
photos	şəkillər	pictures
photovoltaïque	fotovoltaik	photovoltaic
phrase	ifadəsi	sentence
phrases	cümlələr	sentences
physicien	fizik	physician
physique	fiziki	physical
physiquement	fiziki olaraq	physically
physiques	fiziki	physics
phèdre	fit	phaedra
phénomène	fenomen	phenomenon
phénomènes	hadisələr	phenomena
pi	pi	pi
piaf	piaf	(surname)
pianiste	pianist	pianist
piano	fortepiano	piano
pianos	pianino	pianos
pib	gib	gdp
pic	zirvəsi	straight
picasso	pikasso	picasso
pie	magpie	pie ( name )
piece	parça	piece
pied	ayaq	foot
pieds	ayaqları	feet
pierre	daş	pierre
pierres	daşlar	stones
pilier	dirək	pillar
piliers	dirəklər	pillars
pilote	pilot	driver
pilotes	pilotları	pilots
pilule	həb	pipule
pink	çəhrayı	pink
pionniers	qabaqcıllar	pioneers
pirates	quldurlar	pirates
pire	daha pis	worst
piste	track	track
pistes	izlər	trails
pitt	pitt	pitt
pièce	parça	play
pièces	ədəd	dramatic plays
piège	tələ	trap or snare
place	yer	place
placer	yer	place
places	yerlər	places
placé	yerləşdirilib	placed
placée	yerləşdirilib	set up
placées	yerləşdirilib	placed
placés	yerləşdirilib	placed
plage	çimərlik	beach
plages	çimərliklər	beaches
plaine	düzənlik	plain
plaines	düzənliklər	plains
plainte	şikayət	complaint
plaisir	zövq	pleasure
plaisirs	zövqlər	pleasures
plan	plan	plan
planification	planlaşdırma	planning
plans	planlar	plans
plante	bitki	plant
plantes	bitkilər	plants
planète	planet	planet
planètes	planetlər	planets
planétaire	planetar	worldwide
plaque	boşqab	plate
plaques	plitələr	plates
plasma	plazma	plasma
plasmodium	plazmodium	plasmodium
plastique	plastik	plastic
plastiques	plastiklər	plastic
plat	düz	dish
plateau	qab	plateau
plateaux	qablar	uplands
plateforme	platforma	platform
platine	platin	platinum
platon	plato	platon
plats	qablar	dish
plaza	plaza	plaza
plein	dolu	full
pleine	dolu	full
pleinement	tam	fully
plomb	qurğuşun	lead
plon	plon	plon
pluie	yağış	rain
pluies	yağış yağır	rains
plume	lələk	plum
plupart	ən çox	most
pluriel	çoxluq	plurals
plus	daha çox	most
plusieurs	çoxu	several
plutarque	plutarx	plutarque
plutôt	əksinə	rather
pléiade	pleiad	pleaid
poche	cib	pocket
pochette	çanta	jacket
poe	poe	poe
poids	çəki	weight/pounds
poil	saç	hair
point	nöqtə	extent
pointe	ucu	points
points	xallar	points
poisson	balıq	fish
poissons	balıq	fishes
poitiers	poitiers	poitiers
poker	poker	poker
polaires	qütb	polar
polanski	polanski	polanski
police	polis	police
policier	polis	policeman
policiers	polis	police
politique	siyasi	policy
politiquement	siyasi	politically
politiques	siyasi	politics
pollock	pollock	pollock
polluants	çirkləndiricilər	pollutants
pollution	çirklənmə	pollution
pollutions	çirklənmə	pollutions
polo	polo köynək	polo
pologne	polşalı	poland
polonais	cilalamaq	polish
polonaise	cilalamaq	polish
polymères	polimerlər	polymers
polynésie	polineziya	polynesia
polémique	mübahisə	polemic
polémiques	mübahisələr	controversies
pomme	alma	apple
pommes	alma	apple
pompée	pompalanır	pompey
pont	körpü	pont
ponts	körpülər	bridges
pop	pop	pop
populaire	populyar	popular
populaires	populyar	popular
popularité	populyarlıq	popularity
population	əhali	population
populations	əhali	people
porc	donuz əti	pork
pornographie	pornoqrafiya	pornography
pornographique	pornoqrafik	pornographic
pornographiques	pornoqrafik	pornographic
port	liman	port
portables	portativ	mobile
portail	qapısı	portal
portait	geyindi	portrait
portant	hesablanan	bearing
porte	qapı	file
portent	ayı	relate
porteparole	sözçüsü	spokesperson
porter	köhnəlmək	carry
portes	qapılar	doors
porteur	daşıyıcı	carrier
porteurs	daşıyıcıları	sedan
porto	liman	porto
portrait	portret	portrait
portraits	portretləri	portraits
ports	limanlar	ports
portugais	portuqalca	portuguese
portugaise	portuqalca	portuguese
portugal	portuqal	portugal
porté	aparılır	carried
portée	əhatə dairəsi	carried
portées	litler	brought
pose	yaradır	poses
posent	yaradır	ask
poser	yaradır	pose
positif	müsbət	positive
positifs	müsbət	positive
position	mövqe	position
positions	vəzifələr	positions
positive	müsbət	positive
positives	müsbət	positive
possession	sahiblik	possession
possessions	əşyalar	possessions
possibilité	ehtimal	possibility
possibilités	imkanları	possibilities
possible	mümkün	possible
possibles	mümkün	possibles
possède	sahibdir	owns
possèdent	sahibi	own
possédait	sahibdir	had
possédant	sahibi	possessing
posséder	sahib olmaq	to posess
post	post	post
poste	post	position
postes	ismarıclar	positions
posthume	ölümündən sonra	posthumous
posthumes	ölümündən sonra	posthumous
postérité	nəsildən	posterity
posé	poza verib	caused
posée	poza verib	put
potentiel	potensial	potential
potentiellement	potensial olaraq	potentially
potentiels	potensial	potential
pouce	baş barmağı	boost
poudlard	hoqqabazlar	hogwarts (name in english for the school)
poudre	toz	powder
pour	üçün	for
pourcentage	faiz	percentage
pourquoi	niyə	why
pourra	edəcək	will be able
pourraient	bilərdi	could
pourrait	bilərdi	could
pourront	edə biləcək	will be
poursuit	davam edir	carries on
poursuite	təqib	pursuit
poursuites	davalar	prosecutions
poursuivent	təqib etmək	pursue
poursuivi	təqib olunur	pursued
poursuivre	davam etmək	prosecute
pourtant	hələ	however
pousse	böyüyür	shoot
pousser	itələmək	push
poussière	toz	dust
poussé	itələdi	pushed
poussée	itələmək	thrust
poussées	fasilələr	pushed
poutres	şüaları	beams
pouvaient	bilərdi	could
pouvait	bilərdi	could
pouvant	edə bilər	can
pouvoir	edə bilmək	to be able to
pouvoirs	səlahiyyətləri	authorities
pouvons	edə bilər	to be able to
power	güc	power
poème	şeir	poem
poèmes	şeirlər	poems
poète	şair	poet
poètes	şairlər	poets
poésie	şeir	poetry
poétique	poetik	poetic
pp	səh	pp.
ppe	ppe	ppe
pr	pr	pr
prague	praqa	prague
pratiquant	təcrübə	practice
pratique	praktik	practice
pratiquement	praktik olaraq	almost
pratiquent	təcrübə	practice
pratiquer	təcrübə	practice
pratiques	praktik	practices
pratiqué	tətbiq olunur	practical
pratiquée	tətbiq olunur	is practised
pratiqués	tətbiq olunur	practices
premier	əvvəlcə	prime
premiers	əvvəlcə	first
première	əvvəlcə	first
premières	xam	first
prenant	alaraq	taking
