+	+ +	plus sign
สามชัย	স্যাম চই	samchai - a location in thailand
สามชุก	স্যাম চুক	sam chuk district
สามพราน	sampran	sam phran
สามอัศวินในจินตนาการ	তিনটি কল্পনা নাইট	sam assavin in jintanakan - the name of a japanese story
สามัญ	সাধারণ	common
สายการบิน	বিমান	airline
สายรัชกาลที่	শেষের রাজত্ব	family tree of king rama ...
สายรุ้ง	রামধনু	rainbow
สายสนั่น	গর্জন লাইন	siasanan
สายสีชมพู	গোলাপী রেখা	pink line
สายสีน้ำเงิน	নীল রেখা	blue line
สายสีม่วง	বেগুনি রেখা	purple line (rapid transit)
สายหมอก	কুয়াশা	fog
สายเดียว	সপ্তাহের দিন	single helix
สายเมืองทอง	মুয়াং থং লাইন	muang thong line
สารต้านอนุมูลอิสระ	অ্যান্টিঅক্সিডেন্টসমূহের	antioxidants
สารพฤกษเคมี	phytochemistry	phytochemical
สารภี	saraphi	saraphi
สารละลาย	সমাধান	solution
สารานุกรมไทย	থাই এনসাইক্লোপিডিয়া	saranukromthai
สารานุกรมไทยฉบับราชบัณฑิตยสถาน	থাই এনসাইক্লোপিডিয়া রয়্যাল ইনস্টিটিউট সংস্করণ	thai's publication
สารีวงษ์	sareewong	sariwong
สาวิตรี	সাবিত্রী	sawitri
สาเหตุ	কারণ	reasons
สำนวนเก่า	পুরাতন মূর্খতা	old aphorism
สำนักงานขนส่งกรุงเทพมหานครพื้นที่	ব্যাংকক এরিয়া ট্রান্সপোর্ট অফিস	thai general transport
สำนักงานคณะกรรมการวัฒนธรรมแห่งชาติ	জাতীয় সংস্কৃতি কমিশনের অফিস	office of arts and culture preservation of thailand
สำนักงานโครงการพัฒนาแห่งสหประชาชาติ	ইউনাইটেড নেশনস ডেভলপমেন্ট প্রোগ্রাম অফিস	united nations development prograท
สำนักระบาดวิทยา	মহামারীবিজ্ঞান ব্যুরো	bureau of epidemiology
สำนักราชเลขาธิการ	দপ্তর	operation department of the king's palace
สำนักวิทยบริการ	একাডেমিক রিসোর্স অফিস	office of academic services
สำนักหอสมุด	গ্রন্থাগার	library
สำนักหอสมุดกลาง	কেন্দ্রীয় গ্রন্থাগার	the central library
สำรวจ	জরিপ	investigate
สำราญ	উল্লাসিতভাবে	happily
สำหรับ	জন্য	for
สำหรับประเทศไทย	থাইল্যান্ডের জন্য	for thailand
สำหรับใช้เป็นตราหัวหนังสือราชการไทย	থাই সরকারী সরকারী চিঠির সিল হিসাবে ব্যবহারের জন্য	emblem thailand garuda
สำหรับในปี	বছরের জন্য	for the year
สำเนียง	স্বরাঘাত	dialect
สำโรง	samrong	sumrong - a location in thailand
สิงหาคม	অগাস্ট	august
สิงหไตรภพ	সিংহ ত্রিপপ	sing tri pop - a thai drama
สิงโต	সিংহ	lion
สิทธิ	রাইটস	rights
สิทธิมนุษยชน	মানবাধিকার	human rights
สิน	পাপ	sihn
สินค้าคงเหลือ	বর্ননামূলক	inventory
สินค้าอุปโภคบริโภค	ভোগ্যপণ্য	supplies
สินสมุทร	পাপ সামুত	sihnsmut
สินิทธา	zithitha	sinitra - first name of an actor
สิปปภาค	জিপ্পি অঞ্চল	sippapak
สิเรียม	sirium	syriam (name of city in myanmar)
สิ่ง	জিনিস	things
สิ่งมีชีวิต	জীবন্ত জিনিস	living things
สิ่งเสพติด	ঔষধ	addictive substance, drugs
สิ้นพระชนม์ในรัชกาลที่	এর রাজত্বকালে মারা গেলেন	died in
สี	রঙ	color
สีขาว	সাদা রঙ	white
สีดำ	কালো রং	black color
สีน้ำตาล	বাদামী রং	brown
สีน้ำเงิน	নীল	blue
สีฟ้า	নীল	blue
สีม่วง	রক্তবর্ণ	purple
สีลม	বাতচক্র	silom
สึนะ	tsuna	tsuna
สึนะโยชิ	tsunayoshi	tsunayoshi
สืบต่อมา	উত্তরাধিকারী	live on
สื่อสารมวลชน	গণ যোগাযোগ	mass communication
สื่อสิ่งพิมพ์	মুদ্রন মাধ্যম	printing media
สุกิจ	sukit	sukit
สุขภาพ	স্বাস্থ্য	health
สุขสวัสดิ์	suksawat	suksawas
สุขาภิบาล	স্বাস্থ্যের পক্ষে উপকারী	sukhapibal (name of district)
สุขุมวิท	sukhumvit	sukhumvit
สุครีพ	sukree	sugriva
สุจริตกุล	sucharitkun	sucharitkul
