$	$ $	(dollar sign)
moyennes	medio	middle
moyenorient	medio oriente	middle-east
moyens	significa	means
mozart	mozart	mozart
moïse	moisés	moses
mp	mp	mp3
mr	señor	mr.
mtv	mtv	mtv
muet	tonto	dumb
muhammad	muhammad	muhammad
mulhouse	mulhouse	mulhouse
multiple	multiples	multiple
multiples	multiples	multiple
multiplication	multiplicación	multiplication
multiplie	multiplica	multiplies
multiplient	multiplicar	multiply
multitude	multitud	multitude
munich	munich	munich
municipal	municipal	municipal
municipale	municipal	municipal
municipales	municipal	municiple
municipalité	municipio	municipality
municipalités	municipios	municipalities
municipaux	municipal	municipal
mur	pared	wall
muraille	pared	wall
murailles	paredes	wall
murray	murray	murray
murs	paredes	walls
muscles	músculos	muscles
muse	musa	muse
museum	museo	museum
music	musica	music
musical	musical	musical
musicale	musical	music
musicales	musical	music
musicaux	musical	musical
musicien	músico	musician
musiciens	músicos	musicians
musique	musica	music
musiques	musica	music
musset	musset	musset
mussolini	mussolini	mussolini
musulman	musulmán	muslim
musulmane	musulmán	muslim
musulmanes	musulmán	muslim
musulmans	musulmanes	muslims
musée	museo	museum
musées	museos	museums
mutation	mutación	mutation
mutations	mutaciones	changes
mvp	mvp	mvp
myocarde	miocardio	myocardium
myocardique	miocardio	myocardial
myopathie	miopatía	myopathies
mysterio	mysterio	mysterio
mystique	místico	mystical
mystère	misterio	mystery
mystérieux	misterioso	mysterious
mythe	mito	myth
mythes	mitos	myths
mythique	mítico	mythical
mythologie	mitologia	mythology
mythologiques	mitológico	mythological
mâle	hombre	male
mâles	machos	males
mène	conduce	leads
mènent	conducir	lead
mère	madre	mother
mètres	metros	meters
mécanique	mecánica	mechanics
mécaniques	mecánica	mechanic
mécanisme	mecanismo	mecanism
mécanismes	mecanismos	mecanisms
mécontentement	disgusto	discontent
médaille	medalla	medal
médecin	doctor	doctor
médecine	medicina	medicine
médecins	doctores	doctors
média	los medios	media
médias	los medios	medias
médiatique	los medios	media
médical	medico	medical
médicale	medico	medical
médicales	medico	medical
médicament	medicina	medecine
médicaments	medicación	drugs
médicaux	medico	medical
médicis	medicis	médicis
médiocre	pobre	poor
méditation	meditación	meditation
méditerranée	mediterraneo	mediterranean
méditerranéen	mediterraneo	mediterranean
médiéval	medieval	medieval
médiévale	medieval	medieval
médiévales	medieval	medieval
mélange	mezclar	mix
mélodies	melodias	melodies
mémoire	memoria	memory
mémoires	recuerdos	memories
mémorial	memorial	memorial
ménage	hogar	household
ménages	hogares	households
mépris	desprecio	contempt
méridionale	sur	meridionale
mérite	merece	merit
métabolisme	metabolismo	metabolism
métal	metal	metal
métallique	metálico	metal
métalliques	metálico	metal
métaphore	metáfora	metaphor
métaphores	metáforas	metaphore
métaphysique	metafísica	metaphysical
métatarse	metatarso	metatarsus
métaux	metales	metallic
méthane	metano	methane
méthode	método	method
méthodes	métodos	methods
métier	profesión	job
métiers	oficios	trades
métrage	metraje	film footage (court metrage=short film)
métrages	metraje	films
métro	metro	subway
métropole	metrópoli	metropolis
métropoles	metrópolis	metropolis
métropolitaine	metropolitano	metropolitan
méxico	mexico	mexico
même	incluso	same
mêmes	lo mismo	same
mœurs	modales	morals
n	n	n
na	na	doesn't
nadal	nadal	nadal
naissance	nacimiento	birth
naissances	nacimientos	births
naissent	nacen	born
nait	nace	was born
nam	nam	nam
nancy	nancy	nancy
nantais	nantes	from nantes
nantes	nantes	nantes
naples	nápoles	naples
napoléon	napoleón	napoléon
napparaît	aparece	item appears
narrateur	narrador	narrator
narration	narracion	narration
narrive	narrativa	narrive
naruto	naruto	naruto
nasa	nasa	nasa
nash	nash	nash
natale	nativo	birth
natalie	natalie	natalie
natalité	tasa de natalidad	birth rate
nation	nación	nation
national	nacional	national
nationale	nacional	national
nationales	nacional	national
nationalisme	nacionalismo	nationalism
nationaliste	nacionalista	nationalist
nationalistes	nacionalistas	nationalist
nationalité	nacionalidad	nationality
nationaux	nacional	national
nations	naciones	nation
naturaliste	naturalista	naturalist
nature	naturaleza	nature
naturel	natural	natural
naturelle	natural	natural
naturellement	naturalmente	naturally
naturelles	natural	natural
naturels	natural	natural
naufrage	naufragio	sinking
naurait	tendría	would not have
navaient	tenía	navaient
navait	tenía	had
navale	naval	marine
navarre	navarra	navarre
navigateur	navegador	navigator
navigateurs	navegadores	navigators
navigation	navegación	navigation
navire	barco	ship
navires	barcos	ship
navoir	tener	having
nayant	teniendo	not having
nazi	nazi	nazi
nazie	nazi	nazi
nazis	nazis	nazis
nazisme	nazismo	nazism
naît	nacido	was born
naître	nacer	born
nb	nb	note
nba	nba	nba
nbc	nbc	nbc
ne	no lo hagas	not
nef	nave	nave
neige	nieve	snow
neil	neil	neil
nelson	nelson	nelson
nempêche	todavia	doesn't prevent
nen	nen	nen
neptune	neptuno	neptune
nerveux	nervioso	nervous
nest	nido	nest
net	neto	internet
nette	claro	visible
nettement	claramente	clearly
network	red	network
neuf	nuevo	nine
neurones	neuronas	neurons
neutralité	neutralidad	neutrality
neutre	neutral	neutral
neuvième	noveno	ninth
never	nunca	never
neveu	sobrino	nephew
newton	newton	newton
newyorkais	neoyorquino	from new-york
nexiste	nexista	there
nez	nariz	nose
nhésite	nhesite	not hesitate
ni	ninguno	neither
nice	agradable	nice
nicolas	nicolas	nicolas
nicole	nicole	nicole
nictation	nictation	nictitation
nietzsche	nietzsche	nietzsche
niger	níger	niger
nigeria	nigeria	nigeria
night	noche	night
nihilisme	nihilismo	nihilism
nimporte	no importa	no other
ninja	ninja	ninja
nirvana	nirvana	nirvana
niveau	nivel	level
niveaux	niveles	levels
nixon	nixon	nixon
no	no	no.
nobel	nobel	nobel
noble	noble	noble
nobles	nobles	noble
noblesse	nobleza	nobility
noces	boda	wedding
nocturne	nocturno	nocturnal
noel	navidad	christmas
noir	negro	black
noire	negro	black
noires	negro	black
noirs	negros	black
nom	apellido	name
nombre	numero	number
nombres	numeros	number
nombreuse	numeroso	large
nombreuses	muchos	many
nombreux	muchos	several
nominal	nominal	nominal
nomination	cita	appointment
nominations	citas	nominations
nomme	nombra	names
nommer	nominar	name
nommé	nombrado	nominated
nommée	nombrado	named
nommés	designado	named
noms	nombres	names
non	no	not
nont	no lo hagas	nont
nonviolence	no violencia	non-violence
nord	norte	north
nordest	noreste	north east
nordique	nórdico	nordic
nordouest	noroeste	northwest
nordsud	northsud	north-south
normal	normal	normal
normale	normal	normal
normalement	normalmente	normally
norman	normando	(man's name)
normandie	normandia	normandie
norme	estándar	norm
normes	normas	norms
north	norte	nord
norton	norton	norton
norvège	noruega	norway
norvégien	noruego	norwegian
nos	nuestro	our
not	no	not
notable	notable	notable
notables	notable	significants
notamment	especialmente	notably
notation	puntuación	rating
note	nota	note
noter	nota	note
notera	notará	note
notes	notas	notes
notion	concepto	notion
notions	nociones	notions
notons	nota	note
notoriété	notoriedad	notoriety
notre	nuestro	our
notredame	nuestra dama	notre-dame
noté	notado	noted
nouméa	noumea	noumea
nourrir	alimentar	feed
nourrit	alimenta	feeds
nourriture	comida	food
nous	nosotros	we
nouveau	nuevo	new
nouveauté	novedad	novelty
nouveaux	nuevo	new
nouvel	nuevo	new
nouvelle	nueva	new
nouvellecalédonie	nueva caledonia	new-caledonia
nouvellefrance	newfrance	new-france
nouvellement	recien	newly
nouvelles	noticias	new
nouvellezélande	nueva zelanda	new zealand
novak	novak	novak
novembre	noviembre	november
now	ahora	now
noyau	núcleo	heart
noyaux	granos	kernels
noël	navidad	christmas
nu	desnudo	naked
nuage	nube	cloud
nuages	nubes	clouds
nucléaire	nuclear	nuclear
nucléaires	nuclear	nuclear
nuit	noche	night
nuits	noches	nights
nul	ninguno	none
nulle	nula	zero
numidie	numidia	numidia
numérique	digital	digital
numériques	digital	numeric
numéro	numero	number
numéros	numeros	numbers
n°	n °	n°
né	nacido	born
néanmoins	sin embargo	nevertheless
nécessaire	necesario	necessary
nécessairement	necesariamente	necessarily
nécessaires	necesario	necessary
nécessitant	requiriendo	requiring
nécessite	requiere	needs
nécessitent	exigir	need
nécessité	necesidad	need
née	nacido	born
néerlandais	holandés	dutch
néerlandaise	holandés	dutch
nées	nacido	born
négatif	negativo	negative
négatifs	negativo	negative
négative	negativo	if not
négatives	negativo	negative
négligeable	insignificante	negligible
négociations	negociaciones	negociations
négocier	negociar	negociate
néolithique	neolítico	neolithic
nés	nacido	born
nétaient	fueron	weren't
nétait	fue	was only
nétant	ser	not being
o	o	o
oaci	oaci	icao
oasis	oasis	oasis
obama	obama	obama
objectif	gol	objective
objectifs	objetivos	objectives
objet	objeto	object
objets	objetos	items
obligations	bonos	obligations
obligatoire	obligatorio	mandatory
oblige	obligar	require
obligé	obligado	obliged
observateurs	observadores	observers
observation	observación	observation
observations	observaciones	observations
observe	observar	observed
observer	observar	observe
observé	observado	observed
observée	observado	observed
observées	observado	observed
observés	observado	observed
obsèques	funeral	funeral
obtenir	obtener	obtaining
obtenu	tengo	obtained
obtenue	obtenido	obtained
obtenus	obtenido	acquired
obtiennent	obtener	obtain
obtient	obtiene	obtains
obédiences	obediencias	persuasions
occasion	oportunidad	occasion
occasionnellement	de vez en cuando	occasionally
occasions	ocasiones	opportunities
occident	occidental	occident
occidental	occidental	western
occidentale	occidental	western
occidentales	occidental	western
occidentaux	occidentales	western
occupe	ocupa	occupies
occupent	ocupar	occupy
occuper	ocupar	occupy
occupé	ocupado	occupies
occupée	ocupado	occupied
occupés	ocupado	occupied
octave	octava	octavius
octobre	octubre	october
océanie	oceania	oceania
océanique	oceánico	oceanic
océans	océanos	oceans
offensive	ofensivo	offensive
offert	ofrecido	offered
officiel	oficial	official
officielle	oficial	official
officiellement	oficialmente	officially
officielles	oficial	official
officiels	oficial	official
officier	oficial	officer
officiers	oficiales	officers
offrant	ofreciendo	giving
offre	oferta	offer
offrent	oferta	offers
offrir	ofrecer	to present
ogm	ogm	ogm
oiseaux	pájaros	birds
oit	oit	oit
oliver	oliver	oliver
olivia	olivia	olivia
olivier	olivo	olivier or oliver
olympique	olímpico	olympic
olympiques	olimpiadas	olympic
om	om	electromagnetic waves
on	nosotros	on
oncle	tio	uncle
ondes	olas	waves
ong	ong	ong
ono	ono	ono
ont	tienen	have
onze	once	eleven
op	op	op
open	abrir	open
opinion	opinión	opinion
opinions	opiniones	point of view
opposant	opuesto	opponent
opposants	oponentes	opponents
oppose	se opone	set against
opposition	oposición	opposition
oppositions	oposiciones	oppositions
opposé	opuesto	resisted
opposée	opuesto	opposed
opposés	opuestos	opposing
optique	óptica	optical
optiques	óptica	optical
opus	opus	opus
opéra	opera	opera
opéras	óperas	opera
opérateurs	operadores	operators
opération	operación	operation
opérations	operaciones	operations
or	oro	but
orale	oral	oral
orange	naranja	orange
orbite	orbita	orbit
orchestre	orquesta	orchestra
ordinaire	ordinario	ordinary
ordinateur	computadora	computer
ordinateurs	computadoras	computers
ordonne	orden	orders
ordre	orden	order
ordres	órdenes	orders
organe	órgano	body
organes	órganos	organs
organisation	organización	organization
organisations	organizaciones	organizations
organise	organizar	organize
organisent	organizar	organize
organiser	organizar	organize
organisme	organismo	body
organismes	organizaciones	agencies
organisé	organizado	organized
organisée	organizado	organized
organisées	organizado	organized
organisés	organizado	organised
orient	orientar	east
oriental	oriental	oriental
orientale	oriental	oriental
orientales	oriental	oriental
orientation	orientación	guidance
originaire	nativo	originaire
originaires	originario	originating
original	original	original
originale	original	original
originales	original	original
originaux	originales	original
origine	origen	origin
originel	original	original
originelle	original	original
origines	orígenes	origin
orson	orson	orson
orthodoxe	ortodoxo	orthodox
orthodoxes	ortodoxo	orthodox
orton	orton	orton
os	hueso	bones
oscar	oscar	oscar
oscars	oscar	oscars
otto	otto	otto
ottoman	otomana	ottoman
ottomans	otomanos	ottomans
ou	donde	or
oublier	olvidar	forget
ouest	oeste	west
oui	si	yes
outil	herramienta	qutil
outils	herramientas	tools
outre	ademas	also
ouvert	abrir	open
ouverte	abrir	open
ouvertement	abiertamente	openly
ouvertes	abrir	open
ouverts	abrir	open
ouverture	abriendo	opening
ouvrage	trabajar	work (as the work)
ouvrages	funciona	works
ouvre	abrir	open
ouvrier	trabajador	laborer
ouvriers	trabajadores	workers
ouvrir	abrir	debut/open
ouvrière	trabajador	workers'
oxford	oxford	oxford
où	donde	where
p	p	p
pablo	pablo	pablo
pacifique	pacifico	pacific
pacte	pacto	pact
page	página	page
pages	paginas	pages
paiement	pago	payment
pain	pan	bread
paire	par	pair
pairs	pares	lords
paix	paz	peace
pakistan	pakistán	pakistan
palace	palacio	palace
palais	palacio	palaces
pales	cuchillas	blades
palestine	palestina	palestine
palestiniens	palestinos	palestinians
palmarès	premios	record of achievements
paludisme	malaria	malaria
paléolithique	paleolítico	paleolithic
pancréas	páncreas	pancreas
pandémie	pandemia	pandemic
panier	canasta	basket
panique	pánico	panic
panne	desglose	breakdown
panneaux	paneles	panels
panorama	panorama	panorama
panthéon	panteon	pantheon
pape	papa	pope
papier	papel	paper
paquebot	transatlántico	boat
par	por	by
parade	desfile	parade
paradigme	paradigma	paradigm
paradis	paraiso	paradise
paradoxalement	paradójicamente	paradoxically
paragraphe	párrafo	paragraph
paraissent	aparecer	are published
parallèle	paralelo	parallel
parallèlement	al mismo tiempo	at the same time
parallèles	paralelos	parallel
paramètres	configuraciones	parameters
parasite	parásito	parasite
parasites	parásitos	parasites
paraît	parece	seems
paraître	aparecer	appears
parc	parque	park
parce	porque	because
parcours	por supuesto	course
parcourt	viaja	travel
parcs	parques	resorts
parent	padre	relative
parents	padres	parents
parenté	parentesco	parenthood
parfait	perfecto	perfect
parfaite	perfecto	perfect
parfaitement	perfectamente	perfectly
parfois	a veces	sometimes
parfum	perfume	perfume
paris	paris	paris
parisien	parisino	parisian
parisienne	parisino	paris
parisiens	parisinos	paris
parité	paridad	parity
