$	dollarni tashkil etadi	dollars
خطأ	xato	mistake
خطاب	nutq	speech
خطبة	nutq	speech
خطة	rejasi	plan
خطر	xavf	danger
خطط	rejalar	plans
خطف	o&#39;g&#39;irlash	kidnapping
خطوة	bir qadam	step
خطورة	xavf	seriousness
خطوط	chiziqlar	lines
خطيرة	jiddiy	dangerous
خفض	o&#39;lchovni pasaytiring	minimize
خفيف	yorug&#39;lik	light
خفيفة	yorug&#39;lik	light
خلاف	tortishuv	disagreement
خلافته	uning vorisi	succeed him
خلال	orqali	during
خلاله	uning davomida	through it
خلالها	uning davomida	through it
خلايا	hujayralar	cells
خلدون	xaldun	khaldoun
خلع	echib tashladi	take off
خلف	orqasida	followed
خلفاء	vorislar	caliphs
خلفه	uning orqasida	followed him
خلفها	qolgan	behind it
خلفية	fon	on the basis
خلقه	uning yaratishi	his creation
خلل	nuqson	fault
خلنجية	xezer	ericaceae
خلية	hujayra	cell
خليج	ko&#39;rfaz	gulf
خليط	aralash	mix
خليفة	vorisi	caliph
خليل	xalil	khalil
خمس	beshta	five
خمسة	beshta	five
خمسين	ellik	fifty
خوان	xuan	juan
خوسيه	xose	jose
خوف	qo&#39;rquv	dear
خوفو	xufu	kofo (name)
خياطة	tikish	sewing
خيبر	xaybar	khaybar
خير	yaxshi	good
د	doktor	d
دا	s	da
داء	kasallik	disease
دائرة	davra	party
دائرية	doira	limits / boundary
دائم	doimiy	permanent
دائما	doim	always
دائماً	doim	always
دائمة	doim	permanent
دائمًا	doim	always
داخل	ichida	inside
داخلي	ichki	internal
داخلية	ichki	internal
دار	dar: uy	home
دارت	dart	happened
داروين	darvin	darwin
دام	davom etdi	last
دامت	modomiki, hamonki; sababli, uchun	continued as
داود	dovud	david
داوود	dovud	dawood
دبلوماسية	diplomatiya	diplomatic
دبي	dubay	dubai
دجلة	dajla	tigris
دخل	daromadlar	established
دخلت	kirdim	entered
دخول	kirish	ingress
دخوله	unga kirish	entry
دراسات	tadqiqotlar	studies
دراسته	uni o&#39;rganing	his studies
دراسية	o&#39;qish	educational
دراما	drama	drama
درب	yo&#39;l	street
درجات	darajalar	degrees
درجة	darajasi	degree
درس	dars	study
درع	qalqon	armor
درهم	dirxam	dirham
دروس	qo&#39;llanma	lessons
درويش	darvish	darweesh
دريد	duraid	duraid (name)
دستور	konstitutsiya	constitution
دستوري	konstitutsiyaviy	constitutional
دستورية	konstitutsiya	constitutional
دعا	qo&#39;ng&#39;iroq	promoted
دعاء	namoz	prayer
دعت	u qo&#39;ng&#39;iroq qildi	called
دعم	qo&#39;llab-quvvatlash	support
دعوة	qo&#39;ng&#39;iroq	invitation
دعوته	uning chaqirig&#39;i	his call
دعى	u qo&#39;ng&#39;iroq qildi	called for
دفع	to&#39;lash	push
دفعة	to&#39;langan	push
دفعت	to&#39;langan	pushed
دفن	dafn	burial
دقائق	daqiqa	minutes
دقة	aniqlik	accuracy
دقيق	un	accurate
دقيقة	aniq	accurate
دلائل	dalillar	evidence
دلالة	ko&#39;rsatma	significance
دلتا	delta	delta
دليل	qo&#39;llanma	index
دم	qon	blood
دمج	birlashtirish	consolidate
دمرت	vayron qilingan	destroyed
دمشق	damashq	damascus
دمياط	damietta	damietta
دنيا	doniya	low
دو	du	do
دوائر	doiralar	circles
دور	rol	cinemas
دورا	rol	role
دورات	kurslar	sessions
دوران	aylanish	flow
دوراً	rol	role
دورة	kurs	cycle
دوره	kurs	his role
دورها	uning roli	its role
دوري	tsiklik	league
دورية	patrul	periodic
دورًا	rol	role
دول	mamlakatlar	countries
دولار	dollar	dollar
دولة	mamlakat	country
دولته	uning mamlakati	his country
دولتهم	ularning holati	their state
دولتين	ikki shtat	two countries
دولي	xalqaro	international
دولياً	xalqaro miqyosda	internationally
دولية	xalqaro	international
دون	usiz	other than
دياب	diab	diab
ديانة	din	religion
دير	monastir	deere
ديزني	disney	disney
ديسمبر	dekabr	december
ديفنباخيا	devenpachiya	deenbagh
ديفيد	dovud	david
ديل	dell	del
ديمقراطية	demokratiya	democratic
دين	qarz	religion
دينار	dinar	dinar
ديناصور	dinozavr	dinosaur
دينه	uning dini	his religion
دينهم	ularning dini	their religion
ديني	diniy	religious
دينية	diniy	religious
دينًا	din	religion
ديوان	divan	divan
ذا	the	with
ذات	bog&#39;liq	for which
ذاته	bir xil	itself
ذاتها	o‘zi	itself
ذاتي	subyektiv ravishda	personal
ذاتية	rezyume; qayta boshlash	personal
ذاك	bu	this
ذاكرة	xotira	memory
ذرات	atomlar	atoms
ذروة	avj nuqtasi	climax
ذروتها	klimaks	peak
ذرية	nasl	progeny
ذكر	erkak	citing
ذكره	zikr qilingan	said
ذكرها	zikr qiling	mentioned
ذكرى	xotira	memory
ذكور	erkak	males
ذلك	bu	this
ذهب	boring	gold
ذهبية	oltin	golden
ذو	bajarildi	whose
ذوات	ayollar	with
ذوي	bilan	those with
ذي	dhi	zi
ذُكر	erkak	said
رآه	uni ko&#39;ring	he saw
رأت	u ko&#39;rdi	see
رأس	bosh	ras
رأسه	uning boshi	his head
رأسها	uning boshi	its head
رأسهم	ularning boshi	their head
رأى	fikr	see
رأي	fikr	opinion
رأيت	men ko&#39;rganman	i saw
رأيه	banner	his opinion
رؤساء	boshliqlar	presidents
رؤوس	boshliqlar	heads
رؤيا	ko&#39;rish	dream
رؤية	vizyon	the vision
رؤيتها	uni ko&#39;r	seeing
رئاسة	prezidentlik	the presidential
رئيس	prezident	head
رئيسا	prezident sifatida	president
رئيساً	prezident sifatida	president
رئيسة	rais	prime
رئيسيا	mayor	president
رئيسياً	mayor	major
رئيسية	mayor	main
رئيسيين	mayor	main
رئيسًا	prezident	president
رائحة	hidi	smell
رائد	pioner	pioneer
رائدة	rahbar	pioneer
رائعة	ajoyib	wonderful
رابط	aloqa	link
رابطة	uyushma	association
رابع	to&#39;rtinchi	4th
راجع	qarang	because
راشد	rashid	rashed
رام	kamonchi	ram (name)
راية	banner	flag
رب	olloh	patriarch
ربط	aloqa	link
ربع	chorak	quarter
ربما	ehtimol	maybe
ربه	rabbim	rabo (his god)
ربيع	bahor	march
ربيعة	rabia	rabia
رتب	saralash	sort
رتبة	tartib	rank
رجال	erkaklar	man
رجاله	uning odamlari	his men
رجب	regep	(the lunar month) rajab
رجع	qaytib ketdi	came back
رجل	oyoq	man
رجلا	erkak	a man
رجلاً	erkak	man
رجليها	oyoqlari	her legs
رجم	toshbo&#39;ron qilingan	lapidate
رحل	gone	passed away
رحلات	sayohatlar	trips
رحلة	sayohat	journey
رحلته	uning parvozi	his trip
ردود	javoblar	reactions
رسائل	xabarlar	letters
رسالة	xabar	a message
رسالته	uning xabari	message
رستم	rustem	rustam
رسم	chizish	drawing
رسمها	chizilgan	drawn
رسمي	rasmiy	official
رسميا	rasmiy ravishda	officially
رسمياً	rasmiy ravishda	officially
رسميًا	rasmiy ravishda	officially
رسول	xabarchi	prophet
رسوم	to&#39;lovlari	drawings / fees
رشد	voyaga etmaganlar	roshd
رشيد	rashid	rasheed
رصد	monitor	observation
رضا	qoniqish	reda
رضي	mamnun	bless
رعاف	epistaksis	bleeding
رعاية	xizmat	care
رعد	momaqaldiroq	thunder
رغبة	istak	desire
رغم	qaramay	even
رفض	rad etish	rejection
رفضت	u rad etdi	refused
رفضه	rad etdi	rejection
رفع	yuklash	removing
رفعت	ko&#39;tarildi	raised
رفيعة	yupqa	high
رفيق	hamrohi	rafeeq
رقعة	yamoq	el rokaa
رقم	raqam	number
رقيقة	yupqa	thin
ركام	qopqog&#39;i	aggregates
ركن	burchak	corner
رمزا	belgisi	a symbol
رمزية	ramziylik	symbolic
رمسيس	ramses	ramses
رمضان	ramazon	ramadan
رموز	belgilar	symbols
رمي	otish	throwing
روابط	havolalar	links
رواد	pionerlar	the leaders
رواه	muallif:	narrated by
روايات	romanlar	novels
رواية	roman	novel
روبرت	robert	robert
روثينيوم	ruteriyum	ruthenium
روح	ruh	the spirit of
روس	ross	russian
روستوك	rostok	rostock
روسو	russo	rosso
روسيا	rossiya	russia
روما	rim	rome
رومانيا	ruminiya	romania
رومانية	rumin	romanian
رونالدو	ronaldu	ronaldo
روى	rivoyat qilingan	told
روي	roy	on
رياح	shamol	riah
رياض	riad	kindergarten
رياضة	sport	sport
رياضية	atletik	sportive
ريال	rial	real
ريتشارد	richard	richard
ريشة	qovoq	feather
ريكشا	riksha	rekcha
ريولوجيا	reologiya	urology
زاد	kattalashdi	increase
زادت	kattalashdi	has increased
زار	tashrif	visited
زال	hali ham	still
زالت	hali ham	still
زاوية	burchak	corner
زايد	zayed	zayed
زحف	emaklash	encroachment
زحل	saturn	saturn
زراعة	qishloq xo&#39;jaligi	cultivation
زراعية	qishloq xo&#39;jaligi	agricultural
زرع	ekish	plantation
زرنيخيد	arsenid	arsenic
زعامة	etakchilik	leadership
زعماء	rahbarlar	leaders
زعيم	rahbar	the leader
زغلول	zag&#39;loul	zaghloul
زكريا	zakariya	zakeria
زكي	zaki	zaki
زلزال	zilzila	earthquake
زمان	vaqt	era
زمانه	uning vaqti	his time
زمن	vaqt	era
زمني	mening vaqtim	time
زمنية	vaqt	time
زنكي	rux	zinki
زهرة	gul	flower
زواج	nikoh	marriage
زواجه	uning nikohi	his marriage
زوال	buzmoq	end
زوج	er	husband
زوجات	xotinlar	wives
زوجاته	uning xotinlari	his wives
زوجة	xotini	wife
زوجته	xotini	his wife
زوجها	uning eri	her husband
زوكربيرج	tsukerberg	zuckerberg
زياد	ziyod	ziad
زيادة	ortiqcha	increase
زيارة	tashrif	visit
زيت	yog &#39;	oil
زيد	zayd	zaid
زيدان	zidan	zaidan
زين	zayn	zain
زينب	zaynab	zainab
س	s	s
سأل	- deb so‘radi	ask
سؤال	savol	question
سائر	boshqalar	other
سائل	suyuqlik	lequid
سابق	avvalgi	previous
سابقا	ilgari	previously
سابقاً	ilgari	previously
سابقة	oldingi	precedent
سابقًا	ilgari	previously
ساحة	hovli	yard
ساحل	sohil	coast
ساحلية	sohil bo&#39;yi	coastal
سار	yurdi	walked
ساراكينوس	saracenus	sarrasins
سارة	sora	sarah
ساعات	soatlar	hours
ساعة	soat	watch
ساعد	yordamchi	helped
ساعدت	yordam berdi	helped
سافر	sayohat	traveled
سالم	salom	salem
سامي	sami	sami
سامية	ajoyib	semitic
سان	san-san	san
سانت	st.	saint
ساهم	hissa qo&#39;shgan	contributed
ساهمت	hissa qo&#39;shgan	participated
سبأ	sheba	saba'a
سباق	bir poyga	race
سباقات	irqlar	races
سبب	sabab	reason
سببا	sabab	reason
سبتمبر	sentyabr	september
سبحانه	u (bundan) pokdir	almighty
سبع	yetti	sevens
سبعة	yetti	seven
سبعين	yetmish	seventieth
سبق	zotan	the above
سبقت	tezroq yugur	preceeded
سبيس	myspace	(my) space
سبيل	yo&#39;l	way
ست	olti	six
ستالين	stalin	staline
ستة	olti	six
ستكون	bu bo&#39;ladi	will be
ستيرول	sterol	stirol
ستين	oltmish	sixty
سجل	yozib olish	record
سجن	qamoqxona	imprison
سحابة	bulut	cloud
سحب	pulni qaytarib olish	withdrawal
سد	vilkasi	dam
سدة	plug	spot
سر	maxfiy	secret
سراح	chiqarilgan	release
سرطان	saraton	cancer
سرعان	tez orada	how quickly
سرعة	tezlik	speed
سرقة	o&#39;g&#39;irlik	theft
سرو	cypress	fir
سري	sir	confidential
سرية	maxfiylik	secret
سريع	tez	fast
سريعة	tez	rapid
سريعًا	tez orada	fast
سطح	yuzaki	roof
سطحه	uning yuzasi	its surface
سطحها	uning yuzasi	it's surface
سعاد	suad	souad
سعت	men qidirdim	sought
سعر	narx	price
سعود	saud	soud
سعودي	saudiya arabistoni	saudi
سعودية	saudiya arabistoni	saudi
سعوديون	saudiyaliklar	saudis
سعى	so‘radi	sought
سعيد	baxtli	happy
سفر	sayohat	travel
سفن	kemalar	ships
سفيان	soufyan	sofian
سفينة	kema	ship
سقراط	sokrat	socrates
سقط	tushib ketdi	fell
سقطت	yiqildi	failed
سقوط	doping	raining
سكان	aholisi	inhabitants
سكانديوم	skandium	scandium
سكانها	aholisi	its inhabitance
سكانية	aholisi	residential
سكة	temir yo&#39;l	seka
سكر	shakar	sugar
سكك	reylar	ways
سكن	yashash joyi	residence
سلاح	qurol	weapon
سلاسل	zanjirlar	chains
سلاطين	sultonlar	sultans / kings
سلالات	shtammlar	species
سلالة	siqilish	strain
سلام	salom	peace
سلامة	xavfsizlik	safety
سلبية	salbiy	passive
سلسلة	seriyalar	chain
سلطات	hokimiyat	authorities
سلطان	sulton	sultan
سلطة	salat	authority
سلطنة	sultonlik	sultanate
سلف	kreditlar	preceded
سلفوناميد	sulfonamid	sulfonamide
سلم	narvon	ladder
سلمان	salmon	salman
سلمة	salama	salama
سلمية	tinch	peaceful
سلوك	xulq-atvor	behaviour
سليم	salim	selim
سليمان	sulaymon	suliman
سم	sm	cm
سمات	xususiyatlari	characteristic
سماه	u chaqirdi	named
سمة	xiyonat	characteristic
سمح	ruxsat berilgan	allowed
سمحت	ruxsat berilgan	permitted
سمع	eshitdi	heard
سمعت	eshitdim	heard
سمك	baliq	fish
سمي	nomlangan	named
سميت	bu nomlangan	named
سمير	sameer	samir
سن	yoshiga qarab belgilanadi	dent
سنان	tishlar	sinan
سنة	yil	year
سنتين	ikki yil	two years
سنغافورة	singapur	singapore
سنن	sunan	rules
سنه	yil	age
سنوات	yillar	years
سنويا	har yili	annually
سنوياً	har yili	yearly
سنوية	har yili	annual
سنويًا	har yili	yearly
سنين	yillar	years
سهل	oson	plane
سهول	tekisliklar	plains
سهولة	qulaylik	ease
سهيل	suhayl	suhail
سوء	kasal	bad
سواء	yo&#39;qmi	same
سواحل	sohillari	coasts
سوداء	qora	black
سور	devor	wall
سورة	sura	sura
سوري	suriyalik	syrian
سوريا	suriya	syria
سورية	suriyalik	syrian
سوف	iroda	sawef
سوق	bozor	store
سومطرة	sumatra	sumatra
سوى	lekin	only
سويسرا	shveytsariya	switzerland
سي	c	c
سيئة	yomon	bad
سياحة	turizm	tourism
سياحية	turizm	tourist
سيادة	suverenitet	domination
سيارات	avtomobillar	cars
سيارة	avtomobil	car
سياسات	siyosat	politics
سياسة	siyosat	policy
سياسي	siyosatchi	political
سياسيا	siyosiy jihatdan	politically
سياسية	siyosiy	policy
سياق	kontekst	context
سيتم	bo&#39;ladi	will be implemented
سيتي	shahar	city
سيد	janob	master
سيدة	xonim	lady
سيدي	ser	sidi
سير	yurish	sir
سيرة	tarjimai hol	biography
سيرته	uning tarjimai holi	his biography
سيطر	boshqarish	dominate
سيطرة	boshqaruv	control
سيطرت	boshqarish oldi	dominate
سيطرتها	uning nazorati	control
سيف	qilich	sword
سيفه	uning qilichi	his sword
سيكلامين	siklamen	seklamen
سيكون	bo&#39;ladi	will be
سيلينيوم	selen	selenium
سيما	ayniqsa	particularly
سيناء	sinay	sinai
شأن	modda	value
شأنه	xohlagan bo&#39;lardim	his concern
شأنها	yoqadi	regarding
شؤون	ishlar	affairs
شئون	ishlar	matters
شاء	u xohlaydi	willing
شائع	umumiy	common
شائعة	mish-mishlar	popular
شارع	sit	street
شارك	ulashish	participated
شاركت	men qatnashdim	participated
شارل	charlz	charles
شاسعة	keng	wide
شاش	doka	dressing
شاطئ	plyaj	shore
شاكر	shaker	shaker
شاكلة	yoqadi	shape
شامة	mol	beauty mark
شامل	keng qamrovli	mass
شاملة	inklyuziv	comprehensive
شاه	shah	shah
شاهد	qarang	witness
شاهين	shoxin	shaheen
شباب	yoshlik	youth
شبابه	uning yoshligi	his youth
شبكات	tarmoqlar	networks
شبكة	tarmoq	network
شبه	bir xil	semi
شبيه	kabi	similar
شبيهة	o&#39;xshash	similar
شتى	turli xil	many
شجرة	daraxt	tree
شجع	rag&#39;batlantirildi	encourage
شحنة	jo&#39;natish	cargo
شخص	shaxs	person
شخصيات	rahbarlar	figures
شخصية	xarakter	personal
شخصيته	uning fe&#39;l-atvori	his personality
شداد	qattiqlashuv	shaddad
شديد	kuchli	very
شديداً	juda zich	strong
شديدًا	juda qiyin	strong
شراء	xarid qilish	purchase
شراكة	sheriklik	partnership
شرب	ichimlik	drink
شرج	anus	a
شرح	tushuntirdi	explaining
شرط	shart	condition
شرع	davom etdi	started
شرعية	qonuniylik	the law
شرف	hurmat	honor
شرق	sharqda	east
شرقا	sharq	east
شرقاً	sharq	east
شرقي	sharqda	the east of
شركات	kompaniyalar	companies
شركة	bir kompaniya	company
شروط	shartlar	conditions
شريط	lenta	margin
شريعة	qonun	the law
شريف	sherif	noble
