$ tỉ	milliard dollar	$ billion
vệ	mudofaa	"(term should be ""bảo vệ"") to defend (v.)"
vệt	chiziqlar	streak
vỉa	tikuvlar	"(term should be ""vỉa hè"") sidewalk"
vịnh	ko&#39;rfaz	bay
vịt	o&#39;rdak	duck
vọng	umid	"(term should be ""hy vọng"") hope (n.)"
vọt	ko&#39;katlar	to spurt out (v.)
vỏ	po&#39;stloq	shell
vồ	maul	"(term should be ""gạch vồ"") a type of brick"
vỗ	pat	to clap
vội	shoshiling	hurriedly (adv.)
vớ	paypoq	"(term should be ""vớ vẩn"") silly (adj.)"
với	bilan	to
vớt	baliq	salvage
vờ	da&#39;vo qilmoq	"(term should be ""giả vờ"") to pretend (v.)"
vời	ajoyib	wonderful
vở	daftar	"(term should be ""vở kịch"") a play"
vỡ	singan	break
vợ	xotini	wife
vụn	chiplar	debris
vụng	bema&#39;ni	covert
vứt	tashqariga uloqtirib yubor	throw away
vừa	mos	just (adv.)
vừng	kunjut	sesame (n.)
vững	firma	firm (adj.)
vực	maydon	place
vựng	lug&#39;at	"(term should be ""từ vựng"") regional vocabulary (n.)"
vỹ	shunday qilib	majestic
w	w	w
wa	va	wa
walt	vals	(proper noun) walt, as in walt disney
walter	sayr qilmoq	walter
walther	yurish	walther
wan	wan	wan
wang	wang	wang
wankel	wankel	(proper noun) wankel
wanna	istayman	wanna
warren	warren	a name
warsaw	varshava	warsaw
warszawa	varshava	(proper noun) warsaw
washington	vashington	(proper noun) washington
wat	vatt	(proper noun) wat, as in angkor wat, the temple in cambodia
watergate	suv oqimi	watergate
waterloo	suv havzasi	(proper noun) waterloo
waters	suvlari	waters
wayne	vino	wayne
wcdma	wcdma	w-cdma
weasley	weasley	weasley, as in ron weasley in the harry potter series
weblog	veb-blog	weblog
webmail	veb-pochta	ưebmail
weimar	weimar	(proper noun) weimar
wellington	vellington	wellington
wells	quduqlar	wells, as in author orson wells
welsh	yaxshi	(proper noun) welsh, as in the welsh language
wembley	o&#39;rmalamoq	wembley, as in wembley stadium
werner	chaynash	werner
westermarck	westermarck	westermarck
western	g&#39;arbiy	western
westlife	g&#39;arbiy hayot	westlife
westview	g&#39;arbiy ko&#39;rinishi	westview, as in westview press
wheeler	g&#39;ildirak	a name
widener	kengaytirgich	widener
wien	vien	wien
wiener	arra	wiener
wifi	wifi	wi-fi, a technology term
wiki	wiki	wiki
wikia	vikia	a name
wikibooks	wikibooks	(proper noun) wikibooks
wikimapia	vikimapiya	wikimapia
wikimedia	wikimedia	wikimedia
wikitravel	wikitravel	a name
wild	yovvoyi	wild
wilder	yovvoyi	(proper noun) wilder, as in billy wilder
wiley	wiley	wiley
willard	qiya	willard
wimbledon	uimbldon	wimbledon
windows	derazalar	windows
winer	g&#39;olib	winer
wisconsin	kentukki	(proper noun) wisconsin
within	ichida	within
without	holda	without
wolfgang	bo&#39;ri	wolfgang
won	yutuq	won
wong	vong	wong
woodrow	o&#39;tin	woodrow
woods	o&#39;rmonlar	(proper noun) woods, as in tiger woods
would	bo&#39;lardi	would
wrestling	kurash	wrestling
wright	wright	a name
wu	wu	wu
wushu	ushu	wushu, a type of martial art
wwf	wwf	wwf
xa	uzoq	ancient
xang	xang	"(term should be ""lan xang"") name of an ancient country in southeast asia"
xanh	ko&#39;k	green
xao	beparvo	xôn xao = chatting
xay	maydalash	grind
xe	mashina	a car (n.)
xem	qarang	watch
xen	xen	to insert (v.)
xhcn	xhcn	social republic
xi	xi	xi
xiii	xiii	eighth
xin	iltimos	please
xinh	chiroyli	beautiful
xiv	xiv	fourteenth
xiêm	siam	(proper noun) xiêm, or siam
xiên	qiyalik	oblique
xiêu	xiao	soften
xiếc	sirk	circus
xiết	torting	to twist tightly (v.)
xiềng	kishanlar	chain
xo	xo	spring
xoa	ishqalamoq	massage
xoay	burish	turn
xong	bajarildi	completed
xoàng	o&#39;rta	mediocre
xoá	o&#39;chirish	delete
xoáy	qirg&#39;iy	vortex
xoắn	o&#39;ralgan	coiled
xu	tanga	trend
xua	tarqatib yubormoq	dispel
xuan	xuan	"(term should be ""xuân"") a common vietnamese middle or first name; means ""the season of spring"""
xui	omadsiz	incite
xuka	xuka	xuka
xum	dabdabali	a name
xuyên	pirsing	frequently
xuyến	bilakuzuklar	manage
xuân	bahor	spring
xuâncông	bahor	xuan public
xuôi	supurib tashlandi	down
xuất	eksport	ejaculate
xuấtnhập	eksport-import	import/export
xuống	pastga	down
xuồng	baydarka	boat
xv	xv	fifteenth
xvi	xvi	xvi
xvii	xvii	xvii
xx	xx	xx
xy	xy	cylinder
xài	sarflamoq	use
xào	qovurmoq	stir fry
xách	sumka	to carry by the handle (v.)
xám	kulrang	ustox
xán	qovurilgan	"(term should be ""xán lạn"") bright (adj.)"
xáo	bezovtalik	chaos
xát	ishqalanish	touch
xâm	zarb qilingan	invasion
xâu	tor	string
xây	qurmoq	build
xã	kommuna	society
xãy	adashgan	occur
xèo	xèo	xeo
xé	yirtmoq	tear
xén	kesish	"(term should be ""biếu xén"") to gift (v.)"
xéo	yon tomonga	diagonally (adv.)
xét	o&#39;ylab ko&#39;ring	examine
xê	ko&#39;chirish	"(term should be ""bánh xu xê"") a type of vietnamese cake"
xêkô	suneo	xeko
xì	osma	scandal
xìu	osma	to become flaccid (v.)
xí	zavod	factory (xi nghiep)
xít	maftunkor	nazi
xíu	mayda	small
xòe	yoyish	spread
xóa	o&#39;chirish	clear
xói	eroziya	erode
xóm	qo&#39;shnilar	village
xót	rahm-shafqat	mercy
xô	urmoq	soviet
xôi	yopishqoq guruch	pierce
xôn	aralashtiring	tumultuous
xông	yugurdi	rush
xôphần	chelak bo&#39;limi	soviet-poland
xôviết	sovet ittifoqi	soviet
xù	xirilladi	gigantic
xú	qo&#39;pol	xu
xúc	aloqa	touch
xúi	g&#39;azablantirmoq	induce
xăm	zarb	"(term should be ""xa xăm"") far away (adj.)"
xăng	benzin	gasoline
xơ	tola	xo
xưa	qari	old
xưng	tan olish	"(should be ""tự xưng"") self-proclaimed"
xương	suyak	bone (n.)
xước	tirnalgan	scratch
xướng	xor	provoke
xưởng	ustaxona	workshop
xạ	nurlanish	"(term should be ""phản xạ"") to reflect"
xả	tushirish	release
xảo	ayyor	detailed
xảy	sodir bo&#39;ladi	happen
xấp	taxminan	approximate
xấu	yomon	bad
xẩm	shaggy	a type of traditional vietnamese singing
xẩy	sodir bo&#39;ladi	occur
xắt	zar	cut
xẻo	omadsiz	cut off
xếp	katlanmış	rank
xỉ	cüruf	approximately
xỉa	parcha	to pick (v.)
xỉu	holsiz	to faint
xốc	zarba	to lift up (v.)
xốp	polyom	porous
xổ	lotereya	rush into
xộn	iflos	messy
xứ	quruqlik	native
xứng	loyiq	appropriate
xử	davolash	judge
y	y	medical
y=fracsin	y = fraksin	a function
ya	ya	(proper noun) ya, as in ya trang
yakovlev	yakovlev	yakovlev
yakushima	yakushima	yakushima
yalta	yalta	(proper noun) yalta
yankee	yankee	(proper noun) yankee
yard	hovli	yard
yasha	yasha	a name
yeeun	yeeun	(proper noun) yeeun
yeltsin	yeltsin	yeltsin, as in boris yeltsin
yemen	yemen	yemen
yersin	yersin	(proper noun) yersin, asin alexandre yersin
yi	yi	(proper noun) yi
ying	ying	(proper noun) ying, as in ying yang
ymca	ymca	ymca
yo	yo	yo
yomiuri	yomiuri	yomiuri
yoochun	yoochun	yoochun
york	york	york
yorker	yorker	yorker
yorkshire	yorkshir	yorkshire
youtube	youtube	youtube
ypres	ypres	ypres
ytv	ytv	ytv
yu	yu	yu
yuan	yuan	(proper noun) yuan, as in yuan mu
yucatán	yucatan	yucatan, as in the yucatan peninsula
yudhoyono	yudhoyono	(proper noun) yudhoyono, as in indonesian president susilo bambang yudhoyono
yugi	yugi	yugi
yukito	yukito	yukito
yume	yume	(proper noun) yume
yunho	yunho	yunho
yuri	yuriy	yuri, as in soviet pilot and cosmonaut yuri alekseyevich gagarin
yurt	o&#39;tov	yurt
yên	iyena	peace or stillness (n.)
yêu	sevmoq	love
yếm	qopqoqlar	tender
yến	qush uyasi	a type of swallow (n.)
yết	ro&#39;yxati	yet
yếu	kuchsiz	mainly
yểm	qopqoq	support
yển	yen	"is a name meaning, ""bird"""
yểu	yoqimli	"(term should be ""yểu điệu"") graceful (adj.)"
z	z	z
zac	zac	zac
zambia	zambiya	(proper noun) zambia, as in the nation
zealand	zelandiya	(proper noun) zealand, as in new zealand
zedong	zedong	mao zedong
zero	nolga teng	zero
zeus	zevs	zeus
zheng	zheng	zheng
zhukmse	zhukmse	zhuk-mse
zimbabwe	zimbabve	zimbabwe
zinedine	zinedin	(proper noun) zinedine
zing	zing	zing, as in the website
zoe	zoe	zoe
zurich	tsyurix	(proper noun) zurich
zürich	zurich	(proper noun) zurich, as in zurich, switzerland
|nguyễn	| nguyen	a common vietnamese last name
|nổi	| suzadi	"(term should be ""nổi"") to float (v.)"
|petya	| petya	(proper noun) petya
|tên	| nomi	"(should be ""tên"") name (n.)"
|việt	| vetnam	vietnam
 kg	kg	kg
 triệu	million	million
 °c	° c	degrees celsius
°đến	° ga	up to
°độ	° daraja	degree
×	×	x
ào	qoyil	rush
á	osiyo	asia
ác	yovuzlik	evil
ách	bo&#39;yinturuq	yoke (n.)
ái	ishtiyoq	ai
ám	beradi	(with the word chi) to hint at
ánh	yorqinligi	light
áo	ko&#39;ylak	clothe
áohung	aohung	"(term should be ""Áo-hung"") austria-hungary"
áp	bosim	"(term should be ""huyết áp"") blood pressure (n.)"
áâu	aoi	eurasian
â	â	a vietnamese vowel sound
âm	minus	vagina
ân	iltifot	deed
én	yutadi	swallow
ép	siqish	press
êgê	ego	aegean
êm	silliq	smooth
ích	foydali	benefit
ílam	ílam	tamil language name for the island of sri lanka
ít	oz	less
île	île	Île, as in Île de la cité, france
îledefrance	etefrance	ile-de-france
ðiều	maqola	article
ðài	àài	taiwan
ðường	shakar	a road
ðảng	partiya	party
ðức	germaniya	"Đức, a common vietnamese first name; means ""virtue"""
ó	ó	(with the word la) to boo down
óc	miya	brain
óng	shovqinli	"(term should be ""óng ả"") flexible"
ôi	oh	"vietnamese version of the exclamation ""oh"""
ôm	quchoqlash	hug
ôn	moderatsiya	peaceful (on hoa)
ông	u	a man (n.)
ôtô	mashina	car
ôxi	kislorod	oxygen
ôxy	kislorod	the element oxygen (n.)
ôxít	oksid	oxide
ôzôn	ozon	ozone
ùn	murabbo	congest
úng	botqoqlangan	flood
úp	yuzi pastga	upside
úy	leytenant	"(term should be ""thiếu úy"") second lieutenant (n.)"
ý	italiya	italian
ăn	yemoq	eat
ăng	chumoli	antenna
ăngten	antenna	antenna
đa	ko&#39;p	majority
đai	tarmoqli	"(term should be ""Đai khố"") name of a village"
đak	dak	(proper noun) Đak
đan	trikotaj	scandal
đau	og&#39;riq	painful
đay	jute	jute, a type of vegetation the vietnamese use to make soup (n.)
đb	db	dien ban
đcstq	dcstq	communist party of china
đcsvn	dcsvn	vietnam communist party
đe	anvil	threaten
đem	olib keling	to bring (v.)
đen	qora	black
đentrắng	qora va oq	"(term should be ""đen-trắng"") black-and-white (adj.)"
đeo	kiyish	wear
đh	đh	university
đhcn	đcn	university of industry
đhtm	dhtm	university of economics
đhông	sharq	dhong
đi	boring	go
điên	aqldan ozgan	crazy
điêu	narsa	sculpture
điôxít	dioksid	dioxide
điạ	dạ	dia
điếc	kar	heron
điếu	chekish	funeral oration
điềm	belgisi	omen
điền	to&#39;ldiring	estate
điều	narsa	control
điểm	nuqta	bearing point
điển	lug&#39;at	"(term should be ""từ điển"") a dictionary"
điểu	jin ursin	thing
điệp	xabar	spy
điệu	ohang	memorial
đo	o&#39;lchov	measure
đoa	doa	doa
đoan	guruh	extreme
đom	o&#39;t o&#39;chiruvchilar	firefly
đoài	mango	the west
đoàn	guruh	an organization or group (n.)
đoái	almashish	"(term should be ""hối đoái"") to exchange or trade (v.)"
đoạn	paragraf	a stage or phase (n.)
đt	tel	training
đtđ	uyali telefon	diabetes
đua	irqi	emulate
đui	ko&#39;r	blind
đun	issiqlik	cook
đuôi	dum	tail
đuốc	mash&#39;al	a torch
đuối	cho&#39;kish	drowning
đuống	poyasi	(proper noun) Đuống, the name of a river
đuổi	ketidan quvmoq	pursue
đài	radio	statue
đàm	muzokaralar	negotiation
đàn	podasi	musical instrument
đàng	ha	side
đào	qazish	train
đày	surgun	exile
đá	qoya	to kick
đái	to&#39;ng&#39;iz	pee
đám	guruh	dam
đán	dan	"(term should be ""tết nguyên Đán"") vietnamese new year's day"
đáng	qiymat	deserve
đáo	noyob	unique
đáp	javob bering	response
đát	quruqlik	"(term should be ""bi đát"") lamentable (adj.)"
đâm	pichoqlash	pierce
đâu	qayerda	anywhere
đây	bu yerda	below
đã	allaqachon	already
đãi	davolash	"(should be ""bạc đãi"") to ill-treat"
đãng	buzuq	dissolute
đè	bekor qilmoq	to press on
đèn	chiroq	light
đèo	o&#39;tish	a mountain pass (n.)
đê	zovur	a dike (n.)
đêm	kechasi	night
đênh	buk	lênh đênh= float to unknown
đích	maqsad	goal
đính	biriktirilgan	attached (adj.)
đò	parom	a ferry (n.)
đòi	talab	require
đòn	puflamoq	welcome
đó	mana	that or there (adv.)
đóa	nah	"(term should be ""đoá hoa"") a flower bloom"
đói	och	hungry
đón	termoq	welcome
đôi	ikki baravar	sometimes
đôla	dollar	dollar
đôn	piyoda	london
đông	bronza	eastern
đôngbắc	shimoli-sharqda	north-east
đôngnam	janubi-sharq	south-east
đôngtây	sharqiy g&#39;arbiy	"(term should be ""đông-tây"") east-west (adj.)"
đôrêmi	doraemon	(proper noun) Đôrêmi
đôrêmon	doraemon	doreamon
đùa	hazil	joke
đùi	urg&#39;ochi	thigh
đúc	quyma	"(term should be ""đúc kết"") to sum up (v.)"
đúng	bu to&#39;g&#39;ri	right
đúp	ikki baravar	double
đút	qo&#39;yish	"(term should be ""đút lót"") to bribe"
đăk	dak	dak
đĩ	slut	whore/bitch
đĩa	plitasi	disk
đơ	pauza	stiff or rigid (adj.)
đưa	o&#39;tish	girl
đường	ko‘cha	pathway
được	ok	is not
đạ	da	da
đại	ajoyib	eagle
đạm	oqsil	plain
đạn	o&#39;q	bullet
đạo	din	vagina
đạp	velosiped	to step on
đạt	erishish	reach
đả	janjallar	to hit
đảm	kafolatlangan	"(term should be ""đảm nhiệm"") to undertake (v.)"
đản	tug&#39;ilgan kun	a group or flock (n.)
đảng	partiya	party
đảo	orol	an island (n.)
đấm	mushtlamoq	punch
đấng	xudo	the
đất	quruqlik	country
đấtmặt	zamin	datmat
đấy	mana	ignore
đầm	kiyinish	swamp
đần	soqov	"(term should be ""đần độn"") stupid or ignorant (adj.)"
đầu	bosh	start
đầy	to&#39;la	"(term should be ""đầy đủ"") adequate or enough"
đẩu	bosh	"(entire term is ""khoa đẩu"") ancient phonetic script used in vietnam"
đẩy	itarish	to push
đẫm	qurigan	wet
đậm	qorong&#39;i	dense
đậu	loviya	to park (v.)
đậy	qopqoq	cover
đắc	daromad	effectively
đắm	vayron bo&#39;lgan	sink
đắn	egalik	proper (dung dan)
đắng	achchiq	bitter
đắp	yuqoriga	"(term should be ""bù đắp"") to compensate (v.)"
đắt	qimmat	expensive
đằng	ustida	back
đẳng	sinf	equality
đặc	maxsus	"(term should be ""đặc biệt"") special (adj.)"
đặn	muntazam	regularly
đẹp	juda chiroyli	beautiful
đẽ	yaxshi	beauty
đế	tagliklari	empire
đếm	hisoblash	to count (v.)
đến	keling	come
đề	iplar	promote
đền	ma&#39;bad	"(term should be ""đền thờ"") a religious shrine"
đều	bor	all
để	ga	for
đệm	yostiq	middle name
đỉnh	tepasida	the summit or peak
địch	dushman	enemy
định	belgilangan	appointed
đọ	bog&#39;langan	compete
đọan	paragraf	period
đọc	o&#39;qing	read
đọng	turg&#39;un	deposit
đỏ	qizil	red (adj.)
đốc	hokim	admiral
đối	uchun	face
đốm	nuqta	spot
đốn	chopish	"(term should be ""suy đốn:) to be worse off"
đống	qoziq	line
đốt	yonayotgan	burn
đồ	narsa	thing
đồi	tepalik	hill
đồn	mish-mish	rumour
đồng	mis	agreeable
đổ	quymoq	dump
đổi	o&#39;zgartirish	to change (v.)
đổng	dong	"(term should be ""đồng bằng"") a delta"
đỗ	parklangan	pass
độ	daraja	"term should actually be ""độ cao""; means ""height"""
độc	zahar	alone
độn	to&#39;ldirilgan	chaos
động	dinamik	action
đột	to&#39;satdan	"(term should be ""xung đột"") conflict (n.)"
đới	zen	tropical
đời	hayot paytida	generation
đỡ	qo&#39;llab-quvvatlash	help
đợi	kutmoq	thigh
đợt	partiyasi	fit
đục	noaniq	turbid
đụn	gumbazlar	dune
đụng	teginish	encounter
đủ	yetarli	enough
đứa	bolalar	child
đức	fazilat	virtue (n.)
đứng	turmoq	to stand (v.)
đứt	singan	cut off
đừng	qilmang	not
đực	erkak	male
đựng	o&#39;z ichiga oladi	suffer
đựoc	xop	be
ĩ	oh	"(term should be ""ầm ĩ"") noisy"
ơ	oh	"(term should be ""thờ ơ"") to be indifferent (adj.)"
ơi	hey	"vietnamese equivalent of english ""oh"""
ơn	rahmat	thank
ư	u	vowel sound found in the vietnamese alphabet (n.)
ưa	afzal	to like (v.)
ưng	oh ha	to accept (v.)
ưu	taroziga soling	"(term should be ""ưu việt"") preeminent (adj.)"
ươi	apelsin	orangutan
ươm	bolalar bog&#39;chasi	nursery
ương	markaziy	central
ướp	marinadlangan	mummy
ướt	ho&#39;l	wet
ạ	ser	a word added to the end of a response to show respect to someone in a position of authority, as in a child to a parent
ạt	shoshilish	(with word o) to crowd
ải	ải	pass
ảnh	rasm	picture
ấm	iliq	warm
ấn	bosing	press
ấnâu	bosib chiqarish	"(term should be ""Ấn Âu"") a grouping of languages including european and indian languages that are thought to have originated from a single earlier language (adj.)"
ấp	bolg&#39;a	district
ấu	yosh	childhood
ấy	bu	that
ẩm	iliq	humidity
ẩn	yashirish	hidden
ập	portlash	rush
ắt	albatta	sure
ếch	qurbaqa	frog
ỏi	yalpiz	little
ố	ooh	"(term should be ""hoen ố"") stained and smeared (adj.)"
ốc	shilliq qurtlar	building
ốm	kasal	sick
ống	naycha	tube
ốp	tangens	omelette
ồn	shovqin	noisy (adj.)
ổ	haydash	hard drive
ổi	guava	guava (n.)
ổn	yaxshi	peace
ớn	katta	posts
ớt	qalampir	chili
ở	ichida	at
ủ	inkubatsiya	"(term should be ""ủ dột"") gloomy (adj.)"
ủi	temir	"(term should be ""an ủi"") to comfort (v.)"
ủng	etiklar	boot
ủy	komissar	commission
ứ	ha	to pool together (v.)
ức	ko&#39;krak	memories
ứng	dastur	corresponding
−−	−−	__
≠	≠	different
