$ tỉ	$ r $	$ billion
wilder	oluṣọ	(proper noun) wilder, as in billy wilder
wiley	wiley	wiley
willard	ọwọn	willard
wimbledon	wimbledon	wimbledon
windows	windows	windows
winer	ajagun	winer
wisconsin	ologbon	(proper noun) wisconsin
within	laarin	within
without	laisi	without
wolfgang	wolfgang	wolfgang
won	bori	won
wong	wong	wong
woodrow	igi igi	woodrow
woods	igi	(proper noun) woods, as in tiger woods
would	yoo	would
wrestling	ijakadi	wrestling
wright	wuyi	a name
wu	wu	wu
wushu	wushu	wushu, a type of martial art
wwf	wwf	wwf
xa	jinna	ancient
xang	xang	"(term should be ""lan xang"") name of an ancient country in southeast asia"
xanh	bulu	green
xao	flabby	xôn xao = chatting
xay	lọ	grind
xe	ọkọ ayọkẹlẹ	a car (n.)
xem	wo	watch
xen	xen	to insert (v.)
xhcn	xhcn	social republic
xi	xi	xi
xiii	xiii	eighth
xin	jowo	please
xinh	lẹwa	beautiful
xiv	xiv	fourteenth
xiêm	siamese	(proper noun) xiêm, or siam
xiên	slant	oblique
xiêu	xiao	soften
xiếc	circle	circus
xiết	fẹẹrẹ	to twist tightly (v.)
xiềng	awọn abẹfẹlẹ	chain
xo	xo	spring
xoa	bi won ninu	massage
xoay	yiyi	turn
xong	ṣẹ	completed
xoàng	agbedemeji	mediocre
xoá	paarẹ	delete
xoáy	eddy	vortex
xoắn	yiyi	coiled
xu	owó	trend
xua	tuka	dispel
xuan	xuan	"(term should be ""xuân"") a common vietnamese middle or first name; means ""the season of spring"""
xui	alailoriire	incite
xuka	xuka	xuka
xum	adun	a name
xuyên	lilu	frequently
xuyến	egbaowo	manage
xuân	orisun omi	spring
xuâncông	orisun omi	xuan public
xuôi	gbo-nu	down
xuất	okeere	ejaculate
xuấtnhập	okeere-gbe wọle	import/export
xuống	silẹ	down
xuồng	oko ojuomi	boat
xv	xv	fifteenth
xvi	xvi	xvi
xvii	xvii	xvii
xx	xx	xx
xy	xy	cylinder
xài	na	use
xào	din-din	stir fry
xách	apamowo	to carry by the handle (v.)
xám	grey	ustox
xán	dín	"(term should be ""xán lạn"") bright (adj.)"
xáo	rudurudu	chaos
xát	fifi pa	touch
xâm	tatuu	invasion
xâu	okun	string
xây	kọ	build
xã	kọ́kọ́rọ́	society
xãy	ẹlẹsẹ	occur
xèo	xèo	xeo
xé	yiya	tear
xén	cropping	"(term should be ""biếu xén"") to gift (v.)"
xéo	ẹgbẹ	diagonally (adv.)
xét	ronu	examine
xê	gbe	"(term should be ""bánh xu xê"") a type of vietnamese cake"
xêkô	suneo	xeko
xì	fart	scandal
xìu	fart	to become flaccid (v.)
xí	ile ise	factory (xi nghiep)
xít	itankalẹ	nazi
xíu	kekere	small
xòe	itankale	spread
xóa	nu	clear
xói	ogbara	erode
xóm	aladugbo	village
xót	aanu	mercy
xô	gbon	soviet
xôi	alalepo alalepo	pierce
xôn	aruwo	tumultuous
xông	sare	rush
xôphần	apakan garawa	soviet-poland
xôviết	igbimo sofieti	soviet
xù	ruffled	gigantic
xú	arínifín	xu
xúc	kan si	touch
xúi	jeki	induce
xăm	tatuu	"(term should be ""xa xăm"") far away (adj.)"
xăng	petirolu	gasoline
xơ	okun	xo
xưa	atijọ	old
xưng	jẹwọ	"(should be ""tự xưng"") self-proclaimed"
xương	eegun	bone (n.)
xước	rirun	scratch
xướng	egbe	provoke
xưởng	idanileko	workshop
xạ	itu	"(term should be ""phản xạ"") to reflect"
xả	yo kuro	release
xảo	arekereke	detailed
xảy	waye	happen
xấp	feleto	approximate
xấu	buburu	bad
xẩm	shaggy	a type of traditional vietnamese singing
xẩy	waye	occur
xắt	ṣẹ	cut
xẻo	alailoriire	cut off
xếp	ti ṣe pọ	rank
xỉ	slag	approximately
xỉa	floss	to pick (v.)
xỉu	suuru	to faint
xốc	iyalẹnu	to lift up (v.)
xốp	onigbọwọ	porous
xổ	ẹyẹ	rush into
xộn	idoti	messy
xứ	ilẹ	native
xứng	yẹ	appropriate
xử	tọju	judge
y	y	medical
y=fracsin	y = fracsin	a function
ya	ya	(proper noun) ya, as in ya trang
yakovlev	yakovlev	yakovlev
yakushima	yakushima	yakushima
yalta	yalta	(proper noun) yalta
yankee	yan	(proper noun) yankee
yard	àgbàlá	yard
yasha	yasha	a name
yeeun	yeun	(proper noun) yeeun
yeltsin	yeltsin	yeltsin, as in boris yeltsin
yemen	yemen	yemen
yersin	yersin	(proper noun) yersin, asin alexandre yersin
yi	yi	(proper noun) yi
ying	ying	(proper noun) ying, as in ying yang
ymca	ymca	ymca
yo	yo	yo
yomiuri	yomiuri	yomiuri
yoochun	yoochun	yoochun
york	york	york
yorker	alagbẹdẹ	yorker
yorkshire	wara-wara	yorkshire
youtube	youtube	youtube
ypres	ypres	ypres
ytv	ytv	ytv
yu	yu	yu
yuan	iwin	(proper noun) yuan, as in yuan mu
yucatán	yucatán	yucatan, as in the yucatan peninsula
yudhoyono	yudhoyono	(proper noun) yudhoyono, as in indonesian president susilo bambang yudhoyono
yugi	yugi	yugi
yukito	yukito	yukito
yume	yume	(proper noun) yume
yunho	yunho	yunho
yuri	yuri	yuri, as in soviet pilot and cosmonaut yuri alekseyevich gagarin
yurt	yurt	yurt
yên	yen	peace or stillness (n.)
yêu	lati feran	love
yếm	coveralls	tender
yến	ẹyẹ	a type of swallow (n.)
yết	kikojọ	yet
yếu	ailera	mainly
yểm	ideri	support
yển	bẹẹni	"is a name meaning, ""bird"""
yểu	ẹlẹwa	"(term should be ""yểu điệu"") graceful (adj.)"
z	z	z
zac	zac	zac
zambia	zambani	(proper noun) zambia, as in the nation
zealand	hẹlandia	(proper noun) zealand, as in new zealand
zedong	zedong	mao zedong
zero	odo	zero
zeus	zeus	zeus
zheng	zheng	zheng
zhukmse	zhukmse	zhuk-mse
zimbabwe	zimbabwe	zimbabwe
zinedine	zinedine	(proper noun) zinedine
zing	zingari	zing, as in the website
zoe	zoe	zoe
zurich	zurich	(proper noun) zurich
zürich	zürich	(proper noun) zurich, as in zurich, switzerland
|nguyễn	| nguyen	a common vietnamese last name
|nổi	| floats	"(term should be ""nổi"") to float (v.)"
|petya	| petya	(proper noun) petya
|tên	| orukọ	"(should be ""tên"") name (n.)"
|việt	| vietnamese	vietnam
 kg	kg	kg
 triệu	million	million
 °c	° c	degrees celsius
°đến	° à	up to
°độ	° iwọn	degree
×	×	x
ào	iro ohun	rush
á	ara ilu esia	asia
ác	ibi	evil
ách	ajaga	yoke (n.)
ái	ifẹkufẹ	ai
ám	renders	(with the word chi) to hint at
ánh	ipẹẹrẹ	light
áo	seeti	clothe
áohung	aohungg	"(term should be ""Áo-hung"") austria-hungary"
áp	titẹ	"(term should be ""huyết áp"") blood pressure (n.)"
áâu	aoi	eurasian
â	â	a vietnamese vowel sound
âm	iyokuro	vagina
ân	ojurere	deed
én	mì	swallow
ép	fun pọ	press
êgê	ego	aegean
êm	dan	smooth
ích	wulo	benefit
ílam	ílam	tamil language name for the island of sri lanka
ít	diẹ	less
île	île	Île, as in Île de la cité, france
îledefrance	apanilẹrin	ile-de-france
ðiều	nkan	article
ðài	ài	taiwan
ðường	suga	a road
ðảng	ẹgbẹ	party
ðức	jẹmánì	"Đức, a common vietnamese first name; means ""virtue"""
ó	ó	(with the word la) to boo down
óc	ọpọlọ	brain
óng	ẹnu ọna	"(term should be ""óng ả"") flexible"
ôi	ah	"vietnamese version of the exclamation ""oh"""
ôm	famọra	hug
ôn	iwọntunwọnsi	peaceful (on hoa)
ông	oun	a man (n.)
ôtô	ọkọ ayọkẹlẹ	car
ôxi	atẹgun	oxygen
ôxy	atẹgun	the element oxygen (n.)
ôxít	ohun elo afẹfẹ	oxide
ôzôn	osonu	ozone
ùn	ìfípáda	congest
úng	ẹlẹgbẹ	flood
úp	dojukọ isalẹ	upside
úy	lieutenant	"(term should be ""thiếu úy"") second lieutenant (n.)"
ý	ilu italia	italian
ăn	jẹ	eat
ăng	kokoro	antenna
ăngten	eriali	antenna
đa	ọpọlọpọ	majority
đai	ẹgbẹ	"(term should be ""Đai khố"") name of a village"
đak	dak	(proper noun) Đak
đan	aso	scandal
đau	irora	painful
đay	ẹiyẹ	jute, a type of vegetation the vietnamese use to make soup (n.)
đb	db	dien ban
đcstq	dcstq	communist party of china
đcsvn	dcsvn	vietnam communist party
đe	anvil	threaten
đem	mu	to bring (v.)
đen	dudu	black
đentrắng	dudu ati funfun	"(term should be ""đen-trắng"") black-and-white (adj.)"
đeo	wọ	wear
đh	h	university
đhcn	cn	university of industry
đhtm	dhtm	university of economics
đhông	ila-oorun	dhong
đi	lọ	go
điên	irikuri	crazy
điêu	ohun	sculpture
điôxít	itọsi	dioxide
điạ	dạ	dia
điếc	adití	heron
điếu	siga	funeral oration
điềm	ami	omen
điền	kun	estate
điều	ohun	control
điểm	ojuami	bearing point
điển	itumọ	"(term should be ""từ điển"") a dictionary"
điểu	fokii	thing
điệp	ifiranṣẹ	spy
điệu	ohun orin	memorial
đo	ìwọn	measure
đoa	doa	doa
đoan	ẹgbẹ	extreme
đom	igbona	firefly
đoài	mango	the west
đoàn	ẹgbẹ	an organization or group (n.)
đoái	paṣipaarọ	"(term should be ""hối đoái"") to exchange or trade (v.)"
đoạn	ìpínrọ̀	a stage or phase (n.)
đt	tẹli	training
đtđ	foonu alagbeka	diabetes
đua	ije	emulate
đui	afoju	blind
đun	igbona	cook
đuôi	iru	tail
đuốc	ògùṣọ	a torch
đuối	riran	drowning
đuống	yio	(proper noun) Đuống, the name of a river
đuổi	lepa	pursue
đài	redio	statue
đàm	awọn ijiroro	negotiation
đàn	agbo	musical instrument
đàng	bẹẹni	side
đào	ma wà	train
đày	igbekun	exile
đá	apata	to kick
đái	pee	pee
đám	ẹgbẹ	dam
đán	dan	"(term should be ""tết nguyên Đán"") vietnamese new year's day"
đáng	tọ	deserve
đáo	alailẹgbẹ	unique
đáp	idahun	response
đát	ilẹ	"(term should be ""bi đát"") lamentable (adj.)"
đâm	iduro	pierce
đâu	nibo	anywhere
đây	nibi	below
đã	ti tẹlẹ	already
đãi	tọju	"(should be ""bạc đãi"") to ill-treat"
đãng	adẹtẹ	dissolute
đè	iṣuju	to press on
đèn	atupa	light
đèo	rekoja	a mountain pass (n.)
đê	ohun mimu	a dike (n.)
đêm	alẹ	night
đênh	mura silẹ	lênh đênh= float to unknown
đích	opin irin ajo	goal
đính	somọ	attached (adj.)
đò	ferry	a ferry (n.)
đòi	beere	require
đòn	fẹ	welcome
đó	ní bẹ	that or there (adv.)
đóa	nah	"(term should be ""đoá hoa"") a flower bloom"
đói	ebi n pa	hungry
đón	gbe	welcome
đôi	ilọpo meji	sometimes
đôla	dọla	dollar
đôn	àtẹ	london
đông	idẹ	eastern
đôngbắc	àríwá	north-east
đôngnam	guusu ila oorun	south-east
đôngtây	ìha ìla-õrùn	"(term should be ""đông-tây"") east-west (adj.)"
đôrêmi	doraemon	(proper noun) Đôrêmi
đôrêmon	doraemoni	doreamon
đùa	awada	joke
đùi	abo	thigh
đúc	simẹnti	"(term should be ""đúc kết"") to sum up (v.)"
đúng	o tọ	right
đúp	ilọpo meji	double
đút	fi	"(term should be ""đút lót"") to bribe"
đăk	dak	dak
đĩ	yiyọ	whore/bitch
đĩa	awo	disk
đơ	sinmi	stiff or rigid (adj.)
đưa	rekoja	girl
đường	opopona	pathway
được	o dara	is not
đạ	da	da
đại	nla	eagle
đạm	amuaradagba	plain
đạn	ọta ibọn	bullet
đạo	ẹsin	vagina
đạp	keke	to step on
đạt	de ọdọ	reach
đả	awọn ija	to hit
đảm	iṣeduro	"(term should be ""đảm nhiệm"") to undertake (v.)"
đản	ojo ibi	a group or flock (n.)
đảng	ẹgbẹ	party
đảo	erekusu	an island (n.)
đấm	lati pọn	punch
đấng	ọlọrun	the
đất	ilẹ	country
đấtmặt	ilẹ	datmat
đấy	ní bẹ	ignore
đầm	aṣọ	swamp
đần	adití	"(term should be ""đần độn"") stupid or ignorant (adj.)"
đầu	ori	start
đầy	kun	"(term should be ""đầy đủ"") adequate or enough"
đẩu	ori	"(entire term is ""khoa đẩu"") ancient phonetic script used in vietnam"
đẩy	lati titari	to push
đẫm	ti nda	wet
đậm	dudu	dense
đậu	ìrísí	to park (v.)
đậy	ideri	cover
đắc	jere	effectively
đắm	bajẹ	sink
đắn	titọ	proper (dung dan)
đắng	kikoro	bitter
đắp	sókè	"(term should be ""bù đắp"") to compensate (v.)"
đắt	gbowolori	expensive
đằng	lori	back
đẳng	kilasi	equality
đặc	pataki	"(term should be ""đặc biệt"") special (adj.)"
đặn	deede	regularly
đẹp	lẹwa	beautiful
đẽ	dara	beauty
đế	soles	empire
đếm	ka	to count (v.)
đến	wá	come
đề	awon	promote
đền	tẹmpili	"(term should be ""đền thờ"") a religious shrine"
đều	jẹ	all
để	sí	for
đệm	aga timutimu	middle name
đỉnh	oke	the summit or peak
địch	ọtá	enemy
định	pàtó	appointed
đọ	gba silẹ	compete
đọan	ìpínrọ̀	period
đọc	ka	read
đọng	alaigbọran	deposit
đỏ	pupa	red (adj.)
đốc	gomina	admiral
đối	fun	face
đốm	iranran	spot
đốn	gige mọlẹ	"(term should be ""suy đốn:) to be worse off"
đống	opoplopo	line
đốt	sisun	burn
đồ	ohun	thing
đồi	òkè	hill
đồn	iró	rumour
đồng	bàbà	agreeable
đổ	lati tú	dump
đổi	yipada	to change (v.)
đổng	dong	"(term should be ""đồng bằng"") a delta"
đỗ	gbesile	pass
độ	ìyí	"term should actually be ""độ cao""; means ""height"""
độc	majele	alone
độn	ti wa ninu	chaos
động	ìmúdàgba	action
đột	lojiji	"(term should be ""xung đột"") conflict (n.)"
đới	ifa	tropical
đời	igbesi aye	generation
đỡ	atilẹyin	help
đợi	duro de	thigh
đợt	ipele	fit
đục	akomo	turbid
đụn	awọn ẹwa	dune
đụng	fọwọkan	encounter
đủ	ti to	enough
đứa	ọmọ	child
đức	iwa rere	virtue (n.)
đứng	duro	to stand (v.)
đứt	fifọ	cut off
đừng	se ko	not
đực	akọ	male
đựng	ni	suffer
đựoc	o dara	be
ĩ	ah	"(term should be ""ầm ĩ"") noisy"
ơ	ah	"(term should be ""thờ ơ"") to be indifferent (adj.)"
ơi	ooo	"vietnamese equivalent of english ""oh"""
ơn	o ṣeun	thank
ư	u	vowel sound found in the vietnamese alphabet (n.)
ưa	fẹran	to like (v.)
ưng	beeni	to accept (v.)
ưu	aleebu	"(term should be ""ưu việt"") preeminent (adj.)"
ươi	orang	orangutan
ươm	nọsìrì	nursery
ương	aarin	central
ướp	ti gbona	mummy
ướt	ririn	wet
ạ	sir	a word added to the end of a response to show respect to someone in a position of authority, as in a child to a parent
ạt	adie	(with word o) to crowd
ải	i	pass
ảnh	aworan	picture
ấm	loworo	warm
ấn	tẹ	press
ấnâu	tẹjade	"(term should be ""Ấn Âu"") a grouping of languages including european and indian languages that are thought to have originated from a single earlier language (adj.)"
ấp	ọdẹdẹ	district
ấu	odo	childhood
ấy	iyẹn	that
ẩm	loworo	humidity
ẩn	tọju	hidden
ập	bangi	rush
ắt	daju	sure
ếch	ọpọlọ kan	frog
ỏi	mint	little
ố	ooh	"(term should be ""hoen ố"") stained and smeared (adj.)"
ốc	igbin	building
ốm	arun	sick
ống	tube	tube
ốp	tangent	omelette
ồn	ariwo	noisy (adj.)
ổ	wakọ	hard drive
ổi	guava	guava (n.)
ổn	ó dára	peace
ớn	nla	posts
ớt	chili	chili
ở	ninu	at
ủ	abẹrẹ	"(term should be ""ủ dột"") gloomy (adj.)"
ủi	irin	"(term should be ""an ủi"") to comfort (v.)"
ủng	orunkun	boot
ủy	igbimọ	commission
ứ	bẹẹni	to pool together (v.)
ức	igbaya	memories
ứng	ohun elo	corresponding
−−	-	__
≠	≠	different
