$	ps	american dollar symbol
தொழிலாளர்கள்	trabajadores	labourers
தொழிலில்	industria	in the business
தொழிலும்	negocio	works
தொழில்	industria	business
தொழில்களை	profesiones	works
தொழில்கள்	trabajos	businesses
தொழில்துறை	industria	industry
தொழில்நுட்ப	tecnología	technical
தொழில்நுட்பக்	tecnología	technical
தொழில்நுட்பங்களின்	tecnologías	technical knowledge
தொழில்நுட்பங்கள்	tecnologías	polytecnic
தொழில்நுட்பத்தை	tecnología	technology
தொழில்நுட்பமும்	tecnología	technology
தொழில்நுட்பம்	tecnología	technical
தொழில்முறை	profesional	business system
தோசை	dosa	dosa
தோட்டம்	jardinería	garden
தோன்றி	aparecido	began
தோன்றின	aparecido	create
தோன்றினாலும்	aparece	appear
தோன்றிய	apareciendo	from
தோன்றியது	aparecido	origin
தோன்றுகின்றன	aparecer	appear
தோன்றுகிறது	aparece	it appears with
தோன்றும்	aparecer	begins
தோராயமாக	aproximadamente	ratio
தோற்கருவி	tambor	drum
தோற்ற	aspecto	beaten
தோற்றங்கள்	apariciones	faces
தோற்றத்தின்	apariencia	appearance
தோற்றத்தை	apariencia	appearance
தோற்று	fallar	defeated
தோற்றுவித்த	fundador	started
தோலினுள்	invasor	epidermal
தோல்	cuero	skin
தோல்வி	fracaso	failure
தோல்வியில்	fracaso	failure
தோல்வியுற்ற	ha fallado	fail
தோல்வியை	derrota	fail
த‌மிழீழ‌	eelam	tamil eala liberation fighters
ந	n / a	na a letter in tamil
நகர	ciudad	city
நகரங்களின்	de las ciudades	towns
நகரங்களில்	ciudades	cities
நகரங்களுக்கு	ciudades	to cities
நகரங்களும்	pueblos	towns
நகரங்களை	ciudades	city
நகரங்கள்	pueblos	towns
நகரத்	ciudad	city
நகரத்தின்	ciudad	in city
நகரத்திற்கு	ciudad	city
நகரத்தில்	en la ciudad	city
நகரத்தை	ciudad	city
நகரப்	ciudad	in the city
நகரமாக	ciudad	city
நகரமாகும்	ciudad	city
நகரமான	ciudad	city
நகரமும்	ciudad	city
நகராக	en la ciudad	city
நகராட்சி	municipal	municipal
நகராட்சிகள்	municipios	municipalities
நகரான	ciudad	city
நகரின்	ciudad	city
நகரில்	en la ciudad	city
நகருக்கு	ciudad	city
நகரும்	moviente	to move
நகரை	ciudad	city
நகரையும்	ciudad	city of/town of
நகர்	ciudad	city
நகர்கருவி	nakarkaruvi	an instrument to identify
நகர்ந்து	moviente	move
நகர்பேசி	celular	mobile phone
நகர்ப்புற	urbano	city
நகை	joyería	ornament
நச்சு	tóxico	toxic
நச்சுயிரி	viral	virus
நடக்க	caminar	to happen
நடக்கிறது	yendo	happening
நடக்கும்	sucede	happen
நடத்த	anfitrión	to conduct
நடத்தப்படுகிறது	conducido	held
நடத்தப்படும்	conducido	to run
நடத்தப்பட்ட	los	functioned
நடத்தப்பட்டது	conducido	was conducted
நடத்தி	conductible	to conduct
நடத்தின	conducido	did
நடத்தினர்	escenificado	was conducted
நடத்தினார்	conducido	conducted
நடத்திய	conducido	a
நடத்தியது	conducido	conducted
நடத்தும்	los	to conduct
நடத்தை	comportamiento	behavior
நடத்தைகள்	comportamientos	behaviours
நடந்த	los	finished
நடந்தது	sucedió	happened
நடந்து	caminando	to walk
நடன	baile	dance
நடனம்	bailando	dance
நடப்பு	actual	current
நடவடிக்கை	actividad	action
நடவடிக்கைகளில்	comportamiento	activities
நடவடிக்கைகளை	comportamiento	activities
நடவடிக்கைகளையும்	medidas	activities
நடவடிக்கைகள்	operaciones	activities
நடவடிக்கையும்	acción	proceeding
நடவடிக்கையை	actividad	action
நடிகர்	actor	actor
நடிகர்கள்	actores	actors
நடிகை	actriz	actress
நடிகைகள்	actrices	actress
நடிகைக்கான	actriz	for the actress
நடித்த	protagonista	acting
நடித்தார்	jugó	acted
நடித்து	disparo	acting
நடு	neutral	central
நடுக்கம்	estar nervioso	shaking
நடுத்தர	medio	center
நடுநிலை	neutral	middle
நடுப்	medio	center
நடுப்பகுதியில்	en medio	center part
நடுவண்	federalmente	the federal
நடுவில்	en el medio	central
நடுவே	la mitad	centre
நடை	paso	prose
நடைபெறுகின்றது	en marcha	is held
நடைபெறுகிறது	toma lugar	going on
நடைபெறும்	los	held
நடைபெற்ற	los	conducted
நடைபெற்றது	retenida	have finished
நடைபெற்றன	lugar de eventos	have done that
நடைபெற்று	en marcha	to happen
நடைமுறை	práctico	in practice
நடைமுறைகள்	procedimientos	practical things
நடைமுறைக்கு	efecto	in action
நடைமுறைப்	práctico	practical
நடைமுறையில்	en la práctica,	practice
நடையில்	de moda	ways
நட்சத்திர	estrella	star
நட்சத்திரங்கள்	estrellas	stars
நட்சத்திரம்	estrella	star
நட்பு	amistoso	friendship
நட்புறவு	amistad	friendship
நண்டு	cangrejo	scorpion
நண்பர்களுடன்	con amigos	with friends
நண்பர்கள்	amigos	friends
நதி	río	river
நதிகள்	ríos	rivers
நதியின்	río	river
நத்தையினவியல்	malacología	malacology
நந்தா	nanda	nandha a kingdom
நந்தி	nandi	nandhi a hindu god
நன்கு	bien	well known
நன்னீர்	agua dulce	water
நன்மை	beneficio	good benefits
நன்றாக	bien	best
நன்று	excelente	good
நபர்	persona	person
நபர்கள்	miembros	numbers
நபி	profeta	nabi
நபிகள்	profeta	prophet
நமக்கு	nuestra	us
நமது	nuestra	our
நமீபியா	namibia	namibia
நம்	nuestra	our
நம்பப்படுகிறது	se cree	believed
நம்பப்பட்டது	se creía	accept
