$ tỉ	milyard dollar	$ billion
xây	qurmaq	build
xã	kommuna	society
xãy	qarmaqarışıq	occur
xèo	xèo	xeo
xé	göz yaşı	tear
xén	əkin	"(term should be ""biếu xén"") to gift (v.)"
xéo	aslan	diagonally (adv.)
xét	düşünmək	examine
xê	hərəkət etmək	"(term should be ""bánh xu xê"") a type of vietnamese cake"
xêkô	suneo	xeko
xì	osur	scandal
xìu	osur	to become flaccid (v.)
xí	fabrik	factory (xi nghiep)
xít	füsunkar	nazi
xíu	kiçik	small
xòe	yayılır	spread
xóa	silmək	clear
xói	eroziya	erode
xóm	qonşular	village
xót	mərhəmət	mercy
xô	çömçə	soviet
xôi	yapışqan düyü	pierce
xôn	qarışdırmaq	tumultuous
xông	qaçdı	rush
xôphần	çömçə bölməsi	soviet-poland
xôviết	sovet i̇ttifaqı	soviet
xù	qarışdı	gigantic
xú	kobud	xu
xúc	əlaqə	touch
xúi	təhrik etmək	induce
xăm	döymə	"(term should be ""xa xăm"") far away (adj.)"
xăng	benzin	gasoline
xơ	lif	xo
xưa	köhnə	old
xưng	etiraf edin	"(should be ""tự xưng"") self-proclaimed"
xương	sümük	bone (n.)
xước	cızıqlandı	scratch
xướng	xor	provoke
xưởng	atelye	workshop
xạ	radiasiya	"(term should be ""phản xạ"") to reflect"
xả	axıdılması	release
xảo	məkrli	detailed
xảy	baş verir	happen
xấp	təqribən	approximate
xấu	pis	bad
xẩm	qarmaqarışıq	a type of traditional vietnamese singing
xẩy	baş verir	occur
xắt	kəsmək	cut
xẻo	uğursuz	cut off
xếp	qatlanmışdır	rank
xỉ	şlak	approximately
xỉa	lopa	to pick (v.)
xỉu	halsız	to faint
xốc	şok	to lift up (v.)
xốp	məsaməli	porous
xổ	tiraj	rush into
xộn	qarışıq	messy
xứ	edilib	native
xứng	layiqdir	appropriate
xử	müalicə edin	judge
y	y	medical
y=fracsin	y = fracsin	a function
ya	ya	(proper noun) ya, as in ya trang
yakovlev	yakovlev	yakovlev
yakushima	yakushima	yakushima
yalta	yalta	(proper noun) yalta
yankee	yankee	(proper noun) yankee
yard	həyət	yard
yasha	yasha	a name
yeeun	yeeun	(proper noun) yeeun
yeltsin	yeltsin	yeltsin, as in boris yeltsin
yemen	yemen	yemen
yersin	yersin	(proper noun) yersin, asin alexandre yersin
yi	yi	(proper noun) yi
ying	ying	(proper noun) ying, as in ying yang
ymca	ymca	ymca
yo	yo	yo
yomiuri	yomiuri	yomiuri
yoochun	yoochun	yoochun
york	york	york
yorker	yorker	yorker
yorkshire	yorkşir	yorkshire
youtube	youtube	youtube
ypres	ypres	ypres
ytv	ytv	ytv
yu	yu	yu
yuan	yuan təşkil edir	(proper noun) yuan, as in yuan mu
yucatán	yucatan	yucatan, as in the yucatan peninsula
yudhoyono	yudhoyono	(proper noun) yudhoyono, as in indonesian president susilo bambang yudhoyono
yugi	yugi	yugi
yukito	yukito	yukito
yume	yume	(proper noun) yume
yunho	yunho	yunho
yuri	yuri	yuri, as in soviet pilot and cosmonaut yuri alekseyevich gagarin
yurt	yurd	yurt
yên	yen	peace or stillness (n.)
yêu	sevgi	love
yếm	örtüklər	tender
yến	quş yuvası	a type of swallow (n.)
yết	siyahı	yet
yếu	zəifdir	mainly
yểm	örtmək	support
yển	yen	"is a name meaning, ""bird"""
yểu	sevimli	"(term should be ""yểu điệu"") graceful (adj.)"
z	z	z
zac	zac	zac
zambia	zambiya	(proper noun) zambia, as in the nation
zealand	qeyrət	(proper noun) zealand, as in new zealand
zedong	zedong	mao zedong
zero	sıfır	zero
zeus	zeus	zeus
zheng	zheng	zheng
zhukmse	zhukmse	zhuk-mse
zimbabwe	zimbabve	zimbabwe
zinedine	zinedine	(proper noun) zinedine
zing	zing	zing, as in the website
zoe	zoe	zoe
zurich	sürix	(proper noun) zurich
zürich	zürich	(proper noun) zurich, as in zurich, switzerland
|nguyễn	| nguyen	a common vietnamese last name
|nổi	| üzür	"(term should be ""nổi"") to float (v.)"
|petya	| petya	(proper noun) petya
|tên	| adı	"(should be ""tên"") name (n.)"
|việt	| vyetnam	vietnam
 kg	kq	kg
 triệu	milyon	million
 °c	° c	degrees celsius
°đến	° qədər	up to
°độ	° dərəcə	degree
×	×	x
ào	vay	rush
á	á	asia
ác	pis	evil
ách	boyunduruq	yoke (n.)
ái	həvəs	ai
ám	təqdim edir	(with the word chi) to hint at
ánh	parıltı	light
áo	palto	clothe
áohung	aohung	"(term should be ""Áo-hung"") austria-hungary"
áp	təzyiq	"(term should be ""huyết áp"") blood pressure (n.)"
áâu	aoi	eurasian
â	â	a vietnamese vowel sound
âm	mənfi	vagina
ân	xeyir	deed
én	qaranquş	swallow
ép	basdı	press
êgê	eqo	aegean
êm	hamar	smooth
ích	faydalıdır	benefit
ílam	ílam	tamil language name for the island of sri lanka
ít	az	less
île	île	Île, as in Île de la cité, france
îledefrance	éledefrance	ile-de-france
ðiều	məqalə	article
ðài	ðài	taiwan
ðường	şəkər	a road
ðảng	tərəf	party
ðức	almaniya	"Đức, a common vietnamese first name; means ""virtue"""
ó	ó	(with the word la) to boo down
óc	beyin	brain
óng	iradəli	"(term should be ""óng ả"") flexible"
ôi	oh	"vietnamese version of the exclamation ""oh"""
ôm	qucaqlamaq	hug
ôn	mülayimlik	peaceful (on hoa)
ông	cənab	a man (n.)
ôtô	avtomobillər	car
ôxi	oksigen	oxygen
ôxy	oksigen	the element oxygen (n.)
ôxít	oksid	oxide
ôzôn	ozon	ozone
ùn	tıxaclar	congest
úng	bataqlıqda	flood
úp	üzü aşağı	upside
úy	leytenant	"(term should be ""thiếu úy"") second lieutenant (n.)"
ý	i̇taliya	italian
ăn	yemək	eat
ăng	qarışqa	antenna
ăngten	antenna	antenna
đa	çox	majority
đai	kəmər	"(term should be ""Đai khố"") name of a village"
đak	dak	(proper noun) Đak
đan	toxuculuq	scandal
đau	ağrı	painful
đay	cute	jute, a type of vegetation the vietnamese use to make soup (n.)
đb	db	dien ban
đcstq	dcstq	communist party of china
đcsvn	dcsvn	vietnam communist party
đe	anvil	threaten
đem	gətir	to bring (v.)
đen	qara	black
đentrắng	qaragüruh	"(term should be ""đen-trắng"") black-and-white (adj.)"
đeo	köhnəlmək	wear
đh	đh	university
đhcn	cn	university of industry
đhtm	dhtm	university of economics
đhông	şərq	dhong
đi	get	go
điên	dəli	crazy
điêu	şey	sculpture
điôxít	dioksid	dioxide
điạ	dạ	dia
điếc	kar	heron
điếu	siqaret	funeral oration
điềm	eybi	omen
điền	doldurmaq	estate
điều	şey	control
điểm	nöqtə	bearing point
điển	lüğət	"(term should be ""từ điển"") a dictionary"
điểu	sikmək	thing
điệp	mesaj	spy
điệu	ton	memorial
đo	ölçü	measure
đoa	doa	doa
đoan	təqdimedici	extreme
đom	atəşpərəstlər	firefly
đoài	manqo	the west
đoàn	birlik	an organization or group (n.)
đoái	mübadilə	"(term should be ""hối đoái"") to exchange or trade (v.)"
đoạn	abzas	a stage or phase (n.)
đt	đt	training
đtđ	cib telefonu	diabetes
đua	irqi	emulate
đui	kor	blind
đun	qaynatmaq	cook
đuôi	quyruq	tail
đuốc	məşəl	a torch
đuối	boğulmaq	drowning
đuống	kök	(proper noun) Đuống, the name of a river
đuổi	təqib etmək	pursue
đài	radio	statue
đàm	danışıqlar	negotiation
đàn	sürü	musical instrument
đàng	bəli	side
đào	şaftalı	train
đày	sürgün	exile
đá	daş	to kick
đái	donuz	pee
đám	qoşun	dam
đán	dan	"(term should be ""tết nguyên Đán"") vietnamese new year's day"
đáng	dəyər	deserve
đáo	bənzərsiz	unique
đáp	cavab	response
đát	torpaq	"(term should be ""bi đát"") lamentable (adj.)"
đâm	bıçaqlamaq	pierce
đâu	harada	anywhere
đây	burada	below
đã	idi	already
đãi	müalicə edin	"(should be ""bạc đãi"") to ill-treat"
đãng	axmaq	dissolute
đè	ləğv etmək	to press on
đèn	işıqlar	light
đèo	keç	a mountain pass (n.)
đê	dayaq	a dike (n.)
đêm	gecə	night
đênh	çömçə	lênh đênh= float to unknown
đích	təyinat	goal
đính	bağlıdır	attached (adj.)
đò	bərə	a ferry (n.)
đòi	iddia	require
đòn	zərbə	welcome
đó	ki	that or there (adv.)
đóa	nah	"(term should be ""đoá hoa"") a flower bloom"
đói	ac	hungry
đón	alma	welcome
đôi	ikiqat	sometimes
đôla	dollar	dollar
đôn	çağırmaq	london
đông	şərq	eastern
đôngbắc	şərq	north-east
đôngnam	dongnam	south-east
đôngtây	şərq	"(term should be ""đông-tây"") east-west (adj.)"
đôrêmi	doraemon	(proper noun) Đôrêmi
đôrêmon	doraemon	doreamon
đùa	zarafat	joke
đùi	bud	thigh
đúc	tökmə	"(term should be ""đúc kết"") to sum up (v.)"
đúng	sağ	right
đúp	ikiqat	double
đút	imtina etmək	"(term should be ""đút lót"") to bribe"
đăk	dak	dak
đĩ	yarıq	whore/bitch
đĩa	disk	disk
đơ	sərt	stiff or rigid (adj.)
đưa	verən	girl
đường	şəkər	pathway
được	tamam	is not
đạ	da	da
đại	əla	eagle
đạm	zülal	plain
đạn	güllə	bullet
đạo	din	vagina
đạp	vurmaq	to step on
đạt	çatmaq	reach
đả	döyüşür	to hit
đảm	zəmanət verilir	"(term should be ""đảm nhiệm"") to undertake (v.)"
đản	ad günü	a group or flock (n.)
đảng	tərəf	party
đảo	ada	an island (n.)
đấm	yumruqlamaq	punch
đấng	allah	the
đất	torpaq	country
đấtmặt	torpaq	datmat
đấy	orada	ignore
đầm	geyinmək	swamp
đần	lal	"(term should be ""đần độn"") stupid or ignorant (adj.)"
đầu	üst	start
đầy	dolu	"(term should be ""đầy đủ"") adequate or enough"
đẩu	baş	"(entire term is ""khoa đẩu"") ancient phonetic script used in vietnam"
đẩy	itələmək	to push
đẫm	qurudulub	wet
đậm	cəsur	dense
đậu	lobya	to park (v.)
đậy	örtmək	cover
đắc	qazanc	effectively
đắm	yıxılıb	sink
đắn	mülkiyyət	proper (dung dan)
đắng	acı	bitter
đắp	yuxarı	"(term should be ""bù đắp"") to compensate (v.)"
đắt	bahalı	expensive
đằng	üzərində	back
đẳng	izometrikdir	equality
đặc	xüsusi	"(term should be ""đặc biệt"") special (adj.)"
đặn	müntəzəm	regularly
đẹp	gözəl	beautiful
đẽ	gözəl	beauty
đế	altlıqlar	empire
đếm	saymaq	to count (v.)
đến	gəldi	come
đề	iplər	promote
đền	məbəd	"(term should be ""đền thờ"") a religious shrine"
đều	var	all
để	üçün	for
đệm	yastıq	middle name
đỉnh	zirvəsi	the summit or peak
địch	düşmən	enemy
định	göstərilib	appointed
đọ	bağlandı	compete
đọan	abzas	period
đọc	oxumaq	read
đọng	durğun	deposit
đỏ	qırmızı	red (adj.)
đốc	qubernator	admiral
đối	üçün	face
đốm	ləkələr	spot
đốn	kəsmək	"(term should be ""suy đốn:) to be worse off"
đống	xovlu	line
đốt	yanan	burn
đồ	xəritə	thing
đồi	təpə	hill
đồn	söz-söhbət	rumour
đồng	co	agreeable
đổ	tökmək	dump
đổi	dəyişmək	to change (v.)
đổng	dong	"(term should be ""đồng bằng"") a delta"
đỗ	parklanmışdır	pass
độ	dərəcəsi	"term should actually be ""độ cao""; means ""height"""
độc	zəhərli	alone
độn	yastıqlandı	chaos
động	dinamik	action
đột	birdən	"(term should be ""xung đột"") conflict (n.)"
đới	zen	tropical
đời	ömür	generation
đỡ	dəstək	help
đợi	gözləyin	thigh
đợt	toplu	fit
đục	qeyri-şəffaf	turbid
đụn	qaralar	dune
đụng	toxunmaq	encounter
đủ	kifayətdir	enough
đứa	uşaqlar	child
đức	almaniya	virtue (n.)
đứng	durmaq	to stand (v.)
đứt	qırıq	cut off
đừng	etmir	not
đực	kişi	male
đựng	ehtiva edir	suffer
đựoc	tamam	be
ĩ	ah	"(term should be ""ầm ĩ"") noisy"
ơ	ah	"(term should be ""thờ ơ"") to be indifferent (adj.)"
ơi	heyif	"vietnamese equivalent of english ""oh"""
ơn	təşəkkür edirəm	thank
ư	u	vowel sound found in the vietnamese alphabet (n.)
ưa	üstünlük verilir	to like (v.)
ưng	bəli	to accept (v.)
ưu	lehte	"(term should be ""ưu việt"") preeminent (adj.)"
ươi	portağal	orangutan
ươm	körpələr evi	nursery
ương	mərkəzi	central
ướp	marinadlanmışdır	mummy
ướt	nəm	wet
ạ	ser	a word added to the end of a response to show respect to someone in a position of authority, as in a child to a parent
ạt	tələsmək	(with word o) to crowd
ải	ải	pass
ảnh	foto	picture
ấm	isti	warm
ấn	mətbuat	press
ấnâu	çap	"(term should be ""Ấn Âu"") a grouping of languages including european and indian languages that are thought to have originated from a single earlier language (adj.)"
ấp	hamlet	district
ấu	cavan	childhood
ấy	ki	that
ẩm	nəm	humidity
ẩn	gizlət	hidden
ập	bang	rush
ắt	əlbətdə	sure
ếch	qurbağa	frog
ỏi	nanə	little
ố	ooh	"(term should be ""hoen ố"") stained and smeared (adj.)"
ốc	salyangozlar	building
ốm	xəstə	sick
ống	boru	tube
ốp	tangent	omelette
ồn	səs-küy	noisy (adj.)
ổ	sürmək	hard drive
ổi	guava	guava (n.)
ổn	tamam	peace
ớn	böyük	posts
ớt	çili	chili
ở	at	at
ủ	inkubasiya	"(term should be ""ủ dột"") gloomy (adj.)"
ủi	dəmir	"(term should be ""an ủi"") to comfort (v.)"
ủng	çəkmələr	boot
ủy	komissar	commission
ứ	bəli	to pool together (v.)
ức	döş	memories
ứng	tətbiqi	corresponding
−−	−−	__
≠	≠	different
