$ tỉ	милијарду долара	$ billion
robinson	робинсон	robinson, as in michelle robinson
rockefeller	роцкефеллер	rockefeller, as in john d. rockefeller
roddick	роддицк	(proper noun) roddick
rodríguez	родригуез	rodriguez (n.)
roi	штап	a stick or switch used for punishment (n.)
roland	роланд	roland
romania	румунија	romania
rome	роме	rome, as in rome, italy
romeo	ромео	(proper noun) romeo, as in romeo and juliet
rommel	роммел	rommel
ron	рон	ron
ronald	роналд	ronald, an english first name
ronaldinho	роналдинхо	ronaldinho
rong	алге	seaweed (n.)
rosen	росен	rosen, as in nathan rosen
roth	ротх	roth
rotterdam	ротердам	(proper noun) rotterdam
rousseau	роуссеау	rousseau
router	усмјеривач	cong noi
rovers	ровери	rovers
rowling	веслање	rowling
roy	рои	(proper noun) roy, a name
rpd	рпд	rpd
rtp	ртп	rpt
rudolph	рудолпх	rudolph
rue	руе	rue, as in rue des vases, a street name
rulin	рулин	(proper noun) rulin
rumani	румунски	romanian
rumiko	румико	rumiko, a japanese first name
rummel	руммел	rummel
run	трцати	tremble
rung	вибрирају	to shake or vibrate (v.)
russian	руски	(proper adjective) russian
russkaya	русскаиа	(proper noun) russkaya avionika
ruth	рутх	(proper noun) ruth
rutherford	рутхерфорд	rutherford
rutte	рутте	rutte
ruud	рууд	ruud
ruốc	козице	pemmican
ruồi	лети	fly
ruổi	руои	rong ruổi=wandering
ruộng	поље риже	"(term should be ""ruộng đất"") farmland (n.)"
ruột	црева	internals
rzeczpospolita	рзецзпосполита	rzeczpospolia
rà	провери	finding
ràng	јасно	clear
rành	течно говори	exhaustive
rào	ограда	barrier
rác	смеће	gabbage-trash
rách	поцепан	tear
rái	видра	colander
rán	пржити	fried (adj.)
ráp	монтажа	to assemble (v.)
râm	сјеновито	shade
râu	брада	beard or mustache (n.)
rã	пропадање	out
rãi	калдрма	"(term should be ""rộng rãi"") generous"
rãnh	ров	groove
räikkönen	раикконен	raikkonen
rèm	завеса	curtain
rèn	ковање	train
ré	вриснути	re
république	републикуе	republique
rét	хладно	cold
rê	повуци	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	цвиљење	moan
rêu	маховина	moss
rì	шапућући	lush (adj.)
rìa	ивица	edge
rình	шпијун	to watch for
rìu	секира	ax
rít	сикање	to wail (v.)
rò	цурење	leak
ròng	нето	net
rót	сипа	to pour (v.)
rô	кариран	diamond
rôbôt	робот	robot
rôma	роме	roman
rông	шупље	rising (adj.)
rõ	јасно	clear
rùa	корњача	turtle
rùng	језиво	horror
rút	повући се	withdraw
răn	заповест	commandment
răng	зуб	roasted
rōmaji	ромаји	romaji
rũ	заводљив	charm
rơ	ауто	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	пасти	fall
rơm	слама	straw
rươi	теби	sand-worm
rước	поворка	welcome
rưới	посипати	to sprinkle (v.)
rưỡi	половина	half
rượt	потера	pursue
rượu	алкохол	wine
rạ	слама	straw
rạc	изолован	discrete
rạch	канал	canal
rạng	зора	break
rạp	позоришта	theater
rải	расути	spread
rảnh	бесплатно	to be free (adj.)
rất	врло	very
rầm	јамб	aggressive
rầu	тузно	sorrow
rẫy	култивација	full
rậm	бујан	jungle
rập	арапски	"(term should be ""Ả rập"") arab"
rắc	посипати	trouble
rắn	змија	snake
rằm	пун месец	a full moon (n.)
rằng	то	roasted
rặng	камен	a row
rẻ	јефтино	cheap
rẽ	ред	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	стењати	pealed
rể	зет	in-law
rễ	корени	root (n.)
rệp	буг	bug
rệt	изражено	clearly
rệu	да	decay
rỉ	рђа	leak
rịavũng	рива	ria - bay
rỏ	јасно	clearly
rối	замршен	disorder
rốm	облачно	rom
rồ	луда	"(term should be ""điên rồ"") foolish (adj.)"
rồi	већ	and
rồng	змај	dragon
rổ	корпа	basket
rỗi	бесплатно	savation
rỗng	шупље	hollow
rộ	гужва	profuse (adj.)
rộn	заузет	busy
rộng	широк	wide
rớt	пасти	drop
rời	лево	leave
rỡ	сјајан	brilliant
rợ	варвари	a savage (n.)
rợn	језиво	scary
rụng	шупа	to drop
rủ	позвати	ask
rủi	мисхап	unlucky or unfortunate (n.)
rứa	руа	rua
rừng	шума	forest
rửa	опрати	to wash (v.)
rữa	опрати	to decompose or rot (v.)
sa	са	to fall or drop (v.)
sabah	сабах	sabah
sachsen	сацхсен	sachsen
saddam	садам	(proper noun) saddam, as in saddam hussein
safari	сафари	safari
safin	сафин	safin
sahara	сахара	sahara
sai	погрешно	wrong
saigon	саигон	saigon
saintdenis	саинтденис	saint-denis
sakura	сакура	sakura
salem	салем	(proper noun) salem, as in the city
salvador	салвадор	salvador
salzburg	салзбург	salzburg
samhain	самхаин	samhain
samo	само	samo, the name of the first slavic ruler
samoa	самоа	(proper noun) samoa
samphan	сампхан	samphan
samsung	самсунг	samsung
samuel	самуел	samuel
samuelson	самуелсон	(proper noun) samuelson
samurai	самураи	samurai
samut	самут	(proper noun) samut, as in samut prakan in thailand
san	сан	level
sanchez	санцхез	sanchez
sang	до	to
sango	санго	sango, a language spoken in africa
sangraal	санграал	sangraal
sanh	рођење	bear
sanktpeterburg	санктпетербург	sankt-peterburg
santos	сантос	santos, as in footballer cristiano ronaldo dos santos aveiro of portugal
sao	звезда	how
sap	биљни сок	sap
sapa	сапа	sapa
sapiens	сапиенс	sapiens
sar	сар	sar
sarah	сарах	sarah, as in sarah pierce
sarawak	саравак	(proper noun) sarawak, a malaysian state on the island of borneo
sarcoma	сарком	sarcoma
sardinia	сардинија	sardinia
sary	сари	(proper noun) sary, as in ieng sary
saturanga	сатуранга	saturanga
saturday	субота	saturday
sau	после	after (adv.)
saudi	сауди	(proper noun) saudi, as in saudi arabia
saunière	сауниере	saunière
scandinavia	скандинавије	scandinavia
schafer	сцхафер	schafer, as in john c. schafer
schengen	сцхенген	schengen
schiller	сцхиллер	schiller
schlesinger	сцхлесингер	schlesinger
schneider	сцхнеидер	schneider, a last name
schumacher	сцхумацхер	schumacher, as in michael schumacher
schuschnigg	сцхусцхнигг	(proper noun) schuschnigg, as in kurt schuschnigg of austria
schuster	сцхустер	schuster
schwarzschild	сцхварзсцхилд	schwarzschild
scotland	шкотска	scotland
scots	сцотс	(proper noun) scots
scott	сцотт	scott
scream	вриштати	scream
scud	превара	scud
scuderia	сцудериа	scuderia
sdram	сдрам	sdram
search	претрага	search
seattle	сеаттле	(proper noun) seattle, washington
secret	тајна	bi mat
sedna	седна	(proper noun) sedna
see	види	see
sejm	сејм	(proper noun) sejm
selena	селена	selena
semit	полу	(proper noun) semit
sen	лотус	lotus
sense	смисла	sense
september	септембар	(proper noun) the month of september
serbia	србија	serbia
sergeyevich	сергеиевицх	(proper noun) sergeyevich
seri	серија	series
service	услуга	service
sesshomaru	сессхомару	a name
seth	сетх	seth
seto	сето	seto
sextus	сектус	sextus
sexy	секси	sexy
seymour	сеимоур	seymour
seyssinquart	сеиссинкуарт	(proper noun) seyss-inquart
shah	шах	shah
shaman	шаман	the shaman religion
shan	схан	shan
shane	схане	(proper noun) shane, an english first name
shankly	дрхтаво	(proper noun) shankly, as in bill shankly
shaolin	схаолин	shaolin, as in the shaolin temples
sharpay	оштар	sharpay, as in sharpay evans
shawn	схавн	shawn
sherlock	схерлоцк	a name
shi	схи	shi
shia	схиа	shia
shiite	схиите	shiite
shikoku	схикоку	shikoku, a japanese island (n.)
shinichi	схиницхи	shinichi
shinoda	схинода	shinoda, as in mike shinoda
shirakami	схираками	(proper noun) shirakami
shirakawago	схиракаваго	(proper noun) shirakawa-go
shiva	схива	shiva
shoal	плићак	(proper noun) shoal
shonen	схонен	shonen
shop	продавница	shop
short	кратак	short
showcase	витрина	a name
shōnen	схонен	shonen
siberi	сибери	siberi
sicilia	сицилиа	sicilia
sicily	сицилија	sicily, a city in italy
sidney	сиднеи	(proper noun) sidney, as in sidney nolan
siem	сием	siem
siemens	сиеменс	siemens
sierra	сиерра	(proper noun) sierra
sikh	сикх	sikh
sikorsky	сикорски	a name
silas	силас	silas
silesia	силесиа	silesia
silic	силицијум	silicon
silicat	силикат	silicate
silva	силва	(proper noun) silva, as in carlos silva
silvestris	силвестрис	silvestris
simone	симоне	simone
sinai	синаи	sinai, as in mount sinai
sinensis	синенсис	sinensis
sing	певај	sing
sinh	рођен	genital
sip	гутљај	sip
sirô	сируп	name of a member
sistema	система	(proper noun) sistema
siu	сиу	siu
siêu	супер	super
siết	затегнути	to cut off (v.)
sky	небо	sky
skype	скипе	skype
skyteam	скитеам	skyteam
sl	сл	sl
slav	слав	(proper noun) slav
slavơ	слав	slavic
slytherin	слитхерин	(proper noun) slytherin, as in salazar slytherin of the harry potter series
sm	см	sm
smg	смг	smg
smith	смитх	smith
smithsonian	смитхсониан	smithsonian
so	тако	compare
société	социете	societe
socrates	сократ	socrates
sohee	сохее	a korean name
soho	сохо	soho
soi	па сам	look/stare soi sáng=enlight
solaris	соларис	(proper noun) solaris
som	сом	(proper noun) som, as in kampong som
somme	сомме	somme
sonata	соната	sonata
song	сонг	however (adv.)
sony	сони	sony
soo	соо	soon
sophie	сопхие	(proper noun) sophie, a first name
sopwith	сопвитх	a name
sorbonne	сорбонне	sorbonne, the university in paris (n.)
sos	сос	sos
soul	душа	soul
soát	контрола	control
soạn	композитор	compose
spears	копља	spears
spellman	спеллман	spellman
spence	спенце	(proper noun) spence
spencer	спенцер	(proper noun) spencer
spielberg	спиелберг	(proper noun) spielberg, as in steven spielberg
sports	спорт	sports
sri	сри	(proper noun) sri, as in sri lanka
ss	сс	ss
st	ст	st.
stalingrad	сталинград	stalingrad
stamford	стамфорд	this is a name
stand	стајати	stand
stanford	станфорд	stanford, as in stanford university
stanley	станлеи	stanley
starr	старр	a name
startin	почни у	bat dau
status	статус	status
stdc	стдц	stdc
stefan	стефан	stefan
steiermark	стеиермарк	steiermark
steiner	стеинер	steiner
stelzer	стелзер	stelzer
stennis	стеннис	stennis
stephen	степхен	stephen
stephenie	степхение	"stephenie, as in stephenie meyer, author of ""twilight"""
sterling	стерлинг	a name
steve	стеве	steve
stevens	стевенс	(proper noun) stevens, as in amanda stevens
stevenson	стевенсон	stevenson
