$	$ $	dollars
رسوم	tarifa	drawings / fees
رشد	edad adulta	roshd
رشيد	rashid	rasheed
رصد	monitor	observation
رضا	satisfacción	reda
رضي	satisfecho	bless
رعاف	hemorragias nasales	bleeding
رعاية	cuidate	care
رعد	trueno	thunder
رغبة	deseo	desire
رغم	aunque	even
رفض	se negó	rejection
رفضت	ella se negó	refused
رفضه	lo rechazó	rejection
رفع	ascensor	removing
رفعت	rosa	raised
رفيعة	delgado	high
رفيق	compañera	rafeeq
رقعة	parche	el rokaa
رقم	no	number
رقيقة	delgado	thin
ركام	escombros	aggregates
ركن	esquina	corner
رمزا	un símbolo	a symbol
رمزية	simbolismo	symbolic
رمسيس	ramses	ramses
رمضان	ramadán	ramadan
رموز	los símbolos	symbols
رمي	tirar	throwing
روابط	enlaces	links
رواد	pioneros	the leaders
رواه	narrado por	narrated by
روايات	novelas	novels
رواية	una novela	novel
روبرت	robert	robert
روثينيوم	rutenio	ruthenium
روح	espíritu	the spirit of
روس	ross	russian
روستوك	rostock	rostock
روسو	russo	rosso
روسيا	rusia	russia
روما	roma	rome
رومانيا	rumania	romania
رومانية	rumano	romanian
رونالدو	ronaldo	ronaldo
روى	narrado	told
روي	roy	on
رياح	vientos	riah
رياض	riad	kindergarten
رياضة	deportes	sport
رياضية	atlético	sportive
ريال	real	real
ريتشارد	richard	richard
ريشة	pluma	feather
ريكشا	riksha	rekcha
ريولوجيا	reología	urology
زاد	aumentado	increase
زادت	aumentado	has increased
زار	visitado	visited
زال	todavía	still
زالت	todavía	still
زاوية	ángulo	corner
زايد	zayed	zayed
زحف	gateó	encroachment
زحل	saturno	saturn
زراعة	cultivo	cultivation
زراعية	agrícola	agricultural
زرع	tendido	plantation
زرنيخيد	arseniuro	arsenic
زعامة	liderazgo	leadership
زعماء	líderes	leaders
زعيم	líder	the leader
زغلول	zaghloul	zaghloul
زكريا	zakaria	zakeria
زكي	zaki	zaki
زلزال	terremoto	earthquake
زمان	tiempo	era
زمانه	su tiempo	his time
زمن	tiempo	era
زمني	cronológico	time
زمنية	tiempo	time
زنكي	zinc	zinki
زهرة	flor	flower
زواج	matrimonio	marriage
زواجه	su matrimonio	his marriage
زوال	desaparición	end
زوج	marido	husband
زوجات	esposas	wives
زوجاته	sus esposas	his wives
زوجة	esposa	wife
زوجته	su esposa	his wife
زوجها	su marido	her husband
زوكربيرج	zuckerberg	zuckerberg
زياد	ziad	ziad
زيادة	aumentar	increase
زيارة	visita	visit
زيت	aceite	oil
زيد	zaid	zaid
زيدان	zidane	zaidan
زين	zain	zain
زينب	zainab	zainab
س	q.	s
سأل	pregunto	ask
سؤال	pregunta	question
سائر	otros	other
سائل	un liquido	lequid
سابق	anterior	previous
سابقا	previamente	previously
سابقاً	previamente	previously
سابقة	precedente	precedent
سابقًا	previamente	previously
ساحة	patio	yard
ساحل	costa	coast
ساحلية	costera	coastal
سار	encantador	walked
ساراكينوس	sarraceno	sarrasins
سارة	sarah	sarah
ساعات	horas	hours
ساعة	horas	watch
ساعد	ayudado	helped
ساعدت	ayudado	helped
سافر	viajado	traveled
سالم	salem	salem
سامي	sami	sami
سامية	sublime	semitic
سان	san	san
سانت	st.	saint
ساهم	contribuido	contributed
ساهمت	contribuido	participated
سبأ	sheeba	saba'a
سباق	carrera	race
سباقات	carreras	races
سبب	razón	reason
سببا	una razon	reason
سبتمبر	septiembre	september
سبحانه	gloria sea a él	almighty
سبع	siete	sevens
سبعة	siete	seven
سبعين	setenta	seventieth
سبق	ya	the above
سبقت	correr	preceeded
سبيس	myspace	(my) space
سبيل	camino	way
ست	seis	six
ستالين	stalin	staline
ستة	seis	six
ستكون	sera	will be
ستيرول	esteroles	stirol
ستين	sesenta	sixty
سجل	registrarse	record
سجن	prisión	imprison
سحابة	nube	cloud
سحب	tirar	withdrawal
سد	presa	dam
سدة	enchufe	spot
سر	secreto	secret
سراح	liberado	release
سرطان	cáncer	cancer
سرعان	pronto	how quickly
سرعة	velocidad	speed
سرقة	robo	theft
سرو	ciprés	fir
سري	secreto	confidential
سرية	secreto	secret
سريع	rápido	fast
سريعة	rápido	rapid
سريعًا	rápidamente	fast
سطح	superficie	roof
سطحه	su superficie	its surface
سطحها	su superficie	it's surface
سعاد	souad	souad
سعت	busqué	sought
سعر	precio	price
سعود	saud	soud
سعودي	saudita	saudi
سعودية	saudita	saudi
سعوديون	sauditas	saudis
سعى	buscado	sought
سعيد	feliz	happy
سفر	viaje	travel
سفن	barcos	ships
سفيان	sufyan	sofian
سفينة	barco	ship
سقراط	sócrates	socrates
سقط	se cayó	fell
سقطت	ella cayo	failed
سقوط	caer	raining
سكان	residentes	inhabitants
سكانديوم	escandio	scandium
سكانها	su población	its inhabitance
سكانية	población	residential
سكة	rail	seka
سكر	azúcar	sugar
سكك	rieles	ways
سكن	residencia	residence
سلاح	arma	weapon
سلاسل	cadenas	chains
سلاطين	sultanes	sultans / kings
سلالات	cepas	species
سلالة	colar	strain
سلام	paz	peace
سلامة	seguridad	safety
سلبية	negativo	passive
سلسلة	serie	chain
سلطات	poderes	authorities
سلطان	sultán	sultan
سلطة	autoridad	authority
سلطنة	sultanato	sultanate
سلف	antepasado	preceded
سلفوناميد	sulfonamida	sulfonamide
سلم	bendiciones	ladder
سلمان	salman	salman
سلمة	salamah	salama
سلمية	tranquilo	peaceful
سلوك	comportamiento	behaviour
سليم	selim	selim
سليمان	salomón	suliman
سم	cm	cm
سمات	atributos	characteristic
سماه	lo llamo	named
سمة	característica	characteristic
سمح	permitido	allowed
سمحت	permitido	permitted
سمع	escuchado	heard
سمعت	escuché	heard
سمك	espesor	fish
سمي	tóxico	named
سميت	fue nombrado	named
سمير	sameer	samir
سن	edad	dent
سنان	sinan	sinan
سنة	año	year
سنتين	dos años	two years
سنغافورة	singapur	singapore
سنن	sunan	rules
سنه	un año	age
سنوات	años	years
سنويا	anualmente	annually
سنوياً	anualmente	yearly
سنوية	anualmente	annual
سنويًا	anualmente	yearly
سنين	años	years
سهل	fácil	plane
سهول	llanuras	plains
سهولة	facilidad	ease
سهيل	suhail	suhail
سوء	enfermo	bad
سواء	ya sea	same
سواحل	costas	coasts
سوداء	negro	black
سور	sur	wall
سورة	surah	sura
سوري	sirio	syrian
سوريا	siria	syria
سورية	siria	syrian
سوف	voluntad	sawef
سوق	mercado	store
سومطرة	sumatra	sumatra
سوى	excepto	only
سويسرا	suiza	switzerland
سي	c.	c
سيئة	mal	bad
سياحة	turismo	tourism
سياحية	turista	tourist
سيادة	supremacía	domination
سيارات	autos	cars
سيارة	un coche	car
سياسات	políticas	politics
سياسة	política	policy
سياسي	político	political
سياسيا	políticamente	politically
سياسية	político	policy
سياق	contexto	context
سيتم	será	will be implemented
سيتي	ciudad	city
سيد	señor	master
سيدة	señora	lady
سيدي	mi señor	sidi
سير	caminar	sir
سيرة	biografia	biography
سيرته	su biografía	his biography
سيطر	tomar el control	dominate
سيطرة	control	control
سيطرت	tomó el control	dominate
سيطرتها	su control	control
سيف	espada	sword
سيفه	su espada	his sword
سيكلامين	ciclamen	seklamen
سيكون	sera	will be
سيلينيوم	selenio	selenium
سيما	especialmente	particularly
سيناء	sinaí	sinai
شأن	la materia	value
شأنه	haría	his concern
شأنها	me gusta	regarding
شؤون	asuntos	affairs
شئون	asuntos	matters
شاء	dispuesto	willing
شائع	común	common
شائعة	común	popular
شارع	calle	street
شارك	compartir	participated
شاركت	yo participé	participated
شارل	carlos	charles
شاسعة	vasto	wide
شاش	gasa	dressing
شاطئ	playa	shore
شاكر	agitador	shaker
شاكلة	me gusta	shape
شامة	topo	beauty mark
شامل	comprensivo	mass
شاملة	comprensivo	comprehensive
شاه	shah	shah
شاهد	mirar	witness
شاهين	shaheen	shaheen
شباب	chicos	youth
شبابه	su juventud	his youth
شبكات	redes	networks
شبكة	red	network
شبه	casi	semi
شبيه	similar a	similar
شبيهة	similar a	similar
شتى	varios	many
شجرة	arbol	tree
شجع	alentado	encourage
شحنة	envío	cargo
شخص	una persona	person
شخصيات	personajes	figures
شخصية	personalidad	personal
شخصيته	su personaje	his personality
شداد	apriete	shaddad
شديد	severa	very
شديداً	muy apretado	strong
شديدًا	muy duro	strong
شراء	compra	purchase
شراكة	asociación	partnership
شرب	beber	drink
شرج	ano	a
شرح	explicar	explaining
شرط	condición	condition
شرع	procedido	started
شرعية	legitimidad	the law
شرف	honor	honor
شرق	este	east
شرقا	este	east
شرقاً	este	east
شرقي	este	the east of
شركات	las empresas	companies
شركة	empresa	company
شروط	términos	conditions
شريط	bar	margin
شريعة	sharia	the law
شريف	sharif	noble
شريك	socio	partner
شطرنج	ajedrez	chess
شعائر	rituales	ritual
شعار	logotipo	motto
شعاع	haz	ray
شعب	personas	people
شعبان	shaaban	shaaban
شعبة	división	shoeba
شعبه	su pueblo	it's people
شعبي	mi gente	popular
شعبية	popular	people
شعر	cabello	feel
شعراء	poetas	poets
شعره	su cabello	his hair
شعوب	personas	people
شغل	trabajo	fill
شق	hendidura	opened
شقيقه	su hermano	his brother
شك	la duda	doubt
شكل	forma	shape
شكلت	formado	constituted
شكله	su forma	its form
شكلها	su forma	her new outline
شمال	norte	north
شمالا	norte	north
شمالاً	norte	north
شمالي	noreste	northern
شمس	shams	sun
شمسية	gafas de sol	solar
شمل	incluido	included
شملت	incluido	included
شن	shen	started
شهاب	meteorito	sh'hab (name)
شهادة	certificación	degree
شهد	testigo	witness
شهدت	he visto	seen
شهدوا	han visto	saw
شهر	mes	month
شهرة	fama	popular
شهور	meses	months
شوارع	calles	streets
شواطئ	playas	beaches
شوال	shawwal	november
شوقي	shawky	shawqe
شي	shi	thing
شيء	algo	thing
شيءًا	algo	thing
شيئا	algo	thing
شيئاً	algo	something
شيث	seth	shieth
شيخ	jeque	sheikh
شيد	construido	was constructed
شيوخ	ancianos	shaikhs
شيوعا	común	popular
شيوعاً	común	popular
شيوعية	comunismo	communism
شيوعًا	común	popular
ص	p	p
صاحب	propietario	owner
صاحبه	su dueño	his friend
صادرات	exportaciones	exports
صادق	honesto	sadiq
صار	sucedio	became
صارت	ella se convirtió	became
صارمة	estricto	strict
صالح	en forma	serviceable
صالحة	válido	suitable
صباح	mañana	morning
صبحي	sobhi	sobhy
صبري	mi paciencia	sabri
صحة	validez	health
صحراء	desierto	desert
صحف	periódicos	newspaper
صحية	saludable	healthy
صحيح	es verdad	right
صحيحة	correcto	right
صحيحه	cierto	a book that interprets the quran
صحيفة	periódico	newspaper
صخرية	rocoso	rocky
صخور	rocas	rocks
صد	repeler	pushing back
صداقة	amistad	friendship
صدام	saddam	saddam
صدر	liberado	issued
صدرت	emitido	issued
صدق	honestidad	truthfulness
صدور	el pecho	issuance of
صديق	amigo	friend
صديقه	su amigo	his friends
صراع	una lucha	conflict
صربيا	serbia	serbia
صرح	dijo	declared
صريح	expreso	frank
صعب	duro	hard
صعبة	duro	hard
صعوبة	dificultad	difficulty
صعيد	nivel	south
صغار	junior	small
صغير	pequeño	young
صغيرة	pequeño	small
صف	fila	row
صفات	atributos	attributes
صفة	adjetivo	character
صفحات	páginas	pages
صفحة	pagina	page
صفر	cero	sefr
صفوف	filas	rows
صفين	dos filas	two rows
صقر	halcón	falcon
صقلية	sicilia	sicily
صلاة	oraciones	prayer
صلاح	salah	salah
صلاحيات	poderes	permissions
صلادة	dureza	strength
صلب	sólido	hard
صلبة	sólido	solid
صلة	enlace	connection
صلح	paz	reconciliation
صلى	el oró	pray
صناعات	industrias	industries
صناعة	industria	industry
صناعي	industrial	satellite
صناعية	industrial	industrial
صندوق	caja	box
صنع	hecho	manufacture
صنف	clase	classified
صواريخ	misiles	rockets
صوب	apuntar	towards
صوت	sonido	voice
صوتية	voz	audio
صور	foto	photos
صورة	imagen	photo
صوفيا	sofia	sofia
صياغة	formulación	writing
صيد	pesca	fish
صيغة	formula	formula
صيف	verano	summer
صَلَّى	el oró	prayed
ضئيلة	delgado	little
ضابط	oficial	officer
ضباط	oficiales	officers
ضبط	ajustar	setting
ضحايا	víctimas	victims
ضخم	enorme	big
ضخمة	enorme	huge
ضد	contra	against
ضده	contra el	against it
ضربة	golpe	hit
ضرورة	necesidad	necessity
ضرورية	necesario	necessary
ضريبة	impuestos	tax
ضريح	santuario	shrine
ضعف	debilidad	weakness
ضعيف	débil	weak
ضعيفة	débil	weak
ضغط	presión	pressured
ضفاف	bancos	the banks
ضم	combinar	include
ضمان	garantía	guarantee
ضمت	incluido	included
ضمن	dentro de	including
ضمنها	dentro de ella	within it
ضوء	luz	given the
ضوئية	luz	light
ضواحي	suburbios	suburbs
ضيق	apretado	scrimpy
ضيقة	apretado	tight
طائرات	aviones	aircraft
طائرة	plano	airplane
طائفة	denominación	sect
طابع	personaje	stamp
طارق	tariq	tarek
طاعة	obediencia	obeying
طاقة	energía	energy
طالب	estudiante	asked
طالبت	ella exigió	requested
طالع	ver	talea
طالما	siempre y cuando	as long as
طاهر	impecable	taher
طب	medicina	medicine
طبقا	de acuerdo	according
طبقاً	de acuerdo	according to
طبقة	capa	category
طبيب	doctor	doctor
طبية	médico	medical
طبيعة	la naturaleza	nature
طبيعي	natural	natural
طبيعية	natural	natural
طرابلس	trípoli	tripoli
طراز	estilo	type
طرازات	hace	models
طرح	restar	platform
طرد	expulsado	expulsion
طرف	fiesta	side
طرفاوية	terminal	jaboticaba
طرق	formas	roads
طرول	paletas	troll
طريق	camino	way
طريقة	método	way
طريقه	su camino	on his road
طريقها	su camino	its way
طعام	comida	food
طفل	niño	child
طفولته	su infancia	his childhood
طقوس	ritual	rituals
طلائعيات	pionero	protists
طلاب	estudiantes	students
طلال	talal	talal (name)
طلب	solicitud	request
طلبة	estudiantes	students
طلبت	ella pregunto	requested
طلبه	su solicitud	his request
طلحة	talha	talha (name)
