$	dollarni tashkil etadi	(dollar sign)
mondiale	dunyo	world
mondialement	dunyo bo&#39;ylab	worldwide
mondiales	dunyo	world
mondialisation	globallashuv	globalization
mondiaux	dunyo	worldwide
monet	pul	monet
money	pul	money
monica	monika	monica
monnaie	o&#39;zgartirish	currency
monnaies	tangalar	currency
monopole	monopoliya	monopoly
monroe	monro	monroe
monsieur	ser	sir
monster	yirtqich hayvon	monster
monstre	yirtqich hayvon	monster
mont	tog	mount
montage	o&#39;rnatish	assembly
montagne	tog	montain
montagnes	tog&#39;lar	mountains
montagneuses	tog&#39;li	mountainous
montagneux	tog&#39;li	mountain
montana	montana	montana
montant	miqdori	total sum
monte	o&#39;rnatilgan	monte
montecarlo	monte-karlo	monte-carlo
monter	ko&#39;tarilish	mount
montesquieu	monteskyu	montesquieu
montpellier	montpellier	montpellier
montrant	ko&#39;rsatmoqda	showing
montre	tomosha	to show
montrent	shou	show
montrer	ko&#39;rsatish	show
montré	ko&#39;rsatilgan	shown
montréal	monreal	montreal
monts	tog&#39;lar	mounts
monté	o&#39;rnatilgan	rise
montée	ko&#39;tarilish	rise
monument	yodgorlik	building
monuments	yodgorliklari	buildings
monétaire	pul	monetary
moon	oy	moon
moore	murda	mauresque
moral	ahloqiy	morale
morale	ahloqiy	moral
morales	ahloqiy	moral
morceau	parcha	piece
morceaux	qismlari	tracks
moreau	parcha	moreau
morgan	morgan	morgan
morphologie	morfologiya	morphology
morrison	morrison	john morrison
mort	o&#39;lik	dead
mortalité	o&#39;lim	death rate
morte	o&#39;lik	dead
morts	o&#39;lik	deads
mosaïque	mozaik	mosaic
moscou	moskva	moscow
mosquée	masjid	mosque
mot	so&#39;z	word
moteur	dvigatel	motor
moteurs	motorlar	engine
motif	naqsh	motive
motifs	naqshlar	reasons
motion	harakat	motion
motivation	turtki	motive
motown	motown	motown
mots	so&#39;zlar	words
moulin	tegirmon	mill
moulins	tegirmonlar	windmills
mourir	o&#39;tib ketmoq	die
mourut	vafot etdi	died
mouvement	harakat	movement
mouvements	harakatlar	movements
moyen	yo&#39;l	way
moyenne	o&#39;rtacha	average
moyennes	o&#39;rta	middle
moyenorient	yaqin sharq	middle-east
moyens	degan ma&#39;noni anglatadi	means
mozart	motsart	mozart
moïse	muso	moses
mp	mp	mp3
mr	janob	mr.
mtv	mtv	mtv
muet	ovozsiz	dumb
muhammad	muhammad	muhammad
mulhouse	mulhouse	mulhouse
multiple	ko&#39;p	multiple
multiples	ko&#39;p	multiple
multiplication	ayirish	multiplication
multiplie	ko&#39;payadi	multiplies
multiplient	ko&#39;paytiring	multiply
multitude	juda ko&#39;p	multitude
munich	myunxen	munich
municipal	munitsipal	municipal
municipale	munitsipal	municipal
municipales	munitsipal	municiple
municipalité	munitsipalitet	municipality
municipalités	munitsipalitetlar	municipalities
municipaux	munitsipal	municipal
mur	devor	wall
muraille	devor	wall
murailles	devorlar	wall
murray	murray	murray
murs	devorlar	walls
muscles	mushaklar	muscles
muse	iltifot	muse
museum	muzey	museum
music	musiqa	music
musical	musiqiy	musical
musicale	musiqiy	music
musicales	musiqiy	music
musicaux	musiqiy	musical
musicien	sozanda	musician
musiciens	musiqachilar	musicians
musique	musiqa	music
musiques	musiqa	music
musset	midiya	musset
mussolini	mussolini	mussolini
musulman	musulmon	muslim
musulmane	musulmon	muslim
musulmanes	musulmon	muslim
musulmans	musulmonlar	muslims
musée	muzey	museum
musées	muzeylar	museums
mutation	mutatsiya	mutation
mutations	mutatsiyalar	changes
mvp	mvp	mvp
myocarde	miyokard	myocardium
myocardique	miyokard	myocardial
myopathie	miyopati	myopathies
mysterio	sir	mysterio
mystique	mistik	mystical
mystère	sir	mystery
mystérieux	sirli	mysterious
mythe	afsona	myth
mythes	afsonalar	myths
mythique	afsonaviy	mythical
mythologie	mifologiya	mythology
mythologiques	mifologik	mythological
mâle	erkak	male
mâles	erkaklar	males
mène	olib boradi	leads
mènent	qo&#39;rg&#39;oshin	lead
mère	ona	mother
mètres	metrga teng	meters
mécanique	mexanik	mechanics
mécaniques	mexanik	mechanic
mécanisme	mexanizmi	mecanism
mécanismes	mexanizmlari	mecanisms
mécontentement	norozilik	discontent
médaille	medal	medal
médecin	shifokor	doctor
médecine	dori	medicine
médecins	shifokorlar	doctors
média	ommaviy axborot vositalari	media
médias	ommaviy axborot vositalari	medias
médiatique	ommaviy axborot vositalari	media
médical	tibbiy	medical
médicale	tibbiy	medical
médicales	tibbiy	medical
médicament	dori	medecine
médicaments	dorilar	drugs
médicaux	tibbiy	medical
médicis	meditsina	médicis
médiocre	bechora	poor
méditation	meditatsiya	meditation
méditerranée	o&#39;rta er dengizi	mediterranean
méditerranéen	o&#39;rta er dengizi	mediterranean
médiéval	o‘rta asrlarga oid	medieval
médiévale	o‘rta asrlarga oid	medieval
médiévales	o‘rta asrlarga oid	medieval
mélange	aralashgan	mix
mélodies	kuylar	melodies
mémoire	xotira	memory
mémoires	xotiralar	memories
mémorial	yodgorlik	memorial
ménage	uy ishlari	household
ménages	uy xo&#39;jaliklari	households
mépris	nafrat	contempt
méridionale	janubiy	meridionale
mérite	loyiq	merit
métabolisme	metabolizm	metabolism
métal	metall	metal
métallique	metallga oid	metal
métalliques	metallga oid	metal
métaphore	metafora	metaphor
métaphores	metafora	metaphore
métaphysique	metafizikaga oid	metaphysical
métatarse	metatarsus	metatarsus
métaux	metallar	metallic
méthane	metan	methane
méthode	usuli	method
méthodes	usullari	methods
métier	ish	job
métiers	savdolari	trades
métrage	lavhalar	film footage (court metrage=short film)
métrages	lavhalar	films
métro	metro	subway
métropole	metropoliya	metropolis
métropoles	metropoliyalar	metropolis
métropolitaine	poytaxt	metropolitan
méxico	meksika	mexico
même	hatto	same
mêmes	bir xil	same
mœurs	odob-axloq qoidalari	morals
n	emas	n
na	yo&#39;q	doesn't
nadal	nadal	nadal
naissance	tug&#39;ilish	birth
naissances	tug&#39;ilish	births
naissent	tug&#39;ilganlar	born
nait	tug&#39;ilgan	was born
nam	nam	nam
nancy	nensi	nancy
nantais	nantes	from nantes
nantes	nantes	nantes
naples	neapol	naples
napoléon	napoleon	napoléon
napparaît	paydo bo&#39;ladi	item appears
narrateur	rivoyat qiluvchi	narrator
narration	rivoyat	narration
narrive	rivoyat	narrive
naruto	naruto	naruto
nasa	nasa	nasa
nash	nash	nash
natale	mahalliy	birth
natalie	natalie	natalie
natalité	tug&#39;ilish darajasi	birth rate
nation	millat	nation
national	milliy	national
nationale	milliy	national
nationales	milliy	national
nationalisme	millatchilik	nationalism
nationaliste	millatchi	nationalist
nationalistes	millatchilar	nationalist
nationalité	millati	nationality
nationaux	milliy	national
nations	xalqlar	nation
naturaliste	tabiatshunos	naturalist
nature	tabiat	nature
naturel	tabiiy	natural
naturelle	tabiiy	natural
naturellement	tabiiy ravishda	naturally
naturelles	tabiiy	natural
naturels	tabiiy	natural
naufrage	kema halokati	sinking
naurait	bo&#39;lar edi	would not have
navaient	edi	navaient
navait	yo&#39;q edi	had
navale	dengiz floti	marine
navarre	navarra	navarre
navigateur	navigator	navigator
navigateurs	brauzerlar	navigators
navigation	navigatsiya	navigation
navire	kema	ship
navires	kemalar	ship
navoir	yo&#39;q	having
nayant	ega	not having
nazi	natsist	nazi
nazie	natsist	nazi
nazis	natsistlar	nazis
nazisme	natsizm	nazism
naît	tug&#39;ilgan	was born
naître	tug&#39;ilish	born
nb	nb	note
nba	nba	nba
nbc	nbc	nbc
ne	tug&#39;ilgan	not
nef	nave	nave
neige	qor	snow
neil	nil	neil
nelson	nelson	nelson
nempêche	hanuzgacha	doesn't prevent
nen	nen	nen
neptune	neptun	neptune
nerveux	asabiy	nervous
nest	uyasi	nest
net	aniq	internet
nette	ravshan	visible
nettement	aniq	clearly
network	tarmoq	network
neuf	yangi	nine
neurones	neyronlar	neurons
neutralité	betaraflik	neutrality
neutre	neytral	neutral
neuvième	to&#39;qqizinchi	ninth
never	hech qachon	never
neveu	jiyan	nephew
newton	nyuton	newton
newyorkais	nyu-yorker	from new-york
nexiste	nexist	there
nez	burun	nose
nhésite	ikkilanmoq	not hesitate
ni	yoki	neither
nice	yaxshi	nice
nicolas	nikolalar	nicolas
nicole	nikol	nicole
nictation	nictation	nictitation
nietzsche	nitsshe	nietzsche
niger	niger	niger
nigeria	nigeriya	nigeria
night	kechasi	night
nihilisme	nigilizm	nihilism
nimporte	har qanday narsa	no other
ninja	ninja	ninja
nirvana	nirvana	nirvana
niveau	daraja	level
niveaux	darajalari	levels
nixon	nikson	nixon
no	yo&#39;q	no.
nobel	nobel	nobel
noble	olijanob	noble
nobles	zodagonlar	noble
noblesse	olijanoblik	nobility
noces	to&#39;y	wedding
nocturne	tunda	nocturnal
noel	rojdestvo	christmas
noir	qora	black
noire	qora	black
noires	qora	black
noirs	qora	black
nom	familiya	name
nombre	raqam	number
nombres	raqamlar	number
nombreuse	juda ko&#39;p	large
nombreuses	juda ko&#39;p	many
nombreux	juda ko&#39;p	several
nominal	nominal	nominal
nomination	nominatsiya	appointment
nominations	uchrashuvlar	nominations
nomme	tayinlangan	names
nommer	tayinlash	name
nommé	tayinlangan	nominated
nommée	nomlangan	named
nommés	tayinlangan	named
noms	ismlar	names
non	yo&#39;q	not
nont	qilmang	nont
nonviolence	zo&#39;ravonliksiz	non-violence
nord	shimoliy	north
nordest	shimoli-sharqda	north east
nordique	shimoliy	nordic
nordouest	shimoli g&#39;arbiy	northwest
nordsud	shimoliy janub	north-south
normal	normal	normal
normale	normal	normal
normalement	normal holatda	normally
norman	norman	(man's name)
normandie	normandiya	normandie
norme	standart	norm
normes	standartlar	norms
north	shimolda	nord
norton	norton	norton
norvège	norvegiya	norway
norvégien	norvegcha	norwegian
nos	bizning	our
not	emas	not
notable	ahamiyatli	notable
notables	ahamiyatli	significants
notamment	ayniqsa	notably
notation	gol urish	rating
note	eslatma	note
noter	qayd qilish	note
notera	qayd qiladi	note
notes	eslatmalar	notes
notion	tushunchasi	notion
notions	tushunchalar	notions
notons	eslatma	note
notoriété	notanishlik	notoriety
notre	bizning	our
notredame	bizning lady	notre-dame
noté	eslatma	noted
nouméa	noumeya	noumea
nourrir	ozuqa	feed
nourrit	ozuqa	feeds
nourriture	ovqat	food
nous	biz	we
nouveau	yangi	new
nouveauté	yangilik	novelty
nouveaux	yangi	new
nouvel	yangi	new
nouvelle	yangi	new
nouvellecalédonie	yangi kaledoniya	new-caledonia
nouvellefrance	yangi frantsiya	new-france
nouvellement	yangi	newly
nouvelles	yangiliklar	new
nouvellezélande	yangi zelandiya	new zealand
novak	novak	novak
novembre	noyabr	november
now	hozir	now
noyau	yadrosi	heart
noyaux	yadrolari	kernels
noël	rojdestvo	christmas
nu	yalang&#39;och	naked
nuage	bulut	cloud
nuages	bulutlar	clouds
nucléaire	yadroviy	nuclear
nucléaires	yadroviy	nuclear
nuit	kechasi	night
nuits	kechalar	nights
nul	yo&#39;q	none
nulle	hech narsa	zero
numidie	numidiya	numidia
numérique	raqamli	digital
numériques	raqamli	numeric
numéro	raqam	number
numéros	raqamlar	numbers
n°	n °	n°
né	tug&#39;ilgan	born
néanmoins	ammo	nevertheless
nécessaire	zarur	necessary
nécessairement	albatta	necessarily
nécessaires	talab qilinadi	necessary
nécessitant	talab qiladigan	requiring
nécessite	kerak	needs
nécessitent	talab qiladi	need
nécessité	kerak	need
née	tug&#39;ilgan	born
néerlandais	golland	dutch
néerlandaise	dutch	dutch
nées	tug&#39;ilgan	born
négatif	manfiy	negative
négatifs	manfiy	negative
négative	manfiy	if not
négatives	manfiy	negative
négligeable	ahamiyatsiz	negligible
négociations	muzokaralar	negociations
négocier	muzokara qilmoq	negociate
néolithique	neolitga oid	neolithic
nés	tug&#39;ilgan	born
nétaient	ular yo&#39;q edi	weren't
nétait	edi	was only
nétant	bo&#39;lish	not being
o	o	o
oaci	oaci	icao
oasis	voha	oasis
obama	obama	obama
objectif	maqsad	objective
objectifs	maqsadlar	objectives
objet	ob&#39;ekt	object
objets	ob&#39;ektlar	items
obligations	majburiyatlar	obligations
obligatoire	majburiy	mandatory
oblige	kuchlar	require
obligé	majbur	obliged
observateurs	kuzatuvchilar	observers
observation	kuzatuv	observation
observations	kuzatishlar	observations
observe	kuzatilgan	observed
observer	kuzatmoq	observe
observé	kuzatilgan	observed
observée	kuzatilgan	observed
observées	kuzatilgan	observed
observés	kuzatilgan	observed
obsèques	dafn marosimi	funeral
obtenir	olish	obtaining
obtenu	bor	obtained
obtenue	olingan	obtained
obtenus	olingan	acquired
obtiennent	olish	obtain
obtient	oladi	obtains
obédiences	itoatkorlik	persuasions
occasion	imkoniyat	occasion
occasionnellement	vaqti-vaqti bilan	occasionally
occasions	holatlar	opportunities
occident	g&#39;arbiy	occident
occidental	g&#39;arbiy	western
occidentale	g&#39;arbiy	western
occidentales	g&#39;arbiy	western
occidentaux	g&#39;arbliklar	western
occupe	band	occupies
occupent	egallamoq	occupy
occuper	egallamoq	occupy
occupé	band	occupies
occupée	band	occupied
occupés	band	occupied
octave	oktava	octavius
octobre	oktyabr	october
océanie	okeaniya	oceania
océanique	okeanik	oceanic
océans	okeanlar	oceans
offensive	haqoratli	offensive
offert	ozod	offered
officiel	rasmiy	official
officielle	rasmiy	official
officiellement	rasmiy ravishda	officially
officielles	rasmiy	official
officiels	rasmiy	official
officier	ofitser	officer
officiers	ofitserlar	officers
offrant	qurbonlik	giving
offre	taklif	offer
offrent	taklif	offers
offrir	taklif qilmoq	to present
ogm	ogm	ogm
oiseaux	qushlar	birds
oit	oit	oit
oliver	oliver	oliver
olivia	oliviya	olivia
olivier	olivier	olivier or oliver
olympique	olimpiya	olympic
olympiques	olimpiya o&#39;yinlari	olympic
om	om	electromagnetic waves
on	biz	on
oncle	tog&#39;a	uncle
ondes	to&#39;lqinlar	waves
ong	ong	ong
ono	ono	ono
ont	bor	have
onze	o‘n bir	eleven
op	op	op
open	ochiq	open
opinion	fikr	opinion
opinions	fikrlar	point of view
opposant	qarama-qarshi	opponent
opposants	raqiblar	opponents
oppose	qarama-qarshi	set against
opposition	muxolifat	opposition
oppositions	qarama-qarshiliklar	oppositions
opposé	qarama-qarshi	resisted
opposée	qarama-qarshi	opposed
opposés	qarama-qarshiliklar	opposing
optique	optik	optical
optiques	optik	optical
opus	opus	opus
opéra	opera	opera
opéras	operalar	opera
opérateurs	operatorlari	operators
opération	jarrohlik	operation
opérations	operatsiyalar	operations
or	oltin	but
orale	og&#39;zaki	oral
orange	apelsin	orange
orbite	orbitada joylashgan	orbit
orchestre	orkestr	orchestra
ordinaire	oddiy	ordinary
ordinateur	kompyuter	computer
ordinateurs	kompyuterlar	computers
ordonne	buyurdi	orders
ordre	buyurtma	order
ordres	buyurtmalar	orders
organe	organ	body
organes	organlar	organs
organisation	tashkiloti	organization
organisations	tashkilotlar	organizations
organise	uyushgan	organize
organisent	tashkil qilmoq	organize
organiser	tashkil qilmoq	organize
organisme	tashkiloti	body
organismes	tashkilotlar	agencies
organisé	uyushgan	organized
organisée	uyushgan	organized
organisées	uyushgan	organized
organisés	uyushgan	organised
orient	sharq	east
oriental	sharqona	oriental
orientale	sharqiy	oriental
orientales	sharqona	oriental
orientation	yo&#39;naltirish	guidance
originaire	mahalliy	originaire
originaires	kelib chiqishi	originating
original	original	original
originale	original	original
originales	original	original
originaux	asl nusxalari	original
origine	kelib chiqishi	origin
originel	original	original
originelle	original	original
origines	kelib chiqishi	origin
orson	orson	orson
orthodoxe	pravoslav	orthodox
orthodoxes	pravoslav	orthodox
orton	orton	orton
os	suyak	bones
oscar	oskar	oscar
oscars	oskar	oscars
otto	otto	otto
ottoman	usmonli	ottoman
ottomans	otmanlar	ottomans
ou	yoki	or
oublier	unut	forget
ouest	qayerda	west
oui	ha	yes
outil	vositasi	qutil
outils	asboblar	tools
outre	g&#39;azablangan	also
ouvert	ochiq	open
ouverte	ochildi	open
ouvertement	ochiqchasiga	openly
ouvertes	ochiq	open
ouverts	ochiq	open
ouverture	ochilishi	opening
ouvrage	ishlash	work (as the work)
ouvrages	ishlaydi	works
ouvre	ochiq	open
ouvrier	ishchi	laborer
ouvriers	ishchilar	workers
ouvrir	ochmoq	debut/open
ouvrière	zavod qiz	workers'
oxford	oksford	oxford
où	yoki	where
p	p	p
pablo	pablo	pablo
pacifique	tinch	pacific
pacte	pakt	pact
page	sahifa	page
pages	sahifalar	pages
paiement	to&#39;lov	payment
pain	non	bread
paire	juftlik	pair
pairs	tengdoshlar	lords
paix	tinchlik	peace
pakistan	pokiston	pakistan
palace	saroy	palace
palais	saroy	palaces
pales	pichoqlar	blades
palestine	falastin	palestine
palestiniens	falastinliklar	palestinians
