$ tỉ	$ బిలియన్	$ billion
phó	డిప్యూటీ	second
phóng	ప్రయోగ	to launch (v.)
phô	నగరం	display
phôi	పిండం	embryo
phông	ఫాంట్	font
phùng	పఫ్	phung
phúc	ఆశీర్వాదం	good fortune (n.)
phúclộc	వరం	phuc-loc
phún	బం	"(term should be ""lún phún"") sparse (adj.)"
phúng	జాలి	satire
phút	నిమిషం	a minute (n.)
phăn	కోపము	phan
phăng	phang	knock
phương	phuong	direction
phước	వరం	luck
phường	వార్డ్	ward
phượng	ఫీనిక్స్	phoenix
phạn	సంస్కృత	sanskrit
phạt	శిక్షించే	punish
phả	పూర్వీకుల నుండి వంశక్రమము	pedigree
phải	కుడి	must
phải 	కుడి	right
phản	కౌంటర్	reaction
phảng	ఫ్లాట్	subtle
phần	భాగం	part
phẩm	ఉత్పత్తులు	food
phẩy	కామా	a comma
phẫn	ఆగ్రహించిన	wrathful
phẫu	శస్త్రచికిత్స	surgery
phận	విధి	part
phật	బుద్ధ	buddhist
phẳng	విమానం	flat (adj.)
phế	స్క్రాప్	dismiss
phết	వ్యాప్తి	to spread or smear (v.)
phỉ	లేత గోధుమ రంగు	defame
phỏng	బర్న్	interview
phố	నగరం	city
phối	సమన్వయం	coordinate
phốt	ఫాస్ఫేట్	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	పెంచిన	to swell (v.)
phổ	స్పెక్ట్రం	popular
phổi	ఊపిరితిత్తుల	lung
phộng	వేరుశెనగ	peanut
phới	ఫ్లోట్	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	నూడిల్ సూప్	pho
phục	అప్పారెల్	convincing
phụng	అందజేయడం	worship
phụt	పఫ్	minute
phủ	కవర్	government
phức	క్లిష్టమైన	complex
picchu	పిచ్చు	a name
piccolo	పికోలో	piccolo
pierre	పియరీ	pierre
pierrot	pierrot	pierrot
pietro	పియట్రో	pietro
pike	పైక్	pike
pin	బ్యాటరీ	battery
pinlus	pinlus	pinlus
pioneer	మార్గదర్శకుడు	pioneer
pipes	గొట్టాలు	pipes
pisa	పిసా	a name
piston	పిస్టన్	piston
pitch	పిచ్	pitch
pius	పియస్	pius
plaaf	plaaf	plaaf
plan	ప్రణాళిక	plan
plasma	ప్లాస్మా	plasma
plate	ప్లేట్	plate
plato	ప్లేటో	plato
platon	ప్లాటోన్	platon
player	క్రీడాకారుడు	player
pleiku	ప్లేకు	(proper noun) pleiku
pleistocen	pleistocen	pleistocen
plus	ప్లస్	plus
pluto	ప్లూటో	pluto
pm	pm	pm
pmu	pmu	pmu
po	పో	po
pokémon	పోకీమాన్	pokemon
pol	పాల్	pol
poland	పోలాండ్	poland
pollack	పొలాక్	a name
pollux	పొలక్స్	a name
polo	పోలో	(proper noun) polo, as in marco polo
polynésie	polynésie	polynesian
pont	పాంట్	(proper noun) pont, as in pont de normandie
pop	పాప్	pop
portland	పోర్ట్ల్యాండ్	portland
porto	పోర్టో	porto
pot	పాట్	pot
potsdam	పోట్స్డ్యామ్	(proper noun) potsdam
potter	కుమ్మరి	(proper noun) potter, as in harry potter
pour	పోయాలి	not vietnamese
powell	పావెల్	(proper noun) powell, as in general colin powell
pradesh	ప్రదేశ్	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	preah	(proper noun) preah
premier	ప్రీమియర్	premier
preminger	preminger	(proper noun) preminger
preston	ప్రెస్టన్	(proper noun) preston, as in john preston
prince	ప్రిన్స్	prince
princeton	ప్రిన్స్టన్	princeton
printemps	ప్రింటెంప్స్	printemps
printf	printf	printf
prinz	ప్రిన్జ్	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	ప్రిక్స్	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	ప్రాజెక్ట్	projekt
prometheus	ప్రోమేతియస్	(proper noun) prometheus
protein	ప్రోటీన్	protein
prôtêin	ప్రోటీన్	protein (n.)
ps	ps	ps
psv	psv	psv
ptolemy	టోలెమీ	ptolemy
ptq	ptq	ptq
puerto	ప్యూర్టో	puerto
pulau	పులా	(proper noun) pulau, as in pulau tekong, an island
pulitzer	పులిట్జర్	(proper noun) pulitzer, as in the pulitzer prize
pulp	గుజ్జు	pulp
punjab	పంజాబ్	punjab
pusan	పుసాన్	(proper noun) pusan
putin	పుతిన్	putin
pyrenees	పైరినీస్	pyrenees
pytago	pytago	(proper noun) pytago
pzl	pzl	pzl
péc	pec	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	పెరెజ్	(proper noun) perez, as in javier perez de cuellar
păng	వేదనతో	fansipan
pơ	పో	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	q	q ( a letter)
qatar	కతర్	qatar
qd	qd	quantum dots
qing	క్వింగ్	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	ద్వారా	transmit
quad	క్వాడ్	quad
quan	క్వాన్	"(term should be ""quan hệ"") relationship (n.)"
quang	ఆప్టికల్	bladder
quanh	చుట్టూ	around
quay	మారిన	turn
que	రాడ్లు	stick
queen	రాణి	queen
queens	రాణులు	(proper noun) queens, as in the new york borough
queensland	క్వీన్స్లాండ్	queensland
quen	తెలిసిన	accustomed to
qui	qui	formal
quincy	క్విన్సీ	(proper noun) quincy, as in quincy jones
quran	quran	quran
quy	నియమాలు	"(term should be ""quy ước"") agreement"
quyên	ఫండమెంటల్స్	"(term should be ""quyên góp"") to donate (v.)"
quyến	ఆకర్షణ	"(term should be ""gia quyến"") family"
quyền	అనుమతి	right
quyện	కలిసిపోతాయి	mix
quyệt	కృత్రిమ	"(should be ""xảo quyệt"") devious"
quá	చాలా	over
quái	హెక్	strange or odd
quán	బార్	hometown
quáng	బ్లైండ్	blind
quát	అరుస్తూ	generalize
quân	క్వాన్	army (n.)
quãng	సుమారు	optical
quét	స్కాన్ చేయడానికి	to sweep (v.)
quê	విలేజ్	countryside
quên	మర్చిపోతే	forget
quý	విలువైన	love
quýt	టాన్జేరిన్	tangerine
quăng	టాస్	to throw (v.)
quĩ	ఫండ్	orbit
quạ	కాకులు	crow (con qua)
quạt	అభిమాని	fan
quản	పాలక	"(entire term is ""cai quản"") to manage"
quảng	ప్రోమో	guangzhou
quấn	చుట్టు	wrap around
quất	కంక్వాత్	whip
quấy	ప్రకంపనలు	harass
quần	ప్యాంటు	pants (n.)
quầng	వృత్తాన్ని	halo
quầy	కౌంటర్	stall
quẩy	రాకింగ్	quay
quẫn	దౌర్భాగ్యమైన	necessitous
quận	జిల్లా	county (n.)
quật	తవ్వకం	excavation
quẳng	టాస్	throw
quặc	అసహజ	strange (adj.)
quặng	ధాతువు	an ore (n.)
quẻ	hexagram	hexagram
quế	దాల్చిన చెక్క	cinnamon (n.)
quết	ఒట్టు	knead
quệ	పేద	exhausted
quỉ	దయ్యం	demon
quỳ	kneel	demon (n.)
quỳnh	quỳnh	quynh
quỵ	స్ట్రోక్	stroke
quỷ	దయ్యం	provided
quỹ	ఫండ్	fund
qúy	క్వార్టర్	quy
r	r	r
rabindranath	రవీంద్రనాథ్	rabindranath
race	రేసు	race
rafael	రాఫెల్	rafael
rafale	రాఫెల్	(proper noun) rafale, as in dassault rafale
rai	రాయ్	slowly intake
raleigh	రాలే	raleigh
ralph	రాల్ఫ్	(proper noun) ralph, as in ralph waldo emerson
ram	రామ్	a name
rama	రామ	rama, first name of several rulers of thailand (n.)
ramadan	రంజాన్	(proper noun) the fasting month of ramadan
ramayana	రామాయణం	ramayana
rambus	రాంబస్	rambus
ran	పరిగెడుతూ	ran
ranch	గడ్డిబీడు	ranch
randy	రాండి	randy
rang	రంగ్	roast
rangers	రేంజర్స్	rangers
ranh	బౌండరీ	border (ranh gioi)
rao	ప్రకటన	to announce
rap	రాప్	rap
raptor	రాప్టర్	raptor
rate	రేటు	rate
rau	కూరగాయల	vegetable
ray	రే	rail (n.)
raya	రాయ	raya
raymond	రేమండ్	raymond
rađa	రాడార్	radar
reagan	రీగన్	reagan
real	నిజమైన	real
reanimation	reanimation	reanimation
reap	పొందగలదని	reap
reef	రీఫ్	reef
regia	రెజియా	regia
reichelt	reichelt	reichelt
ren	లేస్	lace (n.)
renaissance	పునరుజ్జీవన	renaissance
renault	రెనాల్ట్	renault
rené	రెనె	rene
reo	రింగ్	yell
reserve	రిజర్వ్	reserve
resort	ఆశ్రయించాల్సిన	resort
reverse	రివర్స్	reverse
revolution	విప్లవం	revolution
rey	రే	rey, as in copa del rey
rfid	rfid	rfid
rhodes	రోడ్స్	rhodes
rica	రికా	rica
ricardo	రికార్డో	ricardo
ricci	రిక్కీ	ricci
richard	రిచర్డ్	richard
richardson	రిచర్డ్సన్	(proper noun) richardson, as in james o. richardson
richie	రిచీ	(proper noun) richie, as in singer lionel richie
rico	రికో	rico, as in puerto rico
riemann	రీమాన్	riemann, as in bernhard riemann, a german mathematician
rimjob	రిమ్జాబ్	rimjob
rin	రిన్	rin
rising	పెరుగుతున్న	rising
risk	ప్రమాదం	risk
ritchie	రిట్చీ	a name
rivaldo	rivaldo	rivaldo
rivière	rivière	a name
rizal	rizal	rizal
riêng	ప్రైవేట్	own
riêu	రియు	crab
riết	riet	urgently
riềng	నక్షత్ర వీధి	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	రాబర్ట్	(proper noun) robert
roberto	roberto	(proper noun) roberto
roberts	రాబర్ట్స్	roberts
robespierre	రాబెస్పియెర్రే	robespierre
robin	రాబిన్	a name
robinson	రాబిన్సన్	robinson, as in michelle robinson
rockefeller	రాక్ఫెల్లర్	rockefeller, as in john d. rockefeller
roddick	రాడిక్	(proper noun) roddick
rodríguez	రోడ్రిగ్జ్	rodriguez (n.)
roi	రాడ్	a stick or switch used for punishment (n.)
roland	రోలాండ్	roland
romania	రొమేనియా	romania
rome	రోమ్	rome, as in rome, italy
romeo	రోమియో	(proper noun) romeo, as in romeo and juliet
rommel	రోమెల్ను	rommel
ron	ron	ron
ronald	రోనాల్డ్	ronald, an english first name
ronaldinho	రోనాల్దిన్హో	ronaldinho
rong	ఆల్గే	seaweed (n.)
rosen	రోసెన్	rosen, as in nathan rosen
roth	రోత్	roth
rotterdam	రోటర్డ్యామ్	(proper noun) rotterdam
rousseau	రూసో	rousseau
router	రౌటర్	cong noi
rovers	రోవర్స్	rovers
rowling	రౌలింగ్	rowling
roy	రాయ్	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	రుడోల్ఫ్	rudolph
rue	ర్యూ	rue, as in rue des vases, a street name
rulin	rulin	(proper noun) rulin
rumani	romanian	romanian
rumiko	rumiko	rumiko, a japanese first name
rummel	రమ్మెల్	rummel
run	రన్	tremble
rung	ప్రకంపనాలను	to shake or vibrate (v.)
russian	రష్యన్	(proper adjective) russian
russkaya	russkaya	(proper noun) russkaya avionika
ruth	రూత్	(proper noun) ruth
rutherford	రుతేర్ఫోర్డ్	rutherford
rutte	rutte	rutte
ruud	రూడ్	ruud
ruốc	రొయ్యలు	pemmican
ruồi	ఫ్లైస్	fly
ruổi	ruoi	rong ruổi=wandering
ruộng	వరి చేలు	"(term should be ""ruộng đất"") farmland (n.)"
ruột	ప్రేగు	internals
rzeczpospolita	rzeczpospolita	rzeczpospolia
rà	తనిఖీ చేయండి	finding
ràng	స్పష్టమైన	clear
rành	నిష్ణాతులు	exhaustive
rào	కంచె	barrier
rác	చెత్త	gabbage-trash
rách	నలిగిపోయే	tear
rái	ఓటర్	colander
rán	వేసి	fried (adj.)
ráp	అసెంబ్లీ	to assemble (v.)
râm	నీడ	shade
râu	గడ్డం	beard or mustache (n.)
rã	క్షయం	out
rãi	బాగు	"(term should be ""rộng rãi"") generous"
rãnh	కందకం	groove
räikkönen	రైకోనెన్	raikkonen
rèm	కనాతి	curtain
rèn	అనుకరించారు	train
ré	కొద్దిలో తప్పంచుకొనుట	re
république	république	republique
rét	చల్లని	cold
rê	డ్రాగ్	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	whimper	moan
rêu	నాచు	moss
