$	dollarni tashkil etadi	american dollar symbol
பகுதிக்கு	maydonga	portion
பகுதியாக	qism	a part of
பகுதியாகும்	qism	part
பகுதியான	hudud	a part of
பகுதியானது	bo&#39;lim	a section
பகுதியினர்	bo&#39;limlar	section of people
பகுதியின்	bir qismi	portion
பகுதியிலும்	qism	that part
பகுதியிலுள்ள	hududda	in the sects
பகுதியிலேயே	viloyat	area
பகுதியில்	hududda	in that parts
பகுதியும்	bo&#39;lim	a section
பகுதியே	qism	zone
பகுதியை	bo&#39;lim	part
பகுதியைக்	bo&#39;lim	that land place
பகுதியைச்	bo&#39;lim	part
பகுதியைத்	bo&#39;lim	section
பகுதியையும்	qism	section
பகுத்தறிவு	oqilona	intellectualism
பகுப்பாய்வு	tahlil	reserch
பகுப்பு	kategoriya	division
பகுப்புஆன்மிகவாதிகள்	pakuppuanmikavatikal	theologists
பகுப்புஇணைய	pakuppuiniya	seperated together
பகுப்புஇந்தியத்	pakuppuintiyat	divided india's
பகுப்புஇந்தியப்	pakuppuintiyap	a sect of indian
பகுப்புஇந்துக்	pakuppuintuk	pakuppuintuk
பகுப்புஇயற்பியல்	pakuppuiyarpiyal	divided physics
பகுப்புஇலங்கை	pakuppuilankay	seperate eelam
பகுப்புஐக்கிய	pakuppuaikkiya	united
பகுப்புஐரோப்பிய	pakuppuairoppiya	division: europe
பகுப்புகட்டற்ற	pakuppukattarra	unorganised
பகுப்புகணினி	pakuppukanini	a computer
பகுப்புகோலங்கள்	pakuppukolankal	seperate designs
பகுப்புதமிழக	pakupputamilaka	seperation of tamil
பகுப்புதமிழர்	pakupputamilar	culture of tamilan
பகுப்புதமிழ்	pakupputamil	tamil analysis
பகுப்புதமிழ்நாடு	pakupputamilnatu	division of tamilnadu
பகுப்புதமிழ்நாட்டிலுள்ள	pakupputamilnattil	division
பகுப்புதமிழ்ப்	pakupputamilp	pakupputtamil
பகுப்புதென்கிழக்கு	pakupputenkil uchun	south eastern
பகுப்புவாழும்	pakuppuvalum	living
பகுப்புவிடுதலைப்	pakuppuvitutalayp	partial freedom
பகுப்புவேதியியல்	pakuppuvetiyiya	analysischemistry
பகைமை	raqobat	opponent thought
பகைவர்	dushman	enemy
பக்	p	puck chasers
பக்க	yon	to that
பக்கங்களின்	sahifalar	sections
பக்கங்களிலும்	yonlar	pages
பக்கங்களில்	sahifalarda	sections
பக்கங்களை	farqi bor	pages
பக்கங்கள்	sahifalar	pages
பக்கசார்பு	xiralik	one sided
பக்கத்தின்	sahifa	from that portion
பக்கத்தை	sahifa	page
பக்கம்	sahifa	page
பக்த	bxakta	holy
பக்தர்கள்	dindorlar	devotees
பக்தி	sadoqat	soul
பங்களிப்பு	hissa	contribution
பங்களிப்பை	qissalar	representation
பங்கு	aksiya	portion
பங்குச்	aksiya	share market
பங்குனி	mar	march
பங்கை	aksiya	share
பசி	och	hungry
பசிபிக்	tinch okeani	pacific
பசிபிக்கில்	tinch okeanida	pacific
பச்சை	yashil	green
பஞ்ச	ochlik	five
பஞ்சம்	ochlik	scare
பஞ்சாங்கம்	almanak	panchangam
பஞ்சாபி	panjabi	punjabi
பஞ்சாப்	panjab	punjab
பட	rasm	films
படகு	qayiq	by boat
படங்களின்	rasmlar	movies
படங்களில்	rasmlarda	films
படங்களை	rasmlar	pictures
படத்தின்	rasm	film
படமான	film	feature film
படம்	rasm	film
படம்பிடிகருவி	kamera	still camerassu
படலம்	folyo	ozone
படவில்லை	slayd	slide
படி	qadam	according to that
படிக்க	o&#39;qing	study
படிக்கும்	o&#39;qish	reading
படித்த	o&#39;qish	read
படித்தார்	o&#39;qilgan	studied
படித்து	o&#39;qing	read
படிநிலை	ierarxiya	phase
படிந்து	yaltiroq	a layer of deposited matter
படிப்படியாக	sekin-asta	step-by-step
படிப்படியான	bitirgan	step by step
படிப்பு	qabul	study
படிப்பை	o&#39;qish	education
படிமம்	rasm	image
படிமுறை	qadam tashlandi	algorithms
படிவங்கள்	shakllar	forms
படிவளர்ச்சி	evolyutsiya	evolutionary
படுகின்றது	bu	have been related
படுகின்றன	sizlar	happening
படுகிறது	bu	happens
படுகிறார்கள்	sizlar	appointed
படுகொலைகள்	suiqasdlar	massacre
படுக்கை	to&#39;shak	having beds in hospital
படுத்த	qilish	verticle
படுத்தப்பட்ட	tizimli	to succumb to
படுத்தப்பட்டது	qilingan	was
படுத்தி	nod	doing
படுத்தும்	javob bilan	will do
படும்	iroda	to be given
படை	qo&#39;shinlar	forces
படைகளால்	qo&#39;shinlar tomonidan	army
படைகளின்	kuchlar	war croud
படைகளில்	kuchlar	force
படைகளை	qo&#39;shinlar	troops
படைகள்	kuchlar	forces
படைத்த	yaratuvchi	create
படைத்துறை	harbiy	defence force
படைப்பு	takliflar	creation
படைப்புகளில்	asarlarda	one of his
படைப்புகள்	asarlar	art
படையணிகள்	bo&#39;limlar	armed force
படையினர்	askarlar	warriors
படையின்	kuch	force
படையில்	kuchda	in the army
படையெடுத்து	bostirib kirdi	to wage a war
படையெடுப்பின்	bosqinchilik	invasion
படையெடுப்புக்கு	bosqinchi	invasion
படையை	armiya	force
பட்ச	eng kam	some many
பட்சத்தில்	hodisada	in the case of
பட்சம்	eng past	minimum level
பட்ட	the	a
பட்டங்களும்	darajalar	degrees
பட்டது	bo&#39;yalgan	was
பட்டனர்	bo&#39;ldilar	appointed
பட்டம்	darajasi	degrees
பட்டயங்கள்	qilichlar	diplomas
பட்டியலில்	ro‘yxat	list
பட்டியல்	ro‘yxat	list
பட்டியல்கள்	ro‘yxatlar	list
பட்டு	peluş	silk
பட்டுக்கோட்டை	pattukkottai	pattukottai, a place in tamilnadu
பட்டுள்ளது	bu	select
பட்டுள்ளன	dush	done
பட்டை	bar	band
பண	naqd pul	money
பணக்கார	boy	rich people
பணத்தின்	puldan	by money
பணத்தை	pul	money
பணம்	pul	money
பணவீக்க	inflyatsiya	inflation
பணவீக்கத்தின்	inflyatsiya	inflation
பணவீக்கத்திற்கு	inflyatsiya	raising money value
பணவீக்கத்தை	inflyatsiya	economic deficiency
பணவீக்கத்தைக்	inflyatsiya	amount less
பணவீக்கமானது	inflyatsiya	inflation
பணவீக்கம்	inflyatsiya	inflation
பணி	mehnat	work , job
பணிகளில்	asarlarda	work
பணிகளை	vazifalar	services
பணிகள்	vazifalari	services
பணிபுரிந்தார்	ishladi	was work
பணிபுரியும்	ishlamoqda	working
பணியாகும்	vazifa	job
பணியாற்றினார்	xizmat qilingan	worked
பணியாளர்	yoki	employee
பணியில்	ishda	position
பணியை	vazifa	services
பண்டிகை	bayramona	festival
பண்டிட்	pandit	pandit
பண்டிதர்	pundit	scholar
பண்டை	antik davr	olden
பண்டைத்	qadimgi	pantait
பண்டைய	qadimgi	ancient
பண்ணை	ferma	a farm
பண்ணைகள்	fermalar	farms
பண்பலை	fm	frequency
பண்பாடு	madaniyat	culture
பண்பாடுகளில்	madaniyatlarda	in cultures
பண்பாடுகளை	madaniyatlar	customs
பண்பாடுகள்	madaniyatlar	culture
பண்பாடும்	madaniyatlar	cultures
பண்பாட்டின்	madaniyat haqida	culture
பண்பாட்டில்	madaniyatda	culture
பண்பாட்டு	etiket	culture
பண்பாட்டுக்	madaniyat	culture
பண்பாட்டுக்கு	madaniyat uchun	culture
பண்பாட்டுச்	madaniyat	cultures
பண்பு	xushmuomalalik	behaviour
பண்புகளை	atributlar	principle
பண்புகள்	xususiyatlari	properties
பதவிக்கு	idora	posting
பதவியில்	ofisda	in power
பதவியை	xabar	job
பதி	ro&#39;yxatdan o&#39;tish	topic
பதித்த	to‘xtadi	register
பதினான்கு	o&#39;n to&#39;rt	fourteen
பதினாறாம்	benedikt	sixteenth
பதினாறு	o&#39;n olti	sixteen
பதினெட்டாம்	sakkizinchi	eighteenth
பதினெட்டு	o&#39;n sakkizda	eighteen
பதினெண்	patinen	eighteen
பதினொரு	o&#39;n bir	eleventh
பதிப்பகம்	matbuot	printing press
பதிப்பானது	nashr	edition
பதிப்பில்	nashr	press
பதிப்பு	nashr	edition
பதிப்புகள்	versiyalar	publications
