$	dollarni tashkil etadi	your
kumaray	gullab-yashnagan	kumaray
kumbuyuutar	kompyuter	computer
kumbuyuutarada	kompyuterlar	the computers
kumbuyuutarka	kompyuterda	computer
kumeel	vaqtincha	nominated as
kumeelgaar	vaqtincha	be provisional
kumeelgaarka	oraliqda	whether
kumurmay	bilmadim	kumurmay
kun	siz	thousand
kuna	muvaffaqiyatsiz	and
kunool	jonli	kunool
kunoolyihiin	siz yashayapsiz	kunoolyihiin
kuqoran	sanab o&#39;tilgan	kuqoran
kur	sozlang	hill
kurdiska	bo&#39;ri	kurdiska
kurdistan	kurdiston	kurdistan
kursiga	o&#39;rindiq	the chair
kusheetik	geometrik	kusheetik
kusii	kirmoq	present
kusoo	kel	on
kusooduulay	shundan keyin	kusooduulay
kutaal	ustunlar	it is on a road that still abides
kutaala	kel	president post if he would be forming government
kutaalaa	siz bu yerdasiz	kutaalaa
kutaalay	maymun	kutaalay
kutaallo	treylerlar	kutaallo
kutub	matn	books
kutubo	erta tong	books
kutubta	erta	the books
kutubtii	kech	of the ancients
kutubtiisa	kitobida	his angels
kututbtii	erta	kututbtii
kuu	siz uchun	you
kuuba	kuba	cuba
kuubaan	kub	cuban
kuugu	sizga	you
kuul	boncuk	bead
kuuma	siz emas	you
kuuriya	koreya	korea
kuusoow	xush kelibsiz	kuusoow
kuusow	qizarish	kuusow
kuwa	o&#39;sha	those
kuwaa	o&#39;sha	those ones
kuwaaa	o&#39;sha	kuwaaa
kuwaar	bu yerda	kuwaar
kuwaas	o&#39;sha	these
kuwaasi	o&#39;sha	these are
kuwaasoo	jssv	which
kuwada	siz	getting
kuwait	quvayt	kuwait
kuwan	bular	these
kuwii	o&#39;sha	those
kuwo	ularni	those
kuwooda	ulardan	ones
kuxigeenka	deputat	vice-
kuyaal	ichida	kuyaal
kuyaala	atrofingizda	kuyaala
kuyaalla	sizmisiz	kuyaalla
kuyaalo	atrofida	kuyaalo
kuyihiin	sizmisiz	kuyihiin
kuyimi	kelmoq	kuyimi
kwazulunatal	ajoyib	kwazulu-natal
l	l	me
la	bilan	with
laa	yo&#39;qol	fight
laaan	filiali	without
laaana	yana	tree leaf
laaaneede	mutlaqo	landmine
laaanta	sensiz	the branch
laaasaasay	keyin	laaasaasay
laabneyne	biz qaytib ketayotgan edik	laabneyne
laabtay	orqaga	he returned
laabteen	orqaga	they returned
laadin	tepish	biniladen &
laafyaha	suyaklar	and separates her steps
laah	lah	nil
laakiin	lekin	but
laakiinse	lekin	but
laakin	lekin	but
laalaaba	ikkalasi ham	laalaaba
laalaayey	to&#39;xtatildi	laalaayey
laami	xiyobon	asphalt
laamiga	tarmoq	tarmac
laamka	magistral	the l
laan	filiali	branch
laanta	filiali	the branch
laas	lass	well
laascaanood	bular bilan	laascaanood
laasgeel	yopishmoq	laasgeel
laashin	filiali	poet
laasqoray	nusxalangan	laasqoray
laasqorey	nusxalangan	laasqorey
laasqpray	lasiqpray	laasqpray
laatiiniga	lotin	laatiiniga
laatiinka	lotin	the latin
laayay	o&#39;ldirilgan	killed
lab	laboratoriya	male
laba	ikkita	two
labaad	ikkinchi	second
labaadna	ikkinchi	second
labaatan	yigirma	twenty
labaatanaad	yigirma	twentieth
labaatankii	yigirma	twenty
labad	ikkalasi ham	second time
labada	ikkalasi ham	the two
labadaa	ikkalasi ham	these two
labadaas	ikki	these two
labadaasi	o&#39;sha ikki	these two
labadaba	ikkalasi ham	both
labadan	bu ikki	the two
labadii	ikki	the two
labadiiba	ikkalasi ham	they both
labadiisa	ikkalasi ham	two jaws
labadiisii	ikkalasi ham	his
labadooda	ikkalasi ham	both
labaduba	ikkalasi ham	both
labashaqlanaha	ko&#39;paytirish	labashaqlanaha
labka	erkak	the male
labo	ikkita	two
lacag	pul	money
lacagaha	to&#39;lovlar	payments
lacago	pul	money
lacagta	pul	money
lacagtaas	bu pul	that money
lacagtan	bu pul	this money
lacagtasi	bu pul	lacagtasi
lacagteedii	uning pullari	lacagteedii
lacagtii	pul	the money
lacata	pul	i think this is wrong somali, correct is lacagta which means money
ladaawdo	davolanadi	ladaawdo
ladareemay	soqolli	ladareemay
ladilay	o&#39;ldirilgan	ladilay
ladin	tepish	laden,
ladnaa	yaxshi	he was well
laeego	hushyor bo&#39;ling	laeego
laf	suyak	bone
lafaha	suyaklar	bones
lafalaha	suyaklar	lafalaha
lafdhabar	umurtqa pog&#39;onasi	backbone
lafdhabarta	orqa miya	the vertebrae
lafoole	suyak	lafoole
lafweyn	puxta o&#39;ylangan	lafweyn hotel
lag	kechikish	with
laga	dan	from
lagaa	sizdan	you
lagaba	mutlaqo	legaba
lagaga	dan	which
lagahayn	emas	lagahayn
lagala	ular bilan	consulted
lagalay	dan	lagalay
lagama	emas	not
lagana	dan	and
lagaqadan	tiyildi	lagaqadan
lagasoo	dan	house
lagayaabo	ehtimol	lagayaabo
lagu	ga	in
lagugu	siz	you
lagula	bilan	against
laguma	emas	not
lagumagacaabijiray	ko&#39;rsatilmagan	lagumagacaabijiray
laguna	lagna	and
laguqiyaasaa	anavi	laguqiyaasaa
lagusiidaayo	sizga xabar qilinadi	lagusiidaayo
lagusoo	sizdan	indeed all our previous
laguu	sizga	you
laha	bor	he doesn't have
lahaa	edi	would
lahaan	bor	own
lahaanshaha	egalik	ownership
lahaayeen	edi	they had
lahab	hobble	lahab
lahan	yo&#39;q	desire
lahayaa	ing	lahayaa
lahayd	edi	would you
lahayeen	edi	ammunition
lahayn	yo&#39;q	have
laheed	edi	laheed
laheen	yo&#39;q	laws
lahelo	mavjud	be located
laheyd	edi	of
laheyn	edi	has no
lahirgaliyay	amalga oshirildi	lahirgaliyay
lahjada	lahjasi	accent
lahjadaha	lahjalari	lahjadaha
lahjadda	lahjasi	the dialect
lahjado	lahjasi	lahjado
laisku	lazerlar	laisku
lajira	bilan	lajira
lajnado	bilan	accents
lajoogo	biz bilan	lajoogo
lakala	ahahaha	and
lakiin	lekin	but
lakin	lekin	lakin
lala	bilan	with
lama	yo&#39;q	not
lamana	yo&#39;q	and they shall not be
lamid	o&#39;xshash	like
lamidawday	xuddi shu	lamidawday
lamy	lamy	lamy
lana	kecha	and
lanka	lanka	lanka
laos	laos	laos
laqabto	yetib olmoq, yetkazmoq	laqabto
laqwi	yutmoq	tactlessness
large	katta	large
larumaysanyahay	biz chaqiramiz	larumaysanyahay
lasameeyo	qilish	to do
lasameynayaa	amalga oshirildi	lasameynayaa
lasheegaa	bu odam	lasheegaa
lasheegay	eslatib o&#39;tilgan	lasheegay
lasiiyo	berilgan	iasiiyo
lasocotada	kuzatish	lasocotada
lasoo	keling	the
lasoomaray	ergashdi	lasoomaray
lasoonoqdeen	sizga ma&#39;lum bo&#39;lgan	lasoonoqdeen
lawada	birgalikda	harmony
lawareegay	musodara qilingan	lawareegay
lawareegeen	ular chalkashib ketishdi	lawareegeen
lawyacaddo	saqlamoq	lawyacaddo
laxamiiste	kimyogar	laxamiiste
laxda	qo&#39;ylar	the female sheep
laxidhay	yopiq	laxidhay
lay	yotmoq	i
layaabka	ajablantiradigan	the surprise
layaableh	ajoyib	layaableh
layaqaanaha	sehrgar	layaqaanaha
laydh	yoritilgan	fresh air
laydin	siz	you
laydiray	sizga yuborildi	laydiray
layeen	adaçayı	layeen
layidhaahdaa	bu deyiladi	layidhaahdaa
layiraahdo	chaqirdi	pay
layli	mashq	layil
layn	chiziq	murder
layna	lana	bodies
laysku	oqish	laysku
laysu	yalash	tribesmen
laysugu	saf tortdi	originally intended
le	mumkin	equal to
league	liga	league
leaguesyl	ligeysil	leaguesyl
leedahay	bor	have
leedahaye	masxaraboz	leedahaye
leedihiyo	multfilmlar	leedihiyo
leefay	yalamoq	suck
leegada	hajmi	fought
leelkase	muhim emas	conspicuous
leenahay	bor	we are saying
leeuwarden	louwarden	leeuwarden
leexatay	yuz o&#39;girdi	deviated
leexday	yuz o&#39;girdi	he turned
leexiyo	egilish	journalist
leeyaay	yolg&#39;iz	leeyaay
leeyahay	demoq	have
leeyahaymadaxtooyo	leeyahaymadaxtooyo	leeyahaymadaxtooyo
leeyahy	qanday ekan?	should know
leeyhiin	bor	have
leeyihiin	bor	have
legislative	qonun chiqaruvchi	-dejinta d/hoose
leh	bilan	own
lehe	qanday	agree
leheed	ega	some suggestions for keeping your eyes healthy
lehna	bilan	and
lehwaxa	bilan	lehwaxa
leone	leone	leone
lesotho	lesoto	lesotho
level	daraja	level
lewis	lyuis	lewis
ley	ley	kill
leydiga	to&#39;rtburchaklar	leydiga
leysku	hisoblash	agree
libaan	bir limon	blessing
libaax	sher	a lion
libaaxa	sher	the lion
libaaxyada	sherlar	libaaxyada
liban	yutmoq	liban
libiya	ta&#39;qib qilish	grocer
library	kutubxonasi	library
libya	libya	libya
lid	aksincha	opposite
lihi	lihi	i don't have
lihiba	lihiba	lihiba
lii	lii	lii
liibaan	muvaffaqiyatga erishmoq	achievement
liibiya	liviya	libya
liide	yashash	liide
liinta	sitrus	the lemon
liiska	ro&#39;yxati	list
limited	cheklangan	limited
link	havola	link
linkiga	havola	linkiga
links	havolalar	links
linuks	linukslar	linuks
linux	linux	linux
lis	ro&#39;yxati	milk
list	ro&#39;yxati	list
lix	olti	six
lixaad	oltinchi	sixth
lixaadlehna	oltinchidan	lixaadlehna
lixda	olti	the six
lixdankii	oltmish	lixdankii
lixle	oltmish	six
lknse	lekin	lknse
lo	buni ishlat	cattle
location	manzil	inay cayimaan tirada iyo goobaha
lock	qulflash	lock
locking	qulflash	in somali it means xirmo
loda	yaratmoq	loda
london	london	london
loo	qo&#39;llaniladi	to
loodoortay	tanlandi	loodoortay
looga	looga	in
loogana	jang	order
loogu	uchun	for
looka	jurnal	looka
lookhiyaameeyey	tugmani o&#39;ynating	lookhiyaameeyey
loola	shubhali	means
looma	emas	no
loomagacaabaycismaan	ular nomi aytilmagan	loomagacaabaycismaan
loona	nima bo&#39;lganda ham	and
looqaybinkaraa	ga bo&#39;lish mumkin	looqaybinkaraa
lootaxaabay	yorliqlangan	lootaxaabay
looyaqaan	ma&#39;lum	(qaatul - sadaaqa) hall.
looyaqaana	chaqirdi	looyaqaana
looyaqaanay	ma&#39;lum	looyaqaanay
looyaqaano	sifatida tanilgan	looyaqaano
looyaqaanonikobolis	kiborg nomi bilan tanilgan	looyaqaanonikobolis
looyaqaany	ularga ma&#39;lum	looyaqaany
looyaqano	ularni chaqirdi	looyaqano
lord	lord	lord
lordi	yuk mashinalari	lordi
lower	pastki	lower
lowska	yong&#39;oq	the peanuts
lublin	lublin	lublin
lubnaan	livan	lebanon
lug	oyoq	leg
lugaha	oyoqlari	legs
lughaya	oyoqlari	baki c
lugohooda	oyoqlari	lugohooda
lugood	oyoqlari	legs
lugta	oyoq	the leg
lugtii	oyoq	lugtii
lugu	lougou	someone
luksemburg	luksemburg	luksemburg
lumay	yo&#39;qolgan	he got lost
lumin	yo&#39;qolmoq	lose
luntay	yo&#39;qolgan	lost
luqad	tili	language
luqada	tili	language
luqadaha	tillari	thirdly
luqadda	tili	the language
luqado	tillari	languages
luqadood	tillari	-lingual
luqadooda	o&#39;z tillarida	language
luqeedaka	tili	luqeedaka
luqmaan	tili	luqmaan
luud	lot	totter
luuliyo	iyul	july
luulyo	iyul	july
luulyokii	iyul	luulyokii
luuq	tili	alley
luuqada	tili	the language
luuqadaa	tili	luuqadaa
luuqadaha	tillari	preschool speech
luuqeeyso	gapirma	luuqeeyso
m	m	m
ma	yoki	do
maa	taxmin qiling	?
maadaama	beri	since
maaha	emas	is not
maahan	emas	it is not
maahane	ular emas	besides
maahee	bo&#39;lmasa	except
maahmaahda	maqol	the proverb
maajo	kun	may
maakhir	unday emas	maakhir
maal	boylik	property
maala	kamida	maala
maali	kun	lend
maalik	kun	malik
maalin	kun	day
maalinba	kunlik	day
maalinle	kunlik	daily
maalinta	kun	on the day
maalintaas	o&#39;sha kuni	on that day
maalintani	bu kun	on this particular day
maalintii	kun davomida	the day
maalintuu	uning kuni	on
maaliyada	ko&#39;ylak	is funded through ma
maalkeeda	uning boyligi	maalkeeda
maalmaha	kunlar	days
maalmeede	kunlik	maalmeede
maalmihii	kunlar	days
maalmo	kunlar	days
maalmood	kunlar	days
maalqabeen	boy	rich
maalta	kun	maalta
maamul	boshqarish	administration
maamula	boshqarildi	run
maamuladii	hokimiyat	maamuladii
maamulaha	menejer	the manager
maamulayeen	boshqarildi	which they administered
maamulayey	boshqarildi	in
maamulayo	boshqariladi	they would administered
maamulayso	ma&#39;mur	should administer
maamuli	boshqarish	manage
maamulidda	boshqarish	prepaid managed
maamulka	boshqarish	the administration of
maamulkaas	ma&#39;muriyati	dynasty
maamulkii	ma&#39;muriyati	the administration
maamulkiisa	uning ma&#39;muriyati	his administration.
maamulo	ma&#39;mur	managed
maamusho	ma&#39;mur	under the control of
maan	aql	i
maandeeq	manna	"mandeq ""nickname"""
maandhaafkii	dilemma	maandhaafkii
maanka	aql	the mind
maankii	aql	maankii
maansada	manna	there
maansadan	bu kun	maansadan
maansadii	tejash	maansadii
maanshaa	tugmani o&#39;ynating	maanshaa
maanso	qarshi emas	poetry
maansoolayaashii	rohiblar	maansoolayaashii
maansoole	shoir	maansoole
maansooyinka	masonlar	maansooyinka
maanta	bugun	today
maantaba	bugun	, today, at noon,
maantana	bugun	today
maaraynta	boshqarish	manageq
maareeyaha	menejer	manager
maareeyayaasha	menejerlar	maareeyayaasha
maareeye	menejer	administrator
maariyatul	bid&#39;at	maa riyatul
maarmaan	muhim	it was necessary
maarmaanka	zarur	necessary
maarmay	mutlaqo yo&#39;q	he did without
maarmayo	men qarshi emasman	person shows caution on
maaroodi	maroodi	maaroodi
maars	marslar	mars planet
maarso	mart	march
maastricht	maastricht	maastricht
maasuqa	buzilish	safeguarding national wealth
maatarka	matron	the matter
maaweeliska	o&#39;yin-kulgi	took
maay	maay	maay
maayo	men qilmayman	i am not
macaamiisha	xaridorlar	customers
macaan	shirin	sweet
macaanaaye	sifatdosh	macaanaaye
macaanka	diabet	the sweetness
macad	makad	doing an approved
macalim	o&#39;qituvchi	macalim
macalimiinta	o&#39;qituvchilar	teachers
macalimiintii	o&#39;qituvchilar	macalimiintii
macalin	o&#39;qituvchi	teacher
macallimiinta	o&#39;qituvchilar	the teachers
macallin	o&#39;qituvchi	teacher
macalmiin	o&#39;qituvchilar	macalmiin
machadka	instituti	the institute
maclin	o&#39;qituvchi	maclin
macluumaad	ma `lumot	information
macna	ma&#39;nosi	it's nothing serious
macnaha	ma&#39;nosi	meaning
macnaheedu	ma&#39;nosi	mean
macnahoodu	ularning ma&#39;nosi	there meaning
macnayaalka	ma&#39;nolari	macnayaalka
macneeyeen	ma&#39;no bermoq	macneeyeen
macneheedu	ma&#39;nosi	does this mean
macneyn	anglatadi	macneyn
macnihiisa	uning ma&#39;nosi	means
macnihiisane	ma&#39;nosi	macnihiisane
macnihiisu	ma&#39;nosi	mean that
macno	ma&#39;nosi	meaning
macquul	mantiqiy	reasonable
mad	telba	lengthen
madaafiic	artilleriya	cannons
madaama	bo&#39;lgani kabi	since
madaarka	aeroportda	the airport
madadaalada	o&#39;yin-kulgi	recreational facilities
madagaskar	madagaskar tanasi	madagascar
madar	madar	gathering
madaw	qora	black
madawi	qora	madawi
madawwaxa	qorong&#39;ilik	madawwaxa
madax	bosh	head
madaxa	bosh	maxada
madaxbanaan	mustaqil	independent
madaxbanaani	mustaqil	madaxbanaani
madaxbanaanida	mustaqillik	independence
madaxbanaanidii	mustaqillik	madaxbanaanidii
madaxbannaan	mustaqil	independent
madaxbannaani	mustaqil	independence
madaxbannaanidii	mustaqillik	madaxbannaanidii
madaxda	rahbarlari	the heads
madaxdaas	o&#39;sha rahbarlar	followers
madaxdeena	bizning boshliq	madaxdeena
madaxdhaqameedkii	direktor	madaxdhaqameekii
madaxdii	boshliqlar	leaders
madaxdiin	tanishlar	madaxdiin
madaxii	bosh	head
madaxtinimada	prezidentlik	of
madaxtooyada	bezatish	presidential
madaxtooyadu	bezatish	madaxtooyadu
madaxtooyo	dekorativ	presidency
madaxwaynaha	prezident	president
madaxwaynanimada	prezidentlik	madaxwaynanimada
madaxwaynayaasha	prezidentlar	states that was held
madaxwayne	prezident	president
madaxwaynew	prezident	madaxwaynew
madaxwaynihii	prezident	president
madaxweeynaha	prezident	led by
madaxweeynihii	prezident	madaxweeynihii
madaxwene	prezident	untill they approved
madaxweyna	prezident	mediation between
madaxweynaha	prezident	president
madaxweynahaasi	o&#39;sha prezident	madaxweynahaasi
madaxweynahii	prezident	madaxweynahii
madaxweyne	prezident	president
madaxweynenimada	prezidentlik	of
madaxweyneyaashii	prezidentlar	madaxweyneyaashii
madaxweynihii	prezident	president
madhaafto	tejash	madhaafto
madhab	mazhab	doctrine
madhabta	ta&#39;limot	madhabta
madheedh	bo&#39;sh	cherry
madigaan	bu gal	madigan
madigan	madigan	madigan
madiina	madina	medina
madina	madina	madina
madoobaa	u qora	he was gloomy
madoobayd	qorong&#39;i	black
madoobe	qora	madobe
madow	qora	black
magaaalo	shaharlar	magaaalo
magaala	shahar	capital
magaalada	shahar	city
magaaladaan	bu shaharda	this city
magaaladaasi	shahar	town
magaaladan	bu shaharda	this town
magaaladani	bu shahar	town is this
magaaladda	shahar	communities domiciling in
magaaladii	shahar	city
magaaladiisii	uning shahri	town
magaaladu	shahar	the city
magaalamadaxda	poytaxt shahar	which is mentioned
magaalawga	shahar	magaalawga
magaalda	shahar	town
magaalo	shahar	city
magaalomadaxda	poytaxt shahar	magaalomadaxda
magaaloobay	shahar	it became a city
magaalooyin	shaharlar	towns
magaalooyinka	shaharlar	the towns
magaalooyinkan	ushbu shaharlarda	magaalooyinkan
magaalooyinkii	shaharlar	towns
magaaloyinka	shaharlar	magaaloyinka
magaalyooyinka	shaharlar	magaalyooyinka
magac	ism	name
magaca	nomi	the name
magacaaba	nomi	are called
magacaabaa	nomi	is called
magacaabay	nomlangan	he nominated
magacaabi	nom bering	nominate
magacaabida	nominatsiya	somalia parliament given
magacaabo	nomi	called
magacaabobetyeeniyaoo	nambetyiniyaoo	magacaabobetyeeniyaoo
magacaas	bu ism	name
magacan	bu ism	privilege
magacbaxay	nomlangan	magacbaxay
magacdaray	nomlangan	he gave
magaceeda	uning ismi	her name
magaciisa	uning ismi	his name
magaciisaawaxa	uning ismi	magaciisaawaxa
magacley	nomlangan	magacley
magacyada	ismlar	the names
magacyadaas	bu ismlar	by those names
magacyo	ismlar	names
magalada	shahar	district
magaladan	bu shahar	magaladan
magalo	shahar	capital
magaloyinka	shaharlarning nomlari	magaloyinka
magan	eritma	seek refuge
magazine	jurnal	magazine
magool	tovon puli	germination
magoolka	o&#39;q-dorilar	the new growth
magtii	tovon puli	him should be brought
magtiinnu	sizning tashvishingiz	magtiinnu
magubte	sehrgar	inflammable
mahad	rahmat	thanks
mahadaay	linkay	mahadey
mahaday	dada	these wars
mahadnaq	rahmat	thank
mahadnaqayaa	rahmat	mahadnaqayaa
mahathir	mahathir	mahathir
mahdi	rahmat	mahdi
mahiigaan	bu gal	much
maj	maj	maj
majaajiliiste	komediyachi	comedy
majeerteen	ular emasmi?	majeerteen
major	asosiy	major
maka	uchun	mecca
makaahiil	restoran	michael
makedonia	makedoniya	makedonia
makhaayad	restoran	restaurant
makhsuum	maxsum	makhsuum
makka	makka	his cooperators
makordhaha	ishlab chiqaruvchi	makordhaha
maktabada	kutubxonada	your local
malaaig	farishta	malaaig
malaaigta	farishtalar	malaaigta
malaaq	farishta	malaq
malaaqa	yonca	malaaqa
malaawi	farishta	malawi
malaayga	mening erim	malaayga
malaha	balki yo&#39;q	perhaps
malahan	u mavjud emas	malahan
malaheyn	o&#39;ylamang	malaheyn
malaynayaa	deylik	suppose
malaysia	malayziya	malaysia
malaysiya	bezgak	kaulalambur
maldiif	qoshiq	maldiif
maleegayeen	ular taxmin qilardilar	maleegayeen
maleenaa	o&#39;yladik	maleenaa
maleeshiyada	militsiya	the militia of
maleeyeen	o&#39;yladi	thought
maleh	siz emas	dead end
mali	kun	mali
maloo	yo&#39;q	maloo
malta	malta	malta
maltisku	maltis	maltisku
mamaaliikta	bilasiz	mamaaliikta
mana	lekin	and
manchester	manchester	manchester
mandab	mandab	mandab
mandaqada	mintaqada	mandaqada
mandeela	u ketdi	mandeela
mandela	mandela	mandela
mandheera	mandarin	mandera is a town in eastern kenya
maneestay	manestay	maneestay
mange	mangi	mange
manger	oxur	manger
mangistu	mangistu	managistu hailemariam
mangooliyakadib	mangooliyang	mangooliyakadib
mangooliyiintu	mangolar	mangooliyiintu
manhajka	o&#39;quv rejasi	the cirriculum
manneystay	bajarildi	manneystay
mansuur	manna	mansur
manta	unut	about
many	juda ko&#39;p	many
mao	mao	mao
maqaalada	maqolalar	articles of
maqac	eshitish	maqac
maqal	eshitish	hear
maqan	etishmayotgan	absent
maqashay	eshitildi	heard
maqcad	maqola	what is
maqlaan	eshiting	hear
maqlay	eshitildi	heard
maqlayso	tinglang	his chest from
maqli	eshitish	hear
maqlo	eshitish	hear
maqnaa	yo&#39;q	he was absent
mar	bir marta	time
mara	ma&#39;lum	hostilities
maraa	biling	it goes into
maraakiibta	yuk tashish; yetkazib berish	the ships
maraakiibtiisa	uning kemalari	maraakiibtiisa
maraan	orqali o&#39;tish	passes
maraaxil	marsh	maraaxil
maraayaan	kesib o&#39;tmoq	maraayaan
maraayo	bo&#39;lishi mumkin emas	voluntary or involuntary
marana	marana	remains behind,
marar	boshqa safar	times
mararka	vaqtlarda	the times
maray	o&#39;tdi	he passed
marayaa	orqali	going ahead
marayaanna	bo&#39;lishi mumkin emas	marayaanna
maraykanka	aqsh	america
maraykanku	amerika	america
maraykankuna	aqsh	maraykankuna
marayo	orqali	through
maraysa	passiv	soldiers died are
marayso	orqali o&#39;tadi	point
marba	yana	now and again
march	marsh	march
mareeg	o&#39;chirish	circuit
mareekanka	amerika	america
mareen	o&#39;tish joyi	alimentary canal
mareer	bema	tree
mareerey	yurdi	mareerey
