$	dollar təşkil edib	a sign of doller
મૌલિક	orijinaldır	original, originality
મ્યાનમાર	myanma	myanmar
મ્યુઝિક	musiqi	music
મ્યુઝિયમ	muzey	museum
મ્યુનિસિપલ	bələdiyyə	municipal
યંત્ર	maşın	machine
યજમાન	ev sahibi	host
યથાવત	əvvəlki kimi	as it is
યમ	yama	yam
યમુના	yamuna	yamuna
યલો	sarı	yellow
યલોસ્ટોન	sarı daş	yellowstone
યવન	yunanıstan	yavana
યશ	yaş	credit
યહ	bu	it
યહાઁ	burada	here [hindi word]
યહીં	burada	here
યહૂદી	yəhudi	jewish
યા	ya	or
યાંત્રિક	mexaniki	machine
યાક	yak	yak
યાત્રા	səyahət	pilgrimage
યાત્રાધામ	həcc ziyarəti	pilgrimage
યાત્રિકો	zəvvarlar	passenger
યાત્રિકોને	zəvvarlar	to the pilgrims
યાત્રી	səyahətçi	pilgrimages
યાદ	unutma	reminder
યાદગાર	xatirə	memorable
યાદમાં	yaddaşda	in remembrance
યાદી	siyahı	index
યાદીમાં	siyahıda	in index
યાન	sənətkarlıq	shuttle
યાહૂ	yahoo	yahoo
યુ	abş	you
યુએસ	abş	usa
યુએસએ	abş	usa
યુએસના	abş-dan	of us
યુએસની	abş	u.s.'s
યુએસમાં	abş-da	in the us
યુકે	i̇ngiltərə	country name
યુકેના	böyük britaniyanın	of uk
યુકેની	i̇ngiltərə	uk's, of uk
યુકેનું	böyük britaniyanın	uk
યુકેમાં	birləşmiş krallıqda	in u.k.
યુક્ત	tərkibində	containing
યુક્રેન	ukrayna	ukraine
યુગ	dövr	era / age
યુગના	yaşdan	of era (of buddha era)
યુગમાં	dövrdə	in the era
યુઝર	i̇stifadəçi	user
યુઝર્સ	i̇stifadəçilər	users
યુદ્ધ	müharibə	war
યુદ્ધના	müharibədən	war's, of the war
યુદ્ધની	müharibədən	war's
યુદ્ધનો	müharibədən	of the war
યુદ્ધમાં	döyüşdə	in the war
યુદ્ધો	müharibələr	wars
યુધિષ્ઠિર	yudhisthira	yudhishthir
યુધીષ્ઠીર	yudhisthira	yudhishtir
યુધ્ધ	müharibə	war
યુધ્ધમાં	döyüşdə	in war
યુનાઇટેડ	birləşmiş	united
યુનાઈટેડ	birləşmiş	united
યુનિકોડ	unicode	unicode
યુનિટ	vahid	unit
યુનિયન	birlik	union
યુનિયનમાં	birlikdə	union's
યુનિયને	birlik	union
યુનિવર્સ	kainat	universe
યુનિવર્સલ	universal	universal
યુનિવર્સિટી	universitet	university
યુનિવર્સિટીના	universitetin	university's
યુનિવર્સિટીની	universitet	of university
યુનિવર્સીટી	universitet	university
યુનેસ્કો	yunesko	unesco
યુરેનસ	uran	uranus
યુરોપ	avropa	europe
યુરોપના	avropanın	europe's
યુરોપની	avropanın	europe's
યુરોપમાં	avropada	in europe
યુરોપિય	avropa	europian
યુરોપિયન	avropa	european
યુરોપીય	avropa	european
યુરોપીયન	avropa	european
યુવરાજ	yuvraj	prince, son of king
યુવા	gənclik	youth/youthful
યુવાન	gəncdir	youth
યુવાનો	gənclik	youth
યૂનાની	yunan	greek
યે	yeh	this
યોગ	yoga	union
યોગદાન	töhfələr	contribution
યોગી	yogi	one who practises yoga
યોગ્ય	düzdür	proper
યોગ્યતા	qabiliyyət	importance
યોજના	plan	plan / project
યોજનાઓ	planlar	schemes
યોજનાની	planın	of the program
યોજનાને	plan	for project
યોજનાનો	planın	schemes
યોજાઈ	keçirilib	arranged / held
યોજાતા	keçirilib	organised
યોજાતી	keçirilib	organised
યોજાય	keçirilib	held
યોજાયેલ	keçirilib	arranged
યોજાયેલી	keçirilib	organized
યોદ્ધા	döyüşçü	warrior
યોદ્ધાઓ	döyüşçülər	warriors
યોર	sənin	your [english word]
યોર્ક	york	york
રંગ	rəng	color
રંગના	rəngli	colour
રંગની	palitrası	of colour
રંગનો	rəngli	colour
રંગબેરંગી	rəngli	colourful
રંગભૂમિ	teatr	drama stage
રંગીન	rəngli	colorful
રંગે	rəngi	in colour of
રંગો	rənglər	colours
રંભાસ	rambhas	rambhas
રકમ	məbləğ	amount
રક્ત	qan	blood
રક્ષક	mühafizəçi	defender
રક્ષણ	qoruma	protect
રક્ષા	qoruma	save
રક્ષિત	qorunur	protected
રખા	kutdu	kept [hindi - urdu word]
રખાય	kutdu	kept
રખાયું	kutdu	kept
રગ્બી	reqbi	rugby
રચના	tərkibi	design/febrication/work
રચનાઓ	kompozisiyalar	creations
રચનાઓમાં	kompozisiyalarda	creations, arrangements,
રચનાત્મક	yaradıcıdır	constructive
રચનામાં	tərkibində	in constructing
રચયિતા	bəstəkar	creator,
રચવામાં	sənətkar	in formation of
રચાઈ	formalaşdı	create
રચાય	formalar	make
રચાયા	formalaşdı	planning
રચાયેલા	sənətkar	structured
રચાયેલી	formalaşdı	compose
રચિત	bəstələyib	maker
રચી	bəstələyib	to make
રચે	formalar	forms
રજ	toz	dust
રજકણીય	hissə	particulate
રજકણો	parçalar	particles
રજવાડા	krallıqlar	kingdoms
રજવાડાઓને	krallıqlara	to princely states
રજવાડું	şahzadə dövlət	kingdom
રજા	buraxın	holiday
રજુ	təqdim olunur	with
રજૂ	təqdim olunur	present / submit
રજૂઆત	təqdimat	presentation / submission
રડાર	radar	radar
રણ	səhra	desert
રણજિતરામ	ranjitram	ranjitram
રત્ન	daşlar	gem / jewel / stone
રથ	araba	chariot
રથમાં	arabada	in chariot
રથયાત્રા	rathyatra	festival observed in vaishnava temples on the second day of the bright half of ashadha
રદ	ləğv et	cancel
રન	çalışın	run
રમખાણો	qırğınlar	riots
રમઝાન	ramazan	ramzan
રમત	oyun	play
રમતના	oyunun	of the game
રમતમાં	oyunda	in the game
રમતા	oynayan	playing
રમતો	oyunlar	games
રમતોમાં	i̇dmanda	in games
રમવા	oynamaq	play
રમવામાં	oynadı	playing
રમાતી	oynadı	played
રમાય	oynadı	play
રમાયેલી	oynadı	played
રમી	oynayan	to play
રમે	oynamaq	play
રમેશ	ramesh	"name of person ""ramesh"""
રવિન્દ્રનાથ	rabindranath	ravindranath
રવિવાર	bazar günü	sunday
રવિશંકર	ravi şankar	ravishankar
રશિયન	rus	russian
રશિયા	rusiya	russia
રશિયાના	rusiyadan	of russia, russia's
રસ	maraq	desire
રસધાર	şirəli	rasdhar
રસપ્રદ	maraqlıdır	interesting
રસાયણ	kimya	chemical
રસાયણિક	kimyəvi	chemical
રસ્તા	yollar	roads
રસ્તાઓ	yollar	roads
રસ્તામાં	yol boyunca	on the way
રસ્તે	yeri gəlmişkən	on way
રસ્તો	yol	road
રહસ્ય	sirr	secret
રહસ્યમય	sirli	mysterious
રહા	davamlı olun	remained [hindi word]
રહી	qaldı	was
રહીને	qalmaqla	by remaining
રહે	qalmaq	living
રહેઠાણ	yerləşdirmə	resident
રહેતા	yaşayır	used to live
રહેતાં	yaşayır	living
રહેતી	yaşayır	do
રહેતું	yaşayır	remain
રહેતો	yaşayır	living
રહેલ	qalan	kept
રહેલા	yaşayır	living
રહેલાં	qalan	situated in
રહેલી	yaşayış	put
રહેલું	yalan	to be going on
રહેલો	davamlı olun	in the, kept
રહેવા	yaşamaq	being
રહેવાની	qalmaq	for stay
રહેવાનું	yaşamaq	to stay
રહેવાસી	sakin	resident
રહેવાસીઓ	sakinlər	local public
રહેવું	yaşamaq	live
રહેશે	qalacaq	shall be
રહ્યા	qaldı	have been
રહ્યાં	sevdi	going on
રહ્યુ	qaldı	was
રહ્યું	baş verən	is / was
રહ્યો	qaldı	seen
રા	ra	rashtra [eponym]
રાઇટ	düzdür	wright
રાક્ષસ	canavar	devil / ghoul
રાખ	kül	ash
રાખતા	tutmaq	to keep
રાખવા	saxlayın	to keep
રાખવાના	saxlamaq	retaining
રાખવાની	saxlamaq	to keep
રાખવાનું	saxlamaq	to keep, to store
રાખવાનો	saxlamaq	of keeping
રાખવામાં	keçirilib	keeping
રાખવી	saxlamaq	to keep
રાખવું	saxlamaq	to keep
રાખવો	saxlayın	put
રાખી	rahi	kept
રાખીને	tutmaq	to keep
રાખે	saxlayır	keeping
રાખો	saxlayın	keep
રાખ્યા	qeydə alındı	kept
રાખ્યુ	kutdu	kept
રાખ્યું	qeydə alındı	kept
રાખ્યો	qeydə alındı	considered
રાગ	raag	raga
રાજ	rəc	ruling
રાજકારણ	siyasət	politics
રાજકારણમાં	siyasətdə	politics
રાજકારણી	siyasətçi	politician
રાજકીય	siyasi	politically
રાજકુમાર	şahzadə	prince
રાજકોટ	rajkot	rajkot
રાજકોટની	rajkotun	in rajkot
રાજગોપાલાચારી	rajagopalachari	rajgopalachari
રાજદ્વારી	diplomatiya	political relations
રાજધાની	kapital	capital city
રાજના	rajna	raj's
રાજનીતિ	siyasət	politics
રાજનીતિક	siyasi	politically
રાજનૈતિક	diplomatik	political
રાજપદ	rajpada	throne
રાજપરા	rajpara	rajpara
રાજપુત	rajput	rajput
રાજપૂત	rajput	rajput
રાજય	dövlət	state
રાજયનાં	dövlətin	of the state
રાજયમાં	dövlətdə	in state
રાજવંશ	sülalə	royal dynasty
રાજવી	kral	king
રાજસ્થાન	rajasthan	rajsthan
રાજસ્થાનના	rajasthan&#39;ın	of rajasthan
રાજા	kral	king
રાજાએ	kral	king
રાજાઓ	krallar	kings
રાજાઓએ	padşahlar	kings
રાજાના	padşahın	king
રાજાની	padşahın	king's
રાજાનું	padşahın	of the king
રાજાને	padşaha	to the king
રાજાનો	padşahın	king's
રાજી	xoşbəxt	agree
રાજીનામુ	i̇stefa	resignation
રાજીનામું	i̇stefa	resignation
રાજેન્દ્ર	rajendra	rajendra
રાજ્ય	dövlət	state / kingdom
રાજ્યના	dövlətin	of the state
રાજ્યનાં	dövlətin	state's
રાજ્યની	dövlətin	state
રાજ્યનું	dövlətin	of the state
રાજ્યને	dövlətə	states
રાજ્યનો	dövlətin	state's
રાજ્યપાલ	vali	governer
રાજ્યમાં	dövlətdə	state
રાજ્યો	dövlətlər	states
રાજ્યોના	dövlətlərin	of the states
રાજ્યોની	dövlətlərin	states of
રાજ્યોમાં	dövlətlərdə	within states
રાઠોડ	rathod	rathod
રાણી	kraliça	queen
રાણીના	kraliçanın	queen's
રાત	gecə	night
રાતના	gecənin	in night
રાતા	tan	red color
રાતે	gecə	in night
રાત્રિ	gecə	night
રાત્રી	gecə	night
રાત્રે	gecə	at night
રાધા	radha	radha
રાની	kraliça	queen [hindi word]
રાપર	rapper	rapar
રામ	ram	ram
રામકૃષ્ણ	ramakrişna	ramakrishna (a name for a mission)
રામચંદ્ર	ramachandra	ramchandra
રામચરિત	ramcharit	ramcharit
રામચરિતમાનસ	ramcharitmanas	ramcharitmanas
રામન	raman	raman
રામના	ramna	ram's
રામનાથ	ramnət	ramnath
રામની	ramni	rama's
રામને	ram	to ram
રામપુરા	rampura	rampura
રામાનંદ	ramananda	ramanand
રામાનુજ	ramanuja	ramanuj
રામાયણ	ramayana	ramayan
