$	dollarni tashkil etadi	dollarsign
oekraïne	ukraina	ukraine
oeral	urals	ural
oerknal	katta portlash	big bang
oeuvre	oevrit	oeuvre
oevers	banklar	banks
of	yoki	of
off	o&#39;chirilgan	off
offensief	haqoratli	assault
office	idora	kantoor
officer	ofitser	officer
officieel	rasmiy ravishda	official
officier	ofitser	officer
officieren	ofitserlar	officers
officiële	rasmiy	official
oftewel	boshqa so&#39;z bilan aytganda	that is
ofwel	yoki	or
ogen	ko&#39;zlar	eyes
ogenblik	lahza	moment
oh	oh	oh
oktober	oktyabr	october
oldenbarnevelt	oldenbarnevelt	oldenbarnevelt
olie	yog &#39;	oil
olieverf	moyli bo&#39;yoq	oil paint
olifant	fil	elephant
olifanten	fillar	elephants
oliver	oliver	oliver
olivier	olivier	olivier
olympia	olimpiya	olympia
olympic	olimpiya	olympic
olympisch	olimpiya	olympic
olympische	olimpiya	olympic
om	ga	because
omar	omar	omar
omdat	chunki	because
omgaan	osilib qolish uchun	handle
omgang	aloqada bo&#39;lish	handling
omgebouwd	aylantirildi	converted
omgedoopt	qayta nomlandi	renamed
omgekeerd	boshqa yo&#39;l	vice versa
omgekeerde	teskari	possible returned
omgekomen	vafot etdi	killed
omgeven	o&#39;ralgan	surrounded
omgeving	atrofi	environment
omgevingsfactoren	atrof-muhit omillari	environmental factors
omgevormd	aylantirildi	formed
omgezet	aylantirildi	converted
omhoog	yuqoriga	up
omliggende	atrofida	surrounding
omringd	o&#39;ralgan	surrounded
omringende	atrofida	surrounding
omroep	eshittiruvchi	broadcast
omschreven	tasvirlangan	described
omschrijving	ta&#39;rif	definition
omstandigheden	holatlar	conditions
omstreden	munozarali	controversial
omstreeks	haqida	about
omtrek	perimetri	perimeter
omtrent	haqida	about
omvang	hajmi	size - 1st and 6th sentence, scale - 3th sentence
omvangrijk	katta	extensive
omvangrijke	katta	extensive
omvat	o&#39;z ichiga oladi	include
omvatte	kiritilgan	encompassed - 1st sentence, included - 3th and 7th sentence.
omvatten	o&#39;z ichiga oladi	include
omwille	buning uchun	because
omzet	daromad	sales
omzetbelasting	savdo solig&#39;i	turnover taxes
on	yoqilgan	on
onafhankelijk	mustaqil	independent
onafhankelijke	mustaqil	independent
onafhankelijkheid	mustaqillik	independence
onafhankelijkheidsverklaring	mustaqillik deklaratsiyasi	declaration of independence
onbekend	noma&#39;lum	unknown
onbekende	noma&#39;lum	unknown
onbruik	bekor qilish	disuse
ondanks	qaramay	notwithstanding
onder	quyida	among
onderaan	pastki qismida	at the bottom
onderbroken	aralashdi	disturbed
onderdak	boshpana	shelter
onderdanen	mavzular	stumps
onderdeel	qismi	part
onderdelen	tarkibiy qismlar	parts
onderdrukken	bostirmoq	suppress
onderdrukking	zulm	suppression
onderdrukt	bostirilgan	suppresses
ondergaan	duchor	undergone
ondergang	buzmoq	decline
ondergebracht	uylangan	housed
ondergeschikt	bo&#39;ysunadigan	subordinate
onderging	o&#39;tdi	underwent
ondergrond	yuzasi	soil
ondergronds	er osti	subterranean
ondergrondse	er osti	underground
onderhandelingen	muzokaralar	negotiations
onderhevig	mavzu	subject to
onderhoud	texnik xizmat ko&#39;rsatish	ovderhoud
onderhouden	saqlab qolish	maintain
onderhoudt	saqlaydi	maintains
onderkaak	pastki jag &#39;	mandible
onderliggende	tagida	underlying
onderling	o&#39;zlari o&#39;rtasida	amongst each other
onderlinge	o&#39;zaro	mutual
ondernam	o&#39;z zimmasiga oldi	undertook
ondernemen	qabul qilmoq	undertake
ondernemer	tadbirkor	entrepreneur
onderneming	kompaniyasi	company
ondernemingen	kompaniyalari	entreprises
ondernomen	amalga oshirildi	taken
onderpand	garov	backed
onderscheid	farqlash	distinction
onderscheiden	ajratib turmoq	differentiated
onderscheiding	mukofot	distinction
onderscheidingen	mukofotlar	awards
onderscheidt	farq qiladi	distinguish
ondersoort	kichik turlari	subspecie
ondersoorten	kichik turlari	subspecies
onderstaande	quyida	below
onderste	pastki	lower
ondersteund	qo&#39;llab-quvvatlanadi	supported
ondersteunen	qo&#39;llab-quvvatlash	support
ondersteuning	qo&#39;llab-quvvatlash	support
ondersteunt	qo&#39;llab-quvvatlaydi	supports
ondertussen	bu orada	meanwhile
onderverdeeld	bo&#39;lingan	divided
onderverdeling	bo&#39;linma	subdivision
ondervinden	tajriba	to go through
ondervindt	kechinmalar	sustains
onderweg	yulda	on the way
onderwerp	mavzu	subject
onderwerpen	mavzular	topics
onderwezen	o&#39;rgatilgan	taught
onderwijs	ta&#39;lim	education
onderworpen	mavzu	subject
onderzijde	pastki qismida	underside
onderzocht	tekshirildi	investigated
onderzoek	tadqiqot	investigation
onderzoeken	tadqiqotga	investigate
onderzoekers	tadqiqotchilar	researchers
onderzoekt	tekshiradi	researches
onduidelijk	tushunarsiz	unclear
one	bitta	one
oneindig	cheksiz	never ending
onenigheid	kelishmovchilik	discussion
ongeacht	ga qaramasdan	regardless of
ongeboren	tug&#39;ilmagan	unborn
ongebruikelijk	g&#39;ayrioddiy	unusual
ongekende	misli ko&#39;rilmagan	unknown
ongeluk	baxtsiz hodisa	accident
ongelukken	baxtsiz hodisalar	accidents
ongenoegen	norozilik	displeasure
ongetwijfeld	shubhasiz	undoubtedly
ongeval	baxtsiz hodisa	accident
ongeveer	haqida	approximatily
ongewenste	nomaqbul	unwanted
onjuist	noto&#39;g&#39;ri	incorrect
onlangs	yaqinda	recently
online	onlayn	online
only	faqat	only
onmiddellijk	darhol	immediately
onmogelijk	imkonsiz	impossible
ono	ono	ono
onrechte	noto&#39;g&#39;ri	unjustly
onregelmatig	tartibsiz	irregular
onregelmatige	tartibsiz	irregular
onrust	notinchliklar	unrest
ons	biz	our
ontbinden	eritmoq	dissolve
ontbrak	etishmayotgan edi	lacked
ontbreekt	etishmayapti	misses
ontbreken	etishmasligi	absence
ontdekken	kashf etmoq	discover
ontdekking	kashfiyot	discovery
ontdekkingen	kashfiyotlar	discoveries
ontdekkingsreiziger	tadqiqotchi	explorer
ontdekt	kashf etilgan	discovered
ontdekte	topilgan	discovered
onterecht	adolatsiz	unjust
ontevredenheid	norozilik	unhappiness
ontgonnen	qazib olingan	cultivated
onthaald	qabul qildi	received
onthouden	eslamoq	remembered
ontkend	rad qilindi	deny
ontkende	rad qilindi	denied
ontkennen	inkor qilmoq	to deny
ontkomen	qochish	to escape
ontlasting	defekatsiya	shit
ontleend	qarzga olingan	extracted
ontmoet	uchrashdi	meets
ontmoeten	uchrashing	met
ontmoeting	uchrashuv	meeting
ontmoette	uchrashdi	met
ontmoetten	uchrashdi	meet
ontslag	ishdan bo&#39;shatish	dismissal
ontslagen	ishdan bushash	fired
ontsluiting	ovqat hazm qilish	digestion
ontsnappen	qochish	escape
ontsnapt	qochdi	escaped
ontsnapte	qochib ketdi	escaped
ontspringen	otmoq	arise
ontstaan	kelib chiqishi	takes form
ontstaat	vujudga keladi	arises
ontstane	o&#39;rnidan turdi	originated
ontsteking	yallig&#39;lanish	swelling
ontstekingen	yallig&#39;lanish	inflammations
ontstoken	yallig&#39;langan	infected
ontstond	o&#39;rnidan turdi	was
onttrekken	ga teging	withdraw from
onttrokken	qazib olingan	dissolved
ontvangen	qabul qildi	recieve
ontvanger	qabul qilgich	receiver
ontvangt	olish	receive
ontving	qabul qildi	recieved
ontvingen	qabul qildi	received
ontvoerd	o&#39;g&#39;irlab ketilgan	kidnapped
ontwerp	dizayn	design
ontwerpen	loyihalash uchun	designs
ontwerper	dizayner	designer
ontwierp	mo&#39;ljallangan	designed
ontwikkeld	rivojlangan	developed
ontwikkelde	rivojlangan	developed
ontwikkelden	rivojlangan	developed
ontwikkelen	rivojlantirmoq	develop
ontwikkeling	rivojlanish	development
ontwikkelingen	o&#39;zgarishlar	developments
ontwikkelingsstoornis	rivojlanish buzilishi	developmental
ontwikkelt	rivojlanadi	develops
ontworpen	mo&#39;ljallangan	designed
onvermogen	qobiliyatsizlik	inability
onverwacht	kutilmagan	unexpected
onverwachte	kutilmagan	unexpected
onvoldoende	etarli emas	insufficient
onvrede	norozilik	dissatisfaction
onwaarschijnlijk	dargumon	unprobable
onze	bizning	our
onzeker	noaniq	insecure
onzekerheid	noaniqlik	insecurity
onzichtbaar	ko&#39;rinmas	invisible
oog	ko&#39;z	eye
oogpunt	nazar	point of view
oogst	hosil	harvest
ooit	har doim	ever
ook	shuningdek	also
oom	tog&#39;a	uncle
oor	quloq	ear
oordeel	hukm	judgement
oorlog	urush	war
oorlogen	urushlar	wars
oorsprong	kelib chiqishi	origin
oorspronkelijk	dastlab	originally
oorspronkelijke	original	original
oorzaak	sabab	cause
oorzaken	sabablari	causes
oost	sharqda	east
oostazië	sharqiy osiyo	eastern asia
oostberlijn	sharqiy berlin	east berlin
oostblok	sharqiy blok	eastern bloc
oostduitsland	sharqiy germaniya	east germany
oostelijk	sharqiy	eastern
oostelijke	sharqiy	eastern
oosten	sharq	east
oostende	ostend	oostende
oostenrijk	avstriya	austria
oostenrijkers	avstriyaliklar	east rijkers
oostenrijkhongarije	avstriya ocharchilik	austria-hungary
oostenrijkse	avstriyalik	austrian
oosterse	sharqona	eastern
oosteuropa	sharqiy evropa	eastern europe
oostkust	sharqiy qirg&#39;oq	east coast
oostromeinse	sharqiy rim	east romanian
oostzee	boltiq dengizi	east sea
op	yoqilgan	on
opbouw	tuzilishi	building
opbrengst	yo&#39;l bering	proceeds
opbrengsten	hosil beradi	takings
opdat	bu	in order that
opdracht	buyurtma	assignment
opdrachten	mashqlar	assignments
opeens	to&#39;satdan	suddenly
opeenvolgende	ketma-ket	consecutive
open	ochiq	open
openbaar	ommaviy	public
openbare	ommaviy	public
openbaring	vahiy	revelation
opende	ochildi	opened
openen	ochmoq	to open
opening	ochilishi	opening
openingen	teshiklari	openings
openlijk	ochiqchasiga	openly
opent	ochadi	opens
opera	opera	opera
operatie	operatsiya	operation
operaties	operatsiyalar	operations
opereren	faoliyat ko&#39;rsatmoq	operate
opgeblazen	portladi	bloated
opgebouwd	qurildi	build
opgedeeld	bo&#39;lingan	divided
opgedragen	buyurdi	performed / dedicated
opgehangen	osilgan	hanged
opgeheven	ko&#39;tarildi	lifted
opgelegd	joriy qilingan	imposed
opgeleid	tarbiyalangan	educated
opgeleverd	yetkazib berildi	produced
opgelopen	barqaror	taken
opgelost	hal qilindi	solved
opgemerkt	payqadi	noticed
opgenomen	kiritilgan	included
opgepakt	hibsga olingan	picked up
opgericht	tashkil etilgan	founded
opgerichte	asos solingan	founded
opgeroepen	chaqirildi	call on
opgeslagen	saqlandi	stored
opgesloten	qulflangan	locked up
opgesplitst	split	divided
opgesteld	saf tortdi	edited
opgetreden	sodir bo&#39;lgan	acted
opgetrokken	qurilgan	increased
opgevangen	ushlandi	catch
opgevat	homilador	taken up (2nd sentence), seen as (4th and 5th sentence)
opgeven	odatni tashlamoq	give up
opgevoed	ko&#39;tarildi	raised
opgevoerd	qadam tashladi	intensified
opgevolgd	ergashdi	followed
opgewekt	quvnoq	cheerful
opgezet	sozlash	set up
opgezette	to&#39;ldirilgan	put up
opheffing	bekor qilish	abolishment
opinie	fikr	opinion
opkomende	paydo bo&#39;lgan	emerging
opkomst	qatnashish	rise
oplage	nashr	edition
opleiding	ta&#39;lim	education
opleidingen	tarbiya	courses
opleveren	yetkazib bermoq	delivered
opleving	jonlanish	revival
oplopen	o&#39;sish	increase
oplossen	hal qilmoq	solve
oplossing	eritma	resolvation
oplossingen	echimlar	solutions
opmars	avans	advance
opmerkelijk	diqqatga sazovor	remarkable
opmerkelijke	diqqatga sazovor	remarkable
opmerking	sharh	remakr
opmerkingen	izohlar	comments
opname	yozib olish	recording
opnamen	yozuvlar	shooting
opnames	yozuvlar	recordings
opnemen	yozib olish	to measure
opnieuw	yana	again
opperbevelhebber	bosh qo&#39;mondon	supreme commander
oppervlak	yuzasi	surface
oppervlakte	yuzasi	surface - 3rd sentence, surface area - 6th and 7th sentence.
oppositie	muxolifat	opposition
oprichter	asoschisi	founder
oprichting	yaratish	establishment
oproep	qo&#39;ng&#39;iroq	call
oproepen	qo&#39;ng&#39;iroqlar	call
opslag	saqlash	storage
opstand	isyon	uprise
opstandelingen	isyonchilar	insurgents
opstanden	isyonlar	risings
opstandige	isyonkor	rebellious
opstanding	tirilish	resurrection
opstellen	chizmoq	set up
opstelling	sozlash	setup
opstijgen	tortib olmoq	rise
optie	variant	option
optimaal	maqbul	optimal
optische	optik	optical
optrad	sodir bo&#39;ldi	appeared
optreden	ishlash	action
optredens	spektakllar	appearence
optreedt	sodir bo&#39;ladi	occurs
opus	opus	opus
opvallend	diqqatga sazovor	notable
opvallende	ajoyib	notable
opvatting	ko&#39;rinish	interpretation
opvattingen	ko&#39;rish	ideas
opvoeding	ta&#39;lim	upbringing
opvolger	vorisi	follower
opvolgers	vorislari	successors
opvolging	vorislik	succession
opwarming	mashg&#39;ulotdan oldin	warming
opwekken	g&#39;azablantirmoq	arouse (1st sentence),create (4th sentence), generate (6th sentence)
opwinding	uyg&#39;onish	excitement
opzet	niyat	design
opzettelijk	maqsadida	intentional
opzetten	sozlanmoqda	to make up
opzicht	hurmat	repects
opzichte	nisbiy	compared to
orale	og&#39;zaki	oral
orange	apelsin	orange
oranje	apelsin	orange
oranjenassau	orange-nassau	oranje-nassau
orchestra	orkestr	orchestra
orde	buyurtma	order
orden	buyurtmalar	factions
ordening	buyurtma	planning
order	buyurtma	order/ orde
ordes	buyurtmalar	order(s)
oren	quloqlari	ears
orgaan	organ	institution
organen	organlar	organs
organisatie	tashkiloti	organization
organisaties	tashkilotlar	organizations
organische	organik	organic
organiseerde	uyushgan	organized
organiseert	uyushtirmoqda	organizes
organiseren	tashkil qilish	to organize
organisme	organizm	organism
organismen	organizmlar	organisms
orgasme	orgazm	orgasm
orgel	organ	organ
orientationhorizontal	yo&#39;nalishi gorizontal	orientation horizontal
original	original	original
origineel	original	original
originele	original	original
orkaan	dovul	hurricane
orkanen	dovullar	hurricanes
orkest	orkestr	orchestra
orleans	orlean	orleans
orthodoxe	pravoslav	orthodox
os	ho&#39;kiz	os
oscar	oskar	oscar
oslo	oslo	oslo
otto	otto	otto
ottomaanse	usmonli	ottoman
ottomanen	otmanlar	ottomans
oud	qari	old
oude	qari	old
ouder	katta	older / parent
ouderdom	qarilik	age
oudere	katta	older
ouderen	qariyalar	elder
ouders	ota-onalar	parents
oudheid	antik davr	ancient times
oudsher	an&#39;anaviy ravishda	of old
oudst	eng qadimgi	oldest
oudste	katta	oldest
our	bizning	our
out	tashqarida	out
outstanding	atoqli	outstanding
over	haqida	over
overal	hamma joyda	everywhere
overblijfselen	qoladi	remains
overdag	kun davomida	during the day
overdekte	qoplangan	covered
overdosis	dozani oshirib yuborish	overdose
overdracht	uzatish	transmition
overdreven	oshirib yuborilgan	excessive
overeen	gugurt	into accord
overeengekomen	kelishilgan	agreed
overeenkomst	kelishuv	resemblance
overeenkomsten	o&#39;xshashliklar	agreements
overeenkomt	gugurtlar	matches
overeenstemming	kelishuv	agreement
overeind	tik	vertically
overgaan	o&#39;tish	proceed
overgaat	uzuklar	passes
overgang	o&#39;tish	transition
overgave	taslim bo&#39;lish	surrender
overgebleven	qolgan	remaining
overgebracht	uzatildi	transfer
overgedragen	uzatildi	transferred
overgeleverd	topshirdi	delivered
overgenomen	qabul qilindi	take over
overgewicht	ortiqcha vaznga ega bo&#39;lish	overweight
overgrote	ulkan	vast
overhand	ustunlik qilmoq	upper hand
overheden	hukumatlar	governments
overheersende	ustunlik qiladigan	dominant
overheersing	hukmronlik	domination
overheerst	ustunlik qiladi	dominate
overheid	hukumat	government
overig	boshqa	remaining
overige	boshqalar	other
overigens	bundan tashqari	for that matter - 5th sentence
overijssel	overijssel	overijssel
overkoepelende	haddan tashqari	coordinate
overleden	o&#39;ldi	deceased
overledene	marhum	deceased
overledenen	marhum	survivors
overleed	vafot etdi	died
overleefde	omon qoldi	survived
overleg	maslahat	consideration
overleven	omon qoling	survive
overlevenden	omon qolganlar	survivors
overlevering	o&#39;lkashunoslik	tradition
overleveringen	urf-odatlari	traditions
overlijden	o&#39;tib ketmoqda	death
overmatig	ortiqcha	excessive
overmatige	ortiqcha	excessive
overname	qabul qilmoq; yutib olmoq	take-over
overnemen	qabul qilmoq	take over
overschot	ortiqcha	abundance
overstromingen	toshqinlar	floods
overtreding	buzish	offence
overtuigd	ishonch hosil qildi	convinced
overtuigen	ishontirmoq	convince
overtuiging	ishontirish	conviction
overtuigingen	e&#39;tiqodlar	convince
overwegend	asosan	mostly
overwegingen	mulohazalar	considerations
overwicht	ustunlik	overweight
overwinnen	yengmoq	conquer
overwinning	g&#39;alaba	victory
overwinningen	g&#39;alabalar	conquers
overwogen	deb hisoblanadi	considered
overwonnen	yengmoq	overcome
overzees	dengiz	overseas
overzeese	chet elda	overseas
overzicht	umumiy nuqtai	overview
owen	qarzdor	owen (proper noun, first name or surname)
own	shaxsiy	eigen
oxford	oksford	oxford
paar	juftlik	couple
paard	ot	horse
paarden	otlar	horses
paars	binafsha	purple
paartijd	juftlash davri	mating season
paaseiland	pasxa oroli	easter island
paasfeest	pasxa ziyofati	easter
pablo	pablo	pablo
pad	yo&#39;l	track
paddenstoelen	qo&#39;ziqorinlar	mushrooms
pagina	sahifa	page
pak	biznes kostyum	''pak ransel'' - a good thrashing - 2nd sentence, suit - 5th and 6th sentence
pakistan	pokiston	pakistan
pakken	ushlamoq	to take
pakte	ko&#39;tarib oldi; moshinada olib ketdi	took
palace	saroy	palace
palazzo	palazzo	building
paleis	saroy	palace
paleizen	saroylar	palaces
palestijnen	falastinliklar	palestins
palestijnse	palestinian	palestinian
palestina	falastin	palestine
pan	pan	pan - proper noun, place name and surname.
panama	panama	panama
pand	uy	building
pandemie	pandemiya	pandemic
panden	xususiyatlari	buildings
paniek	vahima	panic
paolo	paolo	paolo
papiaments	papiamento	papiamento
papier	qog&#39;oz	paper
par	paragraf	over
paracetamol	paratsetamol	paracetamol
paradijs	jannat	paradise
parallel	parallel	parallel
parallelle	parallel	parallel
paramaribo	paramaribo	paramaribo
parasiet	parazit	parasite
parasieten	parazitlar	parasites
parc	parcha	pac
paren	juftliklar	mate
parfum	atir	parfume
parijs	parij	paris
parijse	parisian	parisian
paring	juftlash	pairing
paris	paris	paris
park	park	park
parken	parklar	park
parker	parker	parker
