$	dollar təşkil edib	american dollar symbol
தீபாவளி	diwali	deepawali
தீய	şər	bad
தீர்க்க	həll edin	solve
தீர்க்கும்	həlli	to find a solution
தீர்ப்பு	hökm	judgement
தீர்வு	həll	solution
தீர்வை	qəsəbə	decision
தீவினர்	islander	islander
தீவின்	ada	islands
தீவிர	ciddi	heavily
தீவிரமாக	ciddi şəkildə	seriously
தீவிரமான	ciddi	severe
தீவிரவாதம்	ekstremizm	terrorism
தீவில்	atəşdə	in island
தீவு	ada	island
தீவுகளின்	adaları	deep
தீவுகளில்	adalar	in islands
தீவுகளை	islanders	islands
தீவுகளையும்	adaları	islands
தீவுகள்	adaları	island
தீவுக்	arxipelaq	island
துகள்	hissə	particle
துகள்கள்	parçalar	particles
துக்கம்	matəm	sorrow
துடுப்பாட்டம்	bat	cricket
துணி	bezi	cloth
துணை	dəstəkləyən	partner
துணைக்	aksesuarlar	sub
துணைக்கண்டத்தின்	subkontinent	sub continent
துணைப்	dəstəkləyən	assistant
துணையாக	əlavələr	to be helpful
துணையுடன்	i̇lə	with the help of
துண்டு	zolaq	pit
துண்டுகளாக	parçalar	small pieces
துண்டுகள்	dəsmallar	segments
துத்தநாகம்	sink	zink
துன்பம்	kədər	suffering
துன்பியல்	faciələr	sorrows
துபாய்	dubay	dubai
துபை	dubay	dubai
துப்பரவான	təmiz	intelligence
துரித	tez	fast
துரிதமாக	sürətlə	hurriedly
துருக்கி	türkiyə	turkey
துருவ	qütb	rays
துறந்து	yenidən imtina edir	to be left
துறை	şöbə	department
துறைகளின்	sektorlar	ports or departments
துறைகளிலும்	gəzir	depatment
துறைகளில்	sektorlar	departments
துறைகளும்	şöbələr	department
துறைகளை	şöbələr	department
துறைகள்	şöbələr	departments
துறைமுக	limanlar	ship
துறைமுகத்தில்	liman	harbour
துறைமுகமாக	liman	port
துறைமுகம்	liman	ports
துறையாக	sənaye	department
துறையாகும்	i̇ntizam	department
துறையின்	şöbə	industry
துறையில்	sahəsində	department
துறையை	sektor	departmental
துல்லியமாக	dəqiqliklə	appropriately
துல்லியமான	dəqiq	accurate
துளசி	reyhan	basil
துளி	damcı	drop
துளைகள்	deliklər	hole
துவக்கத்தில்	əvvəlcə	starting
துவக்கம்	açan	start
துவங்கி	başlanğıc	begin
துவங்கிய	başladı	started
துவங்கியது	başladı	started
தூண்	sütun	pillar
தூண்கள்	sütunlar	pillars
தூண்டற்பேறு	tuntarperu	response
தூண்டி	tetik	bait
தூண்டுகிறது	tələb edir	leads
தூண்டும்	tetik	stimulates
தூதர்	rəsul	brand ambassidar
தூத்துக்குடி	tutikorin	tuticorin
தூய	təmiz	clean
தூய்மை	saflıq	purity
தூர	uzaq	keeps away
தூரத்தில்	məsafədə	distance
தூரம்	məsafə	distance
தூலியம்	tulium	chemical element
தென்	cənub	south
தென்கிழக்காசியாவின்	cənub-şərqi asiya	south-east asia's
தென்கிழக்கில்	cənub-şərq	southeast
தென்கிழக்கு	cənub-şərq	south east
தென்சீனப்	cənubi çin	south china
தென்னாப்பிரிக்க	cənubi afrika	north africa
தென்னாப்பிரிக்கா	cənubi afrika	south africa
தென்னாப்பிரிக்காவின்	cənubi afrika	south africa
தென்னாப்பிரிக்காவில்	cənubi afrikada	south africa
தென்னிந்திய	cənub	south indian
தென்னிந்தியா	cənubi hindistan	southern india
தென்னிந்தியாவின்	cənubi hindistanın	southindia
தென்னிந்தியாவில்	cənubi hindistanda	in south india
தென்னை	hindistancevizi	coconut
தென்மேற்கில்	cənub-qərb	south western
தென்மேற்கு	cənub-qərb	south west
தென்றல்	breeze	breeze
தெய்வ	küfr	god
தெய்வம்	elf	god
தெய்வீக	i̇lahi	godly
தெரிகிறது	görünür	visible
தெரிந்த	məlumdur	familiar
தெரிந்து	bilin	known
தெரிய	bilin	reveal
தெரியவருகிறது	aşkarlandı	found that
தெரியவில்லை	mən bilmirəm	unknown
தெரியாத	naməlum	unknown
தெரியாமல்	bilən	unknown
தெரியும்	bilin	know
தெரிவிக்கின்றன	təklif	informating
தெரிவிக்கிறது	hesabatlar	showing
தெரிவிக்கும்	i̇cazə verəcək	informing
தெரிவித்தனர்	i̇fadə etdi	said
தெரிவித்து	i̇fadə edir	inform
தெரிவித்துள்ளனர்	i̇fadə etdi	call for
தெரிவித்துள்ளார்	bildirilib	said
தெரு	küçə	streeet
தெருவில்	küçədə	in the street
தெரேசா	var ki	mother theresa
தெற்கத்திய	cənub	southern
தெற்காக	cənub	south
தெற்காசிய	cənubi asiya	south asian
தெற்கிலும்	cənub	southern
தெற்கில்	cənubda	southern
தெற்கு	cənub	south
தெற்குத்	cənub	southerly
தெற்கே	cənub	south
தெலுகு	teluqu	telugu
தெலுங்கில்	telugu dilində	in telugu
தெலுங்கு	teluqu	telungu
தெளிவாக	aydındır	properly
தெளிவாகத்	aydındır	clearly
தெளிவாகிறது	aydındır	to clear
தெளிவான	aydındır	clearly
தெளிவு	aydındır	clear
தே	de	dey
தேச	millət	country
தேசத்தின்	torpağın	the nation's
தேசம்	millət	nation
தேசிகர்	desikar	desigar
தேசிய	milli	national
தேசியக்	milli	national
தேசியப்	milli	national
தேசியவாத	millətçi	national
தேசீய	milli	national
தேடல்	axtarış	search
தேடி	axtarilir	to search
தேடு	baxiram	search
தேடுதல்	axtarış	search
தேடும்	baxiram	search
தேதி	tarix	date
தேநீர்	çay	tea
தேனி	sonra mən	theni
தேன்	bal	honey
தேயிலை	çay yarpağı	tea
தேர்ச்சி	keçir	progress
தேர்தலில்	seçki	elections
தேர்தல்களில்	seçkilər	elections
தேர்தல்கள்	seçkilər	elections
தேர்ந்த	müəyyənləşdirin	expertised
தேர்ந்தெடுக்க	seçin	to select
தேர்ந்தெடுக்கப்படுகிறார்	seçilmiş	elected
தேர்ந்தெடுக்கப்படுகிறார்கள்	seçilmiş	elected
தேர்ந்தெடுக்கப்படும்	seçilmiş	elected
தேர்ந்தெடுக்கப்பட்ட	seçilib	selected
தேர்ந்தெடுக்கப்பட்டார்	seçilmiş	selected
தேவன்	allah	god
தேவரின்	tanrıların	devar
தேவர்	the-	deva
தேவர்கள்	tanrılar	ministers
தேவாலயம்	kilsə	church
தேவி	devi	devi
தேவை	i̇stədi	need
தேவைகளை	tələblər	need
தேவைகள்	tələblər	wants
தேவைப்படுகிறது	lazımdı	in need of
தேவைப்படும்	ehtiyac var	necessary
தேவைப்பட்டது	ehtiyac var	needed
தேவையற்ற	lazımsız	not necessary
தேவையான	zəruri	required
தேவையில்லை	i̇stəmirəm	no need of
தேவையை	tələb	need
தை	yanvar	month of thai
தையல்	dikiş	stitching
தொகுக்கப்பட்ட	qutulu	compiled
தொகுதி	həcmi	part
தொகுதிகள்	modullar	consituencies
தொகுதியின்	həcmi	volume of
தொகுதியில்	oturacaq	ward
தொகுத்தார்	redaktə edildi	collected
தொகுத்து	çapa	collect
தொகுப்பாக	kolleksiya	set
தொகுப்பில்	paketdə	in a set of
தொகுப்பு	qalereya	compilation
தொகுப்புகளை	koleksiyonlar	packages
தொகுப்புகள்	koleksiyonlar	collection
தொகுப்பை	çözgü	part
தொகை	əhali	amount
தொகையை	ödənişlər	amount
தொங்கு	asma	hang
தொடக்க	i̇btidai	starting
தொடக்ககால	erkən	initial stage
தொடக்கத்தில்	başlanğıcda	in the beginning
தொடக்கம்	başlamaq	start
தொடங்கப்பட்ட	başladı	started
தொடங்கப்பட்டது	başladı	began
தொடங்கி	başlayır	bening
