$ tỉ	$ miliardo	$ billion
điệp	il messaggio	spy
điệu	tono	memorial
đo	misura	measure
đoa	doa	doa
đoan	presentabile	extreme
đom	đôm	firefly
đoài	đoài	the west
đoàn	gruppo	an organization or group (n.)
đoái	valuta	"(term should be ""hối đoái"") to exchange or trade (v.)"
đoạn	segmento	a stage or phase (n.)
đt	dt	training
đtđ	diabete	diabetes
đua	gara	emulate
đui	cieco	blind
đun	calore	cook
đuôi	posteriore	tail
đuốc	torcia	a torch
đuối	annegamento	drowning
đuống	duong	(proper noun) Đuống, the name of a river
đuổi	evict	pursue
đài	stazioni	statue
đàm	flemma	negotiation
đàn	forum	musical instrument
đàng	eden	side
đào	pesche	train
đày	ostracize	exile
đá	pietra	to kick
đái	urinare	pee
đám	gruppo	dam
đán	spettacolare	"(term should be ""tết nguyên Đán"") vietnamese new year's day"
đáng	ne vale la pena	deserve
đáo	originalità	unique
đáp	risposta	response
đát	antiquato	"(term should be ""bi đát"") lamentable (adj.)"
đâm	foratura	pierce
đâu	dove	anywhere
đây	qui	below
đã	ha	already
đãi	treat	"(should be ""bạc đãi"") to ill-treat"
đãng	chiaro	dissolute
đè	le sostituzioni	to press on
đèn	semaforo	light
đèo	gola	a mountain pass (n.)
đê	diga	a dike (n.)
đêm	la notte	night
đênh	hovers	lênh đênh= float to unknown
đích	destinazione	goal
đính	attaccato	attached (adj.)
đò	traghetto	a ferry (n.)
đòi	affermazione	require
đòn	colpo	welcome
đó	ci	that or there (adv.)
đóa	fiore	"(term should be ""đoá hoa"") a flower bloom"
đói	fame	hungry
đón	benvenuto	welcome
đôi	doppio	sometimes
đôla	dollaro	dollar
đôn	piedistallo	london
đông	est	eastern
đôngbắc	dongbac	north-east
đôngnam	dongnam	south-east
đôngtây	dongtay	"(term should be ""đông-tây"") east-west (adj.)"
đôrêmi	doremi	(proper noun) Đôrêmi
đôrêmon	doraemon	doreamon
đùa	divertente	joke
đùi	femorale	thigh
đúc	getto	"(term should be ""đúc kết"") to sum up (v.)"
đúng	destra	right
đúp	doppio	double
đút	rinunciare	"(term should be ""đút lót"") to bribe"
đăk	djak	dak
đĩ	puttana	whore/bitch
đĩa	piastra	disk
đơ	lod	stiff or rigid (adj.)
đưa	mettere	girl
đường	zucchero	pathway
được	get	is not
đạ	dja	da
đại	contemporaneo	eagle
đạm	proteina	plain
đạn	proiettile	bullet
đạo	direttore	vagina
đạp	bicicletta	to step on
đạt	raggiunto	reach
đả	necessariamente	to hit
đảm	make	"(term should be ""đảm nhiệm"") to undertake (v.)"
đản	compleanno	a group or flock (n.)
đảng	partito	party
đảo	isola	an island (n.)
đấm	dare un pugno	punch
đấng	esseri	the
đất	terreno	country
đấtmặt	datmat	datmat
đấy	ci	ignore
đầm	abito	swamp
đần	djan	"(term should be ""đần độn"") stupid or ignorant (adj.)"
đầu	la cima	start
đầy	pieno	"(term should be ""đầy đủ"") adequate or enough"
đẩu	sgabelli	"(entire term is ""khoa đẩu"") ancient phonetic script used in vietnam"
đẩy	spinta	to push
đẫm	sanguinoso	wet
đậm	scuro	dense
đậu	fagioli	to park (v.)
đậy	copertura	cover
đắc	primo	effectively
đắm	distrutto	sink
đắn	suono	proper (dung dan)
đắng	amaro	bitter
đắp	su	"(term should be ""bù đắp"") to compensate (v.)"
đắt	costoso	expensive
đằng	dietro	back
đẳng	classe	equality
đặc	speciale	"(term should be ""đặc biệt"") special (adj.)"
đặn	figured	regularly
đẹp	bello	beautiful
đẽ	diga	beauty
đế	soletta	empire
đếm	contare	to count (v.)
đến	a	come
đề	raccomandato	promote
đền	tempio	"(term should be ""đền thờ"") a religious shrine"
đều	sono	all
để	a	for
đệm	buffer	middle name
đỉnh	vertice	the summit or peak
địch	il nemico	enemy
định	no.	appointed
đọ	shootout	compete
đọan	passaggio	period
đọc	leggere	read
đọng	deposizione	deposit
đỏ	rosso	red (adj.)
đốc	direttore	admiral
đối	per	face
đốm	spot	spot
đốn	abbattuto	"(term should be ""suy đốn:) to be worse off"
đống	mucchio	line
đốt	bruciato	burn
đồ	mappa	thing
đồi	collina	hill
đồn	roccaforte	rumour
đồng	rame	agreeable
đổ	versare	dump
đổi	cambiamento	to change (v.)
đổng	testa di cavallo	"(term should be ""đồng bằng"") a delta"
đỗ	parco	pass
độ	punto	"term should actually be ""độ cao""; means ""height"""
độc	tossico	alone
độn	imbottito	chaos
động	in movimento	action
đột	incursione	"(term should be ""xung đột"") conflict (n.)"
đới	tropicale	tropical
đời	esistenza	generation
đỡ	supporto	help
đợi	attesa	thigh
đợt	tondo	fit
đục	opaco	turbid
đụn	dune	dune
đụng	urto	encounter
đủ	abbastanza	enough
đứa	bambini	child
đức	virtù	virtue (n.)
đứng	stare in piedi	to stand (v.)
đứt	via	cut off
đừng	non fare	not
đực	maschio	male
đựng	contenere	suffer
đựoc	tweak	be
ĩ	forte	"(term should be ""ầm ĩ"") noisy"
ơ	opaco	"(term should be ""thờ ơ"") to be indifferent (adj.)"
ơi	il mio	"vietnamese equivalent of english ""oh"""
ơn	favore	thank
ư	u	vowel sound found in the vietnamese alphabet (n.)
ưa	popolarità	to like (v.)
ưng	oh si	to accept (v.)
ưu	priorità	"(term should be ""ưu việt"") preeminent (adj.)"
ươi	utans	orangutan
ươm	vivaio	nursery
ương	centrale	central
ướp	marinato	mummy
ướt	bagnato	wet
ạ	sir	a word added to the end of a response to show respect to someone in a position of authority, as in a child to a parent
ạt	massicciamente	(with word o) to crowd
ải	ai	pass
ảnh	immagine	picture
ấm	tiepido	warm
ấn	pubblicazioni	press
ấnâu	anau	"(term should be ""Ấn Âu"") a grouping of languages including european and indian languages that are thought to have originated from a single earlier language (adj.)"
ấp	borgo	district
ấu	presto	childhood
ấy	lei	that
ẩm	umido	humidity
ẩn	nascosto	hidden
ập	attacchi	rush
ắt	certamente	sure
ếch	rana	frog
ỏi	magro	little
ố	abominevole	"(term should be ""hoen ố"") stained and smeared (adj.)"
ốc	beni immobili	building
ốm	sottile	sick
ống	tubo	tube
ốp	rivestimento	omelette
ồn	rumore	noisy (adj.)
ổ	drive	hard drive
ổi	guaiava	guava (n.)
ổn	stabile	peace
ớn	brividi	posts
ớt	chili	chili
ở	in	at
ủ	compostaggio	"(term should be ""ủ dột"") gloomy (adj.)"
ủi	ferro	"(term should be ""an ủi"") to comfort (v.)"
ủng	sostenitori	boot
ủy	commissario	commission
ứ	ritenzione	to pool together (v.)
ức	depressione	memories
ứng	applicazione	corresponding
−−	-	__
≠	≠	different
