$ tỉ	$ พันล้าน	$ billion
peters	ปีเตอร์ส	peter's, possessive of peter
petersburg	ปีเตอร์สเบิร์ก	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	pgs	associate professor
pgđ	รองผู้อำนวยการ	associate professor
pha	ผสม	to mix
phaethon	phaethon	phaethon
pham	pham	pham
phanh	เบรก	expose
phao	ลอย	float
phaolô	พอล	st. paul, the apostle
pharaoh	ฟาโรห์	pharaoh
pharaon	ฟาโรห์	pharaoh
phay	การโม่	mill
phe	พรรค	faction
phen	เพ็ญ	time
phil	ฟิล	(proper noun) phil, a first name
philip	ฟิลิป	philip
philippe	ฟิลิปป์	philippe
philippines	ฟิลิปปินส์	(proper noun) philippines
phillip	ฟิลลิป	(proper noun) phillip
phillips	ฟิลลิป	philips
philosophiae	philosophiae	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	หนัง	phim
phin	โอเลฟิน	coffee filter
phineas	phineas	(proper noun) phineas
phiên	เปิด	trial
phiêu	การผจญภัย	adventurous
phiếm	อึ	gossip
phiến	ใบมีด	"(should be ""nha phiến"") opium"
phiện	ฝิ่น	opium
phiệt	ผู้ประกอบการ	militarism
phnom	พนมเปญ	phnom
phnôm	phnum	phnôm pênh= phnom penh(cambodia's capital)
pho	ชีส	part of a person's name, rat-pho, or ratford
phoenix	ต้นอินทผลัม	(proper noun) phoenix
phong	ห้อง	movement
php	php	php
phrygian	เจีย	phrygian
phu	ประณีต	"(term should be ""phu nhân"") wife (n.)"
phui	การเปิดเผย	expose
phun	ผัด	to spray or spit (v.)
phà	เรือข้ามฟาก	ferry
phàm	วัฒนธรรม	superhuman
phàn	บ่น	complain
phá	ทำลาย	destroy
phác	การรักษาด้วย	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	จังหวะ	manner (n.)
phái	นิกาย	a party
phán	การเจรจาต่อรอง	judge
pháo	ดอกไม้ไฟ	artillery
pháp	ฝรั่งเศส	method
phát	ปล่อย	develop
phèn	สารส้ม	alum
phèo	phèo	organs
phép	ใบอนุญาต	permit
phê	กาแฟ	"(term should be ""phê bình"") to criticize (v.)"
phêrô	จางไป	peter
phì	ความอ้วน	non-
phình	ปากทาง	bulge
phí	ฟรี	non-
phía		side
phích	เก็บความร้อน	a flask (n.)
phím	กุญแจ	key
phò	มือโปร	"(term should be ""phò mã"") a prince consort"
phòng	ห้อง	office
phó	จัดการ	second
phóng	ยิง	to launch (v.)
phô	เมือง	display
phôi	ตัวอ่อน	embryo
phông	ตัวอักษร	font
phùng	ผัด	phung
phúc	ความสุข	good fortune (n.)
phúclộc	phucloc	phuc-loc
phún	สปัตเตอร์	"(term should be ""lún phún"") sparse (adj.)"
phúng	ซึ่งเกินความจริง	satire
phút	นาที	a minute (n.)
phăn	พาน	phan
phăng	พังงา	knock
phương		direction
phước	อาศิรพจน์	luck
phường	ท้องที่	ward
phượng	ต้นอินทผลัม	phoenix
phạn	ภาษาสันสกฤต	sanskrit
phạt	ลงโทษ	punish
phả	การลำดับวงศ์ตระกูล	pedigree
phải	ขวา	must
phải 	ขวา	right
phản	ปฏิกิริยา	reaction
phảng	อย่างละเอียด	subtle
phần	ส่วนหนึ่ง	part
phẩm	คือ	food
phẩy	อัฒภาค	a comma
phẫn	ความไม่พอใจ	wrathful
phẫu	ศัลยกรรม	surgery
phận	แผนก	part
phật	พระพุทธเจ้า	buddhist
phẳng	เครื่องบิน	flat (adj.)
phế	เสีย	dismiss
phết	แพร่กระจาย	to spread or smear (v.)
phỉ	เฮเซลนัท	defame
phỏng	สัมภาษณ์	interview
phố	ถนน	city
phối	ผู้ประสาน	coordinate
phốt	มีพิษ	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	ผัด	to swell (v.)
phổ	เป็นที่นิยม	popular
phổi	ปอด	lung
phộng	ถั่วลิสง	peanut
phới	mot	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	โพธิ์	pho
phục	s	convincing
phụng	นมัสการ	worship
phụt	เครื่องเป่า	minute
phủ	รัฐบาล	government
phức	หลายอย่าง	complex
picchu	picchu	a name
piccolo	ขลุ่ยผิว	piccolo
pierre	ปิแอร์	pierre
pierrot	pierrot	pierrot
pietro	pietro	pietro
pike	หอก	pike
pin	เซลล์	battery
pinlus	pinlus	pinlus
pioneer	ผู้ริเริ่ม	pioneer
pipes	ท่อ	pipes
pisa	ปิซา	a name
piston	ลูกสูบ	piston
pitch	ขว้าง	pitch
pius	ปิอุส	pius
plaaf	plaaf	plaaf
plan	แผนการ	plan
plasma	พลาสมา	plasma
plate	จาน	plate
plato	เพลโต	plato
platon	platon	platon
player	ผู้เล่น	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleistocen	pleistocen
plus	บวก	plus
pluto	พลูโต	pluto
pm	น	pm
pmu	pmus	pmu
po	po	po
pokémon	โปเกมอน	pokemon
pol	pol	pol
poland	โปแลนด์	poland
pollack	พอลแล็ค	a name
pollux	พอลลักซ์	a name
polo	โปโล	(proper noun) polo, as in marco polo
polynésie	polynésie	polynesian
pont	pont	(proper noun) pont, as in pont de normandie
pop	ป๊อปอัพ	pop
portland	ปอร์ตแลนด์	portland
porto	ปอร์โต	porto
pot	หม้อ	pot
potsdam	potsdam	(proper noun) potsdam
potter	ช่างปั้น	(proper noun) potter, as in harry potter
pour	เท	not vietnamese
powell	พาวเวล	(proper noun) powell, as in general colin powell
pradesh	ธรประเทศ	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	ปราสาท	(proper noun) preah
premier	นายกรัฐมนตรี	premier
preminger	preminger	(proper noun) preminger
preston	เพรสตัน	(proper noun) preston, as in john preston
prince	เจ้าชาย	prince
princeton	พรินซ์ตัน	princeton
printemps	printemps	printemps
printf	printf	printf
prinz	ปรินซ์	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	กรังปรีซ์	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	projekt	projekt
prometheus	prometheus	(proper noun) prometheus
protein	โปรตีน	protein
prôtêin	โปรตีน	protein (n.)
ps	ps	ps
psv	พีเอสวี	psv
ptolemy	ปโตเลมี	ptolemy
ptq	ptq	ptq
puerto	puerto	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	พูลิตเซอร์	(proper noun) pulitzer, as in the pulitzer prize
pulp	จาว	pulp
punjab	ปัญจาบ	punjab
pusan	ปูซาน	(proper noun) pusan
putin	ปูติน	putin
pyrenees	pyrenees	pyrenees
pytago	พีทาโกรัส	(proper noun) pytago
pzl	pzl	pzl
péc	pec	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	pérez	(proper noun) perez, as in javier perez de cuellar
păng	ความเจ็บปวด	fansipan
pơ	po	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	q	q ( a letter)
qatar	กาตาร์	qatar
qd	qd	quantum dots
qing	ชิง	qing, as in the qing dynasty of  china
qlvnch	arvn	army of the republic of vietnam
qua	โดย	transmit
quad	รูปสี่เหลี่ยม	quad
quan	สำนักงาน	"(term should be ""quan hệ"") relationship (n.)"
quang	ออปติคอล	bladder
quanh	รอบ	around
quay	สับเปลี่ยน	turn
que	แท่ง	stick
queen	พระราชินี	queen
queens	ราชินี	(proper noun) queens, as in the new york borough
queensland	รัฐควีนส์แลนด์	queensland
quen	คุ้นเคย	accustomed to
qui	ใคร	formal
quincy	ควินซี	(proper noun) quincy, as in quincy jones
quran	คัมภีร์กุรอาน	quran
quy	หาก	"(term should be ""quy ước"") agreement"
quyên	การบริจาค	"(term should be ""quyên góp"") to donate (v.)"
quyến	เสน่ห์	"(term should be ""gia quyến"") family"
quyền	เจ้าหน้าที่	right
quyện	quyen	mix
quyệt	ทรยศ	"(should be ""xảo quyệt"") devious"
quá	เกินไป	over
quái	นรก	strange or odd
quán	ร้านขายของ	hometown
quáng	ไม่พินิจพิเคราะห์	blind
quát	กว้างขวาง	generalize
quân	ทหาร	army (n.)
quãng	ระยะทาง	optical
quét	กวาด	to sweep (v.)
quê	ชนบท	countryside
quên	ลืม	forget
quý	ย่าน	love
quýt	ส้มจีน	tangerine
quăng	โยน	to throw (v.)
quĩ	กองทุน	orbit
quạ	อีกา	crow (con qua)
quạt	แฟน	fan
quản	การจัดการ	"(entire term is ""cai quản"") to manage"
quảng	การโฆษณา	guangzhou
quấn	ห่อ	wrap around
quất	บลูเบอร์รี่	whip
quấy	การล่วงละเมิด	harass
quần	กางเกง	pants (n.)
quầng	รัศมี	halo
quầy	เคาน์เตอร์	stall
quẩy	ท่าเรือ	quay
quẫn	ใจลอย	necessitous
quận	เขต	county (n.)
quật	ขุด	excavation
quẳng	โยน	throw
quặc	อุกอาจ	strange (adj.)
quặng	แร่	an ore (n.)
quẻ	แฉก	hexagram
quế	อบเชย	cinnamon (n.)
quết	คลุก	knead
quệ	บุคคลล้มละลาย	exhausted
quỉ	มาร	demon
quỳ	การนั่งคุกเข่า	demon (n.)
quỳnh	quỳnh	quynh
quỵ	ลากเส้น	stroke
quỷ	มาร	provided
quỹ	กองทุน	fund
qúy	ย่าน	quy
r	r	r
rabindranath	รพินทรนาถ	rabindranath
race	การแข่งขัน	race
rafael	ราฟาเอล	rafael
rafale	rafale	(proper noun) rafale, as in dassault rafale
rai	ไร่	slowly intake
raleigh	ราลี	raleigh
ralph	ราล์ฟ	(proper noun) ralph, as in ralph waldo emerson
ram	แกะ	a name
rama	พระราม	rama, first name of several rulers of thailand (n.)
ramadan	เดือนรอมฎอน	(proper noun) the fasting month of ramadan
ramayana	รามเกียรติ์	ramayana
rambus	แรมบัส	rambus
ran	อิหร่าน	ran
ranch	ฟาร์มปศุสัตว์	ranch
randy	มีตัณหา	randy
rang	ย่าง	roast
rangers	เรนเจอร์	rangers
ranh	เขตแดน	border (ranh gioi)
rao	การโฆษณา	to announce
rap	เคาะ	rap
raptor	แร็พเตอร์	raptor
rate	อัตรา	rate
rau	ผัก	vegetable
ray	รังสี	rail (n.)
raya	raya	raya
raymond	เรย์มอนด์	raymond
rađa	เรดาร์	radar
reagan	เรแกน	reagan
real	จริง	real
reanimation	reanimation	reanimation
reap	เก็บเกี่ยว	reap
reef	โขดหิน	reef
regia	regia	regia
reichelt	reichelt	reichelt
ren	ปัก	lace (n.)
renaissance	ชีวิตใหม่	renaissance
renault	เรโนลต์	renault
rené	rené	rene
reo	รัง	yell
reserve	สำรอง	reserve
resort	รีสอร์ท	resort
reverse	ถอยหลัง	reverse
revolution	การปฏิวัติ	revolution
rey	rey	rey, as in copa del rey
rfid	rfid	rfid
rhodes	โรดส์	rhodes
rica	rica	rica
ricardo	ริคาร์โด้	ricardo
ricci	ริชชี่	ricci
richard	ริชาร์ด	richard
richardson	ริชาร์ด	(proper noun) richardson, as in james o. richardson
richie	ริชชี่	(proper noun) richie, as in singer lionel richie
rico	เปอร์โตริโก	rico, as in puerto rico
riemann	riemann	riemann, as in bernhard riemann, a german mathematician
rimjob	rimjob	rimjob
rin	ริน	rin
rising	ที่เพิ่มสูงขึ้น	rising
risk	อันตราย	risk
ritchie	ริชชี่	a name
rivaldo	rivaldo	rivaldo
rivière	rivière	a name
rizal	ซัล	rizal
riêng	แยกต่างหาก	own
riêu	rieu	crab
riết	โดยด่วน	urgently
riềng	ข่า	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	โรเบิร์ต	(proper noun) robert
roberto	โรแบร์โต	(proper noun) roberto
roberts	โรเบิร์ต	roberts
robespierre	robespierre	robespierre
robin	นกเล็กชนิดหนึ่ง	a name
robinson	โรบินสัน	robinson, as in michelle robinson
rockefeller	กี้เฟลเลอร์	rockefeller, as in john d. rockefeller
roddick	ร็อดดิก	(proper noun) roddick
rodríguez	rodríguez	rodriguez (n.)
roi	คัน	a stick or switch used for punishment (n.)
roland	roland	roland
romania	โรมาเนีย	romania
rome	กรุงโรม	rome, as in rome, italy
romeo	ชายคู่รัก	(proper noun) romeo, as in romeo and juliet
rommel	rommel	rommel
ron	รอน	ron
ronald	โรนัลด์	ronald, an english first name
ronaldinho	โรนัล	ronaldinho
rong	ตะไคร่น้ำ	seaweed (n.)
rosen	rosen	rosen, as in nathan rosen
roth	roth	roth
rotterdam	rotterdam	(proper noun) rotterdam
rousseau	rousseau	rousseau
router	เราเตอร์	cong noi
rovers	โรเวอร์	rovers
rowling	โรว์ลิ่ง	rowling
roy	roy	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	รูดอล์ฟ	rudolph
rue	เวทนา	rue, as in rue des vases, a street name
rulin	rulin	(proper noun) rulin
rumani	โรมาเนีย	romanian
rumiko	รูมิโกะ	rumiko, a japanese first name
rummel	rummel	rummel
run	สั่น	tremble
rung	สั่น	to shake or vibrate (v.)
russian	รัสเซีย	(proper adjective) russian
russkaya	russkaya	(proper noun) russkaya avionika
ruth	ความสงสาร	(proper noun) ruth
rutherford	rutherford	rutherford
rutte	rutte	rutte
ruud	ruud	ruud
ruốc	ruốc	pemmican
