$ tỉ	billion பில்லியன்	$ billion
oprah	ஓப்ரா	(proper noun) oprah, as in oprah winfrey
organ	உறுப்பு	organ
oricon	oricon	oricon
origin	தோற்றம்	origin
orion	orion	(proper noun) orion, the hunter
orleans	ஆர்லியன்ஸ்	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	ஆர்டன்	orton
os	os	os
osaka	osaka	(proper noun) osaka, a city in japan
osama	osama	(proper noun) osama, as in osama bin laden
osamu	osamu	(proper noun) osamu, a japanese first name
oscar	ஆஸ்கார்	oscar
osiris	osiris	(proper noun) osiris, as in the egyptian god
oskar	oskar	a name
oslo	oslo	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	ஒசெட்டியா	(proper noun) ossetia
oswald	ஓஸ்வால்ட்	oswald
other	மற்றவை	other
otto	ஓட்டோ	(proper noun) otto, as in otto von bismarck
ottoman	ஒட்டோமான்	(proper noun) ottoman, as in the ottoman empire
outstanding	நிலுவையில் உள்ளது	xuat sac
owen	owen	(proper noun) owen, as in michael owen
oxford	ஆக்ஸ்போர்டு	oxford
oxy	ஆக்ஸிஜன்	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	மனக்கசப்பு	"(term should be ""oán than"") to complain or whine"
oát	வாட்ஸ்	a watt (n.)
oản	on	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	pailin	pailin
pakistan	பாக்கிஸ்தான்	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	பலவன்	palawan
palenque	palenque	(proper noun) palenque
palestine	palestine	a name
palgrave	palgrave	palgrave
pali	பாலி	a name
pamir	pamir	pamir
pan	பான்	pan, as in peter pan
panama	பனாமா	panama
panamax	பனாமக்ஸ்	(proper noun) panamax
panduranga	பாண்டுரங்க	(proper noun) panduranga
panthera	பாந்தெரா	(proper noun) panthera, a genus of felines
panthéon	panthéon	a name
paolo	பாவ்லோ	paolo
paperback	பேப்பர்பேக்	paperback
papua	பப்புவா	papua
paraguay	பராகுவே	(proper noun) paraguay
pari	பரி	pari
park	பூங்கா	park
parton	parton	parton
patel	படேல்	(proper noun) patel
patrick	பேட்ரிக்	patrick
patriot	தேசபக்தர்	patriot
paul	பால்	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	பாவியா	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	pedro	pedro
peers	சக	peers
pele	pele	(proper noun) pele, as in the soccer player
penang	பினாங்கு	penang
penh	பென்	(proper noun) penh, as in phnom penh
pennsylvania	பென்சில்வேனியா	pennsylvania
penny	பைசா	(proper noun) penny, an english first name
pereira	பெரேரா	pereira
perl	perl	(proper noun) perl
pero	பெரோ	pero
perry	பெர்ரி	(proper noun) perry, as in elizabeth perry
persephone	persephone	presephone
pershing	தொடர்கிறது	pershing
persian	பெர்சியன்	persian
peru	பெரு	peru, as in the south american country
peters	பீட்டர்ஸ்	peter's, possessive of peter
petersburg	பீட்டர்ஸ்பர்க்	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	பக்கங்கள்	associate professor
pgđ	pgđ	associate professor
pha	கலப்பு	to mix
phaethon	பைதான்	phaethon
pham	pham	pham
phanh	பிரேக்	expose
phao	மிதவை	float
phaolô	பால்	st. paul, the apostle
pharaoh	பார்வோன்	pharaoh
pharaon	பாரோன்	pharaoh
phay	அரைக்கும்	mill
phe	பிரிவு	faction
phen	phen	time
phil	பில்	(proper noun) phil, a first name
philip	பிலிப்	philip
philippe	பிலிப்	philippe
philippines	பிலிப்பைன்ஸ்	(proper noun) philippines
phillip	பிலிப்	(proper noun) phillip
phillips	பிலிப்ஸ்	philips
philosophiae	தத்துவஞானி	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	திரைப்படம்	phim
phin	வடிகட்டி	coffee filter
phineas	பினியாஸ்	(proper noun) phineas
phiên	அமர்வு	trial
phiêu	சாகச	adventurous
phiếm	வதந்திகள்	gossip
phiến	கத்தி	"(should be ""nha phiến"") opium"
phiện	அபின்	opium
phiệt	phiet	militarism
phnom	phnom	phnom
phnôm	phomom	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	பீனிக்ஸ்	(proper noun) phoenix
phong	அறை	movement
php	php	php
phrygian	phrygian	phrygian
phu	phu	"(term should be ""phu nhân"") wife (n.)"
phui	வெளிப்படுத்தப்பட்டது	expose
phun	தெளிப்பு	to spray or spit (v.)
phà	படகு	ferry
phàm	மரண	superhuman
phàn	புகார்	complain
phá	உடைத்தல்	destroy
phác	ஸ்கெட்ச்	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	அடி	manner (n.)
phái	பிரிவு	a party
phán	நீதிபதி	judge
pháo	பீரங்கி	artillery
pháp	பிரான்ஸ்	method
phát	ஒளிபரப்பு	develop
phèn	alum	alum
phèo	phèo	organs
phép	அனுமதிக்கப்படுகிறது	permit
phê	உயர்ந்திடு	"(term should be ""phê bình"") to criticize (v.)"
phêrô	பீட்டர்	peter
phì	விரிவாக்கப்பட்டது	non-
phình	வீக்கம்	bulge
phí	கட்டணம்	non-
phía	பக்க	side
phích	தெர்மோஸ்	a flask (n.)
phím	விசை	key
phò	phò	"(term should be ""phò mã"") a prince consort"
phòng	அறை	office
phó	துணை	second
phóng	ஏவுதல்	to launch (v.)
phô	நகரம்	display
phôi	கரு	embryo
phông	எழுத்துரு	font
phùng	பஃப்	phung
phúc	ஆசீர்வதிக்கப்பட்டவர்	good fortune (n.)
phúclộc	ஆசீர்வாதம்	phuc-loc
phún	பம்	"(term should be ""lún phún"") sparse (adj.)"
phúng	பரிதாபம்	satire
phút	நிமிடம்	a minute (n.)
phăn	fret	phan
phăng	phang	knock
phương	புவோங்	direction
phước	ஆசீர்வாதம்	luck
phường	வார்டு	ward
phượng	பீனிக்ஸ்	phoenix
phạn	சமஸ்கிருதம்	sanskrit
phạt	தண்டி	punish
phả	வம்சாவளி	pedigree
phải	சரி	must
phải 	சரி	right
phản	எதிர்	reaction
phảng	தட்டையானது	subtle
phần	பகுதி	part
phẩm	தயாரிப்புகள்	food
phẩy	கமா	a comma
phẫn	கோபம்	wrathful
phẫu	அறுவை சிகிச்சை	surgery
phận	விதி	part
phật	புத்தர்	buddhist
phẳng	விமானம்	flat (adj.)
phế	ஸ்கிராப்	dismiss
phết	பரவுதல்	to spread or smear (v.)
phỉ	பழுப்புநிறம்	defame
phỏng	எரிக்க	interview
phố	நகரம்	city
phối	ஒருங்கிணைத்தல்	coordinate
phốt	பாஸ்பேட்	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	உயர்த்தப்பட்டது	to swell (v.)
phổ	ஸ்பெக்ட்ரம்	popular
phổi	நுரையீரல்	lung
phộng	வேர்க்கடலை	peanut
phới	மிதவை	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	நூடுல் சூப்	pho
phục	ஆடை	convincing
phụng	சேவை	worship
phụt	பஃப்	minute
phủ	மூடப்பட்ட	government
phức	சிக்கலான	complex
picchu	picchu	a name
piccolo	பிக்கோலோ	piccolo
pierre	பியர்	pierre
pierrot	pierrot	pierrot
pietro	பியட்ரோ	pietro
pike	பைக்	pike
pin	பேட்டரி	battery
pinlus	பின்லஸ்	pinlus
pioneer	முன்னோடி	pioneer
pipes	குழாய்கள்	pipes
pisa	பீசா	a name
piston	பிஸ்டன்	piston
pitch	சுருதி	pitch
pius	pius	pius
plaaf	பிளேஃப்	plaaf
plan	திட்டம்	plan
plasma	பிளாஸ்மா	plasma
plate	தட்டு	plate
plato	பிளேட்டோ	plato
platon	பிளேட்டன்	platon
player	ஆட்டக்காரர்	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleistocen	pleistocen
plus	பிளஸ்	plus
pluto	புளூட்டோ	pluto
pm	மாலை	pm
pmu	pmu	pmu
po	po	po
pokémon	போகிமொன்	pokemon
pol	pol	pol
poland	போலந்து	poland
pollack	பொல்லாக்	a name
pollux	pollux	a name
polo	போலோ	(proper noun) polo, as in marco polo
polynésie	polynésie	polynesian
pont	pont	(proper noun) pont, as in pont de normandie
pop	பாப்	pop
portland	போர்ட்லேண்ட்	portland
porto	போர்டோ	porto
pot	பானை	pot
potsdam	potsdam	(proper noun) potsdam
potter	குயவன்	(proper noun) potter, as in harry potter
pour	ஊற்றவும்	not vietnamese
powell	பவல்	(proper noun) powell, as in general colin powell
pradesh	பிரதேசம்	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	preah	(proper noun) preah
premier	பிரதமர்	premier
preminger	preminger	(proper noun) preminger
preston	preston	(proper noun) preston, as in john preston
prince	இளவரசன்	prince
princeton	பிரின்ஸ்டன்	princeton
printemps	அச்சுப்பொறிகள்	printemps
printf	printf	printf
prinz	பிரின்ஸ்	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	prix	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	projekt	projekt
prometheus	prometheus	(proper noun) prometheus
protein	புரதம்	protein
prôtêin	புரத	protein (n.)
ps	ps	ps
psv	psv	psv
ptolemy	டோலமி	ptolemy
ptq	ptq	ptq
puerto	puerto	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	புலிட்சர்	(proper noun) pulitzer, as in the pulitzer prize
pulp	கூழ்	pulp
punjab	பஞ்சாப்	punjab
pusan	புசன்	(proper noun) pusan
putin	putin	putin
pyrenees	பைரனீஸ்	pyrenees
pytago	pytago	(proper noun) pytago
pzl	pzl	pzl
péc	péc	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	பெரெஸ்	(proper noun) perez, as in javier perez de cuellar
păng	வேதனை	fansipan
pơ	pơ	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	q	q ( a letter)
qatar	கத்தார்	qatar
qd	qd	quantum dots
qing	குயிங்	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	வழங்கியவர்	transmit
quad	குவாட்	quad
quan	குவான்	"(term should be ""quan hệ"") relationship (n.)"
quang	ஒளியியல்	bladder
quanh	சுற்றி	around
quay	திரும்பியது	turn
que	தண்டுகள்	stick
queen	ராணி	queen
queens	ராணிகள்	(proper noun) queens, as in the new york borough
queensland	குயின்ஸ்லாந்து	queensland
quen	பழக்கமான	accustomed to
qui	குய்	formal
quincy	quincy	(proper noun) quincy, as in quincy jones
quran	குர்ஆன்	quran
quy	விதிகள்	"(term should be ""quy ước"") agreement"
quyên	அடிப்படைகள்	"(term should be ""quyên góp"") to donate (v.)"
quyến	கவர்ச்சி	"(term should be ""gia quyến"") family"
quyền	அனுமதி	right
quyện	கலத்தல்	mix
quyệt	நயவஞ்சக	"(should be ""xảo quyệt"") devious"
quá	கூட	over
quái	கர்மம்	strange or odd
quán	மதுக்கூடம்	hometown
quáng	குருட்டு	blind
quát	கத்தினான்	generalize
