$	dollarni tashkil etadi	a sign of doller
બાર	o&#39;n ikki	twelve
બારડોલી	bardoli	bardoli
બારી	oyna	window
બારે	haqida	about
બાલ	bola	bal
બાલિ	bali	bali
બાલી	bali	bali
બાલ્ટિક	boltiqbo&#39;yi	baltic shore
બાળ	bola	child
બાળક	chaqaloq	child
બાળકની	chaqaloq	child like
બાળકને	chaqaloq	to child
બાળકો	bolalar	children
બાળકોના	bolalar uchun	of the children
બાળકોની	bolalar uchun	of the children
બાળકોને	bolalar	for children
બાળપણ	bolalik	childhood
બાળપણથી	bolalikdan beri	since childhood
બાળપણમાં	bolalikda	in childhood
બાળી	yonish	burn
બાવન	ellik ikki	fifty two
બાસ્કેટબોલ	basketbol	basketball
બાહર	chiqdi	outside
બાહરની	tashqarida	from outside
બાહરી	tashqi	outer [hindi word]
બાહ્ય	tashqi	outer
બિંદુ	nuqta	drop
બિગ	katta	big
બિઝનેસ	biznes	business
બિન	yo&#39;q.	non -
બિનવર્તુળાકાર	dumaloq emas	non-circular
બિનસાંપ્રદાયિક	dunyoviy	non communal
બિરાજમાન	o&#39;tirish	seated
બિરુદ	sarlavha	image
બિલ	hisob	bill
બિલકુલ	umuman aytganda	just / plain
બિલબોર્ડ	billboard	billboard
બિલાડી	mushuk	cat
બિલિયન	milliard	billion
બિલ્ડીંગ	bino	building
બિહાર	bihar	bihar
બિહારના	biharning	bihar's
બિહારની	biharning	bihar's
બી	b	b
બીએમસી	bmc	bmc
બીચ	plyaj	beach
બીજ	urug&#39;lar	elgebra
બીજને	urug&#39;lar	second date of hindu calendar
બીજા	ikkinchi	second
બીજાં	boshqalar	second
બીજાની	boshqasidan	other's
બીજાને	boshqasiga	others / to others
બીજી	ikkinchi	second
બીજુ	ikkinchi	second
બીજું	ikkinchi	second
બીજે	boshqa joyda	other
બીજેપી	bjp	bjp (bharatiya janata party)
બીજો	ikkinchi	second
બીટા	beta-versiya	beta
બીબીસી	bbc	bbc
બુક	kitob	book
બુટ	etiklar	boot
બુદ્ધ	budda	buddh
બુદ્ધના	buddaning	buddha's
બુદ્ધિ	aql-idrok	intelligence
બુધ	merkuriy	mercury
બુશ	bush	bush
બૃહદ	katta	greater
બૃહદ્	katta	greater
બે	ikki	both
બેંક	bank	bank
બેંગલોર	bangalor	banglore
બેંગાલ	bengal	bengal
બેંગ્લોર	bangalor	banglore, name of indian city
બેંગ્લોરમાં	bangalorada	in banglore
બેકઅપ	zaxira	backup
બેઘર	uysizlar	homeless
બેઝ	baza	base
બેઝિક	asosiy	basic
બેટ	bat	bat
બેટિંગ	batareya	bating
બેટ્સમેન	batsman	batsman
બેટ્સમેનને	batsmanga	to batsman
બેઠક	o&#39;rindiq	meeting / session
બેઠકો	o&#39;rindiqlar	seats
બેઠકોની	o&#39;rindiqlardan	of seats
બેઠા	o&#39;tirdi	sit
બેઠેલા	o&#39;tirgan	sitting on
બેઠો	o&#39;tir	sited
બેન	ben	ben
બેન્ક	bank	bank
બેન્કના	bankning	bank's
બેન્ડ	tasma	band
બેય	ko&#39;rfaz	both
બેર	ayiq	ber
બેરોજગારી	ishsizlik	unemployment
બેલ	qo&#39;ng&#39;iroq	bell
બેવડી	ikki marta	double
બેસણા	o&#39;tirish	sitting, seats,
બેસાડવામાં	o&#39;rnatilgan	to sit
બેસી	o&#39;tir	to sit
બેસીને	o&#39;tirish	by sitting
બેસે	sehr-jodu	set
બેસ્ટ	eng yaxshisi	best
બોંબ	bomba	bomb
બોક્સ	quti	box
બોક્સઓફિસ	teatr kassasi	boxoffice
બોઝ	bose	bose
બોઝના	bose&#39;s	bose's
બોડી	tanasi	body
બોધ	ma&#39;rifat	precept
બોમ્બ	bomba	bomb
બોમ્બિંગ	bombalash	bombing
બોમ્બે	bomba	bombay
બોરદેવી	bordevi	bordevi
બોરસદ	borsad	borsad
બોર્ડ	kengash	board
બોલ	to&#39;p	ball
બોલચાલની	so&#39;zlashuv	conversation
બોલચાલમાં	so&#39;zlashuv	behaviour
બોલતા	gapirmoqda	speaking
બોલનાર	karnay	speaker
બોલનારા	ma&#39;ruzachilar	speakers
બોલને	to&#39;pga	to the ball
બોલમાં	sharlar	in the ball
બોલર	bowler	bowler
બોલવા	gapirmoq	to speak
બોલવામાં	gapiradi	spoken
બોલાતી	gapiradi	spoken
બોલાય	gapiradi	spoken
બોલાવવામાં	chaqirildi	are called
બોલિંગ	bouling	bowling, ( in cricket fielding team's man bowls to batsman)
બોલી	dialekt	dialect
બોલીઓ	dialektlar	dialects
બોલીઓમાં	dialektlarda	languages
બોલીવુડ	bollivud	bollywood
બોલે	gapiradi	speaks
બોલ્યા	gapirdi	spoken
બૌદ્ધ	buddist	buddhist
બૌદ્ધિક	intellektual	intellectual
બૌધિક	intellektual	intellectual
બ્રમ્હચર્યની	fohishalik haqida	of celibacy
બ્રહ્મ	brahman	brahm
બ્રહ્મકુંડ	brahmakund	brahma kund
બ્રહ્મચર્ય	nikohsizlik	celebacy
બ્રહ્મચારી	celibate	virgin
બ્રહ્મા	brahma	brahma
બ્રહ્માંડ	koinot	universe
બ્રહ્માંડના	olamning	of the universe
બ્રહ્માંડની	olamning	of the universe
બ્રહ્માંડનું	olamning	of cosmos / universe
બ્રહ્માંડને	olamga	to the universe
બ્રહ્માંડમાં	olamda	in the sky
બ્રહ્માંડો	olamlar	universe
બ્રહ્માએ	brahma	by brahma
બ્રહ્માજી	brahmaji	lord brahma
બ્રહ્માનંદ	brahmananda	brahmanand
બ્રાઉઝર	brauzer	browser
બ્રાઝિલ	braziliya	brazil
બ્રાન્ડ	tovar	brand
બ્રાયન	brayan	brian
બ્રાહ્મણ	brahmin	universe
બ્રાહ્મણો	brahminlar	brahmin's
બ્રાહ્ય	tashqi	external
બ્રિજ	ko&#39;prik	bridge
બ્રિટન	britaniya	britain
બ્રિટનના	britaniya	britan
બ્રિટનની	britaniya	of britain
બ્રિટનને	britaniyaga	to britain
બ્રિટનમાં	britaniyada	in britain
બ્રિટને	britaniya	britain
બ્રિટિશ	britaniya	british
બ્રિટિશરો	inglizlar	britishers
બ્રિટિશરોએ	inglizlar	britishers
બ્રિટીશ	britaniya	british
બ્રિટીશરો	inglizlar	britishers
બ્રેડમેન	bradman	bradman
બ્રોડબેન્ડ	keng tarmoqli	broadband
બ્રોડવે	broadway	broadway
બ્લિટ્ઝક્રેગ	blitskrieg	blitzkrieg
બ્લેક	qora	black
બ્લોક	bloklash	block
બ્લોગ	blog	blog
બ્લોગમાં	blogda	in the blog
બ્લોગર	blogger	blogger
બ્લોગર્સ	bloggerlar	bloggers
બ્લોગિંગ	fotogalereya	blogging
બ્લોગ્સ	bloglar	blogs
ભંગ	tanaffus	break
ભંગાણ	halokat	faults
ભંડોળ	moliyalashtirish	fund
ભકત	dindor	devotee
ભકતો	dindorlar	devotees
ભક્ત	dindor	devotee
ભક્તિ	sadoqat	to pary
ભક્તિના	fidoyilik	of the devotion
ભક્તિની	fidoyilik	of the prayer
ભક્તિવેદાંત	bxaktivantanta	bhaktivedant
ભક્તો	dindorlar	devotee
ભક્તોને	bandalarga	devotees
ભગત	bhagat	devotee
ભગવદ	bhagwad	bhagvad
ભગવદ્	bhagwad	bhagwad
ભગવાન	xudo	god
ભગવાનના	xudodan	of god
ભગવાનનાં	xudodan	of god
ભગવાનની	xudodan	god
ભગવાનનું	xudodan	god
ભગવાનને	xudoga	god
ભગવાનમાં	xudoda	in god
ભગવાને	xudo	god
ભગીની	opa	sister
ભગીરથ	bhagirath	herculean
ભજન	bajon	bhajan
ભજનમાં	zaburlarda	in hymn
ભજનો	zabur	hymns
ભજવી	o&#39;ynadi	role,
ભજવે	ijro eting	to play a role of
ભજવ્યો	o&#39;ynadi	palyed a role of
ભટ્ટ	bxatt	bhatt
ભણતર	o&#39;rganish	education
ભણવા	o&#39;rganish	study
ભદ્રના	elitadan	bhadra's
ભય	xavf	fear
ભયંકર	qo&#39;rqinchli	dangerous
ભયાનક	ajoyib	horible
ભરત	bharat	bharat
ભરતી	ishga yollash	recruitment
ભરતીઓટ	ishga yollash	tide-tim
ભરપુર	mo&#39;l-ko&#39;l	full of
ભરપૂર	to&#39;liq	full of
ભરવા	to&#39;ldirish	patching, hear it to do, or react
ભરાતો	to&#39;ldirilgan	being held [at]
ભરાય	to&#39;ldirilgan	load /  fill
ભરી	to&#39;ldirilgan	painted
ભરીને	to&#39;ldirish	by filling
ભરુચ	bharuch	bharuch
ભરૂચ	bharuch	bharuch
ભરેલી	to&#39;liq	full
ભર્યા	yuborilgan	paid
ભલામણ	tavsiya etiladi	recommandation
ભલામણો	tavsiyalar	recommendations
ભલે	xatto .. bo&#39;lganda ham	let it be
ભળી	birlashtirish	mixed
ભળે	aralashgan	mixed
ભવન	bino	residence
ભવનાથ	bxavnat	bhavnath
ભવનાથનાં	bxavnatdan	bhavnath's
ભવનાથનો	bxavnatdan	bhavnath's
ભવિષ્ય	kelajak	future
ભવિષ્યના	kelajak haqida	of future,
ભવિષ્યની	kelajak haqida	future's
ભવિષ્યમાં	kelajakda	in future
ભવ્ય	ajoyib	royal / grand
ભા	qism	part
ભાંગી	singan	broken
ભાઇ	birodar	brother
ભાઈ	birodar	brother
ભાઈઓ	birodarlar	brothers
ભાઈઓને	birodarlar	to the brothers
ભાગ	qism	part
ભાગથી	qism	part of, role of
ભાગના	ko&#39;pchilik	part
ભાગનાં	qismlardan	in the part
ભાગની	qismi	of the part
ભાગનું	qismi	of the part
ભાગને	qism	portion
ભાગનો	qism	portion
ભાગમાં	qisman	in the (west) side
ભાગરૂપે	qisman	part
ભાગલા	split	devide
ભાગલાના	bo&#39;linish	of partition
ભાગલાની	bo&#39;lim	divide
ભાગવત	baghvat	bhagwat
ભાગવતમ્	bhagavatam	bhagwat
ભાગવદ	bhagavad	bhagwad
ભાગી	qochish	breaks down
ભાગીદાર	hamkor	partner
ભાગીદારી	hamkorlik	partnership
ભાગે	ko&#39;pincha	part
ભાગો	ehtiyot qismlar	parts
ભાગોનો	ehtiyot qismlar	regions
ભાગોમાં	qismlarga	pices
ભાગ્યે	kamdan kam	rarely
ભાજપ	bjp	bhajap
ભાજી	sabzavotlar	vegetable
ભાત	guruch	pattern
ભાદર	hurmat bilan	bhadar
ભાદરવા	hurmat	bhadarva [name of a month]
ભાન	tushuning	understand
ભાભા	bxabha	bhabha
ભાર	yuklang	weight / pressure
ભારત	hindiston	bharat
ભારતથી	hindistondan	from india
ભારતના	hindiston	india
ભારતનાં	hindiston	of india
ભારતની	hindiston	india's
ભારતનું	hindiston	india's
ભારતને	hindistonga	india's
ભારતનો	hindiston	india's
ભારતભરમાં	butun hindiston bo&#39;ylab	throughout india
ભારતમાં	hindistonda	in india
ભારતમાંથી	hindistondan	from india
ભારતી	bxarti	india's
ભારતીય	hind	indian
ભારતીયો	hindular	indians
ભારતીયોએ	hindular	by the indians
ભારતીયોના	hindlarning	by indians
ભારતીયોની	hindlarning	indians
ભારતીયોને	hindular	indians
ભારતે	hindiston	india's
ભારપૂર્વક	emfatik tarzda	forcefull
ભારયુક્ત	stress	heavy
ભારે	og&#39;ir	heavy
ભાવ	narxi	rate
ભાવનગર	bxavnagar	bhavnagar
ભાવનગરના	bxavnagar	coty name
ભાવના	ruh	feeling
ભાવનાત્મક	hissiy	emotional
ભાવિ	kelajak	future
ભાવે	narxiga qarab	rate
ભાષણ	nutq	speech
ભાષણો	nutqlar	lectures
ભાષા	til	language
ભાષાંતર	tarjima	translation
ભાષાએ	tilda	languages
ભાષાઓ	tillar	languages
ભાષાઓથી	tillardan	from the languages
ભાષાઓના	tillardan	languages
ભાષાઓનાં	tillardan	of languages
ભાષાઓની	tillardan	languages
ભાષાઓને	tillar	languages
ભાષાઓનો	tillardan	of languages
ભાષાઓમાં	tillarda	in languages
ભાષાઓમાંથી	tillardan	from the languages
ભાષાકીય	tilshunos	linguistic
ભાષાના	til	of language
ભાષાનાં	til	of language
ભાષાની	til	of language
ભાષાનું	til	of languages
ભાષાને	til	to language
ભાષાનો	til	of language
ભાષામાં	tilda	in language
ભાષામાંથી	tildan	frim the language
ભાષાશાસ્ત્રના	tilshunoslik	of linguistic
ભાષાશાસ્ત્રની	tilshunoslik	study of language
ભાષાશાસ્ત્રીઓ	tilshunoslar	linguists
ભાષ્ય	sharh	spoken
ભાસ્કર	bxaskar	name
ભિન્ન	turli xil	diffrent
ભિન્નતા	o&#39;zgarishlar	difference
ભી	shuningdek	also
ભીમ	bim	bheem
ભીમને	bimne	to bhim
ભીલ	bhil	bheel
ભીષ્મ	bhishma	bhishma
ભીષ્મએ	bhishma	bhishma
ભીષ્મના	bhishma	bhishma's ('bhishma pitamah' was the eighth son of kuru king shantanu)
ભીષ્મને	bhishma	to bhishma
ભુકંપ	zilzila	earthquake
ભુખ્યાને	och	to hungry
ભુજ	bxuj	bhuj
ભુમિ	quruqlik	land
